ancien_nom,nouveau_nom,nb_dossiers,nb_personnes
Ameur,Benmahmoud,1,16
Zounekah,Bensghaier,1,11
Yahia,Chehidi,1,3
Hadad,Benhamed,1,9
Massaoudi,Benmaâtoug,1,8
Bouzrara,Messeoudi,1,4
Dbiri,Bendhaou,1,5
Bader,Najeh,1,6
Mekhalbi,Najeh,1,24
Melaya,Ben Yahya,1,21
Jebri,Jebri,1,4
Thameur,Benaissa,1,32
Hadad,Ben Maâtoug,1,14
Boueksa,Saâdi,1,1
Chouchane,Benali,1,1
Meskine,Montasser,1,16
Mekhalbi,Sayed,1,9
Mekhalbi,Benzarrouk,1,26
Mekhalbi,Bensaïd,1,8
Terifi,Abid,1,20
Terifi,Maâref,1,30
Dabek,Benmabrouk,1,25
Dabek,Ben Hmed,1,10
Dabek,Ben badr,1,1
Maiz,Ben badr,1,17
El Taïf,Ben Ltaïef,1,18
El Taïl,Ben Ltaief,1,12
Taliha,Taliha,1,17
Khanfir,Ben Salem,1,3
Ben Nasser,Mhadhbi,1,11
Hédia Ahmed,Abdelhadi,1,12
Boudafa,Maarouf,1,23
Mekki,Makkaoui,1,5
M'hadheb,M'hamedi,1,2
Matlouti,Khalfaoui,1,1
Tayari,Sabri,1,1
Mahdoui,Ben Mustapha,1,1
Laouati,Kamel,1,6
Gaoud,Bensalah,1,2
Béji,Sabri,1,5
Ouerdani,Chadli,1,1
M'sakni,Hlal,1,9
Boudabous,Aboufetouh,1,11
Naassa,Ayachi,1,2
Trabelsi,Boufaed,1,6
Trabelsi,Saadani,1,2
Trabelsi,Mabrouk,1,1
Trabelsi,Misbahi,1,8
Trabelsi,Bensaad,1,1
Trabelsi,Benabdallah,1,4
Trabelsi,Benmilad,1,1
Trabelsi,Benslimane,1,5
Trabelsi,Bensalah,1,1
Trabelsi,Krimi,1,1
Trabelsi,Bensalem,1,3
Trabelsi,Boutoumia,1,1
Najeh Hamidi,Najeh,1,2
Ouerfili Trabelsi,Ouerfili,1,4
Khedhr Toujani,Khedhr,1,1
Zeinelabidine Hamidi,Zeinelabidine,1,28
Ouerdani Hamidi,Auerdani,1,4
Borgi Hamidi,Borgi,1,18
Sid Hamidi,Sid,1,6
Jaldi Hamidi,Jaldi,1,8
Jaidi Hamidi,Jaidi,1,7
Essid Hamidi,Sid,1,4
Amira Hamidi,Amira,1,4
Tourki Hamidi,Tourki,1,4
Tourki Yahia,Tourki,1,6
Lakhder Arami,Lakhder,1,1
Kaïd Hamidi,Kaïd,1,6
Gasmi Arami,Gasmi,1,5
Mitoui Arami,Mitoui,1,1
Ouhichi Hamidi,Auhichi,1,3
Souissi Hamidi,Souissi,1,5
Bsir Hamidi,Bsir,1,1
Lankar Hamidi,Lankar,1,5
Debech Amri,Debech,1,8
Zouaoui Gucb-natni,Zouaoui,1,7
Oura,Benkhlil,1,15
Maaouej,Zine,1,17
Zatout,Charfi,1,11
Guezi,Chaabane,1,7
Zatout,Mabrouk,1,4
Ben Ajeuj,Aziz,1,23
Baccouche,Makhlouf,1,12
Ben Sabaha,Sayah,1,16
Zerida,Saada,1,8
Chlagou,Landoubi,1,45
Zamzoum,Zamzoum,1,22
Ganna,Borsali,1,18
Bouchareb,Dhabbi,1,9
Ahmem,Rhouma,1,21
Ellafi,Malki,1,7
Hadjeri,Adli,1,9
Trabelsi,Benghazi,1,16
Bousakala,Souaki,1,25
El Ouizri,Benabdelhafidh,1,25
Daikh,Dali,1,4
Bridaâ,Taamallah,1,25
Baïbez,Jiili,1,23
Ben Cheikh,Sibal,1,24
Chakhman,Chami,1,11
Chouigui,Charfaoui,1,4
Beya,Mouadib,1,7
Bey,Mouadib,1,11
Baltaji,Garsallah,1,6
Chaouch Kadri,Chaouch,1,10
Bou Maïza,Belfiki,1,6
Fekir dit Ganaia,Kini,1,7
Mahfoud,Chika,1,6
Belhadi Amor,Godhbane,1,15
Belhadj Amor,Godhbane,1,2
Belhadj Sadok,Smiri,1,14
Lmiachi,Bettaieb,1,9
Ben Salha,Ben Salah,1,1
Ben Salha,Amari,1,1
Dib,Madhkour,1,1
Dib,Flail,1,2
Derouich,Atia,1,12
Bouhaja,Hamed,1,3
Hajrassi,Benhamza,1,22
Haouami,Dridi,1,14
Hajali,Najeb,1,5
Ferchichi,Askri,1,7
Garouach,H'Salri,1,8
Aouni,Badr,1,18
Bouargoub,Mihl,1,9
Majri,Braiek,1,2
Chraïti,Mhamdi,1,7
Fezzani,Ouadi,1,4
Abidi,Fatmi,1,7
Tekiki,Slimane,1,9
Ghidaoui,Boubakr,1,12
Djeridi,Rezgui,1,6
Manai,Amri,1,2
Harchani,Hasni,1,3
Edouar,Ismail,1,27
El Bibani,Bouzid,1,4
Jemal,Bassam,1,32
Alfa,Mahmoud,1,17
Aifa,Mahmoud,1,16
Daikhi,Gasmi,1,2
Lahouel,Hammami,1,9
Darouez,Rezgui,1,4
Chanoufi,Charki,1,7
Jaffel,Tlili,1,3
Aouadia,Kharroubi,1,17
Naouiji,Hidiaoui,1,3
Abichou,Akari,1,1
Aguab,Jaballah,1,19
Ouled Belgacem,Thami,1,4
Sokrani,Benmannaï,1,4
Sokrami,Benmannai,1,12
Ouled Belgacem,Belgacem,1,9
Ouled Belgacem,Mouelhi,1,14
Rouiham,Bazazi,1,39
Aroui,Benali,1,6
Sokrani,Zannadi,1,11
Boutaba,Benromdhane,1,34
Ouled Belgacem,Bethami,1,6
Tounsi,Benmhamed,1,5
Charnia,Slimi,1,2
Charnia,Benali,1,1
Krimi,Machraoui,1,1
Haji,Rabaï,1,19
Ferchichi,Rabaï,1,4
Mehajbia,Machraoui,1,17
Abdellaoui,Machraoui,1,1
Charnia,Salmi,1,1
Charni,Machraoui,1,12
Ghaidia,Aïssaoui,1,19
Kaissi,Rabai,1,10
Kaissi,Rabaï,1,27
El Meki,Rabaï,1,8
Ferchichi,Aouadi,1,1
Charni,Aïsaoui,1,11
Zaghdi,Zitouni,1,7
Alssaoui,Jbali,1,1
Dkhili,Jbali,1,4
Djaziri,Rabai,1,1
Mejri,Charni,1,3
Abadri,Hattabi,1,1
Boughanmi,Mouelhi,1,1
Charni,Rabai,1,7
Abidi,Charni,1,2
Aissaoui,Boughanmi,1,1
Jemaia,Boughanmi,1,1
Trichi,Zitouni,1,1
Gouadri,Boughanmi,1,1
Klaï,Aouadi,1,1
Jeridi,Rabai,1,1
Boulaabi,Rabaï,1,1
Alaimi,Hattabi,1,7
Gasmi,Belabidi,1,10
Gdouri,Salmi,1,10
Boughanmi,Betlili,1,8
Sehli,Hattabi,1,1
Charnia,Rabal,1,2
Charni,Rabal,1,17
Khadhrani,Rabal,1,22
Youssefi,Aouadi,1,28
Bargaoui,Slimi,1,3
Kéfi,Zitouni,1,1
Kéii,Zitouni,1,4
Nasraoui,Mnasri,1,2
Gheraïri,Touati,1,1
Miadi,Boughanmi,1,1
Aloui,Jebali,1,7
Charni,Slimi,1,3
Benjedou,Rabal,1,17
Chrni,Aissaoui,1,19
Cherni,Slimi,1,15
Haji,Rebaï,1,26
Haji,Rabai,1,2
Cherni,Gasmi,1,13
Boughanmi,Souibi,1,3
Boughanmi,Aissaoui,1,9
Echarni,Aissaoui,1,14
Mekloubi,Saidi,1,2
Echarni,Zahi,1,19
Derghoumi,Rahali,1,8
Charnia,Mansouri,1,4
Charni,Laïdi,1,8
Charnia,Abrougui,1,1
Moulhi,Abrougui,1,1
Charni,Charni,1,4
Charni,Abrougui,1,3
Echarni,Benmaaoui,1,3
Charnia,Gasmi,1,2
Gasmi,Zahi,1,2
Lamouchi,Arfaoui,1,60
Rahali,Arfaoui,1,60
Guatri,Hosni,1,4
Ganfoud,Jebari,1,16
Jebari,Bennouri,1,6
Khemassia,Khaldi,1,2
Zoghlami,Salaaoui,1,10
Youssef,Marzougui,1,10
Mizouni,Marzougui,1,11
Jebaria,Gasmi,1,15
Jbaria,Marzougui,1,1
Jbari,Fadhli,1,13
Benamor,Jbari,1,6
Ichi,Jebari,1,4
Khamassia,Achouri,1,1
Khamassi,Khlifi,1,15
Jebari,Achouri,1,1
Khamassi,Fadhli,1,14
Naimi,Jebari,1,5
Iffa,Jebari,1,7
El Hidri,Jebari,1,50
Messaoudi,Benmassoud,1,9
Messaoudi,Benmessaoud,1,10
El Boughanmi,Hmaidi,1,2
Messaoudi,Saadaoui,1,6
Jaradi,Messaoudi,1,1
Omrani,Jallali,1,11
Grada,Saada,1,7
Maïel,Khiri,1,6
Gaham,Bensalah,1,3
Aïoub,Ayoub,1,1
Gachgach,Saad,1,2
Raab,Khlifa,1,3
Kanfoud,Limam,1,24
Bousouibaa,Abed,1,2
Boussouibaa,Abed,1,1
Garmach,Hasnaoui,1,8
M'barek,Safi,1,11
Siliane,Slimane,1,13
Siliane,Siliane,1,1
Bougrara,Choukri,1,2
Gachgech,Najem,1,5
Belaouar,Lanouar,1,2
Fila,Filali,1,9
Kélila,Chaabani,1,15
Deb,Dhahbi,1,37
Baga,Benchrada,1,38
Chana,Ismail,1,1
Chanik,Ismail,1,1
Tarchala,Benabdelkader,1,13
Tarchada,Benabdelkader,1,1
Naas,Ardhaoui,1,8
Hajila,Fadhli,1,8
Hapila,Fadhli,1,1
Chenak,Noômane,1,2
Bouchrit,Bougattas,1,26
Laouar,Hadj Salem,1,6
Lablek,Bensalem,1,8
Elba,Badreddine,1,11
Aoua,Ouni,1,41
Kédada,Abada,1,7
Garmech,Chafei,1,4
Zaabouba,Taïeb,1,17
Zaabouba,Taieb,1,8
Ennam,Naïmi,1,5
Khésira,Bahri,1,12
Goursan,Mistiri,1,9
Rouine,M’Hadhbi,1,5
Rouine,M’hadhbi,1,1
Rouine,M'hadhbi,1,7
Loussif,Trabelsi,1,12
Ganed,Kaïed,1,2
Zékri,Maarouf,1,5
Ayeb,Eaeh,1,1
Nam,Naim,1,6
Aziza,Azaïz,1,9
Ayeb,Ayoub,1,17
Assila,Filali,1,7
Kanfoud,Dahmani,1,7
Dafna,Aref,1,15
Garouch,Amri,1,1
Boussaadia,Saïdi,1,1
Chatebouri,Jlassi,1,8
Chenak,Chabi,1,7
Chenah,Cabbi,1,1
Boukraa,Charfi,1,9
Bousouïbaa,Hamed,1,2
Boussoïbaa,Hamed,1,1
Khechine,Youssef,1,2
Mahroug,Mahmoudi,1,1
Jenech,Hamza,1,3
Zoumit,Kadri,1,13
Bouhaloufa,Mohni,1,1
Bouhaloufa,Mokni,1,7
Bophaloufa,Mokni,1,1
Karn,Ghazez,1,1
Karn,Ghazaz,1,20
Dhib,Allali,1,14
Djemili,Sahli,1,5
Djebali,Jmaili,1,2
Djebali,Boukhatim,1,6
Boughanmi,Bouzaiane,1,1
Boughanmi,Kmari,1,2
Djemii,Ammari,1,1
Djebali,Benmahfoudh,1,8
Boughanmi,Jmai,1,1
Bijaoui,Gharbi,1,6
Bijaoui,Jbari,1,11
Bijaoui,Slimane,1,1
Bijaoui,Mliki,1,6
Bijaoui,Benchaabane,1,6
Ayari,Moula,1,2
Ayari,Hamdi,1,14
Ayari,Zidi,1,1
Ayari,Besseghir,1,1
Ayari,Benammar,1,19
Arbi,Belhadj,1,7
Amdouni,Bessaïd,1,3
Gharbi,Landoulsi,1,1
Gharbi,Boujemaâ,1,1
Gharbi,Toumi,1,2
Gharbi,Benabdallah,1,3
Jendoubi,Naïli,1,3
Abassi,Mliki,1,1
Jeridi,Benhamida,1,3
Jeeridi,Benhamida,1,1
Bijaoui,Abassi,1,6
Arfaoui,M’sahli,1,10
Fetnassi,Benothman,1,11
Fatnassi,Benali,1,8
Riahi,Salhi,1,8
Riahi,Sahli,1,1
Riahi,Benhassine,1,1
Tabarki,Benammar,1,18
Tabarki,Hamdi,1,2
Tabarki,Znaidi,1,1
Tabarki,Bensaïd,1,8
Tabarki,Khliii,1,1
Tassassi,Ajili,1,10
Hkiri,Chamli,1,6
Hichri,Salmi,1,12
Methlouthi,Jbiniani,1,9
Trabelsi,Abdelli,1,4
Tabarki,Ghraibi,1,5
Hammami,Ounis,1,6
Hammami,Ferjani,1,1
Louati,Khaled,1,5
Matali,Ammar,1,1
Methlouthi,Benmohamed,1,9
Matmati,Romdhane,1,2
Kéfi,Benabdallah,1,1
Kéfi,Khamassi,1,3
Kéfi,Rzik,1,5
Khemiri,M'barek,1,1
Neffati,Sdiri,1,6
Nefzi,Boualeya,1,1
Nefzi,Ayad,1,6
Nefzi,Dallagi,1,1
Nefzi,Nasr,1,1
Nefzi,Bensaïd,1,1
Ouerghemi,Khlifa,1,2
Nefzi,Sibii,1,1
AUGMENTATION,MONTANT,1,1
Ayari,Ben Salem,1,1
Dridi,Arbi,1,1
Dridi,Jouini,1,1
Dridi,Barki,1,1
Dridi,Rizgui,1,1
Amdouni,Benmoussa,1,1
Chalaboumi,Benfrai,1,1
Chalghoumi,Bengouissem,1,1
Chalghoumi,Khlil,1,1
Chalghoumi,Riahi,1,1
Chalghoumi,Benhamada,1,1
Kabtni,Kharfani,1,1
Khimiri,Bessaeh,1,1
Nafzi,Bechaïchi,1,1
Kabtni,Benammar,1,1
Bjaoui,Jhari,1,1
Kabtni,Benrhouma,1,1
Kabtni,Bensoula,1,1
Kabtni,Saïdi,1,1
Hammami,Badraoui,1,1
Makaadi,Maalacui,1,1
Makaadi,Jabouri,1,1
Jendoubi,Benammar,1,1
Jridi,Hallabi,1,2
Majeri,Benfriha,1,1
Saidani,Bousaha,1,1
Lajili Arami,Lajili,1,1
Kebair Amri,Kebair,1,1
Lamini Amri,Lamini,1,2
Gasmi Amri,Gasmi,1,1
Nagri Arami,Nagri,1,1
Langar Hamidi,Langar,1,1
Adala Amri,Adala,1,1
HKhili Arami,Khili,1,1
Abed Amri,Abed,1,1
Kebaër Amri,Kebaër,1,1
Ghouma Amir,Ghouma,1,1
Khili Arami,Khili,1,1
Bahri Amri,Bahfi,1,1
Souid Moumni,Souid,1,1
Latifi Hirsi,Latifi,1,2
Atig Latifi,Atig,1,1
Maaloul Dalous,Maalolu,1,1
Daham Zitouni,Daham,1,2
Jabri Rebaï,Jabri,1,1
Zidane Rebaï,Zidane,1,1
Bahri Zribi,Bahri,1,2
Gouidri Hmidi,Gouidri,1,2
Laghmani Mansouri,Laghmani,1,3
Gadri Hirs,Gadri,1,4
Sboui Meslini,Sboui,1,2
Shoui Meslini,Shoui,1,1
Hfiâhi Aloui,Hfidhi,1,1
Boussetta Hamidi,Boussetta,1,1
Chtioui Aziz,Chtioui,1,1
Snini Rebaï,Snini,1,1
Benmahmoud Zribi,Benmahmoud,1,2
Soulala Marthi,Soulala,1,1
Karoui Lahouali,Karoui,1,1
Benabdou Bakir,Benabdou,1,2
Khriji Bathri,Khriji,1,1
Benrjeb Marthi,Benrjeb,1,2
Trabelsi Azizi,Trabelsi,1,1
Misrati Marthi,Misrati,1,1
Hdidane Aloui,Hdidane,1,1
Agrebi Meslini,Agrebi,1,1
Andari Rebai,Andari,1,1
Sayah Zitouni,Sayah,1,2
Trabelsi Ajili,Trabelsi,1,1
Trabelsi Zitouni,Trabelsi,1,1
Nahaoui Guebti,Nahaoui,1,1
Arroum Lahmidi,Arroum,1,2
Ltifi Hamrouni,Ltifi,1,1
Gnaoui Zitouni,Gnaoui,1,1
Rebâa Salmi,Rebâa,1,1
Nemni Zitouni,Nemni,1,2
Benamira Hmidi,Benamira,1,1
Lassoued Hmidi,Lassoued,1,2
Hanzouli Zitouni,Hanzouli,1,1
Bey Zitouni,Bey,1,2
Ayeb Zitouni,Tliha,1,1
Mchirgui Gamoudi,Mchirgui,1,2
Moumni Hamrouni,Moumni,1,1
Mansouri Hmidi,Mansouri,1,1
Akrmi Kdir,Akrmi,1,1
Akrmi Kdiri,Akrmi,1,1
Mihoub Zitouni,Mihoub,1,2
Benamor Bou Abidi,Benamor,1,1
Benamor Zitouni,Benamor,1,1
Chbil Sayah,Chbil,1,2
Bengouider Zitouni,Bengouider,1,1
M'chirgui Zitouni,M'chirgui,1,1
Ouhichi Zitouni,Ouhichi,1,2
Essid Zitouni,Sid,1,2
Gammoudi Zitouni,Gammoudi,1,1
Fkiri Latrache,Latrach,1,1
Latrache Fkiri,Larache,1,1
Makari Fkiri,Makari,1,1
Thifa Fkiri,Thifa,1,1
Ambia Zitouni,Nasrallah,1,2
Benjemaâ Zitouni,Benjemaâ,1,1
Boukthir Zitouni,Boukthir,1,2
Azouz Fkiri,Azouz,1,1
Jarboue Zitouni,Jarboue,1,1
Ghnim Hmidi,Ghnim,1,1
Chiboub Moumni,Chiboub,1,1
Fallah Moumni,Fallah,1,2
Jaziri Hmidi,Jaziri,1,1
