ancien_nom,nouveau_nom,nb_dossiers,nb_personnes
Ben Salah,M'Rabet,1,2
Laouej,Chebli,1,3
El Afine,Belhadj Mansour,1,1
Douiri,Belhadj Mansour,1,2
El Ayari,Belarbi,1,5
Chadli,Belarbi,1,1
El-Jandoubi,Labidi,1,5
Ben Messaoud,Labidi,1,2
Ben Nasr,Thabet,1,4
Habel,Sghaïer,1,1
El-Hammami,Bensir,1,2
Ayari,Fraiji,1,7
Dridi,Sayari,1,2
Hammami,Ben Jeddou,1,17
Hammami,Harchani,1,1
Dhaouadi,Houimed,1,10
Ouartani,Abidi,1,1
Khémiri,Bensalah,1,7
Hejri,Dhouib,1,11
Hejri,Barka,1,1
Hejri,Ghadhban,1,7
Hejri,Nasr,1,7
Hejri,Farhat,1,19
Hakiri,Ayadi,1,2
Nefzi,Benhmad,1,1
Hakiri,Romdhane,1,4
Zouaoui,Hajjar,1,1
Dhaouadi,Abdi,1,1
Khemiri,S. draoui,1,9
Ferchichi,Fachat,1,7
Hammami,Mallah,1,1
Riahi,Sattar,1,1
Saidani,Douibèch,1,4
Saidani,Benahsa,1,1
Saïdi,Bahri,1,1
Saïdi,Bensalem,1,18
Saïdi,Bensaïd,1,1
Saidani,Hraizi,1,3
Saïdani,Hachani,1,3
Sassi,Ben Khelifa,1,1
Sassi,Ammeri,1,4
Sahli,Kabili,1,8
Sassi,Dhabbi,1,16
Smichi,Gasmi,1,2
Larbi,Bahrouni,1,3
Neizi,Jmili,1,3
Saïdani,Raouahi,1,9
Saïdani,Bensaâd,1,1
Saïdani,Bensalah,1,1
Zammazi,M’heddhbi,1,21
Saïdani,Beljid,1,2
Saidani,Beeljid,1,2
Saidani,Benabid,1,2
Ouerguenmi,Gadri,1,1
Ouerguemmi,Belhraguaia,1,1
Hammami,Bougrine,1,5
Ghomrasni,Benhedia,1,10
Ghomrasni,Arouel,1,1
Hammami,Zammal,1,4
Hammami,Bendekhil,1,2
Hammami,Slama,1,4
Hammami,Farhani,1,12
Hammami,Akremi,1,1
Hammami,Bessid,1,6
Hammami,Harchan,1,7
Hammami,Abdeljaouad,1,17
Hammami,Naji,1,22
Hammami,Benmlah,1,1
Ouerguemmi,Khélifa,1,18
Sahbani,Benkhémis,1,8
Saïdi,Sghayar,1,1
Hedhli,Aichouch,1,1
Hedhli,Hani,1,6
Hedhli,Benameur,1,11
Hedhli,Mansour,1,1
Hicheri,Dehmani,1,1
Saldi,M’Hamdi,1,13
Saidi,M’Hamdi,1,42
Hicheri,Ghmiki,1,1
Hicheri,Benkhelifa,1,3
Hicheri,Meddeb,1,1
Ghanmi,Penayed,1,2
Ghanmi,Bensalah,1,5
Ghanmi,Ghanem,1,5
Ajéje,Ansari,1,15
Ben Saïd,Mouez,1,9
Ben Said,Mouez,1,4
Trabelsi,Saissi,1,13
Trabelsi,Jarjari,1,7
Bachali,Jabeur,1,13
Chabbouh,Chamakh,1,3
El ghoula,Tlissi,1,1
Ben Othman,Othmani,1,27
Belhadj Amara,Asri,1,16
Ben Nasr,Naceri,1,7
Mezhoud,Zafrani,1,7
Ianboura,Chaabane,1,9
Ajèje,Ansari,1,6
Trabelsi,Errhoumi,1,4
Trabelsi,Mosbah,1,5
Choulak,Ech-Charfi,1,20
Mébrika,Ech-Chatar,1,3
Mérika,Ech-Chatar,1,6
Mébrika,Klibi,1,7
Beseya,Adnani,1,25
Souid,Saïdi,1,10
Souïd,Saïdi,1,13
Gattous,Benmahfoudh,1,5
Kamralou,Kamraoui,1,11
Ben Khedhir,Khedher,1,16
Balloum,Arfat,1,8
Nourallah,El Ghoul,1,9
Bartaâ,Zahhar,1,10
Gaâîn,Sellami,1,2
Gaâîa,Sellami,1,8
Chlagou,Landoulsi,1,2
Bou Chareb,Dhabbi,1,7
Hamam,Rafit,1,5
Hamam,Bouricha,1,1
Ben Salha,Bensalah,1,5
Sfaxi,El Kallal,1,1
Santi,Essamâ,1,7
Fakroun,Faker,1,28
Khamar,Ferjani,1,5
Ben Slima,Bensliman,1,13
Ben El Hadj Amor,Godhbane,1,13
Touhami,Godhbane,1,9
Bach Chaouch,Chaouch,1,2
Ben Slima,Slimi,1,4
Ben Amara,Gmati,1,3
Ben Salha Bach,Salhi,1,3
Haraïmi,Gara,1,15
Belbassine,Neffati,1,27
Bel Kadaâ,Neffati,1,7
Ayat,Gmati,1,1
Khenin,Abderrazak,1,9
Khircha,Fekih,1,7
Chitâa,Bouslama,1,7
Santi Janhan,Samti,1,9
Ittafcha,Bel Hadj Salem,1,3
Gharsallah El Bal- tagi,Garsallah,1,3
Santi,Samti,1,5
Bok Salem,Souilim,1,2
Ben Cheikh Chou- chane,Chouchan,1,2
Chalak,Klibi,1,6
Ben Aïcha,Ayachi,1,11
Ben Ali,Hamrouni,1,3
Ben Amna,Safi,1,14
Bair,Nafakhi,1,47
Akkar,Jamal,1,26
Mallat,Souli,1,10
Melaouah,Zaiadi,1,6
Boulchacha,Trabelsi,1,5
Belhadj Abdallah,Abdelli,1,33
Gmati,Benyounès,1,3
Ben Chaftar,Belkhir,1,3
Naâs,Falk,1,1
Naouali,Dahach,1,1
Ben Amor,Bessaghaier,1,1
Tarhouni,Mosbahi,1,1
Andoulsi,Benhamouda,1,7
Agrébi,Boukthir,1,1
Belhadj Belgacem,Gasmi,1,1
Belazi,Abdelli,1,1
Louati,Benfarhat,1,7
Tayari,Khelifi,1,1
Smati,Maaoui,1,6
Mathlouthi,Haraïri,1,1
Hamami,Bensaâd,1,4
Zantour,M'sakni,1,19
Mighri,Benothman,1,3
Medallel,Benaoun,1,24
Taamallaoui,Taam Allah,1,41
Medallel,Benmahmoud,1,2
Derbala,Benhassen,1,7
Fakroun,Nahari,1,2
Nefissa,Othmani,1,1
Hadda,Mahmoudi,1,5
Ghoul,Mahdi,1,25
Ghadhaidhi,Bouzayane,1,6
Zaabouri,Romdhani,1,1
Ghoul,Khadraoui,1,4
Zaabouri,Himdani,1,39
Edhibi,Saïdi,1,6
Edhibi,Salaâni,1,5
Edhibi,Herfi,1,3
Edhibi,Chaîb,1,6
Edhibi ben Amara,Benamar,1,20
Ghouma Edhibi,Ghouma,1,4
Trabelsi,Benkrim,1,2
Trabeisi,Benkrim,1,6
Edhibi,Latif,1,10
El Hajri,Sassi,1,6
El Hajri,Khassib,1,6
El Hajri,Touil,1,5
El Hajri,Kheder,1,41
Hajri,Ayari,1,4
El Hajri,Ayari,1,12
El Hajri,Hafidh Allah,1,9
El Hajri,Mukhtar,1,8
Irabehi,Benmansour,1,5
El Hajri,Hajaj,1,30
El Hajri,Hajalj,1,9
El Hajri,Chaouch,1,6
Trabersi,Saih,1,5
Trabelsi,Bouzaatar,1,9
El Ferjani,Haddar,1,6
Trabelsi,Tarhouni,1,5
Smiri,Khemiri,1,2
