annee,numero_jort,type,numero,date,objet,listes_publiees,nb_personnes_extraites,pdf
1959,028,LOI,59-53,26 mai 1959,Loi rendant obligatoire l'acquisition par chaque Tunisien d'un nom patronymique (texte fondateur),s.o. / texte-cadre,0,https://lake.jort.tn/journal-officiel/fr/1959/028.pdf
1959,045,LOI,59-101,1er septembre 1959,Prorogation du délai de l'article 2 de la loi 59-53,s.o. / texte-cadre,0,https://lake.jort.tn/journal-officiel/fr/1959/045.pdf
1962,014,DECRET-LOI,62-5,10 mars 1962,Décret-loi complétant la loi 59-53 (choix du nom quand la famille ne compte que des femmes),s.o. / texte-cadre,0,https://lake.jort.tn/journal-officiel/fr/1962/014.pdf
1962,022,LOI,62-11,24 avril 1962,Loi ratifiant le décret-loi 62-5,s.o. / texte-cadre,0,https://lake.jort.tn/journal-officiel/fr/1962/022.pdf
1965,047,DECRET,65-448,27 août 1965,Nom patronymique — délégation de Tunis et Ban Issue (gouvernorat de Tunis et Banlieue),oui (JORT édition principale),43,https://lake.jort.tn/journal-officiel/fr/1965/047.pdf
1965,047,DECRET,65-449,27 août 1965,Nom patronymique — délégation de Tunis et Banlieue (gouvernorat de Tunis et Banlieue),oui (JORT édition principale),66,https://lake.jort.tn/journal-officiel/fr/1965/047.pdf
1965,049,DECRET,65-450,27 août 1965,Nom patronymique — délégation de Menzel Bourguiba (gouvernorat de Bizerte),oui (JORT édition principale),20,https://lake.jort.tn/journal-officiel/fr/1965/049.pdf
1965,049,DECRET,65-451,27 août 1965,Nom patronymique — délégation de Menzel Bourguiba (gouvernorat de Bizerte),oui (JORT édition principale),18,https://lake.jort.tn/journal-officiel/fr/1965/049.pdf
1965,049,DECRET,65-452,27 septembre 1965,Nom patronymique — délégation de Menzel Bourguiba (gouvernorat de Bizerte),oui (JORT édition principale),80,https://lake.jort.tn/journal-officiel/fr/1965/049.pdf
1965,049,DECRET,65-453,27 août 1965,Nom patronymique — délégation de Menzel Bourguiba (gouvernorat de Bizerte),oui (JORT édition principale),18,https://lake.jort.tn/journal-officiel/fr/1965/049.pdf
1965,049,DECRET,65-454,31 août 1965,Nom patronymique — délégation de Menzel Bourguiba (gouvernorat de Bizerte),oui (JORT édition principale),106,https://lake.jort.tn/journal-officiel/fr/1965/049.pdf
1965,049,DECRET,65-455,27 août 1965,Nom patronymique — délégation de Menzel Bourguiba (gouvernorat de Bizerte),oui (JORT édition principale),53,https://lake.jort.tn/journal-officiel/fr/1965/049.pdf
1965,049,DECRET,65-456,27 août 1965,Nom patronymique — délégation de Menzel Bourguiba (gouvernorat de Bizerte),oui (JORT édition principale),15,https://lake.jort.tn/journal-officiel/fr/1965/049.pdf
1965,049,DECRET,65-457,27 août 1965,Nom patronymique — délégation de Menzel Bourguiba (gouvernorat de Bizerte),oui (JORT édition principale),111,https://lake.jort.tn/journal-officiel/fr/1965/049.pdf
1965,049,DECRET,65-458,27 août 1965,Nom patronymique — délégation de Menzel Bourguiba (gouvernorat de Bizerte),oui (JORT édition principale),132,https://lake.jort.tn/journal-officiel/fr/1965/049.pdf
1965,051,DECRET,65-467,27 août 1965,Nom patronymique — délégation de Kélibia (gouvernorat de Nabeul),oui (JORT édition principale),182,https://lake.jort.tn/journal-officiel/fr/1965/051.pdf
1965,051,DECRET,65-468,27 août 1965,Nom patronymique — délégation de Kélibia (gouvernorat de Nabeul),oui (JORT édition principale),124,https://lake.jort.tn/journal-officiel/fr/1965/051.pdf
1965,052,DECRET,65-471,27 septembre 1965,Nom patronymique — délégation de Menzel Temime (gouvernorat de Nabeul),oui (JORT édition principale),262,https://lake.jort.tn/journal-officiel/fr/1965/052.pdf
1965,052,DECRET,65-472,27 août 1965,Nom patronymique — délégation de Nabeul (gouvernorat de Nabeul),oui (JORT édition principale),77,https://lake.jort.tn/journal-officiel/fr/1965/052.pdf
1965,052,DECRET,65-473,27 août 1965,Nom patronymique — délégation de Nabeul (gouvernorat de Nabeul),oui (JORT édition principale),189,https://lake.jort.tn/journal-officiel/fr/1965/052.pdf
1965,052,DECRET,65-474,27 août 1965,Nom patronymique — délégation de Nabeul (gouvernorat de Nabeul),oui (JORT édition principale),116,https://lake.jort.tn/journal-officiel/fr/1965/052.pdf
1965,053,DECRET,65-476,27 août 1965,Nom patronymique — délégation de Korba (gouvernorat de Nabeul),oui (JORT édition principale),94,https://lake.jort.tn/journal-officiel/fr/1965/053.pdf
1965,054,DECRET,65-482,27 août 1965,Nom patronymique — délégation de Grombalia (gouvernorat de Nabeul),oui (JORT édition principale),72,https://lake.jort.tn/journal-officiel/fr/1965/054.pdf
1965,056,DECRET,65-494,27 août 1965,Nom patronymique — délégation de Kairouan (gouvernorat de Kairouan),oui (JORT édition principale),425,https://lake.jort.tn/journal-officiel/fr/1965/056.pdf
1965,057,DECRET,65-497,27 août 1965,Nom patronymique — délégation de El-Hammamet (gouvernorat de Nabeul),oui (JORT édition principale),320,https://lake.jort.tn/journal-officiel/fr/1965/057.pdf
1965,057,DECRET,65-498,27 août 1965,Nom patronymique — délégation de El-Hammamet (gouvernorat de Nabeul),oui (JORT édition principale),139,https://lake.jort.tn/journal-officiel/fr/1965/057.pdf
1965,057,DECRET,65-499,27 août 1965,Nom patronymique — délégation de El-Hammamet (gouvernorat de Nabeul),oui (JORT édition principale),159,https://lake.jort.tn/journal-officiel/fr/1965/057.pdf
1965,057,DECRET,65-500,27 août 1965,Nom patronymique — délégation de El-Hammamet (gouvernorat de Nabeul),oui (JORT édition principale),149,https://lake.jort.tn/journal-officiel/fr/1965/057.pdf
1965,057,DECRET,65-501,27 août 1965,Nom patronymique — délégation de Médenine (gouvernorat de ),oui (JORT édition principale),407,https://lake.jort.tn/journal-officiel/fr/1965/057.pdf
1965,060,DECRET,65-521,27 août 1965,Nom patronymique — délégation de Médenine (gouvernorat de Médenine),oui (JORT édition principale),132,https://lake.jort.tn/journal-officiel/fr/1965/060.pdf
1965,060,DECRET,65-522,27 août 1965,Nom patronymique — délégation de Médenine (gouvernorat de Médenine),oui (JORT édition principale),8,https://lake.jort.tn/journal-officiel/fr/1965/060.pdf
1965,060,DECRET,65-523,27 août 1965,Nom patronymique — délégation de Médenine (gouvernorat de Médenine),oui (JORT édition principale),360,https://lake.jort.tn/journal-officiel/fr/1965/060.pdf
1965,060,DECRET,65-524,27 août 1965,Nom patronymique — délégation de Médenine (gouvernorat de Médenine),oui (JORT édition principale),97,https://lake.jort.tn/journal-officiel/fr/1965/060.pdf
1965,061,DECRET,65-525,27 août 1965,Nom patronymique — délégation de Benguerdane (gouvernorat de Médenine),oui (JORT édition principale),217,https://lake.jort.tn/journal-officiel/fr/1965/061.pdf
1965,061,DECRET,65-526,27 août 1965,Nom patronymique — délégation de Benguerdane (gouvernorat de Médenin:),oui (JORT édition principale),501,https://lake.jort.tn/journal-officiel/fr/1965/061.pdf
1965,061,DECRET,65-527,27 août 1965,Nom patronymique — délégation de Benguerdane (gouvernorat de Medenine),oui (JORT édition principale),77,https://lake.jort.tn/journal-officiel/fr/1965/061.pdf
1965,063,DECRET,63-545,8 décembre 1965,Nom patronymique — délégation de Benguerdane (gouvernorat de Médenine),oui (JORT édition principale),281,https://lake.jort.tn/journal-officiel/fr/1965/063.pdf
1965,063,DECRET,65-540,8 décembre 1965,Nom patronymique — délégation de Benguerdano (gouvernorat de Médecine),oui (JORT édition principale),210,https://lake.jort.tn/journal-officiel/fr/1965/063.pdf
1965,063,DECRET,65-544,8 décembre 1965,Nom patronymique — délégation de Benguerdane (gouvernorat de Médenine),oui (JORT édition principale),73,https://lake.jort.tn/journal-officiel/fr/1965/063.pdf
1965,063,DECRET,65-547,8 décembre 1965,Nom patronymique — délégation de Benguerdane (gouvernorat de Médenine),oui (JORT édition principale),78,https://lake.jort.tn/journal-officiel/fr/1965/063.pdf
1965,063,DECRET,65-548,8 décembre 1965,Nom patronymique — délégation de Benguerdane (gouvernorat de Médenine),oui (JORT édition principale),13,https://lake.jort.tn/journal-officiel/fr/1965/063.pdf
1965,063,DECRET,65-549,8 décembre 1965,Nom patronymique — délégation de Benguerdane (gouvernorat de Médenine),oui (JORT édition principale),28,https://lake.jort.tn/journal-officiel/fr/1965/063.pdf
1965,063,DECRET,65-550,8 décembre 1965,Nom patronymique — délégation de Benguerdane (gouvernorat de Médenine),oui (JORT édition principale),92,https://lake.jort.tn/journal-officiel/fr/1965/063.pdf
1965,065,DECRET,65-553,23 décembre 1965,Nom patronymique — délégation de Benguerdane (gouvernorat de Médenine),oui (JORT édition principale),566,https://lake.jort.tn/journal-officiel/fr/1965/065.pdf
1966,001,DECRET,66-3,5 janvier 1966,Nom patronymique — délégation de Benguerdane (gouvernorat de Médenine),oui (JORT édition principale),595,https://lake.jort.tn/journal-officiel/fr/1966/001.pdf
1966,002,DECRET,66-11,10 janvier 1966,Nom patronymique — délégation de Sbiba (gouvernorat de Kasserine),oui (JORT édition principale),75,https://lake.jort.tn/journal-officiel/fr/1966/002.pdf
1966,002,DECRET,66-12,10 janvier 1966,Nom patronymique — délégation de Sbiba (gouvernorat de Kasserine),oui (JORT édition principale),74,https://lake.jort.tn/journal-officiel/fr/1966/002.pdf
