annee,numero_jort,decret_no,decret_date,gouvernorat,delegation,dates_commission,nb_personnes,pdf
1966,001,66-3,5 janvier 1966,Médenine,Benguerdane,15 avril 1962,595,https://lake.jort.tn/journal-officiel/fr/1966/001.pdf
1966,002,66-11,10 janvier 1966,Kasserine,Sbiba,10 février 1961 et 1er février 1961,75,https://lake.jort.tn/journal-officiel/fr/1966/002.pdf
1966,002,66-12,10 janvier 1966,Kasserine,Sbiba,25-30 janvier et 10 février 1961,74,https://lake.jort.tn/journal-officiel/fr/1966/002.pdf
1966,002,66-13,10 janvier 1966,Kasserine,Sbiba,6-8 et 10 février 1961,72,https://lake.jort.tn/journal-officiel/fr/1966/002.pdf
1966,002,66-14,10 janvier 1966,,Sbiba,25. 30 janvier et 6 février 1961,75,https://lake.jort.tn/journal-officiel/fr/1966/002.pdf
1966,003,66-21,17 janvier 1966,Kasserine,Sbiba,25-30 janvier et 6 février 1961,74,https://lake.jort.tn/journal-officiel/fr/1966/003.pdf
1966,003,66-22,17 janvier 1966,Kasserine,Sbiba,1er-10-3 et 6 février 1961,75,https://lake.jort.tn/journal-officiel/fr/1966/003.pdf
1966,003,66-23,17 janvier 1966,Kasserine,Sbiba,30 janvier et 6 février 1961,76,https://lake.jort.tn/journal-officiel/fr/1966/003.pdf
1966,003,66-24,17 janvier 1966,Kasserine,Sbiba,1er février 1961 et 30 janvier 1961,78,https://lake.jort.tn/journal-officiel/fr/1966/003.pdf
1966,003,66-25,17 janvier 1966,Kasserine,Shiba,10 février et 1er février 1961,78,https://lake.jort.tn/journal-officiel/fr/1966/003.pdf
1966,003,66-26,17 janvier 1966,,Sbiba,30 janvier et 10 février 1961,76,https://lake.jort.tn/journal-officiel/fr/1966/003.pdf
1966,006,66-40,3 février 1966,Kasserine,Sbiba,"1er, 25 et 30 janvier, 1er, 6, 8 et 10 février 1961",468,https://lake.jort.tn/journal-officiel/fr/1966/006.pdf
1966,006,66-41,3 février 1966,Tunis et Banlieue,Tunis et Banlieue,"20 et 30 juin 14, 21, 28 et 30 juillet, 14 août, 22 septembre, 3 et 27 octobre, 1er et 10 novembre et 15 décembre 1960, 16 et 17 janvier 1961",80,https://lake.jort.tn/journal-officiel/fr/1966/006.pdf
1966,006,66-42,3 février 1966,Tunis et Banlieue,Tunis et Banlieue,"18, 24 et 27 janvier, 2 et 12 février, 22 avril et 10 juillet 1961",65,https://lake.jort.tn/journal-officiel/fr/1966/006.pdf
1966,006,66-43,3 février 1966,Nabeul,Nabeul,"23, 20 juin et 25 octobre 1960",49,https://lake.jort.tn/journal-officiel/fr/1966/006.pdf
1966,007,66-45,8 février 1966,Medenine,Zarzis,6 février 1962,83,https://lake.jort.tn/journal-officiel/fr/1966/007.pdf
1966,007,66-46,8 février 1966,Gafsa,’El Guetar,30 août 1960,175,https://lake.jort.tn/journal-officiel/fr/1966/007.pdf
1966,010,66-74,24 février 1966,Medenine,,20 décembre 1961,544,https://lake.jort.tn/journal-officiel/fr/1966/010.pdf
1966,010,66-75,24 février 1966,Médenine,Remada,10 décembre 1963,338,https://lake.jort.tn/journal-officiel/fr/1966/010.pdf
1966,010,66-76,24 février 1966,Nabeul,Kelibia,"30 mai, 10 juin, 7, 21, 30 juillet et 3 août 1960",55,https://lake.jort.tn/journal-officiel/fr/1966/010.pdf
1966,010,66-77,24 février 1966,Nabcul,Grombalia,"6 mai, 19 juillet, 10 août et 18 septembre 1961",150,https://lake.jort.tn/journal-officiel/fr/1966/010.pdf
1966,010,66-78,24 février 1966,Gabès,Mareth,"2, 9, 16, 24 et 29 juin, 2, 18, 21 et 26 juillet 1960",323,https://lake.jort.tn/journal-officiel/fr/1966/010.pdf
1966,010,66-79,24 février 1966,Bizerte,Ras-Djebel,11 octobre 1961,91,https://lake.jort.tn/journal-officiel/fr/1966/010.pdf
1966,010,66-80,24 février 1966,Nabeul,Menzel Temime,"16 juillet, 20 août et 7 novembre 1960",266,https://lake.jort.tn/journal-officiel/fr/1966/010.pdf
1966,010,66-81,24 février 1966,Nabeul,Kélibia,"13, 20 mai, 10 juin, 21, 30 juillet et 3 août 1960",264,https://lake.jort.tn/journal-officiel/fr/1966/010.pdf
1966,010,66-82,24 février 1966,Nabeul,Nabeul,"18 mai, 23, 30 juin, 11, 12 juillet, 8 août et 25 octobre 1960",127,https://lake.jort.tn/journal-officiel/fr/1966/010.pdf
1966,013,66-107,16 mars 1966,Kef,Siliana,"10, 12, 15, 18, 20, 22, 26 et 28 février, 1er, 5, 6 et 8 mai 1960",609,https://lake.jort.tn/journal-officiel/fr/1966/013.pdf
1966,015,66-113,23 mars 1966,Kef,Tedjerouine,28 mai 1962,6011,https://lake.jort.tn/journal-officiel/fr/1966/015.pdf
1966,023,66-218,27 mai 1966,Sousse,Djemmal,6 juillet 1964,891,https://lake.jort.tn/journal-officiel/fr/1966/023.pdf
1966,028,66-252,25 juin 1966,Bizerte,Menzel Bourguiba,"11 18 et 25 février, 4 mars, 3, 10 et 24 juin, 4 et 11 octobre et 1er novembre 1961",346,https://lake.jort.tn/journal-officiel/fr/1966/028.pdf
1966,034,66-295,5 août 1966,Bizerte,Menzel Bourguiba,"23 septembre, 15 et 22 octobre, 12, 19 et 26 novembre, 3, 10 et 17 décembre 1960, 28 janvier 1961",61,https://lake.jort.tn/journal-officiel/fr/1966/034.pdf
1966,034,66-296,5 août 1966,Gabes,Mareth,"16 juin, 21 et 26 juillet, 2 août 1960, 1er avril, 20 mai, 24 juillet, 6, 23 et 24 décembre 1963, 10 et 28 mars, 1er, 4 et 7 avril 1964",75,https://lake.jort.tn/journal-officiel/fr/1966/034.pdf
1966,034,66-297,5 août 1966,Gabes,Mareth,"11, 13, 15, 18 et 22 mars 1963, 23 août 1965",64,https://lake.jort.tn/journal-officiel/fr/1966/034.pdf
