rank,size,edges,surname,governorate,polling_center,num_fathers,num_gen0_fathers,num_gen1_siblings
1,31,465,Mekhlouf,Nabeul,م إبتدائية ابن سينا المعمورة,1,1,30
2,30,435,Ragoubi,Sousse,م إبتدائية خير الدين - إبن خلدون,1,1,29
3,29,406,Souidi,Kairouan,م إبتدائية البريكات نصر الله,1,1,28
4,28,378,Behloul,Sfax,م.إ. شارع الحرية,1,1,27
5,27,351,Ameri,Sfax,م إبتدائية عين فلات - طينة1,1,1,26
6,26,325,Qasm,Nabeul,م إبتدائية الصادق الغضبان - الفهري,1,1,25
7,23,253,Zouaidi,Gabes,م إبتدائية بوعطوش الحامة الغربية,1,1,22
8,23,253,Benehemd,Kebili,م إبتدائية نويل - النويل الشمالية,1,1,22
9,23,148,Saidi,Gafsa,م إبتدائية حي السوالمية أم العرائس - المحطة,1,1,22
10,22,231,Kedachi,Sidi Bouzid,م إبتدائية فائض - فائض,1,1,21
11,22,231,Mebrouki,Gafsa,م إبتدائية حي السوالمية أم العرائس - المحطة,1,1,21
12,22,231,Aissaoui,Gafsa,م إبتدائية الكسيلة ام العرائس,1,1,21
13,21,210,Ati,Kairouan,م إبتدائية هنشير طراد - الشوامخ,1,1,20
14,21,210,Boudhina,Kebili,م إبتدائية بن حمرون - العوينة الشمالية,1,1,20
15,21,210,Mebrouki,Gafsa,م إبتدائية حي السوالمية أم العرائس - المحطة,1,1,20
16,21,210,Aqerbi,Nabeul,م إبتدائية الشريفات - الشريفات,1,1,20
17,20,190,Ardhaoui,Kairouan,م إبتدائية وادي الخريوع,1,1,19
18,20,190,Chriqi,Kairouan,م إبتدائية أولاد عاشور - القطيطير,1,1,19
19,20,190,Jani,Tataouine,م إبتدائية قصر المرابطين غمراسن,1,1,19
20,20,190,Hamedi,Gafsa,م إبتدائية زانوش المحطة,1,0,20
21,20,190,Chaouch,Nabeul,م إبتدائية الرياض المعمورة,1,1,19
22,19,171,Fetnasi,Kairouan,م إبتدائية الباطن,1,1,18
23,19,171,Sehlaoui,Kairouan,م إبتدائية هنشير طراد - الشوامخ,1,1,18
24,19,171,Nouira,Bizerte,م إبتدائية صونين- صونين,1,1,18
25,19,171,Brq,Sfax,م إبتدائية العجانقـة,1,1,18
26,19,171,Adouni,Gabes,م إبتدائية بشيمة القلب,1,1,18
27,19,171,Alia,Gabes,م إبتدائية غنوش الشمالية - غنوش الغربية,1,1,18
28,19,171,Nachi,Nabeul,م إبتدائية شارع بورقيبة تازركة,1,1,18
29,19,171,Chetioui,Nabeul,م إبتدائية الشابي - بني خيار,1,1,18
30,18,153,Letif,Monastir,م إبتدائية منزل النورشارع بورقيبة,1,1,17
31,18,153,Azerq,Monastir,م إبتدائية منزل النورشارع بورقيبة,1,1,17
32,18,153,Jelali,Sidi Bouzid,م إبتدائية ابن منظور - الرقاب,1,0,18
33,18,153,Aqerbi,Sfax,م.إ. سيدي محمد بن عمر,1,1,17
34,18,153,Bouaziz,Sfax,م إبتدائية مركز القصاص - العين,1,1,17
35,18,153,Amari,Gabes,م إبتدائية العمارات - العكاريت,1,1,17
36,18,153,Qerirh,Kebili,م إبتدائية زعفران - العذارة,1,1,17
37,18,153,Qerirh,Kebili,م إبتدائية غليسية,1,1,17
38,18,153,Benehemd,Kebili,م إبتدائية نويل - النويل الشمالية,1,1,17
39,18,153,Sedraoui,Gafsa,م إبتدائية 2مارس 34 - وادي الارطة,1,1,17
40,18,153,Abrahmi,Gafsa,م إبتدائية المزيرعة المتلوي,1,1,17
41,17,136,Chabani,Kasserine,م إبتدائية ابو القاسم الشابي - الماجل الشمالية,1,1,16
42,17,136,Salmi,Kairouan,م إبتدائية سيدي مسعود,1,1,16
43,17,136,Melat,Kairouan,م إبتدائية الشبيكة المركز,1,1,16
44,17,136,Behrini,Beja,م إبتدائية السلوقية,1,1,16
45,17,136,Tlihh,Tataouine,م إبتدائية قصر أولاد دباب-تطاوين,1,1,16
46,17,136,Ghrb,Tataouine,م إبتدائية حي برورمت تطاوين,1,1,16
47,17,136,Ghrb,Tataouine,م إبتدائية حي برورمت تطاوين,1,1,16
48,17,136,Khelifi,Sidi Bouzid,م.الإبتدائية الحنية كلم -102 الحنية,1,1,16
49,17,136,Bouhlal,Sousse,م إبتدائية الحي الجديد مساكن - التوارة الشمالية,1,1,16
50,17,136,Behloul,Sfax,م.إ. شارع الحرية,1,1,16
51,17,136,Ameri,Sfax,م إبتدائية عين فلات - طينة1,1,1,16
52,17,136,Ameri,Kebili,م إبتدائية البليدات,1,1,16
53,17,136,Benabdalerhim,Kebili,م إبتدائية غليسية,1,1,16
54,17,136,Talb,Gafsa,م إبتدائية بئر سعد القطار,1,1,16
55,17,136,Mohamedi,Medenine,م إبتدائية الراقوبة الشرقية,1,1,16
56,17,136,Hejri,Nabeul,م إبتدائية سيدي الجديدي-سيدي الجديدي,1,1,16
57,17,136,Benesliman,Nabeul,م إبتدائية ابن سينا المعمورة,1,1,16
58,17,136,Zeqad,Nabeul,م إبتدائية ابن سينا المعمورة,1,1,16
59,17,136,Aribi,Nabeul,م إبتدائية الهلالية - دار شعبان,1,1,16
60,16,120,Souibqi,Kasserine,م إبتدائية سيدي سهيل1 - عين الجديدة,1,1,15
61,16,120,Rehmani,Kairouan,م إبتدائية عين جلولة,1,1,15
62,16,120,Hamdi,Kairouan,م اعدادية رقادة,1,1,15
63,16,120,Fetnasi,Kairouan,م إبتدائية الباطن,1,1,15
64,16,106,Jemli,Kairouan,م إبتدائية منزل المهيري 1 - الفجيج,1,0,16
65,16,120,Louati,Bizerte,م إبتدائية اللواتة -اللواتة,1,1,15
66,16,120,Khrchani,Tataouine,م إبتدائية قصر الحدادة غمراسن,1,1,15
67,16,120,Qars,Tataouine,م إبتدائية بني مهيرة الجديدة,1,1,15
68,16,120,Choul,Tataouine,م إبتدائية الحي الجديد - وادي القمح-تطاوين,1,1,15
69,16,120,Saidi,Sousse,م إبتدائية كندار-كندار,1,0,16
70,16,120,Saidi,Sidi Bouzid,م إبتدائية النهوض - القصيرة,1,1,15
71,16,120,Benamr,Sidi Bouzid,م إبتدائية حي النور - المزونة,1,1,15
72,16,120,Qetata,Sfax,م.إ. سيدي بوعلي,1,1,15
73,16,120,Safi,Gabes,م إبتدائية الطاهر الحداد منزل الحبيب,1,1,15
74,16,120,Ezzitouni,Gabes,م إبتدائية عيون زركين مارث,1,1,15
75,16,120,Kaoubi,Kebili,م إبتدائية 18جانفي دوز - العبادلة,1,1,15
76,16,120,Beniousf,Kebili,م إبتدائية بشلي,1,1,15
77,16,120,Benemebrouk,Kebili,م إبتدائية بن حمرون - العوينة الشمالية,1,1,15
78,16,120,Ahemdi,Gafsa,م إبتدائية الدوارة ام العرائس,1,1,15
79,16,120,Marzouki,Gafsa,م إبتدائية المنجم - الرديف الشمالية,1,1,15
80,16,120,Tlijani,Gafsa,م إبتدائية الحي العصري المظيلة - المظيلة المركز,1,1,15
81,16,120,Mebrouki,Gafsa,م إبتدائية المحطة ام العرائس,1,1,15
82,16,120,Aissaoui,Gafsa,م إبتدائية الكسيلة ام العرائس,1,1,15
83,16,120,Aissaoui,Gafsa,م إبتدائية الكسيلة ام العرائس,1,1,15
84,16,120,Blqasm,Gafsa,م إبتدائية حي بن يونس قفصة - حي الشباب,1,1,15
85,16,120,Jlassi,Manouba,م إبتدائية مساعدين برج العامري - المساعدين,1,1,15
86,16,120,Bousmina,Nabeul,م إبتدائية المشروحة-المشروحة,1,1,15
87,16,120,Senani,Nabeul,م إبتدائية بوشراي - بوشراي,1,0,16
88,16,120,Mesadi,Nabeul,م إبتدائية تازركة سيدي بلحسن - تازركة,1,1,15
89,16,120,Nachi,Nabeul,م إبتدائية شارع بورقيبة تازركة,1,1,15
90,16,120,Qasm,Nabeul,م إبتدائية شارع بورقيبة تازركة,1,1,15
91,16,120,Ouslati,Nabeul,م إبتدائية الأخلاق - قربة الشرقية,1,1,15
92,16,120,Chaouch,Nabeul,م إبتدائية ابن سينا المعمورة,1,1,15
93,16,120,Semin,Nabeul,م إبتدائية ابن سينا المعمورة,1,1,15
94,16,120,Hemam,Nabeul,معهد نهج الطيب المهيري- الطيب المهيري,1,1,15
95,15,105,Jabli,Kasserine,م إبتدائية حي الهادي العجلاني - العرق,1,0,15
96,15,105,Abidi,Kasserine,م إبتدائية حي الازدهار - الأحواش,1,1,14
97,15,105,Chabani,Kasserine,م إبتدائية ابو القاسم الشابي - الماجل الشمالية,1,0,15
98,15,105,Chabani,Kasserine,م إبتدائية ابو القاسم الشابي - الماجل الشمالية,1,0,15
99,15,105,Amrani,Kairouan,م إبتدائية عين جلولة,1,1,14
100,15,105,Frhani,Kairouan,م إبتدائية السبارة - الشقافية,1,1,14
