governorate,governorate_ar,voters_in_kinship,total_cliques,connected_components,total_edges,sibling_edges,parental_ties,max_component_size,avg_component_size
Sfax,صفاقس,270158,104687,104675,359809,267939,91870,28,2.58
Nabeul,نابل,238887,91389,91386,311548,243577,67971,31,2.61
Sousse,سوسة,190874,73821,73815,244868,187443,57425,30,2.59
Monastir,المنستير,187460,71196,71193,248035,190326,57709,18,2.63
Tunis,تونس,183132,78841,78839,174200,139329,34871,11,2.32
Kairouan,القيروان,172027,63296,63282,243451,193789,49662,29,2.72
Mahdia,المهدية,163264,59707,59704,229632,177920,51712,15,2.73
Medenine,مدنين,154628,58661,58655,209024,159122,49902,17,2.64
Bizerte,بنزرت,130040,54078,54077,140968,108399,32569,19,2.4
Gabes,قابس,119858,44360,44357,172676,130103,42573,23,2.7
Kasserine,القصرين,119291,44591,44586,160583,127730,32853,17,2.68
Ben Arous,بن عروس,117093,49615,49609,122752,92675,30077,14,2.36
Sidi Bouzid,سيدي بوزيد,109039,40262,40258,151768,120015,31753,22,2.71
Gafsa,قفصة,108917,39917,39914,157279,123097,34182,23,2.73
Jendouba,جندوبة,107466,44476,44468,113517,89398,24119,12,2.42
Manouba,منوبة,90151,36398,36394,103263,80728,22535,16,2.48
Ariana,أريانة,89505,37794,37791,93385,72246,21139,13,2.37
Beja,باجة,81157,32920,32915,89633,71954,17679,17,2.47
Kebili,قبلي,69968,23043,23043,124962,96830,28132,23,3.04
Siliana,سليانة,66569,26440,26436,79137,61058,18079,13,2.52
Zaghouan,زغوان,58714,22305,22303,75679,59342,16337,11,2.63
Le Kef,الكاف,57324,24256,24251,58811,45455,13356,12,2.36
Tataouine,تطاوين,56185,19658,19658,91940,70254,21686,20,2.86
Tozeur,توزر,35433,13011,13011,50854,38763,12091,15,2.72
فرنسا 1,فرنسا 1,3763,1816,1816,2201,2098,103,6,2.07
فرنسا 2,فرنسا 2,3648,1775,1775,2014,1975,39,4,2.06
إيطاليا,إيطاليا,3059,1450,1450,1801,1780,21,5,2.11
فرنسا 3,فرنسا 3,2468,1141,1141,1665,1561,104,7,2.16
باقي الدول الأوروبية,باقي الدول الأوروبية,1977,955,955,1129,1094,35,5,2.07
ألمانيا,ألمانيا,1520,719,719,927,893,34,5,2.11
الدول العربية,الدول العربية,1445,684,684,959,867,92,8,2.11
الأمريكيتان,الأمريكيتان,443,214,214,247,245,2,4,2.07
افريقيا,افريقيا,4,2,2,2,2,0,2,2.0
اسيا وأستراليا,اسيا وأستراليا,2,1,1,1,1,0,2,2.0
