governorate,constituency,imada,total_voters,sibling_cliques_count,sibling_voters_count,sibling_voters_pct,parental_ties_count,max_sibling_set_size
القصرين,القصرين الجنوبية - حاسي الفريد,الكامور,5365,362,1011,18.84,374,13
أريانة,قلعة الأندلس - سيدي ثابت,بجاوة,2194,367,1003,45.72,428,9
أريانة,قلعة الأندلس - سيدي ثابت,بوحنش,1522,269,725,47.63,282,7
أريانة,قلعة الأندلس - سيدي ثابت,سبالة بن عمار,4346,636,1683,38.73,693,7
أريانة,قلعة الأندلس - سيدي ثابت,سيدي ثابت,7118,1135,3114,43.75,1268,13
القصرين,القصرين الشمالية - الزهور,الخضراء,3451,429,1088,31.53,475,10
القصرين,القصرين الشمالية - الزهور,الزهور الشرقي 1,864,79,180,20.83,57,4
القصرين,القصرين الشمالية - الزهور,الزهور الشرقي 2,2542,313,802,31.55,236,7
القصرين,القصرين الشمالية - الزهور,الزهور الغربي 1,1317,134,311,23.61,98,5
أريانة,المنيهلة,المنيهلة,11396,898,2070,18.16,769,8
أريانة,المنيهلة,النصر,20755,1578,3495,16.84,1211,7
أريانة,حي التضامن,18جانفي,21700,1733,3809,17.55,1184,6
أريانة,حي التضامن,2مارس,6660,685,1517,22.78,331,5
القصرين,القصرين الجنوبية - حاسي الفريد,الهشيم,1522,48,117,7.69,16,6
القصرين,القصرين الجنوبية - حاسي الفريد,بوزقام,7475,850,2324,31.09,764,9
القصرين,القصرين الجنوبية - حاسي الفريد,بولهيجات,1562,115,296,18.95,102,7
القصرين,القصرين الجنوبية - حاسي الفريد,حاسي الفريد,5163,604,1691,32.75,692,8
أريانة,قلعة الأندلس - سيدي ثابت,شرفش,2528,413,1058,41.85,360,6
أريانة,قلعة الأندلس - سيدي ثابت,قلعة الاندلس الشرقية,8050,1375,3529,43.84,1230,7
أريانة,قلعة الأندلس - سيدي ثابت,قلعة الاندلس الغربية,6896,1119,2772,40.2,1095,8
أريانة,قلعة الأندلس - سيدي ثابت,قنطرة بنزرت,2290,408,1250,54.59,650,9
القصرين,تالة - حيدرة - فوسانة,أولاد محفوظ,2370,329,875,36.92,307,8
القصرين,تالة - حيدرة - فوسانة,الأجرد,597,43,116,19.43,39,6
القصرين,تالة - حيدرة - فوسانة,البريكة,1235,140,407,32.96,156,7
القصرين,تالة - حيدرة - فوسانة,الجوي,1539,126,371,24.11,170,6
القصرين,تالة - حيدرة - فوسانة,الحازة,1063,86,234,22.01,54,7
القصرين,تالة - حيدرة - فوسانة,الحماد,1007,136,360,35.75,133,7
القصرين,تالة - حيدرة - فوسانة,الدشرة,1318,190,480,36.42,170,6
القصرين,تالة - حيدرة - فوسانة,الرطيبات,1973,45,126,6.39,42,9
القصرين,تالة - حيدرة - فوسانة,الشافعي,609,100,265,43.51,94,7
القصرين,تالة - حيدرة - فوسانة,الصري,272,43,99,36.4,50,4
القصرين,تالة - حيدرة - فوسانة,الطباقة,1206,138,351,29.1,90,7
القصرين,تالة - حيدرة - فوسانة,العذيرة,1819,284,795,43.71,352,9
القصرين,تالة - حيدرة - فوسانة,المزيرعة,2184,299,836,38.28,310,12
القصرين,تالة - حيدرة - فوسانة,المكيمن,525,56,135,25.71,51,5
القصرين,تالة - حيدرة - فوسانة,برماجنة,483,86,205,42.44,74,5
القصرين,تالة - حيدرة - فوسانة,بو الاحناش,743,125,330,44.41,150,7
أريانة,سكرة 1,سكرة,19977,1626,3933,19.69,1609,9
أريانة,سكرة 1,شطرانة,8093,1156,3105,38.37,1389,12
أريانة,سكرة 2,التعمير الخامس,14675,1361,3176,21.64,1518,7
أريانة,سكرة 2,النسيم,19228,1225,2710,14.09,1212,5
القصرين,القصرين الشمالية - الزهور,الزهور الغربي 2,2800,270,682,24.36,282,7
القصرين,القصرين الشمالية - الزهور,الزهور الغربي 3,10469,1187,2987,28.53,848,12
القصرين,القصرين الشمالية - الزهور,الزهور الغربي 4,2254,245,683,30.3,285,10
القصرين,القصرين الشمالية - الزهور,العريش,2069,304,834,40.31,377,14
القصرين,القصرين الجنوبية - حاسي الفريد,خنقة الجازية,1692,111,294,17.38,110,6
القصرين,القصرين الجنوبية - حاسي الفريد,سيدي حراث,1083,93,290,26.78,130,8
القصرين,القصرين الجنوبية - حاسي الفريد,مقدودش,2601,316,853,32.8,326,8
القصرين,القصرين الشمالية - الزهور,البساتين,17398,1599,3937,22.63,1358,9
القصرين,تالة - حيدرة - فوسانة,خمودة الجنوبية,2146,101,242,11.28,62,6
القصرين,تالة - حيدرة - فوسانة,خمودة الشمالية,3856,291,765,19.84,254,7
القصرين,تالة - حيدرة - فوسانة,زلفان,2157,254,668,30.97,239,7
القصرين,تالة - حيدرة - فوسانة,سيدي محمد,668,86,214,32.04,105,6
القصرين,تالة - حيدرة - فوسانة,فوسانة الأحواز,2547,331,1016,39.89,428,10
القصرين,تالة - حيدرة - فوسانة,وادي الرشح,645,51,127,19.69,27,5
القصرين,تالة - حيدرة - فوسانة,ولجة الظل,764,95,222,29.06,85,4
القصرين,سبيبة - جدليان - العيون,إبراهيم الزهار,4168,654,1779,42.68,761,13
القصرين,تالة - حيدرة - فوسانة,عين الجديدة,2782,518,1461,52.52,612,15
القصرين,تالة - حيدرة - فوسانة,عين الجنان,1196,117,375,31.35,200,9
القصرين,تالة - حيدرة - فوسانة,عين الدفلة,767,69,190,24.77,85,7
القصرين,تالة - حيدرة - فوسانة,فوسانة,10968,1637,4597,41.91,1840,11
القصرين,سبيبة - جدليان - العيون,عين السلسلة,1048,184,512,48.85,206,8
القصرين,سبيبة - جدليان - العيون,عين زيان,3347,655,1964,58.68,928,11
القصرين,سبيبة - جدليان - العيون,فج تربح,1682,280,736,43.76,342,8
القصرين,سبيبة - جدليان - العيون,محرزة,690,93,230,33.33,90,6
القصرين,تالة - حيدرة - فوسانة,بودرياس,2259,386,1121,49.62,489,11
القصرين,تالة - حيدرة - فوسانة,تالة الشرقية,5274,601,1422,26.96,374,8
القصرين,تالة - حيدرة - فوسانة,تالة الغربية,7437,846,1983,26.66,643,7
القصرين,تالة - حيدرة - فوسانة,حيدرة,3342,512,1265,37.85,449,8
القصرين,سبيبة - جدليان - العيون,الأحواز,5674,700,1975,34.81,639,9
القصرين,سبيبة - جدليان - العيون,البرك,2631,297,767,29.15,231,9
القصرين,سبيبة - جدليان - العيون,البواجر,1445,255,660,45.67,231,9
القصرين,سبيبة - جدليان - العيون,الثماد,2441,443,1315,53.87,636,12
القصرين,سبيبة - جدليان - العيون,العيون,3486,547,1571,45.07,632,10
القصرين,سبيبة - جدليان - العيون,القرين,3427,421,1133,33.06,425,10
القصرين,سبيبة - جدليان - العيون,توشة,2722,397,1138,41.81,546,9
القصرين,سبيبة - جدليان - العيون,جدليان,5674,1079,3086,54.39,1274,10
القصرين,سبيبة - جدليان - العيون,وادي الحطب,3213,484,1325,41.24,532,10
القصرين,سبيطلة,الآثار,3419,429,1254,36.68,430,10
القصرين,سبيطلة,الخضراء,3646,605,1647,45.17,663,9
القصرين,سبيطلة,الدولاب,3350,515,1427,42.6,542,10
القصرين,سبيبة - جدليان - العيون,سبيبة,11370,1600,4120,36.24,1351,10
القصرين,سبيبة - جدليان - العيون,عين أم الجدور,1116,169,464,41.58,222,9
القصرين,سبيبة - جدليان - العيون,عين الحمادنة,920,157,465,50.54,229,11
القصرين,سبيبة - جدليان - العيون,عين الخمائسية,4702,865,2553,54.3,1023,10
القصرين,القصرين الشمالية - الزهور,النور الشرقي,26069,2755,6779,26.0,2450,10
القصرين,القصرين الشمالية - الزهور,النور الغربي,7467,1015,2648,35.46,1059,9
القصرين,القصرين الشمالية - الزهور,بولعابة,2282,365,1047,45.88,384,7
القصرين,تالة - حيدرة - فوسانة,أفران,1551,118,327,21.08,126,9
القصرين,ماجل بالعباس - فريانة,العرق,3247,583,1827,56.27,724,15
القصرين,ماجل بالعباس - فريانة,الناظور,1655,111,285,17.22,75,6
القصرين,ماجل بالعباس - فريانة,بوحية,1138,172,479,42.09,164,7
القصرين,ماجل بالعباس - فريانة,بوشبكة,1692,252,661,39.07,264,9
القصرين,سبيطلة,الرخمات,3180,258,707,22.23,280,8
القصرين,سبيطلة,الشرائع,3666,378,999,27.25,401,9
القصرين,سبيطلة,القرعة الحمراء,5614,264,636,11.33,96,10
القصرين,سبيطلة,القصر,2727,352,879,32.23,311,7
القصرين,سبيطلة,القنة,2693,447,1211,44.97,546,8
القصرين,سبيطلة,المزارة,2193,95,266,12.13,84,9
القصرين,سبيطلة,الوساعية,3424,454,1208,35.28,433,9
القصرين,سبيطلة,حي السرور,6482,1045,2682,41.38,852,9
القصرين,ماجل بالعباس - فريانة,أم علي,954,125,345,36.16,110,7
القصرين,ماجل بالعباس - فريانة,الأحواش,9743,1704,4619,47.41,1727,14
القصرين,ماجل بالعباس - فريانة,الصخيرات,1699,150,400,23.54,148,8
القصرين,ماجل بالعباس - فريانة,العرعار,743,80,196,26.38,81,7
القصرين,ماجل بالعباس - فريانة,تلابت,6047,1110,3138,51.89,1153,11
القصرين,ماجل بالعباس - فريانة,حناشي,1267,62,156,12.31,47,6
القصرين,ماجل بالعباس - فريانة,صولة,3969,577,1677,42.25,739,10
القصرين,ماجل بالعباس - فريانة,عبد العظيم,581,33,94,16.18,30,7
القيروان,السبيخة - الوسلاتية - عين جلولة,جبل الريحان,1462,164,451,30.85,197,9
القيروان,السبيخة - الوسلاتية - عين جلولة,جبل السرج,3033,334,864,28.49,350,8
القيروان,السبيخة - الوسلاتية - عين جلولة,جبل وسلات,1767,291,851,48.16,442,12
القيروان,السبيخة - الوسلاتية - عين جلولة,زغدود,2286,397,1026,44.88,412,9
القصرين,سبيطلة,سبيطلة,14012,1446,3397,24.24,1154,7
القصرين,سبيطلة,سمامة,2702,307,804,29.76,298,8
القصرين,سبيطلة,مشرق الشمس,2948,361,952,32.29,354,7
القصرين,ماجل بالعباس - فريانة,أم الاقصاب,2848,233,668,23.46,291,14
القصرين,ماجل بالعباس - فريانة,ماجل بلعباس الشمالية,6294,1054,3120,49.57,1198,16
القصرين,ماجل بالعباس - فريانة,هنشير أم الخير,506,51,146,28.85,44,7
القيروان,السبيخة - الوسلاتية - عين جلولة,البحاير,2216,228,576,25.99,203,8
القيروان,السبيخة - الوسلاتية - عين جلولة,الدخيلة,3418,637,1701,49.77,698,11
القصرين,ماجل بالعباس - فريانة,فريانة,10123,1341,3338,32.97,958,11
القصرين,ماجل بالعباس - فريانة,قارة النعام,3023,484,1329,43.96,482,8
القصرين,ماجل بالعباس - فريانة,قروع الجدرة,1056,57,175,16.57,60,7
القصرين,ماجل بالعباس - فريانة,ماجل بلعباس الجنوبية,2616,196,511,19.53,148,6
القيروان,السبيخة - الوسلاتية - عين جلولة,العلم,3825,739,2213,57.86,974,11
القيروان,السبيخة - الوسلاتية - عين جلولة,العويثة,5248,953,2743,52.27,1041,10
القيروان,السبيخة - الوسلاتية - عين جلولة,الفريوات,2594,526,1480,57.05,571,8
القيروان,السبيخة - الوسلاتية - عين جلولة,القطيفة,1349,241,792,58.71,365,9
القيروان,السبيخة - الوسلاتية - عين جلولة,القفي,3740,621,1670,44.65,615,12
القيروان,السبيخة - الوسلاتية - عين جلولة,المنزل,1501,262,698,46.5,270,9
القيروان,السبيخة - الوسلاتية - عين جلولة,الوسلاتية الشرقية,2455,290,692,28.19,277,8
القيروان,السبيخة - الوسلاتية - عين جلولة,الوسلاتية الغربية,7325,1067,2597,35.45,888,11
القيروان,السبيخة - الوسلاتية - عين جلولة,سرديانة,2378,341,965,40.58,375,11
القيروان,السبيخة - الوسلاتية - عين جلولة,سيدي مسعود,4103,815,2635,64.22,1254,16
القيروان,السبيخة - الوسلاتية - عين جلولة,سيسب,3552,705,2270,63.91,998,11
القيروان,السبيخة - الوسلاتية - عين جلولة,عين بومرة,2366,463,1341,56.68,590,9
القيروان,السبيخة - الوسلاتية - عين جلولة,عين جلولة,4403,783,2328,52.87,1117,15
القيروان,السبيخة - الوسلاتية - عين جلولة,معروف,2361,383,1018,43.12,429,9
القيروان,السبيخة - الوسلاتية - عين جلولة,وادي الخريوع,1879,398,1237,65.83,708,19
القيروان,السبيخة - الوسلاتية - عين جلولة,وادي القصب,1660,360,1174,70.72,540,12
القيروان,السبيخة - الوسلاتية - عين جلولة,الذريعات,7046,1230,3488,49.5,1254,12
القيروان,السبيخة - الوسلاتية - عين جلولة,السبيخة المركز,8990,1316,3450,38.38,1358,12
القيروان,السبيخة - الوسلاتية - عين جلولة,الشرفة,2034,359,982,48.28,308,9
القيروان,السبيخة - الوسلاتية - عين جلولة,الشقافية,2933,432,1112,37.91,334,14
القيروان,الشبيكة - حفوز,أولاد خلف اللّه,2025,245,707,34.91,275,9
القيروان,الشبيكة - حفوز,الجواودة,3659,503,1399,38.23,543,11
القيروان,الشبيكة - حفوز,الحوفية,4215,676,2061,48.9,902,12
القيروان,الشبيكة - حفوز,الرويسات,2100,290,708,33.71,190,7
القيروان,الشبيكة - حفوز,طرزة الجنوبية,2206,313,803,36.4,257,6
القيروان,الشبيكة - حفوز,عبيدة,4404,718,1882,42.73,616,11
القيروان,الشبيكة - حفوز,هماد,2338,257,708,30.28,234,11
القيروان,الشبيكة - حفوز,وادي الجباس,1971,175,450,22.83,154,6
القيروان,العلاء - حاجب العيون,القطار,3000,396,975,32.5,371,13
القيروان,العلاء - حاجب العيون,القنطرة,1706,116,394,23.09,122,9
القيروان,العلاء - حاجب العيون,المساعيد,2693,315,783,29.08,259,8
القيروان,العلاء - حاجب العيون,الهدايا,2468,380,1081,43.8,448,9
القيروان,العلاء - حاجب العيون,صيادة الجنوبية,1687,124,299,17.72,92,4
القيروان,العلاء - حاجب العيون,صيادة الشمالية,2013,149,354,17.59,110,6
القيروان,العلاء - حاجب العيون,طرزة الشمالية,2422,474,1321,54.54,487,8
القيروان,العلاء - حاجب العيون,مسيوتة النقاز,2340,383,1029,43.97,358,9
القيروان,الشبيكة - حفوز,الشبيكة,7596,1085,3011,39.64,1210,16
القيروان,الشبيكة - حفوز,الشريشيرة,3406,704,2030,59.6,906,11
القيروان,الشبيكة - حفوز,العوامرية,3244,645,1892,58.32,952,12
القيروان,الشبيكة - حفوز,العين البيضاء,6613,1225,3465,52.4,1445,13
القيروان,الشبيكة - حفوز,الكرمة,2284,382,1050,45.97,469,9
القيروان,الشبيكة - حفوز,حفوز المركز,9889,1528,4113,41.59,1665,9
القيروان,الشبيكة - حفوز,خيط الوادي,5146,288,697,13.54,211,6
القيروان,الشبيكة - حفوز,سيدي علي بن سالم,2471,360,959,38.81,290,9
القيروان,العلاء - حاجب العيون,السرجة,2905,186,507,17.45,197,9
القيروان,العلاء - حاجب العيون,الشواشي,2964,402,1151,38.83,564,11
القيروان,العلاء - حاجب العيون,العلا,6825,1055,2665,39.05,848,12
القيروان,العلاء - حاجب العيون,الغويبة,3158,371,1134,35.91,511,10
القيروان,العلاء - حاجب العيون,أحواز الحاجب,1637,117,314,19.18,99,9
القيروان,العلاء - حاجب العيون,أولاد عمر,2008,347,958,47.71,351,8
القيروان,العلاء - حاجب العيون,الحاجب المركز,9922,1629,4286,43.2,1566,12
القيروان,العلاء - حاجب العيون,الرحيمة,2291,374,1059,46.22,495,10
القيروان,العلاء - حاجب العيون,مسيوتة الهناشير,1850,367,1051,56.81,425,8
القيروان,العلاء - حاجب العيون,وادي الحجل,3334,384,1125,33.74,518,9
القيروان,القيروان الجنوبية,أولاد نهار,1956,385,1067,54.55,257,9
القيروان,القيروان الجنوبية,التبان,5664,792,2081,36.74,645,11
القيروان,القيروان الجنوبية,بريكات العرقوب,1871,113,330,17.64,268,13
القيروان,القيروان الجنوبية,رقادة,4311,835,2708,62.82,1262,15
القيروان,القيروان الجنوبية,زرود,2114,343,885,41.86,317,7
القيروان,القيروان الجنوبية,زعفرانة,3177,504,1424,44.82,394,10
القيروان,القيروان الجنوبية,الحمام,3275,452,1223,37.34,405,12
القيروان,القيروان الجنوبية,الخزازية,3742,724,1930,51.58,887,13
القيروان,القيروان الجنوبية,الخضراء,1642,101,236,14.37,54,6
القيروان,القيروان الجنوبية,القبلية الجنوبية,8839,595,1328,15.02,415,6
القيروان,القيروان الشمالية,ذراع التمار,981,184,468,47.71,140,5
القيروان,بوحجلة,أولاد عاشور,2304,67,160,6.94,48,6
القيروان,بوحجلة,أولاد فرج اللّه الشمالية,2109,194,510,24.18,284,10
القيروان,بوحجلة,الشرائطية الشمالية,5761,802,2235,38.8,953,12
القيروان,القيروان الجنوبية,مرق الليل,1501,283,791,52.7,299,10
القيروان,القيروان الشمالية,الاغالبة,9599,792,1820,18.96,722,6
القيروان,القيروان الشمالية,الانصار,564,33,75,13.3,26,3
القيروان,القيروان الشمالية,الباطن,4803,866,2480,51.63,814,18
القيروان,بوحجلة,الشوامخ,3103,570,2129,68.61,1273,20
القيروان,بوحجلة,الفتح,3463,588,1753,50.62,979,13
القيروان,بوحجلة,القطيطير,3039,261,813,26.75,752,19
القيروان,بوحجلة,المويسات,5463,1038,3062,56.05,1224,15
القيروان,بوحجلة,النصر,5710,827,2275,39.84,902,11
القيروان,بوحجلة,بئر بوساري,2119,350,1016,47.95,476,13
القيروان,بوحجلة,بئر مسيكين,2697,478,1381,51.21,671,12
القيروان,بوحجلة,بوحجلة الأحواز,4615,834,2382,51.61,1033,14
القيروان,القيروان الشمالية,الغابات,3856,377,945,24.51,209,12
القيروان,القيروان الشمالية,القبلية الشمالية,5999,479,1112,18.54,286,6
القيروان,القيروان الشمالية,المتبسطة,1939,110,270,13.92,95,7
القيروان,القيروان الشمالية,المنشية,15033,1895,4554,30.29,1171,8
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,ابة,1179,121,281,23.83,95,6
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الآبار,1049,172,412,39.28,197,5
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الآبار الشرقية,544,53,127,23.35,72,5
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الاربص,1442,233,581,40.29,180,7
القيروان,نصر اللّه - منزل مهيري - الشراردة,الطويلة,3127,519,1478,47.27,750,12
القيروان,نصر اللّه - منزل مهيري - الشراردة,الفجيج,5283,880,2624,49.67,1287,15
القيروان,نصر اللّه - منزل مهيري - الشراردة,القصور,4315,364,920,21.32,243,7
القيروان,نصر اللّه - منزل مهيري - الشراردة,الكبارة,2439,269,688,28.21,246,9
القيروان,نصر اللّه - منزل مهيري - الشراردة,البريكات,3556,250,769,21.63,552,28
القيروان,نصر اللّه - منزل مهيري - الشراردة,الحميدات,2167,94,272,12.55,109,7
القيروان,نصر اللّه - منزل مهيري - الشراردة,الشرائطية الجنوبية,3355,417,1182,35.23,567,10
القيروان,نصر اللّه - منزل مهيري - الشراردة,الشراردة,8847,1031,2820,31.88,1165,14
القيروان,بوحجلة,بوحجلة المركز,12164,1724,4459,36.66,1523,12
القيروان,بوحجلة,جهينة الجنوبية,3836,572,1576,41.08,655,10
القيروان,بوحجلة,جهينة الشمالية,3304,486,1313,39.74,544,8
القيروان,نصر اللّه - منزل مهيري - الشراردة,أولاد فرج اللّه الجنوبية,2445,277,824,33.7,482,12
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,اللواتة,715,102,258,36.08,131,7
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,المدينة,1105,118,260,23.53,131,5
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,المرجى,1744,314,775,44.44,317,7
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الناظور,500,66,159,31.8,70,5
القيروان,نصر اللّه - منزل مهيري - الشراردة,المنارة,4041,588,1597,39.52,651,14
القيروان,نصر اللّه - منزل مهيري - الشراردة,بئر الحلو,3905,304,817,20.92,321,9
القيروان,نصر اللّه - منزل مهيري - الشراردة,نصر الله الأحواز,4482,511,1364,30.43,645,12
القيروان,نصر اللّه - منزل مهيري - الشراردة,نصر اللّه المركز,5192,829,2359,45.44,1019,14
القيروان,القيروان الجنوبية,المخصومة,2512,269,778,30.97,298,10
القيروان,القيروان الجنوبية,المنصورة الجنوبية,19120,1828,4265,22.31,1558,8
القيروان,القيروان الجنوبية,المنصورة الشمالية,12889,1363,3217,24.96,1282,7
القيروان,القيروان الجنوبية,النبش,2438,220,604,24.77,225,11
القيروان,القيروان الشمالية,الجامع الجنوبية,4819,534,1265,26.25,385,8
القيروان,القيروان الشمالية,الجامع الشمالية,6536,808,1975,30.22,698,7
القيروان,القيروان الشمالية,الجبلية الجنوبية,594,18,40,6.73,8,4
القيروان,القيروان الشمالية,الجبلية الشمالية,22250,1971,4603,20.69,1690,6
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,النعايم,262,35,83,31.68,39,4
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,بانو,1200,208,499,41.58,213,6
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,بسريانة,677,107,255,37.67,111,5
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,بوصليعة,1785,289,697,39.05,263,7
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الدهماني الشمالية,3416,442,1014,29.68,393,6
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الزوارين,3322,406,971,29.23,381,7
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الزيتونة,1965,187,441,22.44,174,5
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,السرس الجنوبية,3858,470,1078,27.94,399,6
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الجريصة الجنوبية,2270,263,601,26.48,224,5
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الجريصة الشمالية,1377,175,396,28.76,153,5
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الجريصة المركزية,2965,407,946,31.91,239,9
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,الدهماني,9024,815,1841,20.4,532,9
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,السرس الشمالية,1373,101,234,17.04,77,5
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,القصور,5800,715,1714,29.55,623,7
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,القلعة الخصباء,3210,445,1099,34.24,381,11
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,اللاس,1148,162,398,34.67,146,5
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,سيدي بركات الشمالية,586,83,188,32.08,96,8
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,عبيدة,1457,261,637,43.72,296,6
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,عين القصيبة,2417,382,951,39.35,361,9
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,عين فضيل,1075,140,334,31.07,137,6
الكاف,نبر - الطويرف - ساقية سيدي يوسف - تاجروين - قلعة سنان,السفاية,473,51,117,24.74,68,4
الكاف,نبر - الطويرف - ساقية سيدي يوسف - تاجروين - قلعة سنان,الشتاتلة,793,118,311,39.22,96,7
الكاف,نبر - الطويرف - ساقية سيدي يوسف - تاجروين - قلعة سنان,الصفصاف,305,37,95,31.15,55,5
الكاف,نبر - الطويرف - ساقية سيدي يوسف - تاجروين - قلعة سنان,الطابية,765,106,269,35.16,111,9
الكاف,الكاف الغربية - الكاف الشرقية,وادي السواني الجنوبية,995,164,403,40.5,152,6
الكاف,نبر - الطويرف - ساقية سيدي يوسف - تاجروين - قلعة سنان,الأذياب,622,74,173,27.81,60,5
الكاف,نبر - الطويرف - ساقية سيدي يوسف - تاجروين - قلعة سنان,الحميمة,511,78,197,38.55,67,6
الكاف,نبر - الطويرف - ساقية سيدي يوسف - تاجروين - قلعة سنان,الحوض,1202,135,301,25.04,135,5
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,ثرمدة,1669,236,589,35.29,209,8
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,حي النور,5204,842,2043,39.26,885,7
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,سيدي أحمد الصالح,1382,192,472,34.15,179,6
الكاف,القلعة الخصباء - الجريصة - القصور - الدهماني - السرس,سيدي بركات الجنوبية,739,73,171,23.14,72,5
الكاف,نبر - الطويرف - ساقية سيدي يوسف - تاجروين - قلعة سنان,النجاة,430,58,132,30.7,54,4
الكاف,نبر - الطويرف - ساقية سيدي يوسف - تاجروين - قلعة سنان,برج الديوانة,278,34,81,29.14,36,6
الكاف,نبر - الطويرف - ساقية سيدي يوسف - تاجروين - قلعة سنان,بهرة,2880,385,902,31.32,326,6
الكاف,نبر - الطويرف - ساقية سيدي يوسف - تاجروين - قلعة سنان,بوجابر,763,119,281,36.83,128,5
الكاف,نبر - الطويرف - ساقية سيدي يوسف - تاجروين - قلعة سنان,الطويرف,2976,433,1058,35.55,451,11
