governorate,constituency,imada,total_voters,sibling_cliques_count,sibling_voters_count,sibling_voters_pct,parental_ties_count,max_sibling_set_size
أريانة,حي التضامن,9أفريل,4227,433,1016,24.04,456,6
أريانة,حي التضامن,ابن خلدون,680,27,56,8.24,19,3
أريانة,حي التضامن,ابو القاسم الشابي,1743,64,135,7.75,65,3
أريانة,حي التضامن,التضامن 4,4964,384,856,17.24,288,5
أريانة,حي التضامن,المنجي سليم,4578,265,588,12.84,196,5
أريانة,حي التضامن,حي التضامن,17225,1554,3530,20.49,1016,7
أريانة,حي التضامن,خير الدين باشا,981,51,111,11.31,39,4
أريانة,روّاد 1,جعفر,16129,1529,3690,22.88,1601,9
أريانة,روّاد 2,النخيلات,13867,919,2017,14.55,712,5
أريانة,روّاد 2,برج الطويل,8136,1081,2753,33.84,1213,9
أريانة,سكرة 1,البساتين,4103,385,909,22.15,415,5
أريانة,سكرة 1,دار فضال,13734,1641,3985,29.02,1658,6
أريانة,روّاد 1,رواد,11726,1054,2703,23.05,1229,10
أريانة,روّاد 1,سيدي عمر بوخطيوة,8716,885,2151,24.68,963,7
أريانة,روّاد 2,الغزالة,13624,887,1922,14.11,988,6
أريانة,روّاد 2,المدينة الفاضلة,6815,544,1241,18.21,728,8
أريانة,أريانة المدينة,أريانة الجديدة,5209,489,1170,22.46,539,8
أريانة,أريانة المدينة,أريانة العليا,16430,1218,2783,16.94,1400,7
أريانة,أريانة المدينة,أريانة المدينة,10593,918,2124,20.05,524,6
أريانة,أريانة المدينة,التعمير,7805,709,1627,20.85,651,7
أريانة,أريانة المدينة,الياسمينة,18421,1026,2315,12.57,921,6
أريانة,المنيهلة,15 أكتوبر,4567,325,744,16.29,330,6
أريانة,المنيهلة,البساتين,11410,792,1718,15.06,594,5
أريانة,المنيهلة,الرفاهة,12830,900,2069,16.13,968,7
أريانة,أريانة المدينة,المنزه الخامس,8318,453,986,11.85,567,6
أريانة,أريانة المدينة,المنزه السادس,10524,541,1137,10.8,507,4
أريانة,أريانة المدينة,النصر 1,9874,544,1155,11.7,541,6
أريانة,أريانة المدينة,النصر 2,21598,1051,2240,10.37,1305,6
أريانة,سكرة 2,برج الوزير,8805,437,911,10.35,173,4
أريانة,قلعة الأندلس - سيدي ثابت,الحسيان,537,32,69,12.85,28,3
أريانة,قلعة الأندلس - سيدي ثابت,المنجي سليم,2969,446,1185,39.91,374,7
أريانة,قلعة الأندلس - سيدي ثابت,النحلي,1380,226,660,47.83,353,11
القصرين,القصرين الجنوبية - حاسي الفريد,الدغرة,1563,129,340,21.75,150,6
القصرين,القصرين الجنوبية - حاسي الفريد,السلوم,1768,133,340,19.23,160,6
القصرين,القصرين الجنوبية - حاسي الفريد,العويجة,2675,285,751,28.07,302,7
