surname,latin,set,voters_mapped,domestic_share_pct,imadas_present,hhi_concentration,spatial_entropy,top_governorate,top_imada,top_imada_share_pct,diaspora_voters,unplaced_voters,dot_value,dots_drawn,figure
ضيفاوي,Dhifaoui,concentrated,3114,0.0621,333,0.129624,3.5688,Kairouan,Kairouan — El Mouisset,32.18,11,8,2,1667,maps/surnames/dhifaoui_dots.pdf
راقوبي,Raqoubi,concentrated,2991,0.0596,190,0.125384,3.0419,Sousse,Sousse — Ibn Khaldoun,29.15,2,27,2,1558,maps/surnames/raqoubi_dots.pdf
الحرزي,Harzi,concentrated,3461,0.0690,368,0.119731,3.6948,Jendouba,Jendouba — Ghardimaou,27.22,13,0,2,1847,maps/surnames/harzi_dots.pdf
الفزعي,Fazai,concentrated,4598,0.0917,310,0.115198,3.1903,Jendouba,Jendouba — El Maaden,23.23,13,3,2,2404,maps/surnames/fazai_dots.pdf
عويساوي,Aouisaoui,concentrated,3451,0.0688,334,0.113708,3.5355,Kairouan,Kairouan — Bouhajla El Ahouez,27.56,8,11,2,1842,maps/surnames/aouisaoui_dots.pdf
المجبري,Majebri,concentrated,3431,0.0684,355,0.110636,3.6832,Kairouan,Kairouan — Abida,29.87,12,4,2,1836,maps/surnames/majebri_dots.pdf
بناني,Banani,concentrated,4344,0.0866,476,0.109691,3.9597,Kassérine,Kassérine — Ennour Est,30.36,29,19,2,2327,maps/surnames/banani_dots.pdf
زايري,Zairi,concentrated,4512,0.0900,522,0.096570,4.1995,Kairouan,Kairouan — Echbika,29.72,19,10,2,2429,maps/surnames/zairi_dots.pdf
البوزازي,Bouzazi,concentrated,3094,0.0617,309,0.095009,3.4876,Jendouba,Jendouba — Ghardimaou,19.88,5,1,2,1649,maps/surnames/bouzazi_dots.pdf
الفقيري,Faqiri,concentrated,3087,0.0615,268,0.093367,3.3309,Jendouba,Jendouba — El Galaa,18.66,10,1,2,1638,maps/surnames/faqiri_dots.pdf
المعلاوي,Malaoui,concentrated,6693,0.1334,231,0.093305,4.0890,Bizerte,Bizerte — Sedjnane,28.52,18,11,5,1303,maps/surnames/malaoui_dots.pdf
الدربالي,Drbali,concentrated,4592,0.0916,496,0.093300,4.1364,Sidi Bou Zid,Sidi Bou Zid — Jilma Ouest,28.64,26,8,2,2456,maps/surnames/drbali_dots.pdf
