path,name,ext,mime,drive_id,download_url
/.DS_Store,.DS_Store,,application/octet-stream,1ACzmULFznDkFIRTq_WBll1X7QTr39FXE,https://drive.google.com/uc?export=download&id=1ACzmULFznDkFIRTq_WBll1X7QTr39FXE
/_downloads,_downloads,,google-document,1O5pJXQjPOWXKNzteRBz6_nyDxRG5J4U9iURrtOyjN64,https://docs.google.com/document/d/1O5pJXQjPOWXKNzteRBz6_nyDxRG5J4U9iURrtOyjN64/export?format=txt
/accreditation-elections-municipales-2018/index,index,,google-document,17CkMMP7aUBod8ujk-raJ9c-4ZW4KmS34D28F-Z2gZpc,https://docs.google.com/document/d/17CkMMP7aUBod8ujk-raJ9c-4ZW4KmS34D28F-Z2gZpc/export?format=txt
/accreditation/index,index,,google-document,1TBzSK6vtqsV1xjjN_g5x9Cs6V3bZv6Oxe__RSRX1Hfg,https://docs.google.com/document/d/1TBzSK6vtqsV1xjjN_g5x9Cs6V3bZv6Oxe__RSRX1Hfg/export?format=txt
/actualites/index,index,,google-document,1vZnU1GfTdD6nnXTL9aYhrwAuLA_VkTMXC_gYwdrXXis,https://docs.google.com/document/d/1vZnU1GfTdD6nnXTL9aYhrwAuLA_VkTMXC_gYwdrXXis/export?format=txt
/appels-doffre/index,index,,google-document,1MvwBbuQeSAq5TNQRASWb5EZ1r0ZE2dsC3Yvi-ReYoU4,https://docs.google.com/document/d/1MvwBbuQeSAq5TNQRASWb5EZ1r0ZE2dsC3Yvi-ReYoU4/export?format=txt
/ar/.DS_Store,.DS_Store,,application/octet-stream,1oX1RQMWVwn62Mp3Gif8Y6X9_ZGYMiZvd,https://drive.google.com/uc?export=download&id=1oX1RQMWVwn62Mp3Gif8Y6X9_ZGYMiZvd
/ar/accreditation/index,index,,google-document,1bvodqHIEd1F0KjufZmdsJT5ejoGS8CrPEOjF4oq4ZAo,https://docs.google.com/document/d/1bvodqHIEd1F0KjufZmdsJT5ejoGS8CrPEOjF4oq4ZAo/export?format=txt
/ar/bv-elec-pres-2024/index,index,,google-document,1H3Tl6wfAX3cmHI1Ws9oEkTF_fbYRAmbfjbHEgNoOw4s,https://docs.google.com/document/d/1H3Tl6wfAX3cmHI1Ws9oEkTF_fbYRAmbfjbHEgNoOw4s/export?format=txt
/ar/communiques-ar/.DS_Store,.DS_Store,,application/octet-stream,1cfymHCBnmwZ--o6vFgeZn4bhuDOqYG0d,https://drive.google.com/uc?export=download&id=1cfymHCBnmwZ--o6vFgeZn4bhuDOqYG0d
/ar/communiques-ar/index,index,,google-document,1evo_UZJ1QO60Q-k_MlC5MBrmvJGf2VmDraPT4eae1k8,https://docs.google.com/document/d/1evo_UZJ1QO60Q-k_MlC5MBrmvJGf2VmDraPT4eae1k8/export?format=txt
/ar/egis/index,index,,google-document,1NcC4qpYmmxcQ2FdvoXWfcZR1BVDMjkkTUAZ6OXBHbZk,https://docs.google.com/document/d/1NcC4qpYmmxcQ2FdvoXWfcZR1BVDMjkkTUAZ6OXBHbZk/export?format=txt
/ar/electeurs/index,index,,google-document,1yjboR9ScXzJc3UGZgG7fpNiMFLx97P8LqkB1Wkn5z_0,https://docs.google.com/document/d/1yjboR9ScXzJc3UGZgG7fpNiMFLx97P8LqkB1Wkn5z_0/export?format=txt
/ar/election-presidentielle-2024/.DS_Store,.DS_Store,,application/octet-stream,1h1L2Hd1aoOnbqzvKrASSATQnl12mJbIY,https://drive.google.com/uc?export=download&id=1h1L2Hd1aoOnbqzvKrASSATQnl12mJbIY
/ar/election-presidentielle-2024/index,index,,google-document,1WMQSaMUuAhhJa0hPWO_BrU-tud6Z42ye_6Smcmh3ekw,https://docs.google.com/document/d/1WMQSaMUuAhhJa0hPWO_BrU-tud6Z42ye_6Smcmh3ekw/export?format=txt
/ar/elections-locales-2023-ar/index,index,,google-document,1aGfxXDSFc4B7XfdkgfgyM0dQsO67gFeyE2Un4toTdWM,https://docs.google.com/document/d/1aGfxXDSFc4B7XfdkgfgyM0dQsO67gFeyE2Un4toTdWM/export?format=txt
/ar/index,index,,google-document,1E_7C5G4z3C-JccvTN35oDSbDkR7jzHXQopjlrKSoPQc,https://docs.google.com/document/d/1E_7C5G4z3C-JccvTN35oDSbDkR7jzHXQopjlrKSoPQc/export?format=txt
/ar/liste-nominative-des-candidats-aux-elections-municipales-2018/index,index,,google-document,15ZOV1tEAnVAbx2_GbSdOv4FggZbbc0t2mX34-QItJWg,https://docs.google.com/document/d/15ZOV1tEAnVAbx2_GbSdOv4FggZbbc0t2mX34-QItJWg/export?format=txt
/ar/listes-candidates-aux-elections-municipales-2018-enregistrement-audio/index,index,,google-document,1c7rNR8GhoxFhMd6m7G7NGOtQcyhd4Ipwv5ojZi_VGAo,https://docs.google.com/document/d/1c7rNR8GhoxFhMd6m7G7NGOtQcyhd4Ipwv5ojZi_VGAo/export?format=txt
/ar/listes-candidates-aux-elections-municipales-2018/index,index,,google-document,1H4IaTMimzToAg2qXn9sMTcKa5cw_t1344LQULid8n_8,https://docs.google.com/document/d/1H4IaTMimzToAg2qXn9sMTcKa5cw_t1344LQULid8n_8/export?format=txt
/ar/modeles-de-bulletins-de-vote/index,index,,google-document,1Z-RfNHDcM7dvEbvj9DfIaTedvm8IGaCASU3CRlvJFWc,https://docs.google.com/document/d/1Z-RfNHDcM7dvEbvj9DfIaTedvm8IGaCASU3CRlvJFWc/export?format=txt
/ar/presidentielle-2024-resultat-preliminaire/index,index,,google-document,1Bolcndt2Cj-4i9J5FpjY8sUgvhD86UvqUp8E86Lh7y4,https://docs.google.com/document/d/1Bolcndt2Cj-4i9J5FpjY8sUgvhD86UvqUp8E86Lh7y4/export?format=txt
/ar/recrutement/index,index,,google-document,1fKt-BqEJie5IrT4QT066wXwPwgVwzeujfq251wDDQtM,https://docs.google.com/document/d/1fKt-BqEJie5IrT4QT066wXwPwgVwzeujfq251wDDQtM/export?format=txt
/ar/resultats-finals-ariana/index,index,,google-document,1Q5xBVvmyREjIw2xu4F5S2exconnOITbd1C-RQ5_NrQ4,https://docs.google.com/document/d/1Q5xBVvmyREjIw2xu4F5S2exconnOITbd1C-RQ5_NrQ4/export?format=txt
/ar/resultats-finals-beja/index,index,,google-document,1JgUBvQCDnxIZAVRYPxL6tmpPNuvfd7GPStOr0mi9i54,https://docs.google.com/document/d/1JgUBvQCDnxIZAVRYPxL6tmpPNuvfd7GPStOr0mi9i54/export?format=txt
/ar/resultats-finals-gabes/index,index,,google-document,1nykhSfmeUIy-1hRmOHwt1L14_s5s-2Txm_YwtYXLh5s,https://docs.google.com/document/d/1nykhSfmeUIy-1hRmOHwt1L14_s5s-2Txm_YwtYXLh5s/export?format=txt
