election,doc_type,collection,node_kind,level,batch,bureau,city_or_delegation,constituency,country_or_governorate,delegation,document,extra1,extra2,extra3,extra4,extra5,governorate,imada,polling_centre,scope,sector,drive_id,path
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,القصرين,,,,,1YzUWCu2ZTF6SXEDdtJ1UpFXpM7pe6bXb,/wp-content/uploads/2024/PvCvPresidentielle24/القصرين
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,القيروان,,,,,1YfeWkIc-2H70DYNLAUNbX2HcZDP2uTRK,/wp-content/uploads/2024/PvCvPresidentielle24/القيروان
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,الكاف,,,,,1dpHc5bBkawxWlcA-eQYt8fxXIVe5qRm2,/wp-content/uploads/2024/PvCvPresidentielle24/الكاف
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,المنستير,,,,,1o17inMGZlewPM0H3H9_gOWI0c6XJ7I_i,/wp-content/uploads/2024/PvCvPresidentielle24/المنستير
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,المهدية,,,,,1u840fCpFbdjLwGFPj_pjzjec1ohHmIgT,/wp-content/uploads/2024/PvCvPresidentielle24/المهدية
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,أريانة,,,,,1pt6jI5xbSxiDhcuwnwq8kShqOszDK0gC,/wp-content/uploads/2024/PvCvPresidentielle24/أريانة
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,باجة,,,,,1y-jvy2bOq8W6WBkTcfFHMTQuLqD4UZuk,/wp-content/uploads/2024/PvCvPresidentielle24/باجة
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,بن عروس,,,,,15ySSNS8imzkAgwIsto-GPsMPksA2_S4o,/wp-content/uploads/2024/PvCvPresidentielle24/بن عروس
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,بنزرت,,,,,1KLTqqCvj19t8g-t5u1k8UeYo3FSXAipv,/wp-content/uploads/2024/PvCvPresidentielle24/بنزرت
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,تطاوين,,,,,1IilhtkecKATiWr9lOgkm4rHF4PcG_PMp,/wp-content/uploads/2024/PvCvPresidentielle24/تطاوين
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,توزر,,,,,1kG1O0EQgm46exvB8EPDeijYRNT_6picG,/wp-content/uploads/2024/PvCvPresidentielle24/توزر
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,جندوبة,,,,,1BdX5dcQkDkQgu-Zm5TzVkjCX_Xv-cEkX,/wp-content/uploads/2024/PvCvPresidentielle24/جندوبة
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,زغوان,,,,,1XVhwLeYBGJhFT_psX37UcQnf9uVvSvUS,/wp-content/uploads/2024/PvCvPresidentielle24/زغوان
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,سليانة,,,,,1HFBW1dLYuGWCINO3oQg-aem7BKY89EyX,/wp-content/uploads/2024/PvCvPresidentielle24/سليانة
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,سوسة,,,,,157n0xUDwnMlqqNh312gv9Eo6C9IaWQSp,/wp-content/uploads/2024/PvCvPresidentielle24/سوسة
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,سيدي بوزيد,,,,,14u_EYHGoHnLNYssbrMU-DoS8g6TsCmmT,/wp-content/uploads/2024/PvCvPresidentielle24/سيدي بوزيد
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,صفاقس,,,,,1Of4UBBqFz7dVe3tDglhvddBiwL0MYYoP,/wp-content/uploads/2024/PvCvPresidentielle24/صفاقس
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,قابس,,,,,1plXNOUcH133NUTOQH_lcGskCZGnqrC1m,/wp-content/uploads/2024/PvCvPresidentielle24/قابس
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,قبلي,,,,,1RXg2QIqHpqlLok488Mlq0l5XO6gSQSYy,/wp-content/uploads/2024/PvCvPresidentielle24/قبلي
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,قفصة,,,,,1gf9NGiAxPwRpSHXj6aWNQb0R-2bTBgfw,/wp-content/uploads/2024/PvCvPresidentielle24/قفصة
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,مدنين,,,,,1hI1hrQ6XSulopMCBNEUdno44QjLmMsVm,/wp-content/uploads/2024/PvCvPresidentielle24/مدنين
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,منوبة,,,,,1rTcb5DNMacyAayDnkQ8JnZae3tVebUkA,/wp-content/uploads/2024/PvCvPresidentielle24/منوبة
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,1,,,,,,,,,,,,,نابل,,,,,1m8y08Rm77WhBq0IsQe7X99aJTzfohtA3,/wp-content/uploads/2024/PvCvPresidentielle24/نابل
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,2,,,,,,الزهور - القصرين,,,,,,,القصرين,,,,,1uoIdr4Y2rBeuIAt6qEPifJ3l8DyhReNP,/wp-content/uploads/2024/PvCvPresidentielle24/القصرين/الزهور - القصرين
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,2,,,,,,العيون,,,,,,,القصرين,,,,,1qDSXRw7f2MO-rdF-vwA5JdAow4wRvRow,/wp-content/uploads/2024/PvCvPresidentielle24/القصرين/العيون
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,2,,,,,,القصرين الجنوبية,,,,,,,القصرين,,,,,1uzLh_fuO9MAvCaucDeyJgeY2fZY4Dwbq,/wp-content/uploads/2024/PvCvPresidentielle24/القصرين/القصرين الجنوبية
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,2,,,,,,القصرين الشمالية,,,,,,,القصرين,,,,,1gQtbtb7CvZlxfuMAQDt_O62d-Z6qOILT,/wp-content/uploads/2024/PvCvPresidentielle24/القصرين/القصرين الشمالية
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,2,,,,,,تالة,,,,,,,القصرين,,,,,1BnCkzt-Q1MZhPaks65l9KNPirc2TOB-M,/wp-content/uploads/2024/PvCvPresidentielle24/القصرين/تالة
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,2,,,,,,جدليان,,,,,,,القصرين,,,,,1kcIOZM_UhMODhQmIog8CWufy6GD0uytG,/wp-content/uploads/2024/PvCvPresidentielle24/القصرين/جدليان
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,2,,,,,,حاسي الفريد,,,,,,,القصرين,,,,,1Ah0Sp7o5-0w8HRKioomSKXOaYd-EeJf2,/wp-content/uploads/2024/PvCvPresidentielle24/القصرين/حاسي الفريد
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,2,,,,,,حيدرة,,,,,,,القصرين,,,,,1t0NS8DMvOggrwWojaGQV_9QnkbRV95Dd,/wp-content/uploads/2024/PvCvPresidentielle24/القصرين/حيدرة
presidentielle_2024,pv_centre_vote,2024/PvCvPresidentielle24,folder,2,,,,,,سبيبة,,,,,,,القصرين,,,,,1Qhz4hQGqRwewS1w2i1Pem3Nw73quNeiI,/wp-content/uploads/2024/PvCvPresidentielle24/القصرين/سبيبة
