pcode,name,governorate_name,region_name,n_neighbours,island_bridged,region_cluster,region_saied_mean,region_zammel_mean,region_maghzaoui_mean,saied_lisa_class,saied_lisa_i,saied_lisa_p,saied_lisa_sig,saied_gi_z,saied_gi_p,saied_gi_sig,zammel_lisa_class,zammel_lisa_i,zammel_lisa_p,zammel_lisa_sig,zammel_gi_z,zammel_gi_p,zammel_gi_sig,maghzaoui_lisa_class,maghzaoui_lisa_i,maghzaoui_lisa_p,maghzaoui_lisa_sig,maghzaoui_gi_z,maghzaoui_gi_p,maghzaoui_gi_sig
TN115151,Sidi Bou Said,Tunis,North East,3,0,3,85.6263,11.8057,2.5680,LL,12.211442,0.000700,1,-5.676629,0.000700,1,HH,13.405022,0.001100,1,5.893614,0.001100,1,ns,1.505169,0.024200,0,2.162607,0.024200,0
TN115152,Amilcar,Tunis,North East,4,0,3,85.6263,11.8057,2.5680,LL,10.081222,0.000100,1,-7.072636,0.000100,1,HH,10.999496,0.000100,1,7.357612,0.000100,1,ns,1.326853,0.013500,0,2.627526,0.013500,0
TN115153,Carthage Byrsa,Tunis,North East,8,0,3,85.6263,11.8057,2.5680,LL,7.073253,0.000200,1,-5.785734,0.000200,1,HH,7.689534,0.000200,1,6.003081,0.000200,1,ns,0.962405,0.019600,0,2.251544,0.019600,0
TN115154,Carthage Plage,Tunis,North East,5,0,3,85.6263,11.8057,2.5680,LL,9.218336,0.000400,1,-5.139831,0.000400,1,HH,10.376455,0.000600,1,5.388601,0.000600,1,ns,0.848961,0.033400,0,1.830711,0.033400,0
TN115155,Le Jasmin,Tunis,North East,4,0,3,85.6263,11.8057,2.5680,ns,0.070326,0.735000,0,-0.337613,0.735000,0,ns,0.075673,0.717800,0,0.359987,0.717800,0,ns,0.010153,0.900000,0,0.101620,0.900000,0
TN115156,Cite Mohamed Ali,Tunis,North East,6,0,3,85.6263,11.8057,2.5680,ns,0.396434,0.001700,0,-4.104870,0.001700,0,ns,0.773835,0.002700,0,4.070331,0.002700,0,ns,-0.544185,0.021300,0,2.284119,0.021300,0
TN115251,La Medina,Tunis,North East,4,0,0,95.2446,3.5100,1.2454,ns,0.038693,0.063200,0,-1.694710,0.063200,0,ns,-0.032443,0.048800,0,1.875087,0.048800,0,ns,0.035311,0.751300,0,0.258503,0.751300,0
TN115252,El Hafsia,Tunis,North East,5,0,3,85.6263,11.8057,2.5680,ns,0.475876,0.312800,0,-0.946038,0.312800,0,ns,0.480713,0.338200,0,0.887484,0.338200,0,ns,0.084682,0.400700,0,0.662892,0.400700,0
TN115253,Bab Benat,Tunis,North East,6,0,0,95.2446,3.5100,1.2454,ns,1.177406,0.109300,0,-1.481180,0.109300,0,ns,1.209110,0.110500,0,1.449361,0.110500,0,ns,0.237668,0.268500,0,0.856505,0.268500,0
TN115254,Souk El Nhes,Tunis,North East,5,0,0,95.2446,3.5100,1.2454,ns,-0.081728,0.072200,0,-1.657217,0.072200,0,ns,0.041904,0.084000,0,1.554109,0.084000,0,ns,-0.318678,0.122400,0,1.140483,0.122400,0
TN115255,El Assouak,Tunis,North East,7,0,0,95.2446,3.5100,1.2454,ns,-0.182999,0.025400,0,-2.362437,0.025400,0,ns,-0.168753,0.020400,0,2.510048,0.020400,0,ns,-0.054785,0.325100,0,0.750345,0.325100,0
TN115256,Bab Mnara,Tunis,North East,7,0,0,95.2446,3.5100,1.2454,ns,0.930775,0.034700,0,-2.090216,0.034700,0,ns,0.908423,0.028700,0,2.285400,0.028700,0,ns,0.146672,0.617800,0,0.403962,0.617800,0
TN115257,Tourbet El Bey,Tunis,North East,5,0,0,95.2446,3.5100,1.2454,ns,0.390261,0.108700,0,-1.479682,0.108700,0,ns,0.458784,0.048500,0,1.869951,0.048500,0,ns,-0.092367,0.523900,0,-0.512442,0.523900,0
TN115258,El Zraria,Tunis,North East,7,0,3,85.6263,11.8057,2.5680,ns,0.435974,0.125800,0,-1.432032,0.125800,0,ns,0.274119,0.073200,0,1.670676,0.073200,0,ns,-0.036892,0.948000,0,-0.054651,0.948000,0
TN115259,Sidi Ali Azouz,Tunis,North East,6,0,0,95.2446,3.5100,1.2454,ns,0.483698,0.067500,0,-1.698324,0.067500,0,ns,0.623637,0.044800,0,1.917921,0.044800,0,ns,0.002361,0.848800,0,0.159347,0.848800,0
TN115260,El Taoufik,Tunis,North East,5,0,0,95.2446,3.5100,1.2454,ns,1.684186,0.066700,0,-1.700897,0.066700,0,ns,1.606447,0.065800,0,1.686136,0.065800,0,ns,0.565092,0.237400,0,0.871135,0.237400,0
TN115261,El Sabaghine,Tunis,North East,6,0,0,95.2446,3.5100,1.2454,ns,0.486856,0.312700,0,-0.962661,0.312700,0,ns,0.801031,0.237600,0,1.102093,0.237600,0,ns,-0.022015,0.963200,0,0.039049,0.963200,0
TN115262,Sidi Boumendil,Tunis,North East,5,0,0,95.2446,3.5100,1.2454,ns,0.655016,0.084700,0,-1.591339,0.084700,0,ns,0.951525,0.045400,0,1.915628,0.045400,0,ns,0.015496,0.764900,0,-0.238428,0.764900,0
TN115351,Bab El Bhar,Tunis,North East,7,0,3,85.6263,11.8057,2.5680,ns,1.020348,0.031500,0,-2.210387,0.031500,0,ns,1.033364,0.032700,0,2.202089,0.032700,0,ns,0.238844,0.152200,0,1.105075,0.152200,0
TN115352,Les Jardins,Tunis,North East,7,0,3,85.6263,11.8057,2.5680,LL,4.146379,0.000200,1,-6.053334,0.000200,1,HH,4.206421,0.000200,1,6.351857,0.000200,1,ns,0.882997,0.023300,0,2.170699,0.023300,0
TN115353,Lac De Tunis,Tunis,North East,10,0,3,85.6263,11.8057,2.5680,LL,2.249021,0.000100,1,-5.390832,0.000100,1,HH,2.588405,0.000100,1,5.759737,0.000100,1,ns,0.166349,0.068500,0,1.549831,0.068500,0
TN115354,Mongi Slim,Tunis,North East,8,0,0,95.2446,3.5100,1.2454,ns,0.174641,0.019500,0,-2.499486,0.019500,0,ns,0.284347,0.024600,0,2.375178,0.024600,0,ns,-0.214929,0.046300,0,1.617353,0.046300,0
TN115355,Habib Thameur,Tunis,North East,6,0,3,85.6263,11.8057,2.5680,LL,3.434840,0.000200,1,-5.653667,0.000200,1,HH,3.277704,0.000200,1,5.928687,0.000200,1,ns,0.951119,0.031500,0,1.905466,0.031500,0
TN115356,Taieb El M'Hiri,Tunis,North East,5,0,3,85.6263,11.8057,2.5680,ns,3.979738,0.005100,0,-3.716821,0.005100,0,ns,4.352284,0.004300,0,4.022062,0.004300,0,ns,0.459406,0.223300,0,0.911507,0.223300,0
TN115357,Hedi Chaker,Tunis,North East,5,0,3,85.6263,11.8057,2.5680,ns,1.399914,0.005400,0,-3.698209,0.005400,0,ns,1.372631,0.006600,0,3.744330,0.006600,0,ns,0.394622,0.042800,0,1.715910,0.042800,0
TN115358,Sidi El Bahri,Tunis,North East,7,0,3,85.6263,11.8057,2.5680,ns,0.770582,0.033200,0,-2.126721,0.033200,0,ns,0.721758,0.036200,0,2.086169,0.036200,0,ns,0.284652,0.110600,0,1.241267,0.110600,0
TN115451,Tronja,Tunis,North East,5,0,3,85.6263,11.8057,2.5680,ns,0.467496,0.206700,0,-1.184812,0.206700,0,ns,0.458099,0.264200,0,1.033689,0.264200,0,ns,0.050780,0.153100,0,1.107372,0.153100,0
TN115452,Bab El Khadra,Tunis,North East,6,0,3,85.6263,11.8057,2.5680,ns,0.887049,0.024900,0,-2.349891,0.024900,0,ns,0.934366,0.025000,0,2.403121,0.025000,0,ns,0.157299,0.224100,0,1.032685,0.224100,0
