tribe,latin,governorate,voters,share_pct,voters_beyond_ring,share_beyond_ring_pct,arrow_drawn
Ouled Sidi Abid,Abidi,Jendouba,10887,17.6,10887,17.6,1
Ouled Sidi Abid,Abidi,Tunis,8912,14.4,8912,14.4,1
Ouled Sidi Abid,Abidi,Le Kef,6548,10.6,6548,10.6,1
Ouled Sidi Abid,Abidi,Ben Arous,5217,8.4,5217,8.4,1
Ouled Sidi Abid,Abidi,Ariana,3982,6.4,3982,6.4,1
Ouled Sidi Abid,Abidi,Siliana,3834,6.2,3834,6.2,1
Ouled Sidi Abid,Abidi,Kassérine,3721,6.0,3716,6.0,0
Ouled Sidi Abid,Abidi,Nabeul,2297,3.7,2297,3.7,0
Ouled Sidi Abid,Abidi,Manubah,2033,3.3,2033,3.3,0
Ouled Sidi Abid,Abidi,Sidi Bou Zid,1831,3.0,1831,3.0,0
Ouled Sidi Abid,Abidi,Bizerte,1802,2.9,1802,2.9,0
Ouled Sidi Abid,Abidi,Kairouan,1771,2.9,1771,2.9,0
Ouled Sidi Abid,Abidi,Sfax,1746,2.8,1746,2.8,0
Ouled Sidi Abid,Abidi,Gafsa,1743,2.8,1743,2.8,0
Ouled Sidi Abid,Abidi,Sousse,1264,2.0,1264,2.0,0
Ouled Sidi Abid,Abidi,Béja,1155,1.9,1155,1.9,0
Ouled Sidi Abid,Abidi,Gabès,701,1.1,701,1.1,0
Ouled Sidi Abid,Abidi,Monastir,699,1.1,699,1.1,0
Ouled Sidi Abid,Abidi,Tozeur,663,1.1,663,1.1,0
Ouled Sidi Abid,Abidi,Zaghouan,424,0.7,424,0.7,0
Ouled Sidi Abid,Abidi,Médenine,276,0.4,276,0.4,0
Ouled Sidi Abid,Abidi,Mahdia,143,0.2,143,0.2,0
Ouled Sidi Abid,Abidi,Tataouine,143,0.2,143,0.2,0
Ouled Sidi Abid,Abidi,Kebili,77,0.1,77,0.1,0
Trabelsi,Trabelsi,Sfax,8969,15.5,8969,15.5,1
Trabelsi,Trabelsi,Tunis,8094,14.0,1745,3.0,1
Trabelsi,Trabelsi,Manubah,6201,10.7,0,0.0,0
Trabelsi,Trabelsi,Ben Arous,5883,10.2,4450,7.7,1
Trabelsi,Trabelsi,Nabeul,5879,10.2,5879,10.2,1
Trabelsi,Trabelsi,Béja,5450,9.4,290,0.5,0
Trabelsi,Trabelsi,Bizerte,4464,7.7,586,1.0,0
Trabelsi,Trabelsi,Ariana,3989,6.9,324,0.6,0
Trabelsi,Trabelsi,Sousse,2191,3.8,2191,3.8,1
Trabelsi,Trabelsi,Monastir,1232,2.1,1232,2.1,1
Trabelsi,Trabelsi,Médenine,1205,2.1,1205,2.1,0
Trabelsi,Trabelsi,Zaghouan,1005,1.7,797,1.4,0
Trabelsi,Trabelsi,Gabès,884,1.5,884,1.5,0
Trabelsi,Trabelsi,Kairouan,653,1.1,653,1.1,0
Trabelsi,Trabelsi,Siliana,462,0.8,303,0.5,0
Trabelsi,Trabelsi,Mahdia,422,0.7,422,0.7,0
Trabelsi,Trabelsi,Jendouba,245,0.4,245,0.4,0
Trabelsi,Trabelsi,Sidi Bou Zid,128,0.2,128,0.2,0
Trabelsi,Trabelsi,Gafsa,104,0.2,104,0.2,0
Trabelsi,Trabelsi,Le Kef,89,0.2,89,0.2,0
Trabelsi,Trabelsi,Kassérine,60,0.1,60,0.1,0
Trabelsi,Trabelsi,Kebili,48,0.1,48,0.1,0
Trabelsi,Trabelsi,Tozeur,31,0.1,31,0.1,0
Trabelsi,Trabelsi,Tataouine,16,0.0,16,0.0,0
Hammama,Hammami,Manubah,8846,16.7,8846,16.7,1
Hammama,Hammami,Tunis,8689,16.4,8689,16.4,1
Hammama,Hammami,Béja,7772,14.6,7772,14.6,1
Hammama,Hammami,Ben Arous,5301,10.0,5301,10.0,1
Hammama,Hammami,Bizerte,3246,6.1,3246,6.1,1
Hammama,Hammami,Zaghouan,3121,5.9,3121,5.9,1
Hammama,Hammami,Siliana,3075,5.8,3075,5.8,0
Hammama,Hammami,Ariana,2414,4.5,2414,4.5,0
Hammama,Hammami,Nabeul,2268,4.3,2268,4.3,0
