scope,governorate_isie,delegation_isie,governorate_name,delegation_name,id_delegation,region_name,match_method,n_bureaux,essebsi,marzouki,valid_votes,essebsi_share_pct,margin_pp
etranger,Allemagne,Allemagne,,,,,,0,2585,3564,6149,42.04,-15.92
etranger,Amérique et Reste d'Europe,AmeriqueResteEurope,,,,,,0,6894,7016,13910,49.56,-0.88
etranger,France2,France2,,,,,,0,16185,12663,28848,56.1,12.21
etranger,Italie,Italie,,,,,,0,2295,3634,5929,38.71,-22.58
etranger,Pays Arabes et Restes du Monde,PaysArabeEtResteDeMonde,,,,,,0,5052,6497,11549,43.74,-12.51
tunisie,Tunis2,Carthage,Tunis,Carthage,1151,Nord Est,exact,37,11430,3417,14847,76.99,53.97
tunisie,Tunis1,LaMedina,Tunis,La Medina,1152,Nord Est,exact,28,6344,3739,10083,62.92,25.84
tunisie,Tunis1,BabBhar,Tunis,Bab El Bhar,1153,Nord Est,fuzzy:0.88,49,12582,5415,17997,69.91,39.82
tunisie,Tunis1,BabSouika,Tunis,Bab Souika,1154,Nord Est,exact,31,6848,4577,11425,59.94,19.88
tunisie,Tunis2,ElOmrane,Tunis,El Omrane,1155,Nord Est,exact,35,7465,4263,11728,63.65,27.3
tunisie,Tunis2,ElOmraneSuperieur,Tunis,El Omrane Supérieur,1156,Nord Est,exact,54,10401,8402,18803,55.32,10.63
tunisie,Tunis2,ElTahrir,Tunis,Ettahrir,1157,Nord Est,fuzzy:0.88,23,4745,3790,8535,55.59,11.19
tunisie,Tunis2,ElMenzah,Tunis,El Menzah,1158,Nord Est,exact,53,19866,3573,23439,84.76,69.51
tunisie,Tunis2,CiteElKhadra,Tunis,Cité El Khadhra,1159,Nord Est,fuzzy:0.96,35,9482,4370,13852,68.45,36.9
tunisie,Tunis2,LeBardo,Tunis,Le Bardo,1160,Nord Est,exact,79,19768,11132,30900,63.97,27.95
tunisie,Tunis1,Essijoumi,Tunis,Sijoumi,1161,Nord Est,fuzzy:0.88,14,2325,2139,4464,52.08,4.17
tunisie,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,exact,38,7485,5779,13264,56.43,12.86
tunisie,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,exact,79,14013,12967,26980,51.94,3.88
tunisie,Tunis1,SidiHassine,Tunis,Sidi Hassine,1164,Nord Est,exact,66,10321,8886,19207,53.74,7.47
tunisie,Tunis1,ElOuerdia,Tunis,El Ouardia,1165,Nord Est,fuzzy:0.89,32,6171,5168,11339,54.42,8.85
tunisie,Tunis1,ElKabbaria,Tunis,El Kabaria,1166,Nord Est,fuzzy:0.95,69,12213,11211,23424,52.14,4.28
tunisie,Tunis1,SidiElBechir,Tunis,Sidi El Béchir,1167,Nord Est,exact,27,5804,3934,9738,59.6,19.2
tunisie,Tunis1,JebelJelloud,Tunis,Djebel Djelloud,1168,Nord Est,fuzzy:0.92,23,4221,2980,7201,58.62,17.23
tunisie,Tunis2,LaGoulette,Tunis,La Goulette,1169,Nord Est,exact,41,11921,4406,16327,73.01,46.03
tunisie,Tunis2,ElKram,Tunis,Le Kram,1170,Nord Est,fuzzy:0.83,52,13636,6297,19933,68.41,36.82
tunisie,Tunis2,LaMarsa,Tunis,La Marsa,1171,Nord Est,exact,89,27480,7879,35359,77.72,55.43
tunisie,Ariana,ArianaVille,Ariana,L’Ariana Ville,1251,Nord Est,fuzzy:0.96,137,43943,13005,56948,77.16,54.33
tunisie,Ariana,LaSoukra,Ariana,Soukra,1252,Nord Est,fuzzy:0.86,89,20817,11630,32447,64.16,28.31
tunisie,Ariana,Raoued,Ariana,Raoued,1253,Nord Est,exact,73,15818,11038,26856,58.9,17.8
