round,ballot_order,rank,candidate,votes,share_pct,share_check,votes_spelled,words_value,words_check
r1,1,16,العربي بن الحبيب بن علي نصرة,6426,0.2,agree,ستة آلاف وأربعمائة وستة وعشرون,6426,agree
r1,2,26,عبد الرحيم بن ابراهيم بن عمار الزواري,2701,0.08,agree,ألفان وسبعمائة وواحد,2701,agree
r1,3,11,كلثوم بنت المبروك بن أحمد كنو,18287,0.56,agree,ثمانية عشرة ألفا ومائتان وسبعة وثمانون,18287,agree
r1,4,6,كمال بن القنطاوي بن المعراجي مرجان,41614,1.27,agree,واحد وأربعون ألفا وستمائة وأربعة عشر,41614,agree
r1,5,20,سالم بن عمار الشائبي,5245,0.16,agree,خمسة آلاف ومائتان وخمسة وأربعون,5245,agree
r1,6,13,عبد الرزاق بن علي كيلاني,10077,0.31,agree,عشرة آلاف وسبعة وسبعون,10077,agree
r1,7,1,محمد الباجي بن حسونة قايد السبسي,1289384,39.46,agree,مليون ومائتان وتسعة وثمانون ألفا وثلاثمائة وأربعة وثمانون,1289384,agree
r1,8,5,سليم بن محمد بن المختار الرياحي,181407,5.55,agree,مائة وواحد وثمانون ألفا وأربعمائة وسبعة,181407,agree
r1,9,15,عبد القادر بن ابراهيم بن مصطفى اللباوي,6486,0.2,agree,ستة آلاف وأربعمائة وستة وثمانون,6486,agree
r1,10,14,مصطفى كامل بن الحاج علي النابلي,6723,0.21,agree,ستة آلاف وسبعمائة وثلاثة وعشرون,6723,agree
r1,11,8,أحمد الصافي بن ابراهيم سعيد,26073,0.8,agree,ستة وعشرون ألفا وثلاثة وسبعون,26073,agree
r1,12,25,يسين بن المولدي بن خليفة الشنوفي,3118,0.1,agree,ثلاثة آلاف ومائة وثمانية عشر,3118,agree
r1,13,7,أحمد نجيب بن عبد العزيز الشابي,34025,1.04,agree,أربعة وثلاثون ألفا وخمسة وعشرون,34025,agree
r1,14,17,حمودة بن محمد بن حمودة بن سلامة,5737,0.18,agree,خمسة آلاف وسبعمائة وسبعة وثلاثون,5737,agree
r1,15,22,علي المولدي بن محمد شورابي,4699,0.14,agree,أربعة آلاف وستمائة وتسعة وتسعون,4699,agree
r1,16,12,محمد بن حسن بن محمد الفريخة,17506,0.54,agree,سبعة عشرة ألفا وخمسمائة وستة,17506,agree
r1,17,18,محمد بن المبروك بن محمد الحامدي,5593,0.17,agree,خمسة آلاف وخمسمائة وثلاثة وتسعون,5593,agree
r1,18,23,المختار بن محمد الصالح الماجري,4286,0.13,agree,أربعة آلاف ومائتان وستة وثمانون,4286,agree
r1,19,24,عبد الرؤوف بن الصادق العيادي,3551,0.11,agree,ثلاثة آلاف وخمسمائة وواحد وخمسون,3551,agree
r1,20,19,محرز بن الطيب بن التليلي بوصيان,5377,0.16,agree,خمسة آلاف وثلاثمائة وسبعة وسبعون,5377,agree
r1,21,10,مصطفى بن محمد بن رشيد بن جعفر,21989,0.67,agree,واحد وعشرون ألفا وتسعمائة وتسعة وثمانون,21989,agree
r1,22,27,نور الدين بن فرحات بن محمد حشاد,2181,0.07,agree,ألفان ومائة وواحد وثمانون,2181,agree
r1,23,9,محمد المنذر بن عبد العزيز الزنايدي,24160,0.74,agree,أربعة وعشرون ألفا ومائة وستون,24160,agree
r1,24,2,محمد المنصف بن محمد بن أحمد المرزوقي,1092418,33.43,agree,مليون واثنان وتسعون ألفا وأربعمائة وثمانية عشر,1092418,agree
r1,25,21,سمير بن عز الدين بن ابراهيم العبدلي,5054,0.15,agree,خمسة آلاف وأربعة وخمسون,5054,agree
r1,26,4,محمد الهاشمي بن يوسف حامدي,187923,5.75,agree,مائة وسبعة وثمانون ألفا وتسعمائة وثلاثة وعشرون,187923,agree
r1,27,3,حمة بن علي بن بوساحة الهمامي,255529,7.82,agree,مائتان وخمسة وخمسون ألفا وخمسمائة وتسعة وعشرون,255529,agree
r2,1,1,محمد الباجي بن حسونة قايد السبسي,1731529,55.68,agree,مليون وسبعمائة وواحد وثلاثون ألفا وخمسمائة وتسعة وعشرون,1731529,agree
r2,2,2,محمد المنصف بن محمد بن أحمد المرزوقي,1378513,44.32,agree,مليون وثلاثمائة وثمانية وسبعون ألفا وخمسمائة وثلاثة عشر,1378513,agree
