constituency,rank,rank_check,list_name,list_name_source,list_name_ocr,list_name_text_layer,votes,share_pct,share_recomputed,share_decimals,share_check,constituency_valid_votes_lists,share_over,source_pages
تونس 1,46,agree,قائمة عزم- توكل- بناء,ocr,قائمة عزم- توكل- بناء,قائمة -عزم -توكل بناء,136,0.08,0.08,2,agree,168077,171193,36 37
تونس 2,1,agree,قائمة حزب حركة نداء تونس,decision,قائمة حزب حركة نداء تونس,قائمة حزب حركة نداء تونس,115045,54.37,54.37,2,agree,209428,211601,38 39
تونس 2,2,agree,قائمة حزب حركة النهضة,decision,قائمة حزب حركة الهضة,قائمة حزب حركة النهضة,42250,19.97,19.97,2,agree,209428,211601,38 39
تونس 2,3,agree,قائمة حزب آفاق تونس,decision,قائمة حزب آفاق تونس,قائمة حزب آفاق تونس,9119,4.31,4.31,2,agree,209428,211601,38 39
تونس 2,4,agree,قائمة حزب الاتحاد الوطني الحر,decision,قائمة حزب الاتحاد الوطني الحر,قائمة حزب الاتحاد الوطني الحر,6592,3.12,3.12,2,agree,209428,211601,38 39
تونس 2,5,agree,قائمة الجبهة الشعبية,decision,قائمة الجيهة الشعبية,قائمة الجبهة الشعبية,6224,2.94,2.94,2,agree,209428,211601,38 39
تونس 2,6,agree,قائمة حزب التيار الديمقراطي,decision,قائمة حزب التيار يمقراطىالد,قائمة حزب التيارالديمقراطي,5878,2.78,2.78,2,agree,209428,211601,38 39
تونس 2,7,agree,قائمة الحزب الجمهوري,decision,قائمة الحزب الجمبوري,قائمة الحزب ر الجمهو ي,3129,1.48,1.48,2,agree,209428,211601,38 39
تونس 2,8,agree,قائمة الاتحاد من أجل تونس,ocr,قائمة الاتحاد من أجل تونس,قائمة الاتحاد من أجل تونس,3029,1.43,1.43,2,agree,209428,211601,38 39
تونس 2,9,agree,قائمة حزب المؤتمر من أجل الجمهورية,decision,قائمة حزب المؤتمر من أجل الجمهورية,قائمة حزب المؤتمرمن أجل ر الجمهو ية,2744,1.3,1.3,2,agree,209428,211601,38 39
تونس 2,10,agree,قائمة حزب لالتكتث,ocr,قائمة حزب لالتكتث,قائمة حزب التكتل,1571,0.74,0.74,2,agree,209428,211601,38 39
تونس 2,11,agree,قائمة حزب التحالف الديمقراطي,decision,قائمة حزب التحالف الديمقراطى,قائمة حزب التحالف الديمقراطي,1364,0.64,0.64,2,agree,209428,211601,38 39
تونس 2,12,agree,قائمة حزب المبادرة,decision,قائمة حزب المبادرة,قائمة حزب ر المباد ة,1285,0.61,0.61,2,agree,209428,211601,38 39
تونس 2,13,agree,قائمة حركة وفاء,ocr,قائمة حركة وفاء,قائمة حركة وفاء,1274,0.6,0.6,2,agree,209428,211601,38 39
تونس 2,14,agree,قائمة حزب تونس للجميع,ocr,قائمة حزب تونس للجميع,قائمة حزب تونس للجميع,1173,0.55,0.55,2,agree,209428,211601,38 39
تونس 2,15,agree,قائمة حزب المجد,ocr,قائمة حزب المجد,قائمة حزب المجد,709,0.34,0.34,2,agree,209428,211601,38 39
تونس 2,16,agree,قائمة تيار المحبة,decision,قائمة تيار المحبة,قائمة تياراملحبة,687,0.32,0.32,2,agree,209428,211601,38 39
تونس 2,17,agree,قائمة نداء قرطاج,ocr,قائمة نداء قرطاج,قائمة نداء قرطاج,589,0.28,0.28,2,agree,209428,211601,38 39
تونس 2,18,agree,قائمة حزب الجبهة الوطنية التونسية,ocr,قائمة حزب الجبهة الوطنية التونسية,قائمة حزب الجبهة الوطنية التونسية,554,0.26,0.26,2,agree,209428,211601,38 39
تونس 2,19,agree,قائمة حزب حركة الشعب,decision,قائمة حركة الشعب,قائمة حركة الشعب,505,0.24,0.24,2,agree,209428,211601,38 39
تونس 2,20,agree,القائمة البورقيبية,ocr,القائمة البورقيبية,القائمة ر البو قيبية,414,0.2,0.2,2,agree,209428,211601,38 39
تونس 2,21,agree,قائمة حزب الحركة الدستورية,ocr,قائمة حزب الحركة الدستورية,قائمة حزب الحركة ر الدستو ية,316,0.15,0.15,2,agree,209428,211601,38 39
تونس 2,22,agree,قائمة لنا الحق,ocr,قائمة لنا الحق,قائمة لنا الحق,298,0.14,0.14,2,agree,209428,211601,38 39
تونس 2,23,agree,قائمة حزب صوت شعب تونس,ocr,قائمة حزب صوت شعب تونس,قائمة حزب صوت شعب تونس,288,0.14,0.14,2,agree,209428,211601,38 39
تونس 2,24,agree,قائمة محيطنا نماء لثروتنا,ocr,قائمة محيطنا نماء لثروتنا,قائمة محيطنا نماء لثروتنا,284,0.13,0.13,2,agree,209428,211601,38 39
تونس 2,25,agree,قائمة الحزب الجمهوري المغاربي,ocr,قائمة الحزب الجمهوري المغاربي,قائمة الحزب ر الجمهو ي ر المغا بي,280,0.13,0.13,2,agree,209428,211601,38 39
تونس 2,26,agree,قائمة أمن شامل لإنقاذ تونس,ocr,قائمة أمن شامل لإنقاذ تونس,قائمة أمن شامل إلنقاذ تونس,271,0.13,0.13,2,agree,209428,211601,38 39
تونس 2,27,agree,قائمة حزب العمل التونيسى,ocr,قائمة حزب العمل التونيبى,قائمة حزب العمل التونسي,270,0.13,0.13,2,agree,209428,211601,38 39
تونس 2,28,agree,قائمة حركة الديمقراطيين الاشتراكيين,ocr,قائمة حركة الديمقراطين الاشتراكيين,قائمة حركة الديمقراطين الاشتراكيين,269,0.13,0.13,2,agree,209428,211601,38 39
تونس 2,29,agree,قائمة حزب الأمان,ocr,قائمة حزب الأمان,قائمة حزب الأمان,256,0.12,0.12,2,agree,209428,211601,38 39
تونس 2,30,agree,قائمة حركة التونسي,ocr,قائمة حركة التونسي,قائمة حركة التونسي,252,0.12,0.12,2,agree,209428,211601,38 39
تونس 2,31,agree,قائمة حزب البناء الوطنى,ocr,قائمة حزب البناء الوطنى,قائمة حزب البناء الوطني,249,0.12,0.12,2,agree,209428,211601,38 39
تونس 2,32,agree,قائمة حزب الثقافة والعمل,ocr,قائمة حزب الثقافة والعمل,قائمة حزب الثقافة والعمل,248,0.12,0.12,2,agree,209428,211601,38 39
تونس 2,33,agree,قائمة الشعب يريد,ocr,قائمة الشعب يريد,قائمة الشعب يريد,246,0.12,0.12,2,agree,209428,211601,38 39
تونس 2,34,agree,قائمة تيارصوت الشعب الحر,ocr,قائمة تيارصوت الشعب الحر,قائمة تيارصوت الشعب الحر,214,0.1,0.1,2,agree,209428,211601,38 39
تونس 2,35,agree,قائمة اليد في اليد,ocr,قائمة اليد في اليد,قائمة اليد في اليد,181,0.09,0.09,2,agree,209428,211601,38 39
تونس 2,36,agree,قائمة الحركة الديمقراطية للإصلاح والبناء,ocr,قائمة الحركة الديمقراطية للإصلاح والبناء,قائمة الحركة الديمقراطية لإلصالح والبناء,178,0.08,0.08,2,agree,209428,211601,38 39
تونس 2,37,agree,قائمة الربيع العربي لتحقيق السيادة الاقتصادية,ocr,قائمة الربيع العربي لتحقيق السيادة الاقتصادية,قائمة الربيع العربي لتحقيق السيادة الاقتصادية,173,0.08,0.08,2,agree,209428,211601,38 39
تونس 2,38,agree,قائمة عزم- توكل- بناء,ocr,قائمة عزم- توكل- بناء,قائمة -عزم -توكل بناء,155,0.07,0.07,2,agree,209428,211601,38 39
تونس 2,39,agree,قائمة حزب اللقاء الدستورى,ocr,قائمة حزب اللقاء الدستوري,قائمة حزب اللقاء ر الدستو ي,145,0.07,0.07,2,agree,209428,211601,38 39
تونس 2,40,agree,قائمة اتحاد الشباب الديمقراطى التونسى,ocr,قائمة اتحاد الشباب الديمقراطى التونسى,قائمة اتحاد الشباب الديمقراطي التونسي,137,0.06,0.06,2,agree,209428,211601,38 39
تونس 2,41,agree,قائمة أبناء الشعب,ocr,قائمة أبناء الشعب,قائمة أبناء الشعب,130,0.06,0.06,2,agree,209428,211601,38 39
تونس 2,42,agree,قائمة الحزب الليبرالي التونسي,ocr,قائمة الحزب الليبرالي التونسي,قائمة الحزب الليبرالي التونسي,127,0.06,0.06,2,agree,209428,211601,38 39
تونس 2,43,agree,قائمة اتحاد القوى الشبابية,ocr,قائمة اتحاد القوى ةالشبابي,ى قائمة اتحاد القو الشبابية,112,0.05,0.05,2,agree,209428,211601,38 39
تونس 2,44,agree,قائمة حركة الشباب الوطني التونسي,ocr,قائمة حركة الشباب الوطني التونسي,قائمة حركة الشباب الوطني التونسي,110,0.05,0.05,2,agree,209428,211601,38 39
تونس 2,45,agree,قائمة حزب النور للديمقراطية والتنمية,ocr,قائمة حزب النور للديمقراطية والتنمية,قائمة حزب النور للديمقراطية والتنمية,104,0.05,0.05,2,agree,209428,211601,38 39
أريانة,1,agree,قائمة حزب حركة نداء تونس,decision,قائمة حركة نداء تونس,قائمة حركة نداء تونس,82769,46.38,46.38,2,agree,176054,178452,40 41
أريانة,2,agree,قائمة حزب حركة النهضة,decision,قائمة حزب حركة الهضة,قائمة حزب حركة النهضة,42459,23.79,23.79,2,agree,176054,178452,40 41
أريانة,3,agree,قائمة حزب الاتحاد الوطني الحر,decision,قائمة حزب الاتحاد الوطني الحر,قائمة حزب الاتحاد الوطني الحر,9144,5.12,5.12,2,agree,176054,178452,40 41
أريانة,4,agree,قائمة حزب آفاق تونس,decision,قائمة حزب آفاق تونس,قائمة حزب آفاق تونس,6266,3.51,3.51,2,agree,176054,178452,40 41
أريانة,5,agree,قائمة حزب التيار الديمقراطي,decision,قائمة حزب التيار الديمقراصيى,قائمة حزب التيارالديمقراطي,4336,2.43,2.43,2,agree,176054,178452,40 41
أريانة,6,agree,قائمة الاتحاد من أجل تونس,ocr,قائمة الاتحاد من أجل تونس,قائمة الاتحاد من أجل تونس,4270,2.39,2.39,2,agree,176054,178452,40 41
أريانة,7,agree,قائمة الجبهة الشعبية,decision,قائمة الجهة الشعبية,قائمة الجبهة الشعبية,4186,2.35,2.35,2,agree,176054,178452,40 41
أريانة,8,agree,قائمة الحزب الجمهوري,decision,قائمة الحزب الجمبورى,قائمة الحزب ر الجمهو ي,3111,1.74,1.74,2,agree,176054,178452,40 41
أريانة,9,agree,قائمة حزب المؤتمر من أجل الجمهورية,decision,قائمة حزب المؤتمرمن أجل الجمهورية,قائمة حزب المؤتمرمن أجل ر الجمهو ية,2424,1.36,1.36,2,agree,176054,178452,40 41
أريانة,10,agree,قائمة حزب التحالف الديمقراطي,decision,قائمة حزب التحالف الديمقراطي,قائمة حزب التحالف الديمقراطي,1307,0.73,0.73,2,agree,176054,178452,40 41
أريانة,11,agree,قائمة حزب المبادرة,decision,قائمة حزب المبادرة,قائمة حزب ر المباد ة,1235,0.69,0.69,2,agree,176054,178452,40 41
أريانة,12,agree,قائمة حزب تونس للجميع,ocr,قائمة حزب تونس للجميع,قائمة حزب تونس للجميع,1068,0.6,0.6,2,agree,176054,178452,40 41
أريانة,13,agree,قائمة حركة وفاء,ocr,قائمة حركة وفاء,قائمة حركة وفاء,1050,0.59,0.59,2,agree,176054,178452,40 41
أريانة,14,agree,قائمة حزب التكتل,ocr,قائمة حزب التكتل,قائمة حزب التكتل,1035,0.58,0.58,2,agree,176054,178452,40 41
أريانة,15,agree,قائمة حزب حركة الشعب,decision,قائمة حركة الشعب,قائمة حركة الشعب,960,0.54,0.54,2,agree,176054,178452,40 41
أريانة,16,agree,قائمة حزب النداء الجمهورى,ocr,قائمة حزب النداء الجمهورى,قائمة حزب النداء ال ر جمهو ي,709,0.4,0.4,2,agree,176054,178452,40 41
أريانة,17,agree,قائمة تيار المحبة,decision,قائمة تيار المحبة,قائمة تياراملحبة,671,0.38,0.38,2,agree,176054,178452,40 41
أريانة,18,agree,قائمة نحو بر الأمان,ocr,قائمة نحو بر الأمان,قائمة نحو الأمانبر,551,0.31,0.31,2,agree,176054,178452,40 41
أريانة,19,agree,قائمة الحركة الدستورية,ocr,قائمة الحركة الدستورية,قائمة الحركة ر الدستو ية,532,0.3,0.3,2,agree,176054,178452,40 41
أريانة,20,agree,القائمة المستقلة بأريانة القدوة,ocr,القائمة المستقلة بأريانة القدوة,القائمة المستقلة ر بأ يانة القدوة,397,0.22,0.22,2,agree,176054,178452,40 41
أريانة,21,agree,قائمة نداء قرطاج,ocr,قائمة نداء قرطاج,قائمة نداء قرطاج,367,0.21,0.21,2,agree,176054,178452,40 41
أريانة,22,agree,قائمة حزب الأمان,ocr,قائمة حزب الأمان,قائمة حزب الأمان,359,0.2,0.2,2,agree,176054,178452,40 41
أريانة,23,agree,قائمة حزب المجد,ocr,قائمة حزب المجد,قائمة حزب المجد,348,0.2,0.2,2,agree,176054,178452,40 41
أريانة,24,agree,قائمة حزب الجبهة الوطنية التونسية,ocr,قائمة حزب الجبهة الوطنية التونسية,قائمة حزب الجبهة الوطنية التونسية,323,0.18,0.18,2,agree,176054,178452,40 41
أريانة,25,agree,قائمة بيئتنا,ocr,قائمة بيئتنا,قائمة بيئتنا,311,0.17,0.17,2,agree,176054,178452,40 41
أريانة,26,agree,قائمة حزب الإصلاح والتنمية,ocr,قائمة حزب الإصلاح والتنمية,قائمة حزب الإصالح والتنمية,310,0.17,0.17,2,agree,176054,178452,40 41
أريانة,27,agree,قائمة الحركة الديمقراطية للإصلاح والبناء,ocr,|[ قائمة الحركة الديمقراطية للإصلاح والبناء,قائمة الحركة الديمقراطية لإلصالح والبناء,302,0.17,0.17,2,agree,176054,178452,40 41
أريانة,28,agree,قائمة حزب العمل التونيسى,ocr,قائمة حزب العمل التونسي,قائمة حزب العمل التونسي,301,0.17,0.17,2,agree,176054,178452,40 41
أريانة,29,agree,قائمة تونس فى العين,ocr,قائمة تونس فى العين,قائمة تونس في العين,291,0.16,0.16,2,agree,176054,178452,40 41
أريانة,30,agree,قائمة حزب الانفتاح والوفاء,ocr,قائمة حزب الانفتاح والوفاء,قائمة حزب الانفتاح والوفاء,275,0.15,0.15,2,agree,176054,178452,40 41
أريانة,31,agree,قائمة تونس العزيزة,ocr,قائمة تونس العزيزة,قائمة تونس العزيزة,272,0.15,0.15,2,agree,176054,178452,40 41
أريانة,32,agree,قائمة التوازن,ocr,قائمة التوازن,قائمة التوازن,262,0.15,0.15,2,agree,176054,178452,40 41
أريانة,33,agree,قائمة قائمة الكادحون,ocr,قائمة قائمة الكادحون,قائمة قائمة الكادحون,258,0.14,0.14,2,agree,176054,178452,40 41
أريانة,34,agree,قائمة ورد أربانة,ocr,قائمة ورد أربانة,قائمة رود رأ يانة,231,0.13,0.13,2,agree,176054,178452,40 41
أريانة,35,agree,قائمة صوت الفنانين,ocr,قائمة صوت الفنانين,قائمة صوت الفنانين,225,0.13,0.13,2,agree,176054,178452,40 41
أريانة,36,agree,قائمة حزب حركة التونسي,ocr,قائمة حزب حركة التونسي,قائمة حزب حركة التونسي,216,0.12,0.12,2,agree,176054,178452,40 41
أريانة,37,agree,قائمة الحزب الجمهوري المغاربي,ocr,قائمة الحزب الجمهوري المغاربي,قائمة الحزب ر الجمهو ي امل رغا بي,200,0.11,0.11,2,agree,176054,178452,40 41
أريانة,38,agree,قائمة حزب الشباب الحر,ocr,قائمة حزب الشباب الحر,قائمة حزب الشباب الحر,195,0.11,0.11,2,agree,176054,178452,40 41
أريانة,39,agree,قائمة حزب صوت شعب تونس,ocr,قائمة حزب صوت شعب تونس,قائمة حزب صوت شعب تونس,187,0.1,0.1,2,agree,176054,178452,40 41
أريانة,40,agree,قائمة حزب الغد,ocr,قائمة حزب الغد,قائمة حزب الغد,186,0.1,0.1,2,agree,176054,178452,40 41
أريانة,41,agree,قائمة حزب الربادة بالعلم والعمل,ocr,قائمة حزب الربادة بالعلم والعمل,قائمة حزب الريادة بالعلم والعمل,185,0.1,0.1,2,agree,176054,178452,40 41
أريانة,42,agree,قائمة حزب المؤتمر الشعبى,ocr,قائمة حزب المؤتمر الشعبى,قائمة حزب المؤتمرالشعبي,181,0.1,0.1,2,agree,176054,178452,40 41
أريانة,43,agree,قائمة حركة الديمقراطيين الاشتراكيين,ocr,قائمة حركة الديمقراطيين الاشتراكيين,قائمة حركة الديمقراطيين الاشتراكيين,181,0.1,0.1,2,agree,176054,178452,40 41
أريانة,44,agree,قائمة حزب البناء الوطنى,ocr,قائمة حزب البناء الوطنى,قائمة حزب البناء الوطني,175,0.1,0.1,2,agree,176054,178452,40 41
أريانة,45,agree,قائمة صوت المربى,ocr,قائمة صوت المربى,قائمة صوت المربي,172,0.1,0.1,2,agree,176054,178452,40 41
أريانة,46,agree,قائمة اتحاد شباب ديمقراطى تونسى,ocr,قائمة اتحاد شباب ديمقراطى تونسى,قائمة اتحاد شباب ديمقراطي تونسي,148,0.08,0.08,2,agree,176054,178452,40 41
أريانة,47,agree,قائمة الشعب يريد,ocr,قائمة الشعب يريد,قائمة الشعب يريد,143,0.08,0.08,2,agree,176054,178452,40 41
أريانة,48,agree,قائمة اتحاد القوى الشبابية,ocr,قائمة اتحاد القوى الشبابية,قائمة اتحاد القوى الشبابية,143,0.08,0.08,2,agree,176054,178452,40 41
أريانة,49,agree,قائمة الحزب الليبرالي التونسي,ocr,قائمة الحزب الليبرالي التونسى,قائمة الحزب الليبرالي التونسي,142,0.08,0.08,2,agree,176054,178452,40 41
أريانة,50,agree,قائمة حركة الربيع العربى,ocr,قائمة حركة الربيع العربى,قائمة حركة الربيع العربي,133,0.07,0.07,2,agree,176054,178452,40 41
أريانة,51,agree,قائمة حركة الوحدة الشعبية,ocr,قائمة حركة الوحدة الشعبية,قائمة حركة الوحدة الشعبية,131,0.07,0.07,2,agree,176054,178452,40 41
أريانة,52,agree,قائمة حزب الوسط الاجتماعي,ocr,قائمة حزب الوسط الاجتماعي,قائمة حزب الوسط الاجتماعي,113,0.06,0.06,2,agree,176054,178452,40 41
أريانة,53,agree,قائمة حزب الصحوة,ocr,قائمة حزب الصحوة,قائمة حزب الصحوة,108,0.06,0.06,2,agree,176054,178452,40 41
أريانة,54,agree,قائمة حزب الإنقاذ,ocr,قائمة حزب الإنقاذ,قائمة حزب الإنقاذ,100,0.06,0.06,2,agree,176054,178452,40 41
أريانة,55,agree,قائمة باب الأمل,ocr,قائمة باب الأمل,قائمة باب الأمل,100,0.06,0.06,2,agree,176054,178452,40 41
بن عروس,1,agree,قائمة حزب حركة نداء تونس,decision,قائمة حركة نداء تونس,قائمة حركة نداء تونس,84359,38.5,38.5,1,agree,216231,219336,42 43
بن عروس,2,agree,قائمة حزب حركة النهضة,decision,قائمة حزب حركة الهضة,قائمة حزب حركة النهضة,61420,28.0,28.0,1,agree,216231,219336,42 43
بن عروس,3,agree,قائمة حزب الاتحاد الوطني الحر,decision,قائمة حزب الاتحاد الوطني الحر,قائمة حزب الاتحاد الوطني الحر,12935,5.9,5.9,1,agree,216231,219336,42 43
بن عروس,4,agree,قائمة الجبهة الشعبية,decision,قائمة الجبهة الشعبية,قائمة الجبهة الشعبية,9534,4.3,4.3,1,agree,216231,219336,42 43
بن عروس,5,agree,قائمة حزب التيار الديمقراطي,decision,قائمة حزب التيار الديمقراضص,قائمة حزب التيارالديمقراطي,7226,3.3,3.3,1,agree,216231,219336,42 43
بن عروس,6,agree,قائمة حزب آفاق تونس,decision,قائمة حزب آفاق تونس,قائمة حزب آفاق تونس,6777,3.1,3.1,1,agree,216231,219336,42 43
بن عروس,7,agree,قائمة الحزب الجمهوري,decision,قائمة الحزب الجمبوري,قائمة الحزب ر الجمهو ي,5685,2.6,2.6,1,agree,216231,219336,42 43
بن عروس,8,agree,قائمة حزب المؤتمر من أجل الجمهورية,decision,قائمة حزب المؤتمرمن أجل الجمهورية,قائمة حزب المؤتمرمن أجل ر الجمهو ية,3198,1.5,1.5,1,agree,216231,219336,42 43
