constituency,rank,rank_check,list_name,list_name_source,list_name_ocr,list_name_text_layer,votes,share_pct,share_recomputed,share_decimals,share_check,constituency_valid_votes_lists,share_over,source_pages
تونس 1,1,agree,قائمة حزب حركة نداء تونس,decision,قائمة حركة نداء تونس,قائمة حركة نداء تونس,60295,35.22,35.22,2,agree,168077,171193,36 37
تونس 1,2,agree,قائمة حزب حركة النهضة,decision,قائمة حزب حركة الهضة,قائمة حزب حركة النهضة,53343,31.16,31.16,2,agree,168077,171193,36 37
تونس 1,3,agree,قائمة حزب الاتحاد الوطني الحر,decision,قائمة حزب الاتحاد الوطني الحر,قائمة حزب الاتحاد الوطني الحر,13714,8.01,8.01,2,agree,168077,171193,36 37
تونس 1,4,agree,قائمة حزب التيار الديمقراطي,decision,قائمة حزب التيار الديمقراطي,قائمة حزب التيارالديمقراطي,5404,3.16,3.16,2,agree,168077,171193,36 37
تونس 1,5,agree,قائمة الجبهة الشعبية,decision,قائمة الجهة الشعبية,قائمة الجبهة الشعبية,5321,3.11,3.11,2,agree,168077,171193,36 37
تونس 1,6,agree,قائمة حزب آفاق تونس,decision,قائمة حزب أفاق تونس,قائمة حزب آفاق تونس,5016,2.93,2.93,2,agree,168077,171193,36 37
تونس 1,7,agree,قائمة الحزب الجمهوري,decision,قائمة الحزب الجمبوري,قائمة الحزب ر الجمهو ي,2898,1.69,1.69,2,agree,168077,171193,36 37
تونس 1,8,agree,قائمة حزب الوحدة,ocr,قائمة حزب الوحدة,قائمة حزب الوحدة,2098,1.23,1.23,2,agree,168077,171193,36 37
تونس 1,9,agree,قائمة حزب المؤتمر من أجل الجمهورية,decision,قائمة حزب المؤتمر من أجل الجمهورية,قائمة حزب المؤتمرمن أجل ر الجمهو ية,2014,1.18,1.18,2,agree,168077,171193,36 37
تونس 1,10,agree,قائمة الاتحاد من أجل تونس,ocr,قائمة الاتحاد من أجل تونس,قائمة الاتحاد من أجل تونس,1796,1.05,1.05,2,agree,168077,171193,36 37
تونس 1,11,agree,قائمة حركة وفاء,ocr,قائمة حركة وفاء,قائمة حركة وفاء,1103,0.64,0.64,2,agree,168077,171193,36 37
تونس 1,12,agree,قائمة حزب التحالف الديمقراطي,decision,قائمة حزب التحالف الديمقراضص,قائمة حزب التحالف الديمقراطي,996,0.58,0.58,2,agree,168077,171193,36 37
تونس 1,13,agree,قائمة حزب التكتل,ocr,قائمة حزب التكتل,قائمة حزب التكتل,868,0.51,0.51,2,agree,168077,171193,36 37
تونس 1,14,agree,قائمة تيار المحبة,decision,قائمة تيار المحبة,قائمة تياراملحبة,865,0.51,0.51,2,agree,168077,171193,36 37
تونس 1,15,agree,قائمة الائتلاف الديمقراط للعمل والتنمية,ocr,قائمة الائتلاف الديمقراط للعمل والتنمية,قائمة الائتلاف الديمقراطي للعمل والتنمية,704,0.41,0.41,2,agree,168077,171193,36 37
تونس 1,16,agree,قائمة حزب صوت شعب تونس,ocr,قائمة حزب صوت شعب تونس,قائمة حزب صوت شعب تونس,680,0.4,0.4,2,agree,168077,171193,36 37
تونس 1,17,agree,القائمة الدستورية الموحدة,ocr,القائمة الدستورية الموحدة,القائمة ر الدستو ية الموحدة,664,0.39,0.39,2,agree,168077,171193,36 37
تونس 1,18,agree,قائمة حزب حركة الشعب,decision,قائمة حركة الشعب,قائمة حركة الشعب,621,0.36,0.36,2,agree,168077,171193,36 37
تونس 1,19,agree,قائمة الحزب الإسلامي التونبى,ocr,قائمة الحزب الإسلامي التونبى,قائمة الحزب الإسالمي التونسي,584,0.34,0.34,2,agree,168077,171193,36 37
تونس 1,20,agree,قائمة حزب العريضة الشعبية,ocr,قائمة حزب العريضة الشعبية,قائمة حزب العريضة الشعبية,564,0.33,0.33,2,agree,168077,171193,36 37
تونس 1,21,agree,قائمة حزب المجد,ocr,قائمة حزب المجد,قائمة حزب المجد,514,0.3,0.3,2,agree,168077,171193,36 37
تونس 1,22,agree,قائمة أمل تونس,ocr,قائمة أمل تونس,قائمة أمل تونس,509,0.3,0.3,2,agree,168077,171193,36 37
تونس 1,23,agree,قائمة حركة الديمقراطيين الاشتراكيين,ocr,قائمة حركة الديمقراطيين الاشتراكيين,قائمة حركة الديمقراطيين الاشتراكيين,459,0.27,0.27,2,agree,168077,171193,36 37
تونس 1,24,agree,قائمة البؤساء,ocr,قائمة البؤساء,قائمة البؤساء,439,0.26,0.26,2,agree,168077,171193,36 37
تونس 1,25,agree,قائمة حزب الجبهة الوطنية التونسية,ocr,قائمة حزب الجيهة الوطنية التونسية,قائمة حزب الجبهة الوطنية التونسية,437,0.26,0.26,2,agree,168077,171193,36 37
تونس 1,26,agree,قائمة حزب الخضر للتقدم,ocr,قائمة حزب الخضر للتقدم,قائمة حزب الخضرللتقدم,436,0.25,0.25,2,agree,168077,171193,36 37
تونس 1,27,agree,قائمة اتحاد القوى الشبابية,ocr,قائمة اتحاد القوى الشبابية,قائمة اتحاد القوى الشبابية,404,0.24,0.24,2,agree,168077,171193,36 37
تونس 1,28,agree,قائمة الحزب التونبي,ocr,قائمة الحزب التونبي,قائمة الحزب التونسي,396,0.23,0.23,2,agree,168077,171193,36 37
تونس 1,29,agree,قائمة الحزب الاشتراى,ocr,قائمة الحزب الاشتراى,قائمة الحزب الاشتراكي,378,0.22,0.22,2,agree,168077,171193,36 37
تونس 1,30,agree,قائمة حزب البناء الوطنى,ocr,قائمة حزب البناء الوطني,قائمة حزب البناء الوطني,360,0.21,0.21,2,agree,168077,171193,36 37
تونس 1,31,agree,قائمة حزب الإصلاح والتنمية,ocr,قائمة حزب الإصلاح والتنمية,قائمة حزب الإصالح والتنمية,359,0.21,0.21,2,agree,168077,171193,36 37
تونس 1,32,agree,قائمة التكافل الاجتماعي,ocr,قائمة التكافل الاجتماعي,قائمة التكافل الاجتماعي,356,0.21,0.21,2,agree,168077,171193,36 37
تونس 1,33,agree,قائمة الحزب الشعبي التقدمى,ocr,قائمة الحزب الشعبي التقدمى,قائمة الحزب الشعبي التقدمي,341,0.2,0.2,2,agree,168077,171193,36 37
تونس 1,34,agree,قائمة حزب حركة الديمقراطيين الاجتماعيين,decision,قائمة حركة الديمقراطيين الاجتماعيين,قائمة حركة الديمقراطيين الاجتماعيين,335,0.2,0.2,2,agree,168077,171193,36 37
تونس 1,35,agree,قائمة حزب الأمان,ocr,قائمة حزب الأمان,قائمة حزب الأمان,329,0.19,0.19,2,agree,168077,171193,36 37
تونس 1,36,agree,قائمة إرادة الشعب,ocr,قائمة إرادة الشعب,قائمة رإ ادة الشعب,285,0.17,0.17,2,agree,168077,171193,36 37
تونس 1,37,agree,قائمة نحب بلادى نظيفة,ocr,قائمة نحب بلادى نظيفة,قائمة نحب بالدي نظيفة,282,0.16,0.16,2,agree,168077,171193,36 37
تونس 1,38,agree,قائمة حركة الشباب الوطني التونسي,ocr,قائمة حركة الشباب الوطني التونسي,قائمة حركة الشباب الوطني التونسي,276,0.16,0.16,2,agree,168077,171193,36 37
تونس 1,39,agree,قائمة الشعب يريد,ocr,قائمة الشعب يريد,قائمة الشعب يريد,267,0.16,0.16,2,agree,168077,171193,36 37
تونس 1,40,agree,قائمة حزب العمل التونيسى,ocr,قائمة حزب العمل التونسى,قائمة حزب العمل التونسي,257,0.15,0.15,2,agree,168077,171193,36 37
تونس 1,41,agree,قائمة حزب الانفتاح والوفاء,ocr,قائمة حزب الانفتاح والوفاء,قائمة حزب الانفتاح والوفاء,249,0.15,0.15,2,agree,168077,171193,36 37
تونس 1,42,agree,قائمة حزب المؤتمر الشعبى,ocr,قائمة حزب المؤتمر الشعبى,قائمة حزب المؤتمرالشعبي,245,0.14,0.14,2,agree,168077,171193,36 37
تونس 1,43,agree,قائمة اتحاد الشباب الديمقراطى التونسى,ocr,قائمة اتحاد الشباب الديمقراط التونيسى,قائمة اتحاد الشباب الديمقراطي التونسي,170,0.1,0.1,2,agree,168077,171193,36 37
تونس 1,44,agree,قائمة الحزب الليبرالي التونسي,ocr,قائمة الحزب الليبرالي التونسي,قائمة الحزب الليبرالي التونسي,159,0.09,0.09,2,agree,168077,171193,36 37
تونس 1,45,agree,قائمة تونس موش للبيع,ocr,قائمة تونس موش للبيع,قائمة تونس موش للبيع,151,0.09,0.09,2,agree,168077,171193,36 37
