adm3_pcode,governorate_name,delegation_name,n_stations,n_read,read_pct,stations_with_any,any_pct,any_lo_pct,any_hi_pct,representatives,reps_per_100_stations,reps_saied,reps_zammel,reps_maghzaoui,stations_with_saied,stations_with_zammel,stations_with_maghzaoui,stations_with_saied_pct,stations_with_zammel_pct,stations_with_maghzaoui_pct,unattributed
TN1252,Ariana,Soukra,80,40,50.0,18,45.0,30.7,60.2,20,50.0,20,0,0,18,0,0,45.0,0.0,0.0,0
TN1253,Ariana,Raoued,69,27,39.1,7,25.9,13.2,44.7,7,25.9,7,0,0,7,0,0,25.9,0.0,0.0,0
TN1254,Ariana,Kalaat El Andalous,22,10,45.5,9,90.0,59.6,98.2,9,90.0,9,0,0,9,0,0,90.0,0.0,0.0,0
TN1255,Ariana,Sidi Thabet,22,12,54.5,10,83.3,55.2,95.3,10,83.3,10,0,0,10,0,0,83.3,0.0,0.0,0
TN1256,Ariana,Ettadhamen,56,20,35.7,19,95.0,76.4,99.1,19,95.0,19,0,0,19,0,0,95.0,0.0,0.0,0
TN1257,Ariana,Mnihla,57,19,33.3,15,78.9,56.7,91.5,16,84.2,15,0,1,15,0,1,78.9,0.0,5.3,0
TN1351,Ben Arous,Ben Arous,28,9,32.1,3,33.3,12.1,64.6,3,33.3,2,0,1,2,0,1,22.2,0.0,11.1,1
TN1352,Ben Arous,Nouvelle Médina,44,26,59.1,8,30.8,16.5,50.0,8,30.8,8,0,0,8,0,0,30.8,0.0,0.0,0
TN1353,Ben Arous,El Mourouj,72,32,44.4,10,31.2,18.0,48.6,10,31.2,6,0,4,6,0,4,18.8,0.0,12.5,0
TN1354,Ben Arous,Hammam Lif,35,18,51.4,7,38.9,20.3,61.4,7,38.9,6,0,1,6,0,1,33.3,0.0,5.6,0
TN1355,Ben Arous,Hammam Chott,25,12,48.0,3,25.0,8.9,53.2,3,25.0,3,0,0,3,0,0,25.0,0.0,0.0,0
TN1356,Ben Arous,Boumhel,28,7,25.0,4,57.1,25.0,84.2,4,57.1,4,0,0,4,0,0,57.1,0.0,0.0,0
TN1357,Ben Arous,Ezzahra,28,7,25.0,0,0.0,0.0,35.4,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN1358,Ben Arous,Radès,44,24,54.5,19,79.2,59.5,90.8,19,79.2,19,0,0,19,0,0,79.2,0.0,0.0,1
TN1359,Ben Arous,Mégrine,23,2,8.7,2,100.0,34.2,100.0,2,100.0,2,0,0,2,0,0,100.0,0.0,0.0,0
TN1360,Ben Arous,M'Hamdia,51,19,37.3,10,52.6,31.7,72.7,13,68.4,11,0,2,10,0,2,52.6,0.0,10.5,0
TN1361,Ben Arous,Fouchana,55,20,36.4,11,55.0,34.2,74.2,13,65.0,9,0,4,9,0,4,45.0,0.0,20.0,2
TN1362,Ben Arous,Mornag,52,20,38.5,5,25.0,11.2,46.9,5,25.0,5,0,0,5,0,0,25.0,0.0,0.0,0
TN1451,Manubah,Manouba,52,27,51.9,11,40.7,24.5,59.3,12,44.4,11,0,1,11,0,1,40.7,0.0,3.7,0
TN1452,Manubah,Douar Hicher,51,15,29.4,5,33.3,15.2,58.3,5,33.3,5,0,0,5,0,0,33.3,0.0,0.0,0
TN1453,Manubah,Oued Ellil,48,16,33.3,8,50.0,28.0,72.0,9,56.2,7,0,2,7,0,2,43.8,0.0,12.5,0
TN1454,Manubah,Mornaguia,32,14,43.8,12,85.7,60.1,96.0,14,100.0,14,0,0,12,0,0,85.7,0.0,0.0,0
TN1455,Manubah,Borj El Amri,18,8,44.4,8,100.0,67.6,100.0,8,100.0,8,0,0,8,0,0,100.0,0.0,0.0,0
TN1456,Manubah,Jedaida,34,15,44.1,6,40.0,19.8,64.3,7,46.7,7,0,0,6,0,0,40.0,0.0,0.0,0
TN1457,Manubah,Tebourba,34,11,32.4,4,36.4,15.2,64.6,5,45.5,5,0,0,4,0,0,36.4,0.0,0.0,0
TN1458,Manubah,El Battan,15,8,53.3,7,87.5,52.9,97.8,8,100.0,8,0,0,7,0,0,87.5,0.0,0.0,0
TN1551,Nabeul,Nabeul,58,14,24.1,6,42.9,21.4,67.4,6,42.9,6,0,0,6,0,0,42.9,0.0,0.0,0
TN1552,Nabeul,Dar Chaabane El Fehri,43,19,44.2,4,21.1,8.5,43.3,4,21.1,4,0,0,4,0,0,21.1,0.0,0.0,1
TN1553,Nabeul,Beni Khiar,33,15,45.5,12,80.0,54.8,93.0,12,80.0,12,0,0,12,0,0,80.0,0.0,0.0,1
TN1554,Nabeul,Korba,55,21,38.2,4,19.0,7.7,40.0,4,19.0,4,0,0,4,0,0,19.0,0.0,0.0,0
TN1555,Nabeul,Menzel Temime,52,24,46.2,19,79.2,59.5,90.8,20,83.3,20,0,0,19,0,0,79.2,0.0,0.0,0
TN1556,Nabeul,El Mida,24,9,37.5,3,33.3,12.1,64.6,3,33.3,3,0,0,3,0,0,33.3,0.0,0.0,0
TN1557,Nabeul,Kelibia,47,20,42.6,6,30.0,14.5,51.9,6,30.0,6,0,0,6,0,0,30.0,0.0,0.0,0
TN1558,Nabeul,Hammam Ghezaz,15,5,33.3,2,40.0,11.8,76.9,2,40.0,2,0,0,2,0,0,40.0,0.0,0.0,0
TN1559,Nabeul,Haouaria,38,18,47.4,6,33.3,16.3,56.3,8,44.4,8,0,0,6,0,0,33.3,0.0,0.0,0
TN1560,Nabeul,Takelsa,21,10,47.6,3,30.0,10.8,60.3,3,30.0,3,0,0,3,0,0,30.0,0.0,0.0,0
TN1561,Nabeul,Soliman,41,18,43.9,14,77.8,54.8,91.0,15,83.3,15,0,0,14,0,0,77.8,0.0,0.0,0
TN1562,Nabeul,Menzel Bouzelfa,31,14,45.2,5,35.7,16.3,61.2,5,35.7,5,0,0,5,0,0,35.7,0.0,0.0,0
TN1563,Nabeul,Beni Khalled,32,13,40.6,4,30.8,12.7,57.6,4,30.8,4,0,0,4,0,0,30.8,0.0,0.0,0
TN1564,Nabeul,Grombalia,50,17,34.0,4,23.5,9.6,47.3,4,23.5,4,0,0,4,0,0,23.5,0.0,0.0,0
TN1565,Nabeul,Bou Argoub,28,11,39.3,1,9.1,1.6,37.7,1,9.1,1,0,0,1,0,0,9.1,0.0,0.0,0
TN1566,Nabeul,Hammamet,77,32,41.6,10,31.2,18.0,48.6,10,31.2,10,0,0,10,0,0,31.2,0.0,0.0,0
TN1651,Zaghouan,Zaghouan,37,11,29.7,8,72.7,43.4,90.3,12,109.1,12,0,0,8,0,0,72.7,0.0,0.0,0
TN1652,Zaghouan,Zriba,19,10,52.6,9,90.0,59.6,98.2,15,150.0,14,0,1,9,0,1,90.0,0.0,10.0,2
TN1653,Zaghouan,Bir Mchergua,22,2,9.1,2,100.0,34.2,100.0,2,100.0,2,0,0,2,0,0,100.0,0.0,0.0,0
TN1654,Zaghouan,Fahs,48,33,68.8,19,57.6,40.8,72.8,22,66.7,22,0,0,19,0,0,57.6,0.0,0.0,0
TN1655,Zaghouan,Nadhour,29,11,37.9,9,81.8,52.3,94.9,12,109.1,12,0,0,9,0,0,81.8,0.0,0.0,0
TN1656,Zaghouan,Saouaf,15,2,13.3,2,100.0,34.2,100.0,5,250.0,5,0,0,2,0,0,100.0,0.0,0.0,0
TN1751,Bizerte,Bizerte Nord,74,25,33.8,4,16.0,6.4,34.7,5,20.0,4,0,1,4,0,1,16.0,0.0,4.0,0
TN1752,Bizerte,Jarzouna,20,10,50.0,6,60.0,31.3,83.2,6,60.0,6,0,0,6,0,0,60.0,0.0,0.0,0
TN1753,Bizerte,Bizerte Sud,42,17,40.5,5,29.4,13.3,53.1,6,35.3,6,0,0,5,0,0,29.4,0.0,0.0,0
TN1754,Bizerte,Sejnane,40,14,35.0,5,35.7,16.3,61.2,8,57.1,8,0,0,5,0,0,35.7,0.0,0.0,0
TN1755,Bizerte,Joumine,32,12,37.5,8,66.7,39.1,86.2,8,66.7,8,0,0,8,0,0,66.7,0.0,0.0,0
TN1756,Bizerte,Mateur,40,16,40.0,6,37.5,18.5,61.4,7,43.8,7,0,0,6,0,0,37.5,0.0,0.0,1
TN1757,Bizerte,Ghazala,29,10,34.5,8,80.0,49.0,94.3,8,80.0,8,0,0,8,0,0,80.0,0.0,0.0,0
TN1758,Bizerte,Menzel Bourguiba,47,21,44.7,2,9.5,2.7,28.9,2,9.5,2,0,0,2,0,0,9.5,0.0,0.0,0
TN1759,Bizerte,Tinja,17,9,52.9,4,44.4,18.9,73.3,4,44.4,4,0,0,4,0,0,44.4,0.0,0.0,0
TN1760,Bizerte,Utique,19,8,42.1,5,62.5,30.6,86.3,5,62.5,5,0,0,5,0,0,62.5,0.0,0.0,1
TN1761,Bizerte,Ghar El Melh,18,9,50.0,6,66.7,35.4,87.9,6,66.7,6,0,0,6,0,0,66.7,0.0,0.0,0
TN1762,Bizerte,Menzel Jemil,40,18,45.0,12,66.7,43.7,83.7,14,77.8,14,0,0,12,0,0,66.7,0.0,0.0,0
TN1763,Bizerte,El Alia,24,10,41.7,9,90.0,59.6,98.2,10,100.0,10,0,0,9,0,0,90.0,0.0,0.0,0
TN1764,Bizerte,Ras Jebel,51,21,41.2,14,66.7,45.4,82.8,14,66.7,14,0,0,14,0,0,66.7,0.0,0.0,0
TN2151,Béja,Béja Nord,62,22,35.5,10,45.5,26.9,65.3,13,59.1,12,0,1,10,0,1,45.5,0.0,4.5,0
TN2152,Béja,Béja Sud,31,12,38.7,7,58.3,32.0,80.7,8,66.7,8,0,0,7,0,0,58.3,0.0,0.0,0
TN2153,Béja,Amdoun,23,9,39.1,9,100.0,70.1,100.0,18,200.0,18,0,0,9,0,0,100.0,0.0,0.0,0
TN2154,Béja,Nefza,47,18,38.3,18,100.0,82.4,100.0,32,177.8,28,0,4,18,0,4,100.0,0.0,22.2,1
TN2155,Béja,Téboursouk,24,11,45.8,9,81.8,52.3,94.9,10,90.9,10,0,0,9,0,0,81.8,0.0,0.0,0
TN2156,Béja,Thibar,10,7,70.0,6,85.7,48.7,97.4,8,114.3,8,0,0,6,0,0,85.7,0.0,0.0,0
TN2157,Béja,Testour,36,14,38.9,11,78.6,52.4,92.4,16,114.3,16,0,0,11,0,0,78.6,0.0,0.0,1
TN2158,Béja,Goubellat,17,6,35.3,4,66.7,30.0,90.3,8,133.3,8,0,0,4,0,0,66.7,0.0,0.0,1
TN2159,Béja,Mejez El Bab,39,18,46.2,3,16.7,5.8,39.2,3,16.7,3,0,0,3,0,0,16.7,0.0,0.0,0
TN2251,Jendouba,Jendouba Sud,65,34,52.3,16,47.1,31.5,63.3,17,50.0,15,0,2,14,0,2,41.2,0.0,5.9,1
TN2252,Jendouba,Jendouba Nord,39,16,41.0,9,56.2,33.2,76.9,15,93.8,15,0,0,9,0,0,56.2,0.0,0.0,0
