adm3_pcode,governorate_name,delegation_name,n_stations,n_read,read_pct,stations_with_any,any_pct,any_lo_pct,any_hi_pct,representatives,reps_per_100_stations,reps_saied,reps_zammel,reps_maghzaoui,stations_with_saied,stations_with_zammel,stations_with_maghzaoui,stations_with_saied_pct,stations_with_zammel_pct,stations_with_maghzaoui_pct,unattributed
TN4152,Kairouan,Kairouan Sud,37,14,37.8,10,71.4,45.4,88.3,11,78.6,11,0,0,10,0,0,71.4,0.0,0.0,0
TN4153,Kairouan,Chebika,26,16,61.5,8,50.0,28.0,72.0,8,50.0,8,0,0,8,0,0,50.0,0.0,0.0,0
TN4154,Kairouan,Sbikha,39,37,94.9,21,56.8,40.9,71.3,26,70.3,26,0,0,21,0,0,56.8,0.0,0.0,0
TN4155,Kairouan,Oueslatia,34,12,35.3,8,66.7,39.1,86.2,13,108.3,13,0,0,8,0,0,66.7,0.0,0.0,2
TN4156,Kairouan,Haffouz,26,5,19.2,4,80.0,37.6,96.4,4,80.0,4,0,0,4,0,0,80.0,0.0,0.0,0
TN4157,Kairouan,Alaa,31,12,38.7,6,50.0,25.4,74.6,7,58.3,7,0,0,6,0,0,50.0,0.0,0.0,3
TN4158,Kairouan,Hajeb El Ayoun,39,9,23.1,8,88.9,56.5,98.0,8,88.9,8,0,0,8,0,0,88.9,0.0,0.0,0
TN4159,Kairouan,Nasrallah,33,10,30.3,6,60.0,31.3,83.2,7,70.0,7,0,0,6,0,0,60.0,0.0,0.0,0
TN4160,Kairouan,Chrarda,27,7,25.9,3,42.9,15.8,75.0,4,57.1,4,0,0,3,0,0,42.9,0.0,0.0,0
TN4161,Kairouan,Bouhajla,44,17,38.6,7,41.2,21.6,64.0,7,41.2,7,0,0,7,0,0,41.2,0.0,0.0,1
TN4251,Kassérine,Kasserine Nord,56,22,39.3,8,36.4,19.7,57.0,8,36.4,8,0,0,8,0,0,36.4,0.0,0.0,0
TN4252,Kassérine,Kasserine Sud,18,8,44.4,5,62.5,30.6,86.3,6,75.0,6,0,0,5,0,0,62.5,0.0,0.0,0
TN4253,Kassérine,Ezzouhour,22,9,40.9,6,66.7,35.4,87.9,8,88.9,8,0,0,6,0,0,66.7,0.0,0.0,0
TN4254,Kassérine,Hassi El Ferid,25,10,40.0,8,80.0,49.0,94.3,13,130.0,13,0,0,8,0,0,80.0,0.0,0.0,1
TN4255,Kassérine,Sbeitla,75,32,42.7,7,21.9,11.0,38.8,8,25.0,8,0,0,7,0,0,21.9,0.0,0.0,1
TN4256,Kassérine,Sbiba,44,18,40.9,10,55.6,33.7,75.4,11,61.1,11,0,0,10,0,0,55.6,0.0,0.0,0
TN4257,Kassérine,Jedeliane,17,6,35.3,3,50.0,18.8,81.2,3,50.0,3,0,0,3,0,0,50.0,0.0,0.0,0
TN4258,Kassérine,Ayoun,22,10,45.5,4,40.0,16.8,68.7,4,40.0,4,0,0,4,0,0,40.0,0.0,0.0,0
TN4259,Kassérine,Thala,35,10,28.6,4,40.0,16.8,68.7,4,40.0,4,0,0,4,0,0,40.0,0.0,0.0,0
TN4260,Kassérine,Hidra,12,5,41.7,0,0.0,0.0,43.4,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN4261,Kassérine,Foussana,44,16,36.4,3,18.8,6.6,43.0,4,25.0,4,0,0,3,0,0,18.8,0.0,0.0,1
TN4262,Kassérine,Feriana,55,28,50.9,22,78.6,60.5,89.8,25,89.3,25,0,0,22,0,0,78.6,0.0,0.0,3
TN4263,Kassérine,Majel Belabbes,29,10,34.5,6,60.0,31.3,83.2,12,120.0,12,0,0,6,0,0,60.0,0.0,0.0,0
TN4351,Sidi Bou Zid,Sidi Bouzid Ouest,69,26,37.7,14,53.8,35.5,71.2,15,57.7,15,0,0,14,0,0,53.8,0.0,0.0,1
TN4352,Sidi Bou Zid,Sidi Bouzid Est,47,16,34.0,8,50.0,28.0,72.0,12,75.0,12,0,0,8,0,0,50.0,0.0,0.0,1
TN4353,Sidi Bou Zid,Jelma,37,13,35.1,10,76.9,49.7,91.8,11,84.6,11,0,0,10,0,0,76.9,0.0,0.0,0
TN4354,Sidi Bou Zid,Sabalat Ouled Asker,21,7,33.3,3,42.9,15.8,75.0,5,71.4,5,0,0,3,0,0,42.9,0.0,0.0,0
TN4355,Sidi Bou Zid,Bir El Hfay,36,13,36.1,9,69.2,42.4,87.3,11,84.6,11,0,0,9,0,0,69.2,0.0,0.0,0
TN4356,Sidi Bou Zid,Sidi Ali Ben Aoun,26,9,34.6,8,88.9,56.5,98.0,11,122.2,11,0,0,8,0,0,88.9,0.0,0.0,2
TN4357,Sidi Bou Zid,Menzel Bouzaiene,35,14,40.0,13,92.9,68.5,98.7,16,114.3,14,0,2,13,0,2,92.9,0.0,14.3,0
TN4358,Sidi Bou Zid,Meknassi,24,12,50.0,12,100.0,75.7,100.0,18,150.0,12,0,6,11,0,6,91.7,0.0,50.0,1
TN4359,Sidi Bou Zid,Souk Jedid,25,13,52.0,9,69.2,42.4,87.3,12,92.3,12,0,0,9,0,0,69.2,0.0,0.0,1
TN4360,Sidi Bou Zid,Mazzouna,28,18,64.3,16,88.9,67.2,96.9,24,133.3,24,0,0,16,0,0,88.9,0.0,0.0,3
TN4361,Sidi Bou Zid,Regueb,66,24,36.4,13,54.2,35.1,72.1,17,70.8,17,0,0,13,0,0,54.2,0.0,0.0,1
TN4362,Sidi Bou Zid,Ouled Haffouz,26,11,42.3,3,27.3,9.7,56.6,6,54.5,6,0,0,3,0,0,27.3,0.0,0.0,1
TN5151,Gabès,Gabès Médina,37,18,48.6,10,55.6,33.7,75.4,10,55.6,7,0,3,7,0,3,38.9,0.0,16.7,0
TN5152,Gabès,Gabès Ouest,25,8,32.0,8,100.0,67.6,100.0,9,112.5,8,0,1,8,0,1,100.0,0.0,12.5,0
TN5153,Gabès,Gabès Sud,56,24,42.9,12,50.0,31.4,68.6,16,66.7,9,0,7,8,0,7,33.3,0.0,29.2,0
TN5154,Gabès,Ghannouch,22,8,36.4,6,75.0,40.9,92.9,6,75.0,6,0,0,6,0,0,75.0,0.0,0.0,0
TN5155,Gabès,Metouia,26,8,30.8,7,87.5,52.9,97.8,7,87.5,7,0,0,7,0,0,87.5,0.0,0.0,0
TN5156,Gabès,Menzel Habib,20,12,60.0,9,75.0,46.8,91.1,14,116.7,14,0,0,9,0,0,75.0,0.0,0.0,0
TN5157,Gabès,Hamma,58,23,39.7,17,73.9,53.5,87.5,28,121.7,15,0,13,15,0,13,65.2,0.0,56.5,1
TN5158,Gabès,Matmata,11,5,45.5,4,80.0,37.6,96.4,4,80.0,4,0,0,4,0,0,80.0,0.0,0.0,0
TN5159,Gabès,Matmata Nouvelle,17,6,35.3,4,66.7,30.0,90.3,4,66.7,4,0,0,4,0,0,66.7,0.0,0.0,0
TN5160,Gabès,Mareth,65,25,38.5,21,84.0,65.3,93.6,29,116.0,26,0,3,21,0,3,84.0,0.0,12.0,0
TN5251,Médenine,Médenine Nord,50,15,30.0,5,33.3,15.2,58.3,5,33.3,5,0,0,5,0,0,33.3,0.0,0.0,0
TN5252,Médenine,Médenine Sud,62,31,50.0,14,45.2,29.2,62.2,15,48.4,14,0,1,14,0,1,45.2,0.0,3.2,0
TN5253,Médenine,Beni Khedache,40,15,37.5,10,66.7,41.7,84.8,12,80.0,12,0,0,10,0,0,66.7,0.0,0.0,0
TN5254,Médenine,Ben Guerdane,70,26,37.1,17,65.4,46.2,80.6,18,69.2,14,0,4,14,0,4,53.8,0.0,15.4,2
TN5255,Médenine,Zarzis,81,38,46.9,23,60.5,44.7,74.4,27,71.1,21,0,6,21,0,6,55.3,0.0,15.8,0
TN5256,Médenine,Houmt Souk,62,21,33.9,14,66.7,45.4,82.8,17,81.0,10,0,7,10,0,7,47.6,0.0,33.3,0
TN5257,Médenine,Djerba Midoun,55,29,52.7,7,24.1,12.2,42.1,8,27.6,7,0,1,7,0,1,24.1,0.0,3.4,1
TN5258,Médenine,Djerba Ajim,25,6,24.0,3,50.0,18.8,81.2,3,50.0,3,0,0,3,0,0,50.0,0.0,0.0,1
TN5259,Médenine,Sidi Makhlouf,31,11,35.5,5,45.5,21.3,72.0,6,54.5,6,0,0,5,0,0,45.5,0.0,0.0,0
TN5351,Tataouine,Tataouine Nord,65,29,44.6,14,48.3,31.4,65.6,16,55.2,16,0,0,14,0,0,48.3,0.0,0.0,1
TN5352,Tataouine,Tataouine Sud,40,18,45.0,4,22.2,9.0,45.2,4,22.2,4,0,0,4,0,0,22.2,0.0,0.0,0
TN5353,Tataouine,Samar,22,11,50.0,5,45.5,21.3,72.0,5,45.5,5,0,0,5,0,0,45.5,0.0,0.0,0
TN5354,Tataouine,Bir Lahmar,12,4,33.3,0,0.0,0.0,49.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN5355,Tataouine,Ghomrassen,23,6,26.1,0,0.0,0.0,39.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN5356,Tataouine,Dhiba,8,4,50.0,4,100.0,51.0,100.0,6,150.0,6,0,0,4,0,0,100.0,0.0,0.0,0
TN5357,Tataouine,Remada,16,4,25.0,4,100.0,51.0,100.0,4,100.0,4,0,0,4,0,0,100.0,0.0,0.0,0
TN6151,Gafsa,Gafsa Nord,15,9,60.0,7,77.8,45.3,93.7,9,100.0,9,0,0,7,0,0,77.8,0.0,0.0,0
TN6152,Gafsa,Sidi Aich,14,7,50.0,3,42.9,15.8,75.0,3,42.9,3,0,0,3,0,0,42.9,0.0,0.0,0
TN6153,Gafsa,Ksar,30,13,43.3,12,92.3,66.7,98.6,16,123.1,6,0,10,5,0,9,38.5,0.0,69.2,0
TN6154,Gafsa,Gafsa Sud,85,28,32.9,17,60.7,42.4,76.4,22,78.6,21,0,1,17,0,1,60.7,0.0,3.6,0
TN6155,Gafsa,Oum Larais,34,16,47.1,4,25.0,10.2,49.5,4,25.0,4,0,0,4,0,0,25.0,0.0,0.0,1
TN6156,Gafsa,Redeyef,25,7,28.0,7,100.0,64.6,100.0,8,114.3,8,0,0,7,0,0,100.0,0.0,0.0,0
TN6157,Gafsa,Metlaoui,33,14,42.4,9,64.3,38.8,83.7,9,64.3,9,0,0,9,0,0,64.3,0.0,0.0,0
TN6158,Gafsa,Mdhilla,14,9,64.3,5,55.6,26.7,81.1,7,77.8,7,0,0,5,0,0,55.6,0.0,0.0,0
TN6159,Gafsa,Guetar,18,6,33.3,2,33.3,9.7,70.0,2,33.3,2,0,0,2,0,0,33.3,0.0,0.0,0
TN6160,Gafsa,Belkhir,20,6,30.0,6,100.0,61.0,100.0,7,116.7,7,0,0,6,0,0,100.0,0.0,0.0,0
TN6161,Gafsa,Sened,39,17,43.6,14,82.4,59.0,93.8,15,88.2,15,0,0,14,0,0,82.4,0.0,0.0,0
TN6251,Tozeur,Tozeur,36,17,47.2,11,64.7,41.3,82.7,11,64.7,10,0,1,10,0,1,58.8,0.0,5.9,0
TN6252,Tozeur,Degueche,29,9,31.0,6,66.7,35.4,87.9,8,88.9,8,0,0,6,0,0,66.7,0.0,0.0,0
TN6253,Tozeur,Tamaghza,11,3,27.3,3,100.0,43.8,100.0,4,133.3,4,0,0,3,0,0,100.0,0.0,0.0,0
TN6254,Tozeur,Nefta,19,9,47.4,6,66.7,35.4,87.9,6,66.7,5,0,1,5,0,1,55.6,0.0,11.1,0
TN6255,Tozeur,Hazoua,6,3,50.0,2,66.7,20.8,93.9,2,66.7,2,0,0,2,0,0,66.7,0.0,0.0,0
TN6351,Kebili,Kebili Sud,28,15,53.6,10,66.7,41.7,84.8,15,100.0,11,0,4,9,0,4,60.0,0.0,26.7,1
TN6352,Kebili,Kebili Nord,29,9,31.0,7,77.8,45.3,93.7,10,111.1,6,0,4,6,0,4,66.7,0.0,44.4,1
TN6353,Kebili,Souk El Ahed,32,14,43.8,10,71.4,45.4,88.3,10,71.4,0,0,10,0,0,10,0.0,0.0,71.4,0
TN6354,Kebili,Douz Nord,26,9,34.6,4,44.4,18.9,73.3,5,55.6,2,0,3,2,0,3,22.2,0.0,33.3,1
TN6355,Kebili,Douz Sud,16,9,56.2,5,55.6,26.7,81.1,5,55.6,3,0,2,3,0,2,33.3,0.0,22.2,0
TN6356,Kebili,Faouar,21,6,28.6,1,16.7,3.0,56.4,1,16.7,1,0,0,1,0,0,16.7,0.0,0.0,0
