historical_name,name_key,columns,cells,modern_level,modern_name,governorate_name,id_delegation,method,score,note
Ain-Draham,ain draham,caidat_1926 caidat_1931,50,delegation,Ain Draham,Jendouba,2255,exact,1.0000,
Aradh,aradh,caidat_1926 caidat_1931,56,,,,,no_modern_equivalent,,"tribal caidat (Arad, Gabes region)"
Bizerte,bizerte,caidat_1926 caidat_1931 controle_civil_1931,124,governorate,Bizerte,Bizerte,,exact,1.0000,
Béja,beja,caidat_1926 caidat_1931 controle_civil_1931,100,governorate,Béja,Béja,,exact,1.0000,
Cercle militaire de Tatahouine,cercle militaire de tatahouine,controle_civil_1931,22,governorate,Tataouine,Tataouine,,manual,1.0000,colonial military circle over what is now Tataouine
Dehibat,dehibat,delegation_1956,1,delegation,Dhehiba,Tataouine,5356,fuzzy,0.8571,transliteration variant
Djebeniana,djebeniana,caidat_1926 caidat_1931,36,delegation,Djebeniana,Sfax,3458,exact,1.0000,
Djelass,djelass,caidat_1926 caidat_1931,58,,,,,no_modern_equivalent,,tribal caidat
Djemmal,djemmal,delegation_1956,2,delegation,Jammel,Monastir,3256,manual,1.0000,transliteration; INS spells it Jammel
Djerba,djerba,caidat_1926 caidat_1931 controle_civil_1931,58,governorate,Medenine,Medenine,,manual,1.0000,"island, now three delegations of Medenine"
Djerid,djerid,caidat_1926 caidat_1931,50,governorate,Tozeur,Tozeur,,manual,1.0000,"oasis region, now Tozeur governorate"
El Jem,el jem,delegation_1956,3,delegation,El Djem,Mahdia,3357,fuzzy,0.9231,transliteration variant
Enfidha,enfidha,delegation_1956,1,delegation,Enfidha,Sousse,3160,exact,1.0000,
Fahs,fahs,delegation_1956,3,delegation,El Fahs,Zaghouan,1654,manual,1.0000,same name; the INS list carries the article
Feriana,feriana,delegation_1956,1,delegation,Feriana,Kasserine,4262,exact,1.0000,
Fraichiches,fraichiches,caidat_1926 caidat_1931,28,,,,,no_modern_equivalent,,tribal caidat (Kasserine steppe)
Gabès,gabes,controle_civil_1931,33,governorate,Gabès,Gabès,,exact,1.0000,
