rank,list_name,seats
1,قائمة حزب حركة نداء تونس,86
2,قائمة حزب حركة النهضة,69
3,قائمة حزب الاتحاد الوطني الحر,16
4,قائمة الجبهة الشعبية,15
5,قائمة حزب آفاق تونس,8
6,قائمة حزب المؤتمر من أجل الجمهورية,4
7,قائمة حزب التيار الديمقراطي,3
8,قائمة حزب المبادرة,3
9,قائمة حزب حركة الشعب,3
10,قائمة تيار المحبة,2
11,قائمة الجبهة الوطنية للإنقاذ,1
12,قائمة الحزب الجمهوري,1
13,قائمة حزب التحالف الديمقراطي,1
14,قائمة حزب حركة الديمقراطيين الاجتماعيين,1
15,قائمة حزب صوت الفلاحين,1
16,قائمة رد الاعتبار,1
17,قائمة لمجد الجريد,1
18,قائمة نداء التونسيين بالخارج,1
