bureau_code,isie_code,governorate_ar,delegation_ar,sector_ar,polling_centre_ar,governorate_name,delegation_name,region_name,id_delegation,adm3_pcode,imada_name_ar,imada_name,adm4_pcode,imada_match_score,imada_match_method,registered,voters,valid,blank,spoilt,votes_certified,complete,saied,saied_share_pct,saied_margin_pp,zammel,zammel_share_pct,zammel_margin_pp,maghzaoui,maghzaoui_share_pct,maghzaoui_margin_pp,candidate_sum,winner,runner_up,margin_pp,turnout_basis,turnout_pct
01010110201,0101,تونس,التحرير,التحرير الأول,م إبتدائية حي التحرير 2 - التحرير الأول,Tunis,El Tahrir,North East,1157,TN1157,التحرير الأول,Ettahrir (1),TN115751,1.0000,scoped,1067,293,276,2,15,1,1,238,86.2319,74.6377,32,11.5942,-74.6377,6,2.1739,-84.0580,276,saied,zammel,74.6377,1,27.4602
01010110202,0101,تونس,التحرير,التحرير الأول,م إبتدائية حي التحرير 2 - التحرير الأول,Tunis,El Tahrir,North East,1157,TN1157,التحرير الأول,Ettahrir (1),TN115751,1.0000,scoped,1067,332,325,4,3,1,1,278,85.5385,72.6154,42,12.9231,-72.6154,5,1.5385,-84.0000,325,saied,zammel,72.6154,1,31.1153
01010110203,0101,تونس,التحرير,التحرير الأول,م إبتدائية حي التحرير 2 - التحرير الأول,Tunis,El Tahrir,North East,1157,TN1157,التحرير الأول,Ettahrir (1),TN115751,1.0000,scoped,1067,260,251,3,6,1,1,217,86.4542,73.7052,32,12.7490,-73.7052,2,0.7968,-85.6574,251,saied,zammel,73.7052,1,24.3674
01010110204,0101,تونس,التحرير,التحرير الأول,م إبتدائية حي التحرير 2 - التحرير الأول,Tunis,El Tahrir,North East,1157,TN1157,التحرير الأول,Ettahrir (1),TN115751,1.0000,scoped,1067,240,231,3,6,1,1,197,85.2814,72.2944,30,12.9870,-72.2944,4,1.7316,-83.5498,231,saied,zammel,72.2944,1,22.4930
01010110205,0101,تونس,التحرير,التحرير الأول,م إبتدائية حي التحرير 2 - التحرير الأول,Tunis,El Tahrir,North East,1157,TN1157,التحرير الأول,Ettahrir (1),TN115751,1.0000,scoped,66,227,215,5,7,1,1,185,86.0465,74.8837,24,11.1628,-74.8837,6,2.7907,-83.2558,215,saied,zammel,74.8837,,
0101011205,0101,تونس,التحرير,التحرير الأول,م إبتدائية التحرير 1 - التحرير الأول,Tunis,El Tahrir,North East,1157,TN1157,التحرير الأول,Ettahrir (1),TN115751,1.0000,scoped,66,227,215,5,7,1,1,185,86.0465,74.8837,24,11.1628,-74.8837,6,2.7907,-83.2558,215,saied,zammel,74.8837,,
01010210101,0101,تونس,التحرير,التحرير الثالث,المدرسة الإعدادية نهج ابن حسنية حي التحرير,Tunis,El Tahrir,North East,1157,TN1157,التحرير الثالث,Ettahrir (3),TN115753,1.0000,scoped,600,283,281,0,2,1,1,248,88.2562,77.5801,30,10.6762,-77.5801,3,1.0676,-87.1886,281,saied,zammel,77.5801,1,47.1667
01010310101,0101,تونس,التحرير,التحرير الثاني,م إبتدائية حي التحرير 3 - التحرير الثالث,Tunis,El Tahrir,North East,1157,TN1157,التحرير الثاني,Ettahrir (2),TN115752,1.0000,scoped,1027,445,419,6,20,1,1,358,85.4415,73.9857,48,11.4558,-73.9857,13,3.1026,-82.3389,419,saied,zammel,73.9857,1,43.3301
01010310102,0101,تونس,التحرير,التحرير الثاني,م إبتدائية حي التحرير 3 - التحرير الثالث,Tunis,El Tahrir,North East,1157,TN1157,التحرير الثاني,Ettahrir (2),TN115752,1.0000,scoped,1026,392,366,11,15,1,1,310,84.6995,73.2240,42,11.4754,-73.2240,14,3.8251,-80.8743,366,saied,zammel,73.2240,1,38.2066
01010410101,0101,تونس,التحرير,التحرير العلوي,م إبتدائية التحرير العلوي,Tunis,El Tahrir,North East,1157,TN1157,التحرير العلوي,Ettahrir Superieur,TN115754,1.0000,scoped,1024,404,382,6,16,1,1,340,89.0052,79.8429,35,9.1623,-79.8429,7,1.8325,-87.1728,382,saied,zammel,79.8429,1,39.4531
