constituency,seats,men,women
أريانة,8,6,2
القصرين,8,8,0
القيروان,9,7,2
الكاف,6,3,3
املنستير,9,7,2
املهدية,8,6,2
باجة,6,5,1
بن عروس,10,5,5
بنزرت,9,6,3
تطاوين,4,3,1
توزر,4,4,0
تونس 1,9,5,4
تونس 2,8,5,3
جندوبة,8,7,1
زغوان,5,5,0
سليانة,6,6,0
سوسة,10,8,2
سيدي بوزيد,8,6,2
صفاقس 1,7,5,2
صفاقس 2,9,5,4
قابس,7,6,1
قبلي,5,4,1
قفصة,7,6,1
ينندم,9,5,4
منوبة,7,6,1
نابل 1,7,6,1
نابل 2,6,6,0
فرنسا 1,5,3,2
فرنسا 2,5,4,1
إيطاليا,3,3,0
أملانيا,1,1,0
القارة األمريكي ّ ة وبقي ّ ة الدول األوروبية,2,0,2
العالم العربي وبقية دول العـالم,2,2,0
