election,doc_type,collection,scope,governorate,delegation,constituency,sector,polling_centre,bureau_folder,bureau_code,filename,file_ext,file_url,path
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,أريانة العليا,م إبتدائية برج التركي- أريانة العليا,,03010210202,03010210202.jpg,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة العليا/م إبتدائية برج التركي- أريانة العليا/03010210202.jpg,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة العليا/م إبتدائية برج التركي- أريانة العليا/03010210202.jpg
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,أريانة العليا,م إبتدائية رياض الأندلس -أريانة العليا,,03010210301,03010210301.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة العليا/م إبتدائية رياض الأندلس -أريانة العليا/03010210301.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة العليا/م إبتدائية رياض الأندلس -أريانة العليا/03010210301.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,أريانة العليا,م إبتدائية رياض الأندلس -أريانة العليا,,03010210302,03010210302.pdf,pdf,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة العليا/م إبتدائية رياض الأندلس -أريانة العليا/03010210302.pdf,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة العليا/م إبتدائية رياض الأندلس -أريانة العليا/03010210302.pdf
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,أريانة العليا,م إبتدائية رياض الأندلس -أريانة العليا,,03010210303,03010210303.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة العليا/م إبتدائية رياض الأندلس -أريانة العليا/03010210303.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة العليا/م إبتدائية رياض الأندلس -أريانة العليا/03010210303.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,أريانة العليا,م إبتدائية رياض الأندلس -أريانة العليا,,03010210304,03010210304.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة العليا/م إبتدائية رياض الأندلس -أريانة العليا/03010210304.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة العليا/م إبتدائية رياض الأندلس -أريانة العليا/03010210304.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,أريانة العليا,م إبتدائية رياض الأندلس -أريانة العليا,,03010210305,03010210305.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة العليا/م إبتدائية رياض الأندلس -أريانة العليا/03010210305.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة العليا/م إبتدائية رياض الأندلس -أريانة العليا/03010210305.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,أريانة العليا,م إبتدائية طريق بنزرت أريانة-أريانة العليا,,03010210401,03010210401.jpg,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة العليا/م إبتدائية طريق بنزرت أريانة-أريانة العليا/03010210401.jpg,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة العليا/م إبتدائية طريق بنزرت أريانة-أريانة العليا/03010210401.jpg
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,أريانة العليا,م إبتدائية طريق بنزرت أريانة-أريانة العليا,,03010210402,03010210402.jpg,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة العليا/م إبتدائية طريق بنزرت أريانة-أريانة العليا/03010210402.jpg,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة العليا/م إبتدائية طريق بنزرت أريانة-أريانة العليا/03010210402.jpg
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,أريانة العليا,م إبتدائية طريق بنزرت أريانة-أريانة العليا,,03010210403,03010210403.jpg,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة العليا/م إبتدائية طريق بنزرت أريانة-أريانة العليا/03010210403.jpg,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة العليا/م إبتدائية طريق بنزرت أريانة-أريانة العليا/03010210403.jpg
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,أريانة المدينة,المعهد الاعلي للاعلامية,,03010310101,03010310101.jpg,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة المدينة/المعهد الاعلي للاعلامية/03010310101.jpg,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/أريانة المدينة/المعهد الاعلي للاعلامية/03010310101.jpg
