governorate_ar,constituency_ar,delegation_ar,imada_ar,centre_name_ar,centre_name_fr,ussd_code,governorate,source_page
القريوان,القريوان,ر الشاردة,بي الحلو,م إبتدائية حسري الغرسلاوي - بي الحلو,E.P.HSINE GHARSLAOUI - BIR HLOU,2987,القيروان,38
القريوان,القريوان,العلاء,العلا,م إبتدائية الطاهر صفر - العلا,E.P.TAHER SFAR EL ALA,2988,القيروان,38
القريوان,القريوان,العلاء,العلا,م إبتدائية الطوال - العلا,E.P.TOUAL - EL ALA,2989,القيروان,38
القريوان,القريوان,العلاء,العلا,م إبتدائية العلا الأم - العلا,E.P.EL ALA EL OM,2990,القيروان,38
القريوان,القريوان,العلاء,العلا,م إبتدائية العلا الحبيب - العلا,E.P.EL HABIB - EL ALA,2991,القيروان,38
القريوان,القريوان,العلاء,العلا,م إبتدائية الفجاجرية - العلا,E.P.EL FJEJRIA - EL ALA,2992,القيروان,38
القريوان,القريوان,العلاء,العلا,م إبتدائية أولاد سعيدان - العلا,E.P.OULED SAIDAN - EL ALA,2993,القيروان,38
القريوان,القريوان,العلاء,القطار,م إبتدائية المحافيظ القطار,E.P.MHAFIDH EL GUATTAR,2994,القيروان,38
القريوان,القريوان,العلاء,القطار,م إبتدائية المريقب - القطار,E.P.MERIGUEB - EL GUATTAR,2995,القيروان,38
القريوان,القريوان,العلاء,المساعيد,م إبتدائية 02مارس الدبابشة - المساعيد,E.P.20 MARS DEBABCHA - MESSAID,2996,القيروان,38
القريوان,القريوان,العلاء,المساعيد,م إبتدائية الجلالبة الزعريات - المساعيد,E.P.JELALBA ZAIRAT - MESSAID,2997,القيروان,38
القريوان,القريوان,العلاء,المساعيد,م إبتدائية المساعيد,E.P.MESSAID,2998,القيروان,38
القيوان ر,القيوان ر,العلاء,أولاد عمر,م إبتدائية 3أوت أولاد عمر,E.P.3 AOUT OULED AMOR,2999,القيروان,38
القيوان ر,القيوان ر,العلاء,أولاد عمر,م إبتدائية فرحات حشاد أولاد عمر,E.P.1 JUIN F.HACHED - OULED OMAR,3000,القيروان,38
القيوان ر,القيوان ر,العلاء,صيادة الجنوبية,م إبتدائية الياهمية - صيادة الجنوبية,E.P.BRAHMIA - SAYADA SUD,3001,القيروان,38
القيوان ر,القيوان ر,العلاء,صيادة الجنوبية,م إبتدائية الجوامعية - صيادة الجنوبية,E.P.JOUAMAIA - SAYADA SUD,3002,القيروان,38
القيوان ر,القيوان ر,العلاء,صيادة الجنوبية,م إبتدائية الرق - صيادة الجنوبية,E.P.ROUKI - SAYADA SUD,3003,القيروان,38
القريوان,القريوان,العلاء,صيادة الشمالية,م إبتدائية 41 جانف صيادة الشمالية,E.P.  SAYADA NORD,3004,القيروان,38
