adm4_pcode,imada_name,imada_name_ar,adm3_pcode,delegation_name,governorate_name,region_name,lat,lon,area_sqkm,n_stations,n_certified,registered,voters,valid,blank,spoilt,turnout_stations,turnout_registered,turnout_voters,saied,saied_share_pct,saied_margin_pp,zammel,zammel_share_pct,zammel_margin_pp,maghzaoui,maghzaoui_share_pct,maghzaoui_margin_pp,candidate_sum,winner,runner_up,margin_pp,turnout_pct,turnout_coverage_pct
TN115151,Sidi Bou Said,سيدي بوسعيد,TN1151,Carthage,Tunis,North East,36.87105783,10.34800908,1.49006425,4,4,4698,1460,1359,21,80,4,4698,1460,968,71.2288,46.0633,342,25.1656,-46.0633,49,3.6056,-67.6233,1359,saied,zammel,46.0633,31.0771,100.0000
TN115152,Amilcar,أميلكار,TN1151,Carthage,Tunis,North East,36.87175355,10.33733156,0.68582983,2,2,2415,860,816,14,30,2,2415,860,625,76.5931,56.4951,164,20.0980,-56.4951,27,3.3088,-73.2843,816,saied,zammel,56.4951,35.6108,100.0000
TN115153,Carthage Byrsa,قرطاج بيرصا,TN1151,Carthage,Tunis,North East,36.85664353,10.32411789,3.45129988,9,9,9975,2878,2683,60,135,9,9975,2878,1955,72.8662,49.4223,629,23.4439,-49.4223,99,3.6899,-69.1763,2683,saied,zammel,49.4223,28.8521,100.0000
TN115154,Carthage Plage,قرطاج الشاطىء,TN1151,Carthage,Tunis,North East,36.85140788,10.32957575,1.87397404,3,3,3678,1301,1207,22,72,3,3678,1301,850,70.4225,44.0762,318,26.3463,-44.0762,39,3.2312,-67.1914,1207,saied,zammel,44.0762,35.3725,100.0000
TN115155,Le Jasmin,الياسمينة,TN1151,Carthage,Tunis,North East,36.84717816,10.30964126,0.15575331,5,5,5981,2046,1938,39,69,5,5981,2046,1757,90.6605,83.3333,142,7.3271,-83.3333,39,2.0124,-88.6481,1938,saied,zammel,83.3333,34.2083,100.0000
TN115156,Cite Mohamed Ali,حي محمد علي,TN1151,Carthage,Tunis,North East,36.85193072,10.31096595,0.67182854,2,2,1243,519,1022,12,94,1,1243,519,938,91.7808,84.3444,76,7.4364,-84.3444,8,0.7828,-90.9980,1022,saied,zammel,84.3444,41.7538,50.0000
TN115251,La Medina,المدينة,TN1152,Médina,Tunis,North East,36.80288704,10.16803723,0.09698158,1,1,716,147,140,3,4,1,716,147,130,92.8571,87.8571,7,5.0000,-87.8571,3,2.1429,-90.7143,140,saied,zammel,87.8571,20.5307,100.0000
TN115252,El Hafsia,الحفصية,TN1152,Médina,Tunis,North East,36.8032077,10.17137056,0.11070243,6,6,6975,1622,1531,23,68,6,6975,1622,1325,86.5447,75.2449,173,11.2998,-75.2449,33,2.1555,-84.3893,1531,saied,zammel,75.2449,23.2545,100.0000
TN115253,Bab Benat,باب البنات,TN1152,Médina,Tunis,North East,36.80064962,10.1670208,0.09926431,5,5,5684,308,286,11,11,5,5684,308,234,81.8182,66.4336,44,15.3846,-66.4336,8,2.7972,-79.0210,286,saied,zammel,66.4336,5.4187,100.0000
TN115254,Souk El Nhes,سوق النحاس,TN1152,Médina,Tunis,North East,36.79986102,10.17054125,0.08203141,1,1,628,141,128,3,10,1,628,141,120,93.7500,88.2812,7,5.4688,-88.2812,1,0.7812,-92.9688,128,saied,zammel,88.2812,22.4522,100.0000
TN115255,El Assouak,الأسواق,TN1152,Médina,Tunis,North East,36.79707346,10.17014858,0.1342246,1,1,239,77,70,3,4,1,239,77,66,94.2857,90.0000,3,4.2857,-90.0000,1,1.4286,-92.8571,70,saied,zammel,90.0000,32.2176,100.0000
TN115256,Bab Mnara,باب المنارة,TN1152,Médina,Tunis,North East,36.79498618,10.16630487,0.2962697,4,4,4184,923,870,16,37,4,4184,923,750,86.2069,75.7471,91,10.4598,-75.7471,29,3.3333,-82.8736,870,saied,zammel,75.7471,22.0602,100.0000
TN115257,Tourbet El Bey,تربة الباي,TN1152,Médina,Tunis,North East,36.79407106,10.17114975,0.1105996,5,5,4558,899,1390,23,44,3,3418,899,1247,89.7122,81.7986,110,7.9137,-81.7986,33,2.3741,-87.3381,1390,saied,zammel,81.7986,26.3019,60.0000
TN115258,El Zraria,الزرارعية,TN1152,Médina,Tunis,North East,36.80114305,10.17384587,0.12674511,1,1,612,99,96,0,3,1,612,99,85,88.5417,81.2500,7,7.2917,-81.2500,4,4.1667,-84.3750,96,saied,zammel,81.2500,16.1765,100.0000
TN115259,Sidi Ali Azouz,سيدي علي عزوز,TN1152,Médina,Tunis,North East,36.79724849,10.17391168,0.07855641,3,3,2032,486,449,11,26,3,2032,486,400,89.0869,79.9555,41,9.1314,-79.9555,8,1.7817,-87.3051,449,saied,zammel,79.9555,23.9173,100.0000
TN115260,El Taoufik,التوفيق,TN1152,Médina,Tunis,North East,36.79954644,10.16429981,0.232796,4,4,4060,851,803,9,39,4,4060,851,645,80.3238,64.5081,127,15.8157,-64.5081,31,3.8605,-76.4633,803,saied,zammel,64.5081,20.9606,100.0000
TN115261,El Sabaghine,الصباغين,TN1152,Médina,Tunis,North East,36.79435858,10.17350018,0.07952597,1,1,656,39,36,0,3,1,656,39,31,86.1111,72.2222,5,13.8889,-72.2222,0,0.0000,-86.1111,36,saied,zammel,72.2222,5.9451,100.0000
TN115262,Sidi Boumendil,سيدي بومنديل,TN1152,Médina,Tunis,North East,36.79451385,10.17531797,0.05954929,3,3,3787,638,606,10,22,3,3787,638,532,87.7888,77.0627,65,10.7261,-77.0627,9,1.4851,-86.3036,606,saied,zammel,77.0627,16.8471,100.0000
TN115351,Bab El Bhar,باب البحر,TN1153,Bab Bhar,Tunis,North East,36.79414983,10.17750126,0.44096327,10,10,9521,2313,2214,30,69,9,9417,2057,1903,85.9530,74.4806,254,11.4724,-74.4806,57,2.5745,-83.3785,2214,saied,zammel,74.4806,21.8435,90.0000
TN115352,Les Jardins,الحدائق,TN1153,Bab Bhar,Tunis,North East,36.80938034,10.18959731,1.74266285,5,5,5371,1946,1859,27,60,5,5371,1946,1536,82.6251,68.6928,259,13.9322,-68.6928,64,3.4427,-79.1824,1859,saied,zammel,68.6928,36.2316,100.0000
TN115353,Lac De Tunis,بحيرة تونس,TN1153,Bab Bhar,Tunis,North East,36.79090043,10.19886569,5.82431509,2,2,1736,651,616,12,23,2,1736,651,526,85.3896,73.0519,76,12.3377,-73.0519,14,2.2727,-83.1169,616,saied,zammel,73.0519,37.5000,100.0000
TN115354,Mongi Slim,المنجي سليم,TN1153,Bab Bhar,Tunis,North East,36.80254119,10.17800491,0.33248996,1,1,310,91,87,0,4,1,310,91,80,91.9540,85.0575,6,6.8966,-85.0575,1,1.1494,-90.8046,87,saied,zammel,85.0575,29.3548,100.0000
TN115355,Habib Thameur,الحبيب ثامر,TN1153,Bab Bhar,Tunis,North East,36.80334805,10.20034657,1.86795391,5,5,6214,2008,1900,30,78,5,6214,2008,1604,84.4211,72.4211,228,12.0000,-72.4211,68,3.5789,-80.8421,1900,saied,zammel,72.4211,32.3141,100.0000
