id_delegation,governorate_ar,governorate_name,delegation_ar,delegation_name,constituency_ar,is_split_half,population_2014
1256,اريانه,Ariana,حي التضامن,Cité Ettadhamen,اريانه,0,84312
1257,اريانه,Ariana,المنيهله,El Mnihla,اريانه,0,89884
1254,اريانه,Ariana,قلعه الاندلس,Kalaât El Andalous,اريانه,0,26796
1251,اريانه,Ariana,اريانه المدينه,L’Ariana Ville,اريانه,0,114486
1253,اريانه,Ariana,رواد,Raoued,اريانه,0,106414
1255,اريانه,Ariana,سيدي ثابت,Sidi Thabet,اريانه,0,24503
1252,اريانه,Ariana,سكره,Soukra,اريانه,0,129693
4257,القصرين,Kasserine,جدليان,Djedeliane,القصرين,0,12297
4258,القصرين,Kasserine,العيون,El Ayoun,القصرين,0,19211
4253,القصرين,Kasserine,الزهور,Ezzouhour,القصرين,0,21819
4262,القصرين,Kasserine,فريانه,Feriana,القصرين,0,51455
4261,القصرين,Kasserine,فوسانه,Foussana,القصرين,0,41447
4254,القصرين,Kasserine,حاسي الفريد,Hassi Ferid,القصرين,0,19400
4260,القصرين,Kasserine,حيدره,Hidra,القصرين,0,9762
4251,القصرين,Kasserine,القصرين الشماليه,Kasserine Nord,القصرين,0,65322
4252,القصرين,Kasserine,القصرين الجنوبيه,Kasserine Sud,القصرين,0,21653
4263,القصرين,Kasserine,ماجل بلعباس,Majel Bel Abbes,القصرين,0,23315
4255,القصرين,Kasserine,سبيطله,Sbeitla,القصرين,0,75245
4256,القصرين,Kasserine,سبيبه,Sbiba,القصرين,0,41189
4259,القصرين,Kasserine,تاله,Thala,القصرين,0,37128
4161,القيروان,Kairouan,بوحجله,Bouhajla,القيروان,0,72371
4153,القيروان,Kairouan,الشبيكه,Echebika,القيروان,0,35308
4160,القيروان,Kairouan,الشرارده,Echrarda,القيروان,0,27518
4157,القيروان,Kairouan,العلا,El Alaa,القيروان,0,28991
4155,القيروان,Kairouan,الوسلاتيه,El Ouslatia,القيروان,0,34452
4156,القيروان,Kairouan,حفوز,Haffouz,القيروان,0,40066
4158,القيروان,Kairouan,حاجب العيون,Hajeb el Ayoun,القيروان,0,36137
4151,القيروان,Kairouan,القيروان الشماليه,Kairouan Nord,القيروان,0,96781
4152,القيروان,Kairouan,القيروان الجنوبيه,Kairouan Sud,القيروان,0,93101
4159,القيروان,Kairouan,نصر الله,Nasrallah,القيروان,0,33789
4154,القيروان,Kairouan,السبيخه,Sbikha,القيروان,0,71922
2360,الكاف,Kef,الدهماني,Dahmani,الكاف,0,27907
2358,الكاف,Kef,الجريصه,Djerissa,الكاف,0,9807
2359,الكاف,Kef,القصور,El Ksour,الكاف,0,15215
2361,الكاف,Kef,السرس,Es-Sers,الكاف,0,23259
2357,الكاف,Kef,القلعه الخصباء,Kalaat Khasbah,الكاف,0,6652
2356,الكاف,Kef,قلعه سنان,Kalaat Snan,الكاف,0,15621
2352,الكاف,Kef,الكاف الشرقيه,Kef Est,الكاف,0,40288
2351,الكاف,Kef,الكاف الغربيه,Kef Ouest,الكاف,0,33418
2353,الكاف,Kef,نبر,Nebeur,الكاف,0,25897
2354,الكاف,Kef,ساقيه سيدي يوسف,Sakiet Sidi Youssef,الكاف,0,17500
2355,الكاف,Kef,تاجروين,Tajerouine,الكاف,0,27592
3259,المنستير,Monastir,البقالطه,Bekalta,المنستير,0,17850
3257,المنستير,Monastir,بنبله,Bembla,المنستير,0,32555
3255,المنستير,Monastir,بني حسان,Beni Hassen,المنستير,0,13869
3256,المنستير,Monastir,جمال,Jammel,المنستير,0,65420
3261,المنستير,Monastir,قصر هلال,Ksar Helal,المنستير,0,49376
3262,المنستير,Monastir,قصيبه المديوني,Ksibet El Mediouni,المنستير,0,34576
3258,المنستير,Monastir,المكنين,Moknine,المنستير,0,89277
3251,المنستير,Monastir,المنستير,Monastir,المنستير,0,104535
3252,المنستير,Monastir,الوردانين,Ouerdanine,المنستير,0,21814
3253,المنستير,Monastir,الساحلين,Sahline,المنستير,0,27449
3263,المنستير,Monastir,صياده - لمطه - بوحجر,Sayada-Lamta Bou-Hjar,المنستير,0,24889
3260,المنستير,Monastir,طبلبه,Teboulba,المنستير,0,37485
3254,المنستير,Monastir,زرمدين,Zermadine,المنستير,0,29733
3352,المهديه,Mahdia,بومرداس,Bou Merdes,المهديه,0,33890
3358,المهديه,Mahdia,الشابه,Chebba,المهديه,0,24515
3354,المهديه,Mahdia,شربان,Chorbane,المهديه,0,25935
3357,المهديه,Mahdia,الجم,El Djem,المهديه,0,48611
3356,المهديه,Mahdia,السواسي,Essouassi,المهديه,0,50424
3355,المهديه,Mahdia,هبيره,Hebira,المهديه,0,10654
3361,المهديه,Mahdia,قصور الساف,Ksour Essef,المهديه,0,54366
3351,المهديه,Mahdia,المهديه,Mahdia,المهديه,0,79545
3359,المهديه,Mahdia,ملولش,Melloulech,المهديه,0,22085
3353,المهديه,Mahdia,اولاد الشامخ,Ouled Chamekh,المهديه,0,23020
3360,المهديه,Mahdia,سيدي علوان,Sidi Alouane,المهديه,0,37767
2153,باجه,Béja,عمدون,Amdoun,باجه,0,21187
2151,باجه,Béja,باجه الشماليه,Béja Nord,باجه,0,71198
2152,باجه,Béja,باجه الجنوبيه,Béja Sud,باجه,0,38101
2158,باجه,Béja,قبلاط,Goubellat,باجه,0,15762
2159,باجه,Béja,مجاز الباب,Medjez El Bab,باجه,0,41749
2154,باجه,Béja,نفزه,Nefza,باجه,0,48101
2155,باجه,Béja,تبرسق,Teboursouk,باجه,0,22115
2157,باجه,Béja,تستور,Testour,باجه,0,33613
2156,باجه,Béja,تيبار,Tibar,باجه,0,11206
1351,بن عروس,Ben Arous,بن عروس,Ben Arous,بن عروس,0,31128
1356,بن عروس,Ben Arous,بومهل البساتين,Bou Mhel El Bassatine,بن عروس,0,40101
1353,بن عروس,Ben Arous,المروج,El Mourouj,بن عروس,0,104538
1357,بن عروس,Ben Arous,الزهراء,Ezzahra,بن عروس,0,34962
1361,بن عروس,Ben Arous,فوشانه,Fouchana,بن عروس,0,74868
1355,بن عروس,Ben Arous,حمام الشط,Hammam Chôtt,بن عروس,0,31858
1354,بن عروس,Ben Arous,حمام الانف,Hammam Lif,بن عروس,0,42518
1352,بن عروس,Ben Arous,المدينه الجديده,La Nouvelle Medina,بن عروس,0,57194
1359,بن عروس,Ben Arous,مقرين,Megrine,بن عروس,0,26720
1360,بن عروس,Ben Arous,المحمديه,Mohamedia,بن عروس,0,66439
1362,بن عروس,Ben Arous,مرناق,Mornag,بن عروس,0,61518
1358,بن عروس,Ben Arous,رادس,Radès,بن عروس,0,59998
1751,بنزرت,Bizerte,بنزرت الشماليه,Bizerte Nord,بنزرت,0,87307
1753,بنزرت,Bizerte,بنزرت الجنوبيه,Bizerte Sud,بنزرت,0,55659
1755,بنزرت,Bizerte,جومين,Djoumine,بنزرت,0,29029
1763,بنزرت,Bizerte,العاليه,El Alia,بنزرت,0,27075
1761,بنزرت,Bizerte,غار الملح,Ghar El Meleh,بنزرت,0,19477
1757,بنزرت,Bizerte,غزاله,Ghezala,بنزرت,0,26977
1756,بنزرت,Bizerte,ماطر,Mateur,بنزرت,0,46975
1758,بنزرت,Bizerte,منزل بورقيبه,Menzel Bourguiba,بنزرت,0,61919
1762,بنزرت,Bizerte,منزل جميل,Menzel Djemil,بنزرت,0,47224
1764,بنزرت,Bizerte,راس الجبل,Ras Djebel,بنزرت,0,58241
1754,بنزرت,Bizerte,سجنان,Sedjnane,بنزرت,0,40166
1759,بنزرت,Bizerte,تينجه,Tinja,بنزرت,0,23455
1760,بنزرت,Bizerte,اوتيك,Utique,بنزرت,0,19922
1752,بنزرت,Bizerte,جرزونه,Zarzouna,بنزرت,0,24793
5354,تطاوين,Tataouine,البير الاحمر,Bir Lahmar,تطاوين,0,8460
5356,تطاوين,Tataouine,ذهيبه,Dhehiba,تطاوين,0,4295
5355,تطاوين,Tataouine,غمراسن,Ghomrassen,تطاوين,0,15957
5357,تطاوين,Tataouine,رماده,Remada,تطاوين,0,10173
5353,تطاوين,Tataouine,الصمار,Smâr,تطاوين,0,14793
5351,تطاوين,Tataouine,تطاوين الشماليه,Tataouine Nord,تطاوين,0,61431
5352,تطاوين,Tataouine,تطاوين الجنوبيه,Tataouine Sud,تطاوين,0,34344
6252,توزر,Tozeur,دقاش,Degach,توزر,0,28543
6255,توزر,Tozeur,حزوه,Hazoua,توزر,0,4700
6254,توزر,Tozeur,نفطه,Nefta,توزر,0,21731
6253,توزر,Tozeur,تمغزه,Tameghza,توزر,0,6516
6251,توزر,Tozeur,توزر,Tozeur,توزر,0,46422
1153,تونس,Tunis,باب البحر,Bab El Bhar,تونس 1,1,36210
1154,تونس,Tunis,باب سويقه,Bab Souika,تونس 1,1,29185
1151,تونس,Tunis,قرطاج,Carthage,تونس 2,1,24216
1159,تونس,Tunis,حي الخضراء,Cité El Khadhra,تونس 2,1,35173
1168,تونس,Tunis,جبل الجلود,Djebel Djelloud,تونس 1,1,23638
1163,تونس,Tunis,الحرايريه,El Hrairia,تونس 1,1,110184
1166,تونس,Tunis,الكباريه,El Kabaria,تونس 1,1,86024
1158,تونس,Tunis,المنزه,El Menzah,تونس 2,1,41830
1155,تونس,Tunis,العمران,El Omrane,تونس 2,1,42208
1156,تونس,Tunis,العمران الاعلي,El Omrane Supérieur,تونس 2,1,55513
1165,تونس,Tunis,الورديه,El Ouardia,تونس 1,1,32147
1157,تونس,Tunis,التحرير,Ettahrir,تونس 2,1,21709
1162,تونس,Tunis,الزهور,Ezzouhour,تونس 1,1,40728
1169,تونس,Tunis,حلق الوادي,La Goulette,تونس 2,1,45711
1171,تونس,Tunis,المرسي,La Marsa,تونس 2,1,92987
1152,تونس,Tunis,المدينه,La Medina,تونس 1,1,21400
1160,تونس,Tunis,باردو,Le Bardo,تونس 2,1,71961
1170,تونس,Tunis,الكرم,Le Kram,تونس 2,1,74132
1167,تونس,Tunis,سيدي البشير,Sidi El Béchir,تونس 1,1,27749
1164,تونس,Tunis,سيدي حسين,Sidi Hassine,تونس 1,1,109672
1161,تونس,Tunis,السيجومي,Sijoumi,تونس 1,1,33870
2255,جندوبه,Jendouba,عين دراهم,Ain Draham,جندوبه,0,35400
2259,جندوبه,Jendouba,بلطه بوعوان,Balta - Bou Aouane,جندوبه,0,38764
2253,جندوبه,Jendouba,بوسالم,Bou Salem,جندوبه,0,35501
2256,جندوبه,Jendouba,فرنانه,Fernana,جندوبه,0,47690
2257,جندوبه,Jendouba,غار الدماء,Ghardimaou,جندوبه,0,64170
2251,جندوبه,Jendouba,جندوبه,Jendouba,جندوبه,0,72337
2252,جندوبه,Jendouba,جندوبه الشماليه,Jendouba Nord,جندوبه,0,40779
2258,جندوبه,Jendouba,وادي مليز,Oued Meliz,جندوبه,0,17843
2254,جندوبه,Jendouba,طبرقه,Tabarka,جندوبه,0,48993
1653,زغوان,Zaghouan,بير مشارقه,Bir Mchergua,زغوان,0,24387
1654,زغوان,Zaghouan,الفحص,El Fahs,زغوان,0,46449
1655,زغوان,Zaghouan,الناظور,En-Nadhour,زغوان,0,30366
1652,زغوان,Zaghouan,الزريبه,Ez-Zeriba,زغوان,0,24617
1656,زغوان,Zaghouan,صواف,Saouaf,زغوان,0,12681
1651,زغوان,Zaghouan,زغوان,Zaghouan,زغوان,0,38445
2460,سليانه,Siliana,برقو,Bargou,سليانه,0,12482
2453,سليانه,Siliana,بوعراده,Bou Arada,سليانه,0,20444
2456,سليانه,Siliana,بورويس,Bourouis,سليانه,0,12618
2461,سليانه,Siliana,العروسه,El Aroussa,سليانه,0,9907
2455,سليانه,Siliana,الكريب,El Krib,سليانه,0,20155
2458,سليانه,Siliana,الروحيه,Er-Rouhia,سليانه,0,25951
2454,سليانه,Siliana,قعفور,Gaafour,سليانه,0,16934
2459,سليانه,Siliana,كسري,Kesra,سليانه,0,16404
2457,سليانه,Siliana,مكثر,Makthar,سليانه,0,29052
2451,سليانه,Siliana,سليانه الشماليه,Siliana Nord,سليانه,0,28907
2452,سليانه,Siliana,سليانه الجنوبيه,Siliana Sud,سليانه,0,30233
3156,سوسه,Sousse,اكوده,Akouda,سوسه,0,34494
3161,سوسه,Sousse,بوفيشه,Bouficha,سوسه,0,26760
3160,سوسه,Sousse,النفيضه,Enfidha,سوسه,0,49335
3155,سوسه,Sousse,حمام سوسه,Hammam Sousse,سوسه,0,42691
3159,سوسه,Sousse,هرقله,Hergla,سوسه,0,9343
3157,سوسه,Sousse,القلعه الكبري,Kalaâ Kebira,سوسه,0,59132
3165,سوسه,Sousse,القلعه الصغري,Kalaâ Seghira,سوسه,0,37797
3162,سوسه,Sousse,كندار,Kondar,سوسه,0,13565
3164,سوسه,Sousse,مساكن,M’saken,سوسه,0,97225
3158,سوسه,Sousse,سيدي بوعلي,Sidi Bou Ali,سوسه,0,19543
3163,سوسه,Sousse,سيدي الهاني,Sidi El Héni,سوسه,0,13505
3153,سوسه,Sousse,سوسه جوهره,Sousse Jawhara,سوسه,0,86517
3151,سوسه,Sousse,سوسه المدينه,Sousse Medina,سوسه,0,35288
3152,سوسه,Sousse,سوسه الرياض,Sousse Riadh,سوسه,0,64532
3154,سوسه,Sousse,سوسه سيدي عبد الحميد,Sousse Sidi Abdelhamid,سوسه,0,52787
3166,سوسه,Sousse,الزاويه - القصيبه - الثريات,Zaouia - Ksiba - Thrayet,سوسه,0,32304
4355,سيدي بوزيد,Sidi Bouzid,بير الحفي,Bir El Hafey,سيدي بوزيد,0,38288
4354,سيدي بوزيد,Sidi Bouzid,سباله اولاد عسكر,Cebalet Ouled Asker,سيدي بوزيد,0,20382
4353,سيدي بوزيد,Sidi Bouzid,جلمه,Jilma,سيدي بوزيد,0,40239
4358,سيدي بوزيد,Sidi Bouzid,المكناسي,Meknassy,سيدي بوزيد,0,23789
4357,سيدي بوزيد,Sidi Bouzid,منزل بوزيان,Menzel Bouzaienne,سيدي بوزيد,0,25321
4360,سيدي بوزيد,Sidi Bouzid,المزونه,Mezzouna,سيدي بوزيد,0,24766
4362,سيدي بوزيد,Sidi Bouzid,اولاد حفوز,Ouled Haffouz,سيدي بوزيد,0,19579
4361,سيدي بوزيد,Sidi Bouzid,الرقاب,Regueb,سيدي بوزيد,0,64998
4356,سيدي بوزيد,Sidi Bouzid,سيدي علي بن عون,Sidi Ali Ben Aoun,سيدي بوزيد,0,28214
4352,سيدي بوزيد,Sidi Bouzid,سيدي بوزيد الشرقيه,Sidi Bouzid Est,سيدي بوزيد,0,49450
4351,سيدي بوزيد,Sidi Bouzid,سيدي بوزيد الغربيه,Sidi Bouzid Ouest,سيدي بوزيد,0,73226
4359,سيدي بوزيد,Sidi Bouzid,سوق الجديد,Souk Jedid,سيدي بوزيد,0,21660
3457,صفاقس,Sfax,عقارب,Agareb,صفاقس 2,1,40943
3463,صفاقس,Sfax,بير علي بن خليفه,Bir ali Ben Kelifa,صفاقس 1,1,52678
3458,صفاقس,Sfax,جبنيانه,Djebeniana,صفاقس 1,1,49678
3459,صفاقس,Sfax,العامره,El Amra,صفاقس 1,1,30599
3460,صفاقس,Sfax,الحنشه,El Hencha,صفاقس 1,1,49223
3462,صفاقس,Sfax,الغريبه,Ghraiba,صفاقس 2,1,15776
3466,صفاقس,Sfax,قرقنه,Kerkenah,صفاقس 1,1,15501
3465,صفاقس,Sfax,المحرس,Mahres,صفاقس 2,1,34257
3461,صفاقس,Sfax,منزل شاكر,Menzel Chaker,صفاقس 1,1,37368
3454,صفاقس,Sfax,ساقيه الداير,Sakiet Eddaier,صفاقس 1,1,113776
3453,صفاقس,Sfax,ساقيه الزيت,Sakiet Ezzit,صفاقس 1,1,87512
3452,صفاقس,Sfax,صفاقس الغربيه,Sfax Ouest,صفاقس 2,1,110125
3455,صفاقس,Sfax,صفاقس الجنوبيه,Sfax Sud,صفاقس 2,1,119139
3451,صفاقس,Sfax,صفاقس المدينه,Sfax Ville,صفاقس 2,1,101176
3464,صفاقس,Sfax,الصخيره,Skhira,صفاقس 2,1,34673
3456,صفاقس,Sfax,طينه,Tina,صفاقس 2,1,62997
5157,قابس,Gabès,الحامه,El Hamma,قابس,0,73512
5155,قابس,Gabès,المطويه,El Metouia,قابس,0,27878
5151,قابس,Gabès,قابس المدينه,Gabes Medina,قابس,0,46731
5152,قابس,Gabès,قابس الغربيه,Gabes Ouest,قابس,0,31768
5153,قابس,Gabès,قابس الجنوبيه,Gabes Sud,قابس,0,74422
5154,قابس,Gabès,غنوش,Ghanouch,قابس,0,28051
5160,قابس,Gabès,مارث,Mareth,قابس,0,63122
5158,قابس,Gabès,مطماطه,Matmata,قابس,0,4444
5156,قابس,Gabès,منزل الحبيب,Menzel El Habib,قابس,0,10148
5159,قابس,Gabès,مطماطه الجديده,Nouvelle Matmata,قابس,0,14224
6354,قبلي,Kébili,دوز الشماليه,Douz Nord,قبلي,0,28617
6355,قبلي,Kébili,دوز الجنوبيه,Douz Sud,قبلي,0,18565
6356,قبلي,Kébili,الفوار,Faouar,قبلي,0,19613
6352,قبلي,Kébili,قبلي الشماليه,Kebeli Nord,قبلي,0,31854
6351,قبلي,Kébili,قبلي الجنوبيه,Kebili Sud,قبلي,0,30447
6353,قبلي,Kébili,سوق الاحد,Souk El Ahed,قبلي,0,27865
6160,قفصه,Gafsa,بلخير,Belkhir,قفصه,0,14784
6159,قفصه,Gafsa,القطار,El Guetar,قفصه,0,20137
6153,قفصه,Gafsa,القصر,El Ksar,قفصه,0,36482
6151,قفصه,Gafsa,قفصه الشماليه,Gafsa Nord,قفصه,0,10022
6154,قفصه,Gafsa,قفصه الجنوبيه,Gafsa Sud,قفصه,0,101148
6158,قفصه,Gafsa,المظيله,Mdhila,قفصه,0,15306
6157,قفصه,Gafsa,المتلوي,Metlaoui,قفصه,0,38634
6155,قفصه,Gafsa,ام العرايس,Oum El Araies,قفصه,0,27012
6156,قفصه,Gafsa,الرديف,Redeyef,قفصه,0,26976
6152,قفصه,Gafsa,سيدي عيش,Sidi Aïch,قفصه,0,10084
6161,قفصه,Gafsa,السند,Sned,قفصه,0,36746
5254,مدنين,Medenine,بنقردان,Ben Guerdane,مدنين,0,79912
5253,مدنين,Medenine,بني خداش,Beni Khedech,مدنين,0,25885
