stage,rank,candidate,votes,share_pct,constituency_sum,votes_spelled,words_value,words_check,name_in_table,source_page
r1_preliminary,1,منجي بن الحبيب بن بلقاسم الرحوي,27355,0.81,27355,سبعة وعشرون ألف وثلاثمائة وخمسة وخمسون,27355,agree,منجي بن الحبيب بن بلقاسم الرحوي,302
r1_preliminary,2,محمد المحرزي بن بوجمعه بن محمد عبّو عبو,122287,3.63,122287,مائة واثنان وعشرون ألف ومائتان وسبعة وثمانون,122287,agree,محمد املحرزي بن بوجمعه بن محمد عبو عبو,302
r1_preliminary,3,عبير بنت التيجاني بن صالح موسي,135461,4.02,135461,مائة وخمسة وثلاثون ألف وأربعمائة وواحد وستون,135461,agree,عبير بنت التيجاني بن صالح موسي,302
r1_preliminary,4,نبيل بن رشيد القروي,525517,15.58,525517,خمسمائة وخمسة وعشرون ألف وخمسمائة وسبعة عشر,525517,agree,نبيل بن رشيد القروي,302
r1_preliminary,5,محمد لطفي بن إبراهيم بن أحمد مرايحي,221190,6.56,221190,مائتان وواحد وعشرون ألف ومائة وتسعون,221190,agree,محمد لطفي بن إبراهيم بن أحمد مرايحي,302
r1_preliminary,6,المهدي بن المختار بن محمد جمعه,61371,1.82,61371,واحد وستون ألف وثلاثمائة وواحد وسبعون,61371,agree,املهدي بن املختار بن محمد جمعه,302
r1_preliminary,7,حمادي بن بوراوي بن سالم الجبالي,7364,0.22,7364,سبعة آلاف وثلاثمائة وأربعة وستون,7364,agree,حمادي بن بوراوي بن سالم الجبالي,302
r1_preliminary,8,حمه بن علي بن بوساحه همامي,23252,0.69,23252,ثلاثة وعشرون ألف ومائتان واثنان وخمسون,23252,agree,حمه بن علي بن بوساحه همامي,302
r1_preliminary,9,محمد المنصف بن محمد بن أحمد البدوي المرزوقي,100338,2.97,100338,مائة ألف وثلاثمائة وثمانية وثلاثون,100338,agree,محمد املنصف بن محمد بن أحمد البدوي املرزوقي,302
r1_preliminary,10,عبد الكريم بن حسن بن حسين زبيدي,361864,10.73,361864,ثلاثمائة وواحد وستون ألف وثمانمائة وأربعة وستون,361864,agree,عبد الكريم بن حسن بن حسني زبيدي,302
r1_preliminary,11,محسن بن عبد الكريم بن عمر مرزوق,7376,0.22,7376,سبعة آلاف وثلاثمائة وستة وسبعون,7376,agree,محسن بن عبد الكريم بن عمر مرزوق,302
r1_preliminary,12,محمد الصغير بن محمد الصالح بن عمار نوري,4598,0.14,4598,أربعة آلاف وخمسمائة وثمانية وتسعون,4598,agree,محمد الصغير بن محمد الصالح بن عمار نوري,302
r1_preliminary,13,محمد الهاشمي بن يوسف بن علي حامدي,25284,0.75,25284,خمسة وعشرون ألف ومائتان وأربعة وثمانون,25284,agree,محمد الهاشمي بن يوسف بن علي حامدي,302
