id_2024,id_census,city_name_sources,city_name,id_geonames,caidat_1926,caidat_1931,controle_civil_1931,delegation_1956,lat,lon,sources_lat_lon,comments,geo_precision,name_key,id_delegation,delegation_name,governorate_name,region_name,match_method,match_score,match_km,match_margin_km
35,educ_167,Ksour-Essaf,Ksour-Essaf,676,Mahdia,Mahdia,Sousse,,35.4167923124299,10.9961352983127,Google Maps,,1,ksour essaf,3361,Ksour Essef,Mahdia,Centre Est,centroid,,0.727,6.272
36,educ_17,Bathan,El-Bathan,347,,,,,36.803965,9.845121,Google Maps,,1,el bathan,1457,Tebourba,Mannouba,Nord Est,centroid,,3.163,5.395
37,educ_172,La Laverie (Djebel-Recas),La Laverie (Djebel-Recas),681,,,,,36.609871,10.319313,Google Maps,,1,la laverie djebel recas,1362,Mornag,Ben Arous,Nord Est,centroid,,8.244,2.012
38,educ_177,Le Kef,Le Kef,689,,,,,36.169628,8.707127,Google Maps,,1,le kef,2351,Kef Ouest,Kef,Nord Ouest,centroid,,7.337,7.473
39,educ_178,Le Krib,Krib,663,,,Kef,,36.329189,9.133385,Google Maps,,1,krib,2455,El Krib,Siliana,Nord Ouest,centroid,,4.029,12.716
40,educ_179,Maareth,Mareth,704,,,,,33.618174,10.286115,Google Maps,,1,mareth,5160,Mareth,Gabès,Sud Est,name_and_centroid,1.0000,0.056,21.757
41,educ_18,Bazina,Bazina,79,,,,,36.96384,9.299734,Google Maps,,1,bazina,1755,Djoumine,Bizerte,Nord Est,centroid,,10.702,6.790
42,educ_181,Maharine,Maharine,711,,,,,,,,,,maharine,,,,,unresolved,,,
43,educ_182,Mahdia,Mahdia,713,,,,,35.503843,11.062875,Google Maps,,1,mahdia,3351,Mahdia,Mahdia,Centre Est,name_and_centroid,1.0000,0.313,10.412
44,educ_184,Maktar,Maktar,720,,,,,35.855891,9.205556,Google Maps,,1,maktar,2457,Makthar,Siliana,Nord Ouest,centroid,,0.015,15.098
45,educ_185,Manouba,Manouba,721,Tunis Banlieue,Tunis Banlieue,Tunis,,36.809328,10.086327,Google Maps,,1,manouba,1451,Mannouba,Mannouba,Nord Est,centroid,,0.272,1.555
46,educ_187,Marsa,La Marsa,725,Tunis Banlieue,Tunis Banlieue,Tunis,,36.894009,10.312697,Google Maps,,1,la marsa,1171,La Marsa,Tunis,Nord Est,name_and_centroid,1.0000,1.013,3.161
47,educ_188,Masdour,Masdour,726,,,,,35.680924,10.728863,Google Maps,,1,masdour,3252,Ouerdanine,Monastir,Centre Est,centroid,,5.501,0.528
48,educ_189,Massicault (Borj-el-Amri),Massicault (Borj-el-Amri),727,,,Tunis,,36.713153,9.8835,Google Maps,,1,massicault borj el amri,1455,Borj Amri,Mannouba,Nord Est,centroid,,5.062,7.652
49,educ_19,Béja,Béja,86,Béja,Béja,Béja,,36.7250612934603,9.18327240560908,Google Maps,,1,beja,2152,Béja Sud,Béja,Nord Ouest,centroid,,7.324,3.667
50,educ_190,Mateur,Mateur,729,,Mateur,Bizerte,,37.038887,9.664764,Google Maps,,1,mateur,1756,Mateur,Bizerte,Nord Est,name_and_centroid,1.0000,4.484,11.618
51,educ_192,Maxula-Rades,Maxula-Rades,731,,,,,36.771457,10.280813,Google Maps,,1,maxula rades,1358,Radès,Ben Arous,Nord Est,centroid,,0.000,3.810
52,educ_193,Medjez-elBab,Medjez-El-Bab,735,Medjez-el-Bab,Medjez-el-Bab,Medjez-el-Bab,,36.647829,9.612908,Google Maps,,1,medjez el bab,2159,Medjez El Bab,Béja,Nord Ouest,name_and_centroid,1.0000,7.104,6.173
53,educ_195,Megrine,Megrine,739,,,,,36.769903,10.232833,Google Maps,,1,megrine,1359,Megrine,Ben Arous,Nord Est,name_and_centroid,1.0000,0.355,1.798
54,educ_197,Meheri-Zehbeus,Meheri-Zehbeus,741,,,Gafsa,,34.678734,9.593478,Google Maps,,1,meheri zehbeus,4358,Meknassy,Sidi Bouzid,Centre Ouest,centroid,,4.810,14.355
55,educ_20,Bekalta,Bekalta,88,,,,,35.615685,10.990684,Google Maps,,1,bekalta,3259,Bekalta,Monastir,Centre Est,name_and_centroid,1.0000,0.504,3.185
56,educ_201,Menzel-Djemil,Menzel-Djemil,759,Bizerte,Bizerte,Bizerte,,37.237477,9.916086,Google Maps,,1,menzel djemil,1762,Menzel Djemil,Bizerte,Nord Est,name_and_centroid,1.0000,2.750,1.124
57,educ_211,Michaud,Michaud,786,,,,,37.063356,9.597683,Google Maps,,1,michaud,1756,Mateur,Bizerte,Nord Est,centroid,,8.613,2.543
58,educ_212,Moghrane,Moghrane,794,,,Zaghouan,,36.4221103901326,10.0904015798556,Google Maps,Mograne.,1,moghrane,1651,Zaghouan,Zaghouan,Nord Est,centroid,,5.291,10.364
59,educ_213,Moknine,Moknine,796,Monastir,Monastir,Sousse,,35.62915752625,10.8997464194273,Google Maps,,1,moknine,3258,Moknine,Monastir,Centre Est,name_and_centroid,1.0000,0.017,1.931
60,educ_214,Monastir,Monastir,797,Monastir,Monastir,Sousse,,35.7693905804844,10.8195665940049,Google Maps,,1,monastir,3251,Monastir,Monastir,Centre Est,name_and_centroid,1.0000,1.248,7.266
61,educ_217,Msaken,Msaken,809,,,Sousse,,35.725724,10.580434,Google Maps,,1,msaken,3164,M’saken,Sousse,Centre Est,name_and_centroid,1.0000,0.206,6.910
62,educ_218,Munchar,El-Munchar,810,,,,,36.72956,9.316515,Google Maps,,1,el munchar,2151,Béja Nord,Béja,Nord Ouest,centroid,,11.939,1.880
63,educ_219,Nabeul,Nabeul,811,Nabeul,Nabeul,Grombalia,,36.4512808841432,10.735593849038,Google Maps,,1,nabeul,1551,Nabeul,Nabeul,Nord Est,name_and_centroid,1.0000,0.018,1.948
64,educ_22,Belli,Belli,91,,,,,36.567494,10.554707,Google Maps,,1,belli,1565,Bou Argoub,Nabeul,Nord Est,centroid,,4.109,5.584
65,educ_221,Nebeur,Nebeur,818,,,Kef,,36.298741,8.768777,Google Maps,,1,nebeur,2353,Nebeur,Kef,Nord Ouest,name_and_centroid,1.0000,4.027,11.111
66,educ_227,Oued-Zerga,Oued-Zarga,850,,,,,36.666128,9.441974,Google Maps,,1,oued zarga,2157,Testour,Béja,Nord Ouest,centroid,,7.482,8.308
67,educ_229,Ourdiane,Ourdiane,978,,,,,,,,,,ourdiane,,,,,unresolved,,,
68,educ_233,Pont-du Fahs,Pont du Fahs,984,,,Zaghouan,,36.375261,9.906328,Google Maps,,1,pont du fahs,1654,El Fahs,Zaghouan,Nord Est,centroid,,0.354,15.755
69,educ_235,Potinville,Bordj-Cédria,142,,,,,36.695423,10.387659,Google Maps,,1,bordj cedria,1355,Hammam Chôtt,Ben Arous,Nord Est,centroid,,2.628,3.355
70,educ_242,Reyville,Reyville,1007,,,,,36.282834,10.475758,Geonames,,1,reyville,3161,Bouficha,Sousse,Centre Est,centroid,,2.902,15.424
72,educ_247,Saint-Germain,Saint-Germain,1023,,,Tunis,,36.74594,10.3078,Google Maps,"Maintenant appelé Ez Zhara. Dans les années 1950, il y avait une école primaire, un casino et proximité avec la plage.",1,saint germain,1357,Ezzahra,Ben Arous,Nord Est,centroid,,0.125,2.319
73,educ_25,Ben-Attar,Ben-Attar,98,,,,,,,,,,ben attar,,,,,unresolved,,,
74,educ_251,Sakiet-Mine,Sakiet-Mine,1027,,,,,36.221203,8.358202,Google Maps,Sakiet Sidi Youssef (mines).,1,sakiet mine,2354,Sakiet Sidi Youssef,Kef,Nord Ouest,centroid,,8.127,16.990
75,educ_253,Salammbo,Salammbo,1029,,,,,36.838061,10.320945,Google Maps,,1,salammbo,1170,Le Kram,Tunis,Nord Est,centroid,,0.685,1.454
76,educ_256,Sebbala-du-Mornag,Sebbala-du-Mornag,1038,,,,,36.67931,10.29195,Geonames,,1,sebbala du mornag,1362,Mornag,Ben Arous,Nord Est,centroid,,0.263,4.830
77,educ_258,Sekarna,Sekarna,1046,,,,,,,,,,sekarna,,,,,unresolved,,,
78,educ_259,Sened,Sened,1053,Gafsa,Gafsa,Gafsa,,34.540061,9.254983,Google Maps,,1,sened,6161,Sned,Gafsa,Sud Ouest,centroid,,0.301,15.884
79,educ_26,Ben-Gardane,Ben-Gardane,100,,,,,33.1398106305503,11.2162781205863,Google Maps,,1,ben gardane,5254,Ben Guerdane,Medenine,Sud Est,centroid,,0.091,39.839
80,educ_262,Sfax,Sfax,1056,,,,,34.73309867816,10.7583704515768,Google Maps,,1,sfax,3451,Sfax Ville,Sfax,Centre Est,centroid,,0.822,0.760
81,educ_265,Sidi-Abbes,Sidi-Abbes,1058,,,,,34.76094,10.73096,Google Maps,,1,sidi abbes,3455,Sfax Sud,Sfax,Centre Est,centroid,,2.590,0.356
82,educ_27,Beni-Khalled,Beni-Khalled,106,,,,,36.647836,10.591507,Google Maps,,1,beni khalled,1563,Beni Khalled,Nabeul,Nord Est,name_and_centroid,1.0000,0.198,3.762
83,educ_271,Sidi-bou-Aouane,Sidi-Bou-Aouane,1074,,,,,36.69299,9.00924,Google Maps,,1,sidi bou aouane,2259,Balta - Bou Aouane,Jendouba,Nord Ouest,centroid,,8.101,5.120
84,educ_272,Sidi-Bou-Said,Sidi-Bou-Said,1078,,,,,36.870357,10.34204,Google Maps,,1,sidi bou said,1151,Carthage,Tunis,Nord Est,centroid,,2.246,0.860
85,educ_28,Beni-Khiar,Beni-Khiar,107,,,,,36.459844,10.783682,Google Maps,,1,beni khiar,1553,Beni Khiar,Nabeul,Nord Est,name_and_centroid,1.0000,0.460,2.766
86,educ_280,Smala-dEl-Souassi,Smala-des-Souassi,1111,,,,,35.35083,10.54525,Google Maps,,1,smala des souassi,3356,Essouassi,Mahdia,Centre Est,centroid,,0.766,15.167
87,educ_283,Souk El-Arba,Souk El-Arba (Jendouba),1117,,,,,36.4969326358885,8.77643419432405,Google Maps,,1,souk el arba jendouba,2251,Jendouba,Jendouba,Nord Ouest,centroid,,5.119,2.809
88,educ_284,Souk El-Khemis,Souk El-Khemis (Bou Salem),1118,,,,,36.6075297328957,8.96956890839965,Google Maps,,1,souk el khemis bou salem,2253,Bou Salem,Jendouba,Nord Ouest,centroid,,4.138,7.615
89,educ_286,Sousse,Sousse,1124,Sousse,Sousse,Sousse,,35.8246122656788,10.6351825862153,Google Maps,,1,sousse,3151,Sousse Medina,Sousse,Centre Est,centroid,,0.410,0.660
90,educ_289,Teboulba,Teboulba,1145,,,Sousse,,35.641863053178,10.9658633597544,Google Maps,,1,teboulba,3260,Teboulba,Monastir,Centre Est,name_and_centroid,1.0000,0.021,3.510
91,educ_29,Besbessia,Besbessia,118,,,,,36.398653,10.526932,Google Maps,,1,besbessia,1566,Hammamet,Nabeul,Nord Est,centroid,,7.705,4.895
92,educ_292,Teboursouk,Téboursouk,1148,Téboursouk,Téboursouk,Téboursouk,,36.4578701666472,9.24907540240675,Google Maps,,1,teboursouk,2155,Teboursouk,Béja,Nord Ouest,name_and_centroid,1.0000,2.192,12.375
93,educ_294,Thala,Thala,1156,,,,,35.583106,8.666934,Google Maps,,1,thala,4259,Thala,Kasserine,Centre Ouest,name_and_centroid,1.0000,0.817,10.204
94,educ_296,Touireuf,Touireuf,1164,,,,,36.339293,8.581352,Google Maps,,1,touireuf,2258,Oued Meliz,Jendouba,Nord Ouest,centroid,,14.730,1.307
95,educ_297,Toukabeur,Toukabeur,1165,,,,,36.708481,9.520848,Google Maps,,1,toukabeur,2159,Medjez El Bab,Béja,Nord Ouest,centroid,,7.936,6.614
96,educ_298,Tozeur,Tozeur,1167,,,,,33.918534,8.122933,Google Maps,,1,tozeur,6251,Tozeur,Tozeur,Sud Ouest,name_and_centroid,1.0000,0.972,11.769
97,educ_3,Ain El-Asker,Aïn-El-Asker,17,,,,,36.573955,9.993222,Google Maps,Ain el Asker.,1,ain el asker,1653,Bir Mchergua,Zaghouan,Nord Est,centroid,,7.332,10.969
98,educ_30,Bir Mcherga,Bir-Mcherga,123,,,,,36.516241,9.95827,Google Maps,,1,bir mcherga,1653,Bir Mchergua,Zaghouan,Nord Est,centroid,,0.215,16.398
99,educ_302,Utique,Utique,1177,,,Bizerte,,37.05038,9.97594,Geonames,,1,utique,1760,Utique,Bizerte,Nord Est,name_and_centroid,1.0000,3.335,9.483
100,educ_303,Villejacques,Villejacques,1178,,,Tunis,,36.863058,10.111336,Google Maps,,1,villejacques,1257,El Mnihla,Ariana,Nord Est,centroid,,1.611,1.829
101,educ_304,Zaghouan,Zaghouan,1182,,,,,36.4031395193389,10.1420536107131,Google Maps,,1,zaghouan,1651,Zaghouan,Zaghouan,Nord Est,name_and_centroid,1.0000,0.259,15.787
102,educ_306,Zarzis,Zarzis,1191,,,,,33.5033032662621,11.1109307269972,Google Maps,,1,zarzis,5255,Zarzis,Medenine,Sud Est,name_and_centroid,1.0000,0.497,31.506
103,educ_31,Bir M'roua,Bir-M'roua,124,,,,,36.793189,10.625039,Google Maps,,1,bir mroua,1560,Takelsa,Nabeul,Nord Est,centroid,,0.088,12.659
104,educ_32,Bir Touil,Bir-Touil,125,,,,,36.687055,9.843434,Google Maps,,1,bir touil,1455,Borj Amri,Mannouba,Nord Est,centroid,,4.692,10.607
105,educ_33,Bir-bou-Rekba,Bir-Bou-Rekba,126,,,,,36.429586,10.574679,Google Maps,,1,bir bou rekba,1566,Hammamet,Nabeul,Nord Est,centroid,,4.320,7.059
106,educ_34,Bir-Chaaba,Bir-Chaaba,127,,,,,,,,,,bir chaaba,,,,,unresolved,,,
107,educ_35,Bir-Halima,Bir-Halima,131,,,Zaghouan,,36.395754,10.04325,Google Maps,,1,bir halima,1651,Zaghouan,Zaghouan,Nord Est,centroid,,8.987,3.767
108,educ_36,Birine,Birine,132,,,,,36.717609,10.107189,Google Maps,,1,birine,1164,Sidi Hassine,Tunis,Nord Est,centroid,,5.320,0.635
109,educ_37,Bizerte,Bizerte,140,,,,,37.274767,9.863165,Google Maps,,1,bizerte,1752,Zarzouna,Bizerte,Nord Est,centroid,,2.371,2.276
110,educ_39,Bou-Arada,Bou-Arada,156,,,,,36.351026,9.624131,Google Maps,,1,bou arada,2453,Bou Arada,Siliana,Nord Ouest,name_and_centroid,1.0000,0.004,15.733
111,educ_40,Bou-Arkoub,Bou-Argoub,157,,,,,36.530964,10.551338,Google Maps,,1,bou argoub,1565,Bou Argoub,Nabeul,Nord Est,name_and_centroid,1.0000,0.108,12.900
112,educ_41,Bou-Ficha,Bou-Ficha,164,,,,,36.299035,10.453706,Google Maps,,1,bou ficha,3161,Bouficha,Sousse,Centre Est,centroid,,0.306,16.423
113,educ_42,Bou-Jaber,Bou-Jaber,168,,,,,35.741712,8.299264,Google Maps,,1,bou jaber,2356,Kalaat Snan,Kef,Nord Ouest,centroid,,4.848,18.822
114,educ_44,Bou-Thadi,Bou-Thadi,178,,,,,35.098354,10.269289,Google Maps,,1,bou thadi,3355,Hebira,Mahdia,Centre Est,centroid,,8.130,8.872
115,educ_46,Carthage,Carthage,186,,,,,36.850797,10.330343,Google Maps,,1,carthage,1151,Carthage,Tunis,Nord Est,name_and_centroid,1.0000,0.986,1.337
116,educ_47,Chahal,Chaal,189,,,,,34.557985,10.310195,Google Maps,À priori Chaal.,3,chaal,3462,Ghraiba,Sfax,Centre Est,centroid,,11.290,6.296
117,educ_49,Chebaou,Chebaou,201,,,,,36.844812,10.03241,Google Maps,,1,chebaou,1453,Oued Ellil,Mannouba,Nord Est,centroid,,0.831,5.169
118,educ_50,Chebba,Chebba,202,,,,,35.23369,11.110785,Google Maps,,1,chebba,3358,Chebba,Mahdia,Centre Est,name_and_centroid,1.0000,0.000,10.107
119,educ_52,Chuiggui,Chouigui,220,,,,,36.8789035454845,9.80268817896235,Google Maps,,1,chouigui,1457,Tebourba,Mannouba,Nord Est,centroid,,6.092,4.766
120,educ_53,Creteville,Creteville,223,,,Tunis,,36.66188,10.32442,Geonames,,1,creteville,1362,Mornag,Ben Arous,Nord Est,centroid,,3.734,3.272
121,educ_55,De Carnieres,De Carnieres,232,,,Bizerte,,36.952127,9.984937,Geonames,,1,de carnieres,1255,Sidi Thabet,Ariana,Nord Est,centroid,,7.143,3.318
122,educ_57,Depienne,Depienne,240,,,,,36.456393,10.024742,Google Maps,Sminja.,1,depienne,1653,Bir Mchergua,Zaghouan,Nord Est,centroid,,8.779,3.476
123,educ_58,Djebel-Abiod,Djebel-Abiod,248,,,,,36.9749257194446,9.07494146384493,Google Maps,Ancien nom de Nefza.,1,djebel abiod,2154,Nefza,Béja,Nord Ouest,centroid,,2.100,16.532
124,educ_59,Djebel-Hallouf,Djebel-Hallouf,255,,,,,36.73333,8.91667,Mindat,Plusieurs lieux portent le même nom. Choix d’une mine où il y avait une mine française pendant la période coloniale.,3,djebel hallouf,2259,Balta - Bou Aouane,Jendouba,Nord Ouest,centroid,,3.098,10.883
125,educ_6,Akouda,Akouda,36,,,,,35.8731356324848,10.565715689794,Google Maps,,1,akouda,3156,Akouda,Sousse,Centre Est,name_and_centroid,1.0000,0.923,1.870
126,educ_60,Djebel-Mdilla,Djebel-Mdilla,258,,,Gafsa,,34.287598,8.749657,Google Maps,,1,djebel mdilla,6158,Mdhila,Gafsa,Sud Ouest,centroid,,0.538,12.670
127,educ_61,Djebel-Trozza,Djebel-Trozza,261,,,,,35.542355,9.580693,Google Maps,,1,djebel trozza,4157,El Alaa,Kairouan,Centre Ouest,centroid,,8.174,5.242
128,educ_64,Djemmal,Jemmel,619,Monastir,Monastir,Sousse,,35.622038,10.771803,Google Maps,,1,jemmel,3256,Jammel,Monastir,Centre Est,centroid,,1.223,5.226
129,educ_7,Alia,El-Alia,317,,,,,37.171665,10.03251,Google Maps,,1,el alia,1763,El Alia,Bizerte,Nord Est,name_and_centroid,1.0000,3.874,2.683
130,educ_74,Djerba Melita,Melita,1243,,,,,33.86279,10.800583,Google Maps,,1,melita,5256,Djerba Houmet Souk,Medenine,Sud Est,centroid,,5.487,9.826
131,educ_77,Djerissa,Djerissa,276,,,Kef,,35.84663,8.63531,Google Maps,,1,djerissa,2358,Djerissa,Kef,Nord Ouest,name_and_centroid,1.0000,1.994,6.885
132,educ_78,Djouggar,Djouggar,281,,,,,36.2672503111265,9.94300807639639,Google Maps,Jougar.,1,djouggar,1654,El Fahs,Zaghouan,Nord Est,centroid,,12.291,8.533
133,educ_79,Douaria,Douaria,282,,,,,37.039625,9.21063,Google Maps,Mine. Localisation d’après la carte des mines de 1922 (Wikipedia: https://upload.wikimedia.org/wikipedia/commons/4/40/Tunisie_mines_1922.jpg).,1,douaria,1754,Sedjnane,Bizerte,Nord Est,centroid,,13.145,0.147
134,educ_8,Aousdja,Aousdja,49,Bizerte,Bizerte,Bizerte,,37.14169,10.101721,Google Maps,,1,aousdja,1761,Ghar El Meleh,Bizerte,Nord Est,centroid,,3.024,5.200
135,educ_80,Douz,Douz,289,Nefzaoua,Nefzaoua,Kebili,,33.4571656103363,9.02502023425873,Google Maps,,1,douz,6354,Douz Nord,Kébili,Sud Ouest,centroid,,0.628,0.000
136,educ_81,Dra ben Djouder,Draa Ben Djouder,290,,,,,36.273409,10.020848,Google Maps,,1,draa ben djouder,1656,Saouaf,Zaghouan,Nord Est,centroid,,14.506,0.776
137,educ_82,Dubosville,Dubosville,295,,,,,36.7800456445957,10.1923712831916,Google Maps,,1,dubosville,1165,El Ouardia,Tunis,Nord Est,centroid,,1.367,0.364
138,educ_83,Ebba-Ksour,Ebba-Ksour,297,Le Kef,Kef,Kef,,35.946201894084,8.83074324008434,Google Maps,Ebba Ksoui.,1,ebba ksour,2360,Dahmani,Kef,Nord Ouest,centroid,,0.076,7.525
139,educ_84,Eddekhila,Eddekhila,299,,,Tunis,,36.86343,9.710727,Google Maps,,1,eddekhila,1458,El Battane,Mannouba,Nord Est,centroid,,7.877,3.965
140,educ_86,El-Aouareb,Haouareb,1230,,,,,35.5684557913378,9.77034732578002,Google Maps,,1,haouareb,4156,Haffouz,Kairouan,Centre Ouest,centroid,,11.287,3.855
141,educ_87,El-Aouina,El-Aouina,326,,,Tunis,,36.853093,10.257077,Google Maps,,1,el aouina,1252,Soukra,Ariana,Nord Est,centroid,,2.924,2.774
142,educ_89,El-Aroussa,El-Aroussa,335,,,Medjez-el-Bab,,36.376872,9.452703,Google Maps,Siliana.,1,el aroussa,2461,El Aroussa,Siliana,Nord Ouest,name_and_centroid,1.0000,0.252,12.697
143,educ_9,Ariana,Ariana,52,,,,,36.858639,10.187773,Google Maps,,1,ariana,1158,El Menzah,Tunis,Nord Est,centroid,,2.509,0.543
144,educ_90,El-Azib,El-Azib,343,,,,,37.201677,9.95,Google Maps,,1,el azib,1762,Menzel Djemil,Bizerte,Nord Est,centroid,,2.503,2.583
145,educ_92,El-Guetar,El-Guetar,388,Gafsa,Gafsa,Gafsa,,34.339324,8.950145,Google Maps,,1,el guetar,6159,El Guetar,Gafsa,Sud Ouest,name_and_centroid,1.0000,0.097,14.750
146,educ_93,El-Imma du Djerid,El-Imma du Djerid,416,,,,,33.997919,8.165588,Google Maps,,1,el imma du djerid,6252,Degach,Tozeur,Sud Ouest,centroid,,5.835,3.091
