id_2024,id_census,city_name_sources,city_name,id_geonames,caidat_1926,caidat_1931,controle_civil_1931,delegation_1956,lat,lon,sources_lat_lon,comments,geo_precision,name_key,id_delegation,delegation_name,governorate_name,region_name,match_method,match_score,match_km,match_margin_km
1,educ_1,Agareb,Agareb,6,,,,,34.741726,10.526864,Google Maps,,1,agareb,3457,Agareb,Sfax,Centre Est,name_and_centroid,1.0000,0.137,17.240
2,educ_10,Armand-Colin,El M'nagha,54,,,,,36.55536,9.944775,Google Maps,,1,el mnagha,1653,Bir Mchergua,Zaghouan,Nord Est,centroid,,4.700,15.851
3,educ_100,Enfidaville,Enfidaville,506,,,Sousse,,36.134153,10.375055,Google Maps,,1,enfidaville,3160,Enfidha,Sousse,Centre Est,centroid,,0.218,16.401
4,educ_101,Fedj El-Khemakhem,Fedj El-Khemakhem,514,,,Tunis,,,,,,,fedj el khemakhem,,,Tunis,Nord Est,hist_unit_governorate,,,
5,educ_106,Fondouk-Hafaied,Fondouk-Hafaied,529,,,,,36.475003,10.608637,Google Maps,Borj Hfaiedh. JORT (2 Avril 1957) qui parle de la piste de Fondouk Hafaïedh reliant la piste de Beni Khalled à Hammamet.,1,fondouk hafaied,1566,Hammamet,Nabeul,Nord Est,centroid,,7.716,0.231
6,educ_108,Foum-Tataouine,Foum-Tataouine,531,,,,,32.930227,10.453397,Google Maps,,1,foum tataouine,5351,Tataouine Nord,Tataouine,Sud Est,centroid,,0.202,1.167
7,educ_110,Gabes,Gabès,537,,,Gabès,,33.8857096933919,10.0996046929066,Google Maps,,1,gabes,5151,Gabes Medina,Gabès,Sud Est,centroid,,0.390,2.649
8,educ_111,Gafour,Gafour,540,Téboursouk,Téboursouk,Téboursouk,,36.323129,9.32117,Google Maps,,1,gafour,2454,Gaafour,Siliana,Nord Ouest,centroid,,0.251,12.952
9,educ_115,Gamart,Gamart,543,,,,,36.910101,10.286288,Google Maps,,1,gamart,1171,La Marsa,Tunis,Nord Est,centroid,,3.619,0.346
10,educ_116,Garn-Alfaya,Garn-Alfaya,545,,,,,36.025211,8.517282,Mindat,Mine.,1,garn alfaya,2355,Tajerouine,Kef,Nord Ouest,centroid,,15.201,2.370
11,educ_117,Ghardimaou,Ghardimaou,547,Souk-el-Arba,Souk-el-Arba,Souk-el-Arba,,36.447103544526,8.43827133348973,Google Maps,,1,ghardimaou,2257,Ghardimaou,Jendouba,Nord Ouest,name_and_centroid,1.0000,7.366,5.180
12,educ_119,Ghomrassen,Ghomrassen,553,Tatahouine,Tatahouine,Cercle militaire de Tatahouine,,33.060144,10.33998,Google Maps,,1,ghomrassen,5355,Ghomrassen,Tataouine,Sud Est,name_and_centroid,1.0000,0.323,17.280
13,educ_12,Attar,Attar,56,,,,,36.733332,10.083161,Google Maps,,1,attar,1164,Sidi Hassine,Tunis,Nord Est,centroid,,2.783,3.828
14,educ_121,Goulette,La Goulette,679,,,,,36.820138,10.304205,Google Maps,,1,la goulette,1169,La Goulette,Tunis,Nord Est,name_and_centroid,1.0000,0.385,1.415
15,educ_124,Hamma de Gabes,Hamma de Gabes,572,,,,,33.878581,9.75173,Google Maps,,1,hamma de gabes,5157,El Hamma,Gabès,Sud Est,centroid,,15.305,10.199
16,educ_125,Hammaim,Hammaim,573,,,,,,,,,,hammaim,,,,,unresolved,,,
17,educ_127,Hammam-Lif,Hammam-Lif,576,,,,,36.723072,10.344176,Google Maps,,1,hammam lif,1354,Hammam Lif,Ben Arous,Nord Est,name_and_centroid,1.0000,1.052,1.390
18,educ_13,Azib,El-Azib,57,,,,,37.201979,9.951135,Google Maps,,1,el azib,1762,Menzel Djemil,Bizerte,Nord Est,centroid,,2.504,2.540
19,educ_130,Hergla,Hergla,600,Sousse,Sousse,Sousse,,36.030038,10.507693,Google Maps,,1,hergla,3159,Hergla,Sousse,Centre Est,name_and_centroid,1.0000,0.042,8.799
20,educ_131,Hiboun,Hiboun,601,,,,,35.52268,11.031582,Google Maps,,1,hiboun,3351,Mahdia,Mahdia,Centre Est,centroid,,3.288,7.991
21,educ_133,Jama,Jema (Siliana),612,,,,,36.1123814873654,9.2848002252173,Google Maps,,1,jema siliana,2452,Siliana Sud,Siliana,Nord Ouest,centroid,,8.118,0.292
22,educ_134,Kairouan,Kairouan,625,Kairouan,Kairouan,Kairouan,,35.675914,10.091924,Google Maps,,1,kairouan,4151,Kairouan Nord,Kairouan,Centre Ouest,centroid,,0.694,0.536
23,educ_136,Kalaa-Kebira,Kalaa-Kebira,628,Sousse,Sousse,Sousse,,35.869824,10.535237,Google Maps,,1,kalaa kebira,3157,Kalaâ Kebira,Sousse,Centre Est,name_and_centroid,1.0000,0.029,3.217
24,educ_138,Kalaat-el-Andleus,Kalaat-El-Andalous,630,Tunis Banlieue,Tunis Banlieue,Tunis,,37.061832,10.119917,Google Maps,,1,kalaat el andalous,1254,Kalaât El Andalous,Ariana,Nord Est,name_and_centroid,1.0000,0.000,11.917
25,educ_14,Baie Ponty,Baie Ponty,66,,,,,37.25702,9.835388,Google Maps,Pêcherie.,1,baie ponty,1752,Zarzouna,Bizerte,Nord Est,centroid,,4.237,1.355
26,educ_143,Kebili,Kebili,633,Nefzaoua,Nefzaoua,Kebili,,33.7029352692366,8.96913732215862,Google Maps,,1,kebili,6351,Kebili Sud,Kébili,Sud Ouest,centroid,,0.354,0.000
27,educ_15,Bani-Hassen,Beni-Hassen,68,,,,,35.567307,10.808129,Google Maps,,1,beni hassen,3255,Beni Hassen,Monastir,Centre Est,name_and_centroid,1.0000,0.000,6.879
28,educ_156,Khledia,Khledia,652,,,,,36.644301,10.193304,Google Maps,,1,khledia,1360,Mohamedia,Ben Arous,Nord Est,centroid,,4.892,2.510
29,educ_157,Korba,Korba,658,Nabeul,Nabeul,Grombalia,,36.57277,10.857826,Google Maps,,1,korba,1554,Korba,Nabeul,Nord Est,name_and_centroid,1.0000,0.283,13.520
30,educ_16,Bardo,Le Bardo,688,,,,,36.813457,10.14071,Google Maps,,1,le bardo,1160,Le Bardo,Tunis,Nord Est,name_and_centroid,1.0000,0.392,1.366
31,educ_162,Ksar,Ksar,666,,,,,,,,,,ksar,,,,,unresolved,,,
32,educ_163,Ksar-Hellal,Ksar-Hellal,669,Monastir,Monastir,Sousse,,35.647952,10.875709,Google Maps,,1,ksar hellal,3261,Ksar Helal,Monastir,Centre Est,centroid,,1.271,1.267
33,educ_164,Ksar-Lahmar,Ksar-Lahmar,670,,,,,,,,,,ksar lahmar,,,,,unresolved,,,
34,educ_165,Ksiba-Sousse,Ksibet,672,,,,,,,,,,ksibet,,,,,unresolved,,,
