level,group_kind,group,metric,n,mean,sd,min,p10,p25,p50,p75,p90,max
station,national,Tunisia,saied_share_pct,9420,91.6583,7.0003,39.9123,82.9145,88.7931,93.5105,96.5116,98.1737,100.0000
station,national,Tunisia,zammel_share_pct,9420,6.4517,6.0769,0.0000,0.9259,2.2727,4.7619,8.7330,14.0275,58.5455
station,national,Tunisia,maghzaoui_share_pct,9420,1.8900,1.9238,0.0000,0.2985,0.8043,1.5228,2.5241,3.7975,56.5789
station,national,Tunisia,margin_pp,9420,85.0353,12.9269,0.2101,68.8112,79.9368,88.5976,93.9850,96.8052,100.0000
station,national,Tunisia,turnout_pct,8404,31.5297,11.8348,0.2110,17.9523,24.1818,30.8725,37.3847,43.7744,100.0000
station,region,Centre East,saied_share_pct,2131,91.2693,5.8201,59.7701,82.7089,87.8250,92.7711,95.7538,97.5309,100.0000
station,region,Centre East,zammel_share_pct,2131,6.9347,5.1519,0.0000,1.4493,2.9730,5.5838,9.7249,14.5631,36.7816
station,region,Centre East,maghzaoui_share_pct,2131,1.7960,1.2336,0.0000,0.4329,0.9231,1.6000,2.4194,3.4221,9.8485
station,region,Centre East,margin_pp,2131,84.2640,10.8695,22.9885,68.2741,78.2998,87.1605,92.6598,95.7447,100.0000
station,region,Centre East,turnout_pct,1979,32.3375,11.0196,5.2854,19.9086,25.3630,31.7039,38.2078,44.0932,99.4987
station,region,Centre West,saied_share_pct,1258,95.9365,3.0949,77.3234,91.6814,94.4882,96.7030,98.2056,99.0623,100.0000
station,region,Centre West,zammel_share_pct,1258,2.8048,2.5950,0.0000,0.2545,0.9901,2.0998,3.8685,6.3412,20.1117
station,region,Centre West,maghzaoui_share_pct,1258,1.2586,1.1792,0.0000,0.0000,0.4527,1.0471,1.7857,2.5988,8.5714
station,region,Centre West,margin_pp,1258,92.8787,5.5538,58.1006,85.1410,90.6030,94.3038,96.8410,98.2759,100.0000
station,region,Centre West,turnout_pct,1133,32.4013,13.0529,7.6023,17.7970,24.4141,31.1862,37.8947,46.3216,100.0000
station,region,North East,saied_share_pct,3250,89.7403,8.5501,41.8129,79.2203,86.4133,92.3664,95.5706,97.5369,100.0000
station,region,North East,zammel_share_pct,3250,8.3484,7.5021,0.0000,1.5869,3.2756,6.1902,11.1990,17.2549,53.2164
station,region,North East,maghzaoui_share_pct,3250,1.9114,1.4303,0.0000,0.4482,0.9053,1.5707,2.6050,3.8961,17.6768
station,region,North East,margin_pp,3250,81.3561,15.9386,0.2101,61.9770,75.2408,86.2112,92.2742,95.7827,100.0000
station,region,North East,turnout_pct,2930,32.2968,11.0910,3.0408,19.7092,25.5951,32.2293,38.0091,43.1436,99.5633
station,region,North West,saied_share_pct,1208,95.5080,4.0807,40.7273,91.1094,94.1661,96.4286,98.0159,99.0015,100.0000
station,region,North West,zammel_share_pct,1208,3.2838,3.8449,0.0000,0.0000,0.9792,2.3446,4.3956,7.3183,58.5455
station,region,North West,maghzaoui_share_pct,1208,1.2081,1.0102,0.0000,0.0000,0.4808,1.0454,1.6870,2.5641,6.4516
station,region,North West,margin_pp,1208,92.0196,7.3106,4.9231,83.9990,89.5546,93.8346,96.4846,98.2030,100.0000
station,region,North West,turnout_pct,1117,32.1380,12.0702,6.9357,18.8923,24.9355,30.5430,37.5872,44.4929,99.7175
station,region,South East,saied_share_pct,994,88.9058,5.8192,63.3333,80.9655,85.3788,89.5572,92.9452,96.0277,100.0000
station,region,South East,zammel_share_pct,994,8.3187,5.1695,0.0000,2.2927,4.5764,7.5472,11.4972,15.0000,33.3333
station,region,South East,maghzaoui_share_pct,994,2.7754,2.1083,0.0000,0.0744,1.3333,2.4768,3.7088,5.3511,15.3846
station,region,South East,margin_pp,994,80.3290,10.6741,31.6667,65.5945,73.9146,81.8917,87.7981,92.9043,100.0000
station,region,South East,turnout_pct,710,24.5898,13.1419,0.2110,11.0616,15.3702,22.7875,29.9249,37.8986,98.6486
station,region,South West,saied_share_pct,579,91.2547,6.6167,39.9123,84.9838,89.5489,92.6136,95.0207,96.9486,100.0000
station,region,South West,zammel_share_pct,579,5.3552,4.2405,0.0000,1.4627,2.7778,4.5307,6.7962,9.6804,34.2857
station,region,South West,maghzaoui_share_pct,579,3.3901,4.9936,0.0000,0.6361,1.3971,2.4793,3.7100,6.3808,56.5789
station,region,South West,margin_pp,579,84.9920,11.5360,4.7872,74.7362,82.0807,87.5000,91.4158,94.7206,100.0000
station,region,South West,turnout_pct,535,30.4346,10.5493,5.1572,18.2224,24.1537,29.7668,35.9012,41.5261,92.5926
station,governorate,Ariana,saied_share_pct,400,85.0101,11.9158,47.0588,63.9416,79.2361,89.5488,94.0747,96.1037,98.8372
station,governorate,Ariana,zammel_share_pct,400,12.6181,10.5794,0.4329,2.9644,4.6954,8.8998,17.2418,31.1191,47.2689
station,governorate,Ariana,maghzaoui_share_pct,400,2.3719,1.6665,0.0000,0.5728,1.0512,1.9154,3.4310,4.8844,7.7381
station,governorate,Ariana,margin_pp,400,72.3814,22.4585,0.2101,32.6940,62.1886,80.5161,89.2829,92.8737,98.2456
station,governorate,Ariana,turnout_pct,329,32.3683,9.6208,7.0973,21.3522,26.7992,32.4397,36.8768,41.2188,99.0762
station,governorate,Ben Arous,saied_share_pct,483,87.9665,6.5515,66.2577,79.3788,83.8792,88.3281,93.2835,95.9817,100.0000
station,governorate,Ben Arous,zammel_share_pct,483,9.8764,5.6240,0.0000,2.9722,5.5085,9.3294,13.4128,17.1954,28.8344
station,governorate,Ben Arous,maghzaoui_share_pct,483,2.1570,1.4815,0.0000,0.6215,1.1633,1.9391,2.9310,3.9664,17.6768
station,governorate,Ben Arous,margin_pp,483,78.0451,12.1252,37.4233,62.0876,70.6048,78.7986,87.7294,92.8571,100.0000
station,governorate,Ben Arous,turnout_pct,439,32.3174,10.1510,5.0198,21.2502,26.5788,31.9312,37.2632,41.7562,96.9849
station,governorate,Bizerte,saied_share_pct,491,93.0805,5.4991,69.8529,85.1852,90.9270,94.6176,97.1332,98.2222,100.0000
station,governorate,Bizerte,zammel_share_pct,491,5.4251,4.7786,0.0000,0.8929,1.7582,4.1139,7.2529,12.0603,25.8772
station,governorate,Bizerte,maghzaoui_share_pct,491,1.4944,1.1526,0.0000,0.3356,0.6678,1.2632,1.9966,3.0000,6.2500
station,governorate,Bizerte,margin_pp,491,87.5506,10.1585,44.5175,72.3618,83.6888,90.4580,95.1877,96.9072,100.0000
station,governorate,Bizerte,turnout_pct,442,29.4106,11.2706,3.0408,17.0330,22.0987,27.9077,35.3956,40.6555,99.5633
station,governorate,Béja,saied_share_pct,289,95.3735,3.1182,83.5484,91.1128,93.7086,96.0880,97.6471,98.7950,100.0000
station,governorate,Béja,zammel_share_pct,289,3.2413,2.6581,0.0000,0.3965,1.1070,2.7601,4.6025,7.2693,12.9129
station,governorate,Béja,maghzaoui_share_pct,289,1.3852,1.0864,0.0000,0.0000,0.6667,1.2195,1.8036,2.8487,6.4516
station,governorate,Béja,margin_pp,289,91.8627,5.5495,70.9677,83.8275,88.8889,93.0435,95.9893,97.7715,100.0000
station,governorate,Béja,turnout_pct,284,32.6219,11.2971,7.1529,19.2200,25.1938,31.6356,38.2788,44.9154,76.1589
station,governorate,Gabès,saied_share_pct,336,89.4171,5.7985,70.1299,82.2487,85.9039,89.6250,93.7057,96.8453,100.0000
station,governorate,Gabès,zammel_share_pct,336,7.8284,4.8441,0.0000,1.8224,4.0781,7.3620,10.8343,14.0404,25.3061
station,governorate,Gabès,maghzaoui_share_pct,336,2.7545,2.2339,0.0000,0.5146,1.3100,2.3955,3.5750,5.0107,15.3846
station,governorate,Gabès,margin_pp,336,81.3207,10.3604,46.9388,67.5254,74.8844,82.1542,89.0568,94.2973,100.0000
station,governorate,Gabès,turnout_pct,317,28.0338,12.6877,1.4118,15.2426,21.5130,26.1339,32.3034,39.8453,88.7755
station,governorate,Gafsa,saied_share_pct,327,93.1047,3.5532,76.3158,88.5406,90.9734,93.2773,95.6673,97.5349,100.0000
station,governorate,Gafsa,zammel_share_pct,327,4.6792,2.7415,0.0000,1.3387,2.6975,4.5340,6.4391,8.4375,13.1579
station,governorate,Gafsa,maghzaoui_share_pct,327,2.2162,1.5712,0.0000,0.0000,1.1788,2.0942,2.9687,3.8868,10.5263
station,governorate,Gafsa,margin_pp,327,88.1904,6.0486,63.1579,80.0000,84.5635,88.5870,92.5576,95.9083,100.0000
station,governorate,Gafsa,turnout_pct,295,28.0057,9.8761,5.1572,17.1773,21.4524,27.1812,33.2330,38.8206,74.7807
station,governorate,Jendouba,saied_share_pct,386,96.3532,2.7901,84.1699,92.1645,95.4208,96.9697,98.2552,99.0075,100.0000
station,governorate,Jendouba,zammel_share_pct,386,2.4886,2.3882,0.0000,0.0000,0.7937,1.8182,3.4014,5.5379,13.5135
station,governorate,Jendouba,maghzaoui_share_pct,386,1.1581,0.9129,0.0000,0.0000,0.5006,0.9829,1.6509,2.3596,5.0000
station,governorate,Jendouba,margin_pp,386,93.6445,5.0242,70.6564,86.6389,92.0187,94.9029,96.9405,98.3782,100.0000
station,governorate,Jendouba,turnout_pct,340,29.0798,11.5877,6.9737,17.1455,21.6992,27.9085,33.6949,40.5960,94.3069
station,governorate,Kairouan,saied_share_pct,364,96.2191,3.1316,82.4257,91.7801,95.2337,97.0267,98.4158,99.1304,100.0000
station,governorate,Kairouan,zammel_share_pct,364,2.8374,2.8035,0.0000,0.4627,1.0204,2.0562,3.5976,6.5775,16.3895
station,governorate,Kairouan,maghzaoui_share_pct,364,0.9435,0.8972,0.0000,0.0000,0.0000,0.7619,1.3899,2.1193,4.6512
station,governorate,Kairouan,margin_pp,364,93.2513,5.8330,66.2708,85.4980,91.3993,94.7902,97.2222,98.2963,100.0000
station,governorate,Kairouan,turnout_pct,346,30.5171,14.3396,8.2411,15.7438,21.0847,28.4311,36.3608,44.8381,100.0000
station,governorate,Kassérine,saied_share_pct,454,95.6350,3.2408,77.3234,91.5721,94.0921,96.1538,97.9922,98.9801,100.0000
station,governorate,Kassérine,zammel_share_pct,454,3.0957,2.7231,0.0000,0.0000,1.0485,2.5451,4.3338,6.6882,20.1117
station,governorate,Kassérine,maghzaoui_share_pct,454,1.2693,1.1332,0.0000,0.0000,0.4908,1.1310,1.8251,2.4691,8.5714
station,governorate,Kassérine,margin_pp,454,92.3084,5.8019,58.1006,84.9604,89.6529,93.2897,96.4999,98.1648,100.0000
station,governorate,Kassérine,turnout_pct,359,35.2212,13.7608,7.6023,20.8578,26.5853,33.3594,40.6921,51.8965,92.3077
station,governorate,Kebili,saied_share_pct,152,86.1010,9.7459,39.9123,74.9740,82.7287,88.9683,92.3224,94.2525,98.3333
station,governorate,Kebili,zammel_share_pct,152,7.1031,6.5242,0.0000,1.7013,2.8951,4.8052,8.5252,16.6667,34.2857
station,governorate,Kebili,maghzaoui_share_pct,152,6.7959,8.5080,0.0000,2.2585,3.1215,4.3213,7.2415,11.2998,56.5789
station,governorate,Kebili,margin_pp,152,76.1871,17.1978,4.7872,56.5277,69.2414,81.9734,87.4335,90.3129,97.2222
station,governorate,Kebili,turnout_pct,144,31.8824,11.3159,12.1813,19.4280,24.7669,30.6566,36.6095,43.4579,92.5926
station,governorate,Le Kef,saied_share_pct,276,96.2032,2.6985,85.2417,92.3826,94.7976,96.7367,98.1832,99.2508,100.0000
station,governorate,Le Kef,zammel_share_pct,276,2.5092,2.2826,0.0000,0.0000,0.7813,2.0408,3.6419,5.5492,11.1959
station,governorate,Le Kef,maghzaoui_share_pct,276,1.2876,1.0601,0.0000,0.0000,0.4797,1.1907,1.8196,2.6788,5.5556
station,governorate,Le Kef,margin_pp,276,93.3496,4.7728,74.0458,86.8350,91.0054,94.3089,96.6878,98.5575,100.0000
station,governorate,Le Kef,turnout_pct,265,32.8058,11.2569,7.0312,21.8128,26.3566,31.7726,37.8409,44.2222,99.5000
station,governorate,Mahdia,saied_share_pct,372,94.3379,3.4721,83.5616,89.1069,92.3627,94.9579,97.1429,98.1625,99.7416
station,governorate,Mahdia,zammel_share_pct,372,4.2409,2.9800,0.0000,0.9452,1.8833,3.5806,5.7526,8.9483,14.0187
station,governorate,Mahdia,maghzaoui_share_pct,372,1.4212,0.9636,0.0000,0.3040,0.7048,1.2646,2.0629,2.6316,5.5072
station,governorate,Mahdia,margin_pp,372,90.0104,6.3216,70.4050,80.0921,86.7893,91.3322,94.9456,96.8214,99.4832
station,governorate,Mahdia,turnout_pct,356,30.6100,11.4490,6.8515,17.5744,23.2017,30.0110,35.6226,43.1673,97.8799
station,governorate,Manubah,saied_share_pct,284,92.5046,5.2034,75.0000,84.5484,89.9376,94.1764,96.1880,97.4909,100.0000
station,governorate,Manubah,zammel_share_pct,284,5.9626,4.4197,0.0000,1.6469,2.8286,4.5714,8.1505,12.8941,22.0339
station,governorate,Manubah,maghzaoui_share_pct,284,1.5328,1.1081,0.0000,0.3296,0.7573,1.3249,2.0367,3.0235,5.9155
station,governorate,Manubah,margin_pp,284,86.5001,9.5570,52.9661,71.8889,81.8819,89.6080,93.2897,95.8686,100.0000
