bureau_code,delegation_key_2014,governorate_isie,delegation_isie,governorate_name,delegation_name,id_delegation,region_name,polling_centre,essebsi,marzouki,valid_votes,essebsi_share_pct,margin_pp
01010100101,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الزهور 4 الممتدّ - الحرائرية مكتب 1,220,128,348,63.22,26.44
01010100102,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الزهور 4 الممتدّ - الحرائرية مكتب 2,163,193,356,45.79,-8.43
01010100103,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الزهور 4 الممتدّ - الحرائرية مكتب 3,161,130,291,55.33,10.65
01010100201,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية 2مارس 34 الحرايرية 4 - الحرائرية مكتب 1,218,121,339,64.31,28.61
01010100202,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية 2مارس 34 الحرايرية 4 - الحرائرية مكتب 2,155,151,306,50.65,1.31
01010100203,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية 2مارس 34 الحرايرية 4 - الحرائرية مكتب 3,139,159,298,46.64,-6.71
01010100204,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية 2مارس 34 الحرايرية 4 - الحرائرية مكتب 4,131,133,264,49.62,-0.76
01010100301,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية الحرايرية 3 - الحرائرية مكتب 1,219,169,388,56.44,12.89
01010100302,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية الحرايرية 3 - الحرائرية مكتب 2,148,191,339,43.66,-12.68
01010200401,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الزهور 5 الممتدّ 1 - الزهور الخامس مكتب 1,259,158,417,62.11,24.22
01010200402,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الزهور 5 الممتدّ 1 - الزهور الخامس مكتب 2,218,188,406,53.69,7.39
01010200403,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الزهور 5 الممتدّ 1 - الزهور الخامس مكتب 3,184,218,402,45.77,-8.46
01010200404,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الزهور 5 الممتدّ 1 - الزهور الخامس مكتب 4,142,202,344,41.28,-17.44
01010200405,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الزهور 5 الممتدّ 1 - الزهور الخامس مكتب 5,170,162,332,51.2,2.41
01010200501,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الزهور 5 الممتدّ 2 - الزهور الخامس مكتب 1,168,122,290,57.93,15.86
01010200502,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الزهور 5 الممتدّ 2 - الزهور الخامس مكتب 2,141,155,296,47.64,-4.73
01010200503,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الزهور 5 الممتدّ 2 - الزهور الخامس مكتب 3,96,143,239,40.17,-19.67
01010200601,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الزهور 1/5 - الزهور الخامس مكتب 1,221,138,359,61.56,23.12
01010200602,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الزهور 1/5 - الزهور الخامس مكتب 2,217,149,366,59.29,18.58
01010200603,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الزهور 1/5 - الزهور الخامس مكتب 3,190,163,353,53.82,7.65
01010200604,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الزهور 1/5 - الزهور الخامس مكتب 4,156,133,289,53.98,7.96
01010200701,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية عقبة ابن نافع 2 الزهور - الزهور الخامس مكتب 1,225,167,392,57.4,14.8
01010200702,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية عقبة ابن نافع 2 الزهور - الزهور الخامس مكتب 2,183,170,353,51.84,3.68
01010200703,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية عقبة ابن نافع 2 الزهور - الزهور الخامس مكتب 3,168,202,370,45.41,-9.19
01010200704,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية عقبة ابن نافع 2 الزهور - الزهور الخامس مكتب 4,134,196,330,40.61,-18.79
01010200705,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية عقبة ابن نافع 2 الزهور - الزهور الخامس مكتب 5,104,185,289,35.99,-28.03
01010200706,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية عقبة ابن نافع 2 الزهور - الزهور الخامس مكتب 6,97,209,306,31.7,-36.6
01010200801,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الزهور 5 / 2 - الزهور الخامس مكتب 1,206,153,359,57.38,14.76
01010200802,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الزهور 5 / 2 - الزهور الخامس مكتب 2,166,149,315,52.7,5.4
01010200901,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية عقبة ابن نافع 1 - الزهور الخامس مكتب 1,225,125,350,64.29,28.57
01010200902,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية عقبة ابن نافع 1 - الزهور الخامس مكتب 2,203,154,357,56.86,13.73
01010200903,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية عقبة ابن نافع 1 - الزهور الخامس مكتب 3,119,197,316,37.66,-24.68
01010200904,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية عقبة ابن نافع 1 - الزهور الخامس مكتب 4,120,157,277,43.32,-13.36
01010301001,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية المشتل 1 - العقبة مكتب 1,268,126,394,68.02,36.04
01010301002,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية المشتل 1 - العقبة مكتب 2,261,134,395,66.08,32.15
01010301003,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية المشتل 1 - العقبة مكتب 3,220,156,376,58.51,17.02
01010301004,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية المشتل 1 - العقبة مكتب 4,237,172,409,57.95,15.89
01010301005,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية المشتل 1 - العقبة مكتب 5,180,165,345,52.17,4.35
01010301006,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية المشتل 1 - العقبة مكتب 6,180,151,331,54.38,8.76
01010301007,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية المشتل 1 - العقبة مكتب 7,185,167,352,52.56,5.11
01010301008,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية المشتل 1 - العقبة مكتب 8,159,157,316,50.32,0.63
01010301101,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية المشتل 2 - العقبة مكتب 1,179,79,258,69.38,38.76
01010301102,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية المشتل 2 - العقبة مكتب 2,124,79,203,61.08,22.17
01010401201,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الصحة الحرايرية - العقبة العليا مكتب 1,218,163,381,57.22,14.44
01010401202,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الصحة الحرايرية - العقبة العليا مكتب 2,162,195,357,45.38,-9.24
01010401203,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الصحة الحرايرية - العقبة العليا مكتب 3,151,155,306,49.35,-1.31
01010401204,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الصحة الحرايرية - العقبة العليا مكتب 4,141,207,348,40.52,-18.97
01010501301,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية غدير القلة مكتب 1,203,184,387,52.45,4.91
01010501302,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية غدير القلة مكتب 2,148,214,362,40.88,-18.23
01010501303,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية غدير القلة مكتب 3,127,146,273,46.52,-6.96
01010601401,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي العنتيت مكتب 1,250,128,378,66.14,32.28
01010601402,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي العنتيت مكتب 2,225,134,359,62.67,25.35
01010601403,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي العنتيت مكتب 3,188,161,349,53.87,7.74
01010601404,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي العنتيت مكتب 4,170,141,311,54.66,9.32
01010601405,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي العنتيت مكتب 5,178,146,324,54.94,9.88
01010701501,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الفلة مكتب 1,218,170,388,56.19,12.37
01010701502,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الفلة مكتب 2,180,190,370,48.65,-2.7
01010701503,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الفلة مكتب 3,198,178,376,52.66,5.32
01010701504,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الفلة مكتب 4,162,178,340,47.65,-4.71
01010701505,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الفلة مكتب 5,156,168,324,48.15,-3.7
01010701506,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي الفلة مكتب 6,164,171,335,48.96,-2.09
01010801601,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي بوزيان الزهور - طارق بن زياد مكتب 1,221,138,359,61.56,23.12
01010801602,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي بوزيان الزهور - طارق بن زياد مكتب 2,185,169,354,52.26,4.52
01010801603,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي بوزيان الزهور - طارق بن زياد مكتب 3,147,163,310,47.42,-5.16
01010801604,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي بوزيان الزهور - طارق بن زياد مكتب 4,128,172,300,42.67,-14.67
01010901701,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية 18جانفي الحرايرية - الزهروني مكتب 1,240,181,421,57.01,14.01
01010901702,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية 18جانفي الحرايرية - الزهروني مكتب 2,205,189,394,52.03,4.06
01010901703,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية 18جانفي الحرايرية - الزهروني مكتب 3,156,198,354,44.07,-11.86
01010901704,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية 18جانفي الحرايرية - الزهروني مكتب 4,138,185,323,42.72,-14.55
01010901801,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية الزهروني مكتب 1,248,142,390,63.59,27.18
01010901802,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية الزهروني مكتب 2,196,186,382,51.31,2.62
01010901803,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية الزهروني مكتب 3,196,178,374,52.41,4.81
01010901804,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية الزهروني مكتب 4,175,204,379,46.17,-7.65
01010901805,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية الزهروني مكتب 5,119,183,302,39.4,-21.19
01010901806,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية الزهروني مكتب 6,121,176,297,40.74,-18.52
01010901807,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية الزهروني مكتب 7,120,166,286,41.96,-16.08
01010901901,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي السلامة - الزهروني مكتب 1,230,183,413,55.69,11.38
01010901902,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي السلامة - الزهروني مكتب 2,162,188,350,46.29,-7.43
01010901903,0101,Tunis1,ElHrairia,Tunis,El Hrairia,1163,Nord Est,م إبتدائية حي السلامة - الزهروني مكتب 3,128,181,309,41.42,-17.15
01020102001,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور مكتب 1,273,139,412,66.26,32.52
01020102002,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور مكتب 2,264,122,386,68.39,36.79
01020102003,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور مكتب 3,246,165,411,59.85,19.71
01020102004,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور مكتب 4,233,143,376,61.97,23.94
01020102005,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور مكتب 5,231,157,388,59.54,19.07
01020102006,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور مكتب 6,211,158,369,57.18,14.36
01020102007,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور مكتب 7,187,145,332,56.33,12.65
01020102008,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الزهور 1 نهج الاكليل - الزهور مكتب 8,157,150,307,51.14,2.28
01020202101,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الزهور 4 نهج 4200 - الزهور الرابع مكتب 1,251,115,366,68.58,37.16
01020202102,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الزهور 4 نهج 4200 - الزهور الرابع مكتب 2,204,141,345,59.13,18.26
01020202103,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الزهور 4 نهج 4200 - الزهور الرابع مكتب 3,202,162,364,55.49,10.99
01020202104,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الزهور 4 نهج 4200 - الزهور الرابع مكتب 4,185,142,327,56.57,13.15
01020202105,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الزهور 4 نهج 4200 - الزهور الرابع مكتب 5,169,130,299,56.52,13.04
01020202106,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية حي الزهور 4 نهج 4200 - الزهور الرابع مكتب 6,148,168,316,46.84,-6.33
01020302201,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية العمارية نهج 4157 - السعادة مكتب 1,213,126,339,62.83,25.66
01020302202,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية العمارية نهج 4157 - السعادة مكتب 2,167,162,329,50.76,1.52
01020302203,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية العمارية نهج 4157 - السعادة مكتب 3,131,176,307,42.67,-14.66
01020302204,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية العمارية نهج 4157 - السعادة مكتب 4,144,167,311,46.3,-7.4
01020402301,0102,Tunis1,Ezzouhour,Tunis,Ezzouhour,1162,Nord Est,م إبتدائية السمران نهج 4137 مكتب 1,253,148,401,63.09,26.18
