constituency,list_name,seat_on_list,member
تونس 1,قائمة حزب حركة نداء تونس,1,ليلى أولاد علي
تونس 1,قائمة حزب حركة نداء تونس,2,عبد الناصر شويخ
تونس 1,قائمة حزب حركة نداء تونس,3,ابتسام جبابلي
تونس 1,قائمة حزب حركة النهضة,1,علي العريض
تونس 1,قائمة حزب حركة النهضة,2,يمينة الزغلامي
تونس 1,قائمة حزب حركة النهضة,3,النذير بنعمو
تونس 1,قائمة حزب الاتحاد الوطني الحر,1,محسن حسن
تونس 1,قائمة حزب التيار الديمقراطي,1,سامية حمودة
تونس 1,قائمة الجبهة الشعبية,1,أحمد الصديق
تونس 2,قائمة حزب حركة نداء تونس,1,سعيد علي مروان العايدي
تونس 2,قائمة حزب حركة نداء تونس,2,بشرى بلحاج حميدة
تونس 2,قائمة حزب حركة نداء تونس,3,مصطفى بن احمد
تونس 2,قائمة حزب حركة نداء تونس,4,ليلى هادية بوقطف
تونس 2,قائمة حزب حركة نداء تونس,5,الصحبي بن فرج
تونس 2,قائمة حزب حركة النهضة,1,عبد الفتاح مورو
تونس 2,قائمة حزب حركة النهضة,2,أروى بنعباس
تونس 2,قائمة حزب آفاق تونس,1,رياض المؤخر
أريانة,قائمة حزب حركة نداء تونس,1,عبد العزيز القطي
أريانة,قائمة حزب حركة نداء تونس,2,ليلى الحمروني
أريانة,قائمة حزب حركة نداء تونس,3,حسن العمري
أريانة,قائمة حزب حركة نداء تونس,4,صبرين الغبنتيني
أريانة,قائمة حزب حركة النهضة,1,الصحبي العتيق
أريانة,قائمة حزب حركة النهضة,2,جميلة دبش حرم كسيكسي
أريانة,قائمة حزب الاتحاد الوطني الحر,1,يوسف الجويني
أريانة,قائمة حزب آفاق تونس,1,كريم الهلالي
منوبة,قائمة حزب حركة نداء تونس,1,المنذر ابن الحاج علي
منوبة,قائمة حزب حركة نداء تونس,2,هدى تقية
منوبة,قائمة حزب حركة نداء تونس,3,محمد نجيب ترجمان
منوبة,قائمة حزب حركة النهضة,1,عماد الخميري
منوبة,قائمة حزب حركة النهضة,2,لطيفة حباشي
منوبة,قائمة حزب الاتحاد الوطني الحر,1,فوزية بن فضة
منوبة,قائمة الجبهة الشعبية,1,نزار عمامي
بن عروس,قائمة حزب حركة نداء تونس,1,محمد الازهر عكرمي
بن عروس,قائمة حزب حركة نداء تونس,2,وفاء مخلوف
بن عروس,قائمة حزب حركة نداء تونس,3,محمد الطرودي
بن عروس,قائمة حزب حركة نداء تونس,4,ألفة السكري الشريف
بن عروس,قائمة حزب حركة النهضة,1,نور الدين البحيري
بن عروس,قائمة حزب حركة النهضة,2,هالة الحامي
بن عروس,قائمة حزب حركة النهضة,3,محمد المحجوب
بن عروس,قائمة حزب الاتحاد الوطني الحر,1,توفيق الجملي
بن عروس,قائمة الجبهة الشعبية,1,زياد الأخضر
بن عروس,قائمة حزب التيار الديمقراطي,1,غازي الشواشي
بنزرت,قائمة حزب حركة نداء تونس,1,علي بن سالم
بنزرت,قائمة حزب حركة نداء تونس,2,حياة كبي ر
بنزرت,قائمة حزب حركة نداء تونس,3,ابراهيم ناصف
بنزرت,قائمة حزب حركة نداء تونس,4,ابتهاج بن هلال
بنزرت,قائمة حزب حركة النهضة,1,البشير اللزام
بنزرت,قائمة حزب حركة النهضة,2,آمنة بنحميد
بنزرت,قائمة حزب حركة النهضة,3,سمير ديلو
بنزرت,قائمة حزب التحالف الديمقراطي,1,المهدي بن غربية
بنزرت,قائمة حزب الاتحاد الوطني الحر,1,علي بالأخوة
نابل 1,قائمة حزب حركة نداء تونس,1,سلمه اللومي الرقيق
نابل 1,قائمة حزب حركة نداء تونس,2,حسام بونني
نابل 1,قائمة حزب حركة نداء تونس,3,نادية زنقر
نابل 1,قائمة حزب حركة نداء تونس,4,شكيب باني
نابل 1,قائمة حزب حركة النهضة,1,محمد سيدهم
نابل 1,قائمة حزب حركة النهضة,2,بوثينه بن يغلان
نابل 1,قائمة حزب آفاق تونس,1,نعمان الفهري
نابل 2,قائمة حزب حركة نداء تونس,1,خميس قسيلة
نابل 2,قائمة حزب حركة نداء تونس,2,مريم بوجبل
نابل 2,قائمة حزب حركة نداء تونس,3,وليد الجلاد
نابل 2,قائمة حزب حركة النهضة,1,محرزية العبيدي
نابل 2,قائمة حزب الاتحاد الوطني الحر,1,عبد القادر بنضيف الله
نابل 2,قائمة الجبهة الشعبية,1,فتحي شامخي
زغوان,قائمة حزب حركة نداء تونس,1,محمد خميس
زغوان,قائمة حزب حركة نداء تونس,2,ليلى الزحاف
زغوان,قائمة حزب حركة النهضة,1,محمد بن سالم
زغوان,قائمة حزب الاتحاد الوطني الحر,1,رضا الزغندي
زغوان,قائمة حزب المبادرة,1,الناصر الشنوفي
باجة,قائمة حزب حركة نداء تونس,1,منير الحمدي
باجة,قائمة حزب حركة نداء تونس,2,نجلاء سعداوي
باجة,قائمة حزب حركة نداء تونس,3,عصام الماطوسي
باجة,قائمة حزب حركة النهضة,1,سامي الفطناسي
باجة,قائمة حزب حركة الشعب,1,رضا دلاعي
باجة,قائمة حزب الاتحاد الوطني الحر,1,نور الدين بن عاشور
الكاف,قائمة حزب حركة نداء تونس,1,عبادة الشنوفي الكافي
الكاف,قائمة حزب حركة نداء تونس,2,الخنساء بن حراث
الكاف,قائمة حزب حركة نداء تونس,3,المنجي حرباوي
الكاف,قائمة حزب حركة النهضة,1,عبداللطيف المكي
الكاف,قائمة الجبهة الشعبية,1,مراد حمايدي
الكاف,قائمة حزب الاتحاد الوطني الحر,1,كمال هراغي
سليانة,قائمة حزب حركة نداء تونس,1,صلاح البرقاوي
سليانة,قائمة حزب حركة نداء تونس,2,سناء الصالحي
سليانة,قائمة حزب حركة النهضة,1,الزهير الرجبي
سليانة,قائمة الجبهة الشعبية,1,الجيلاني الهمامي
سليانة,قائمة الحزب الجمهوري,1,إياد الدهماني
سليانة,قائمة حزب الاتحاد الوطني الحر,1,نور الدين المرابطي
جندوبة,قائمة حزب حركة نداء تونس,1,بلقاسم دخيلي
جندوبة,قائمة حزب حركة نداء تونس,2,جهان عويشي
جندوبة,قائمة حزب حركة نداء تونس,3,شاكر عيادي
جندوبة,قائمة حزب حركة النهضة,1,أحمد مشرقي
جندوبة,قائمة حزب حركة النهضة,2,سناء مرسني
جندوبة,قائمة الجبهة الشعبية,1,منجي الرحوي
جندوبة,قائمة حزب الاتحاد الوطني الحر,1,درة يعقوبي
جندوبة,قائمة حزب صوت الفلاحين,1,فيصل تبيني
القيروان,قائمة حزب حركة النهضة,1,محمود قويعه
القيروان,قائمة حزب حركة النهضة,2,فريدة عبيدي
القيروان,قائمة حزب حركة النهضة,3,الهادي صولة
القيروان,قائمة حزب حركة نداء تونس,1,سهيل العلويني
القيروان,قائمة حزب حركة نداء تونس,2,أنس الحطاب
