governorate,delegation,constituency,registered,voters,votes_valid,votes_spoilt,votes_blank,candidate_sum,n_candidates,outcome,winner,ballot_identity_ok,candidate_sum_ok,year,decision_date_raw,block_index,delegation_folder,source_file,drive_id
الكاف,السرس,السرس,3882,382,363,18,1,363,3,elected,محمدسيف الدين غزيل,true,true,2023,20 ديسمبر 2012,6,السرس,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,"السرس الشماليه,",1380,221,7,2,2,207,2,elected,المنجي الورفلي,false,false,2023,20 ديسمبر 2012,7,السرس,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,المرجي - (السرس),1480,205,197,4,4,51,1,elected,رضا الرزقي,true,false,2023,20 ديسمبر 2012,8,السرس,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,"بوصليعه, تصرح البييه العليا",7944,2171,98,13,0,198,3,elected,نزار يحي,false,false,2023,20 ديسمبر 2012,9,السرس,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,حي النور- (السرس),5207,585,52,25,8,552,3,elected,جيهان علوي,false,false,2023,20 ديسمبر 2012,10,السرس,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,الطويرف,,,,,,,0,0,,,,,2023,27 ديسمبر 2023,1,الطويرف,قرار الهيئة لمعتمدية الطويرف__69__الكاف.PDF,1ddXksd3Wv-Kv1h8kV_y-CSoKwR-LhlXD
الكاف,الطويرف,الاذياب,704,130,7,1,0,129,2,elected,لطفي الحيدري,false,false,2023,27 ديسمبر 2023,2,الطويرف,قرار الهيئة لمعتمدية الطويرف__69__الكاف.PDF,1ddXksd3Wv-Kv1h8kV_y-CSoKwR-LhlXD
الكاف,الطويرف,"الطويرف 1, تصرح البييه",,180,70,8,2,170,2,elected,احمد جبالي,false,false,2023,27 ديسمبر 2023,3,الطويرف,قرار الهيئة لمعتمدية الطويرف__69__الكاف.PDF,1ddXksd3Wv-Kv1h8kV_y-CSoKwR-LhlXD
الكاف,الطويرف,"الطويرف 2, تصرح",,290,5,26,13,251,2,elected,احمد عامري,false,false,2023,27 ديسمبر 2023,4,الطويرف,قرار الهيئة لمعتمدية الطويرف__69__الكاف.PDF,1ddXksd3Wv-Kv1h8kV_y-CSoKwR-LhlXD
الكاف,الطويرف,ملاله يتقدم المها,1,258,72,5,1,252,4,runoff,,false,false,2023,27 ديسمبر 2023,5,الطويرف,قرار الهيئة لمعتمدية الطويرف__69__الكاف.PDF,1ddXksd3Wv-Kv1h8kV_y-CSoKwR-LhlXD
الكاف,الطويرف,"ولجه السدره, تصرح",745,20,7,0,3,207,2,elected,سمير حسناوي,false,false,2023,27 ديسمبر 2023,6,الطويرف,قرار الهيئة لمعتمدية الطويرف__69__الكاف.PDF,1ddXksd3Wv-Kv1h8kV_y-CSoKwR-LhlXD
الكاف,القصور,,,6,,,,0,0,,,,,2023,77 ديسمبر 2023,1,القصور,قرار الهيئة لمعتمدية القصور__61__الكاف.PDF,160c0iFXbsfqGvTuMaf_utaHqTR-CD0Qi
الكاف,القصور,الزيتونه - (القصور),1969,,63,25,3,463,3,runoff,,,false,2023,77 ديسمبر 2023,2,القصور,قرار الهيئة لمعتمدية القصور__61__الكاف.PDF,160c0iFXbsfqGvTuMaf_utaHqTR-CD0Qi
الكاف,القصور,القصور - (القصور),5788,930,7,38,20,463,2,runoff,,false,false,2023,77 ديسمبر 2023,3,القصور,قرار الهيئة لمعتمدية القصور__61__الكاف.PDF,160c0iFXbsfqGvTuMaf_utaHqTR-CD0Qi
الكاف,القصور,اللواته,2,300,291,5,4,129,2,elected,عاطف الحاج حسن,true,false,2023,77 ديسمبر 2023,4,القصور,قرار الهيئة لمعتمدية القصور__61__الكاف.PDF,160c0iFXbsfqGvTuMaf_utaHqTR-CD0Qi
الكاف,القصور,بانوء تصرح البييه,3,147,43,,1,143,2,elected,نبيل السلامي,,false,2023,77 ديسمبر 2023,5,القصور,قرار الهيئة لمعتمدية القصور__61__الكاف.PDF,160c0iFXbsfqGvTuMaf_utaHqTR-CD0Qi
الكاف,القصور,عين القصيبه,,,,,,5202,1,elected,رضي الحفظلاوي,,,2023,77 ديسمبر 2023,6,القصور,قرار الهيئة لمعتمدية القصور__61__الكاف.PDF,160c0iFXbsfqGvTuMaf_utaHqTR-CD0Qi
الكاف,القصور,عين فضيلء تصرح البييه,1,189,875,2,2,50,1,elected,صلاح الوافي,false,false,2023,77 ديسمبر 2023,7,القصور,قرار الهيئة لمعتمدية القصور__61__الكاف.PDF,160c0iFXbsfqGvTuMaf_utaHqTR-CD0Qi
الكاف,القلعه الخصباء,القلعه الخصباء 1,,0,,,,0,0,,,,,2023,27 ديسمبر 2023,1,القلعة الخصباء,قرار الهيئة لمعتمدية القلعة الخصباء__62__الكاف.PDF,1ycgzMesJKgcnRLQY7XJ9_ETtY8fmBNVL
الكاف,القلعه الخصباء,القلعه,1863,406,,20,7,268,3,,,,,2023,27 ديسمبر 2023,2,القلعة الخصباء,قرار الهيئة لمعتمدية القلعة الخصباء__62__الكاف.PDF,1ycgzMesJKgcnRLQY7XJ9_ETtY8fmBNVL
الكاف,القلعه الخصباء,القلعه,1366,,303,18,1,303,4,elected,اسماعيل شيخاوي,,true,2023,27 ديسمبر 2023,3,القلعة الخصباء,قرار الهيئة لمعتمدية القلعة الخصباء__62__الكاف.PDF,1ycgzMesJKgcnRLQY7XJ9_ETtY8fmBNVL
الكاف,القلعه الخصباء,الناظور - (القلعه الخصباء),500,65,,1,1,74,1,,,,,2023,27 ديسمبر 2023,4,القلعة الخصباء,قرار الهيئة لمعتمدية القلعة الخصباء__62__الكاف.PDF,1ycgzMesJKgcnRLQY7XJ9_ETtY8fmBNVL
الكاف,القلعه الخصباء,سيدي احمد,1393,447,423,2,2,423,2,elected,اروي مسعودي,false,true,2023,27 ديسمبر 2023,5,القلعة الخصباء,قرار الهيئة لمعتمدية القلعة الخصباء__62__الكاف.PDF,1ycgzMesJKgcnRLQY7XJ9_ETtY8fmBNVL
الكاف,القلعه الخصباء,"هنطايه,",341,129,26,1,2,115,1,elected,محمد مسعودي,false,false,2023,27 ديسمبر 2023,6,القلعة الخصباء,قرار الهيئة لمعتمدية القلعة الخصباء__62__الكاف.PDF,1ycgzMesJKgcnRLQY7XJ9_ETtY8fmBNVL
الكاف,الكاف الشرقيه,,,,,,,0,0,,,,,2023,27 ديسمبر 2023,1,الكاف الشرقية,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,الحوارث,6084,4,299,1,4,199,2,elected,شادي بالطيب,false,false,2023,27 ديسمبر 2023,2,الكاف الشرقية,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,الزعفران,752,549,527,13,9,527,3,runoff,,true,true,2023,27 ديسمبر 2023,3,الكاف الشرقية,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,الشرفيين,7047,463,416,27,20,416,3,runoff,,true,true,2023,27 ديسمبر 2023,4,الكاف الشرقية,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,بنعنين يتقدم,7340,820,706,22,2,575,4,runoff,,false,false,2023,27 ديسمبر 2023,5,الكاف الشرقية,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,حشاد,7254,297,250,25,22,250,2,elected,حمه الفرشيشي,true,true,2023,27 ديسمبر 2023,6,الكاف الشرقية,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,دير الكاف,3685,205,195,4,6,195,2,elected,منجي جبالي,true,true,2023,27 ديسمبر 2023,7,الكاف الشرقية,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,وادي السواني,1005,279,,21,2,256,4,runoff,,,,2023,27 ديسمبر 2023,8,الكاف الشرقية,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الشرقيه,وادي السواني,1751,246,6,8,2,236,3,runoff,,false,false,2023,27 ديسمبر 2023,9,الكاف الشرقية,قرار الهيئة لمعتمدية الكاف الشرقية__63__الكاف.PDF,1qNBRJ84ksU_mr9eC5ADmNCo-nFOzSSbg
الكاف,الكاف الغربيه,,,6,,,,0,0,,,,,2023,27 ديسمبر 2023,1,الكاف الغربية,قرار الهيئة لمعتمدية الكاف الغربية__64__الكاف.PDF,1fz63zLYoubrGXS8JBs1iXmW02-mbgUoE
الكاف,الكاف الغربيه,الحوارث,3859,405,385,9,1,478,3,runoff,,false,false,2023,27 ديسمبر 2023,2,الكاف الغربية,قرار الهيئة لمعتمدية الكاف الغربية__64__الكاف.PDF,1fz63zLYoubrGXS8JBs1iXmW02-mbgUoE
الكاف,الكاف الغربيه,الحوارث,8341,766,7,20,15,731,3,elected,سفيان الشارني,false,false,2023,27 ديسمبر 2023,3,الكاف الغربية,قرار الهيئة لمعتمدية الكاف الغربية__64__الكاف.PDF,1fz63zLYoubrGXS8JBs1iXmW02-mbgUoE
الكاف,الكاف الغربيه,الحوارث,9552,603,568,22,13,458,2,elected,سامي عامري,true,false,2023,27 ديسمبر 2023,4,الكاف الغربية,قرار الهيئة لمعتمدية الكاف الغربية__64__الكاف.PDF,1fz63zLYoubrGXS8JBs1iXmW02-mbgUoE
الكاف,الكاف الغربيه,وادي الرمل,4479,449,20,17,12,59060153,2,elected,مكرم محفوظي,false,false,2023,27 ديسمبر 2023,5,الكاف الغربية,قرار الهيئة لمعتمدية الكاف الغربية__64__الكاف.PDF,1fz63zLYoubrGXS8JBs1iXmW02-mbgUoE
الكاف,الكاف الغربيه,وادي الرمل,1443,3204,4,5,5,294,2,elected,نزار العبيدي,false,false,2023,27 ديسمبر 2023,6,الكاف الغربية,قرار الهيئة لمعتمدية الكاف الغربية__64__الكاف.PDF,1fz63zLYoubrGXS8JBs1iXmW02-mbgUoE
الكاف,تاجروين,,,54,,,,0,0,,,,,2023,77 ديسمبر 2023,1,تاجروين,قرار الهيئة لمعتمدية تاجروين__65__الكاف.PDF,1hys3FK4psj8O9I1a1aAsA7-wi0a1BhLo
الكاف,تاجروين,الحوض - (تاجروين),1208,230,,7,1,167,2,elected,بدرالدين سمعلي,,,2023,77 ديسمبر 2023,2,تاجروين,قرار الهيئة لمعتمدية تاجروين__65__الكاف.PDF,1hys3FK4psj8O9I1a1aAsA7-wi0a1BhLo
الكاف,تاجروين,النجاه - (تاجروين)؛ تصرح,437,5,,0,0,72,2,elected,علي رحالي,,,2023,77 ديسمبر 2023,3,تاجروين,قرار الهيئة لمعتمدية تاجروين__65__الكاف.PDF,1hys3FK4psj8O9I1a1aAsA7-wi0a1BhLo
الكاف,تاجروين,"برج الديوانه, تصرح",78,142,5,0,4,138,2,elected,سامي الزيدي,false,false,2023,77 ديسمبر 2023,4,تاجروين,قرار الهيئة لمعتمدية تاجروين__65__الكاف.PDF,1hys3FK4psj8O9I1a1aAsA7-wi0a1BhLo
الكاف,تاجروين,تاجروين الجنوبيه,6029,675,637,24,4,637,5,runoff,,false,true,2023,77 ديسمبر 2023,5,تاجروين,قرار الهيئة لمعتمدية تاجروين__65__الكاف.PDF,1hys3FK4psj8O9I1a1aAsA7-wi0a1BhLo
الكاف,تاجروين,"تاجروين الشماليه, تصرح",809,,70,7,4,110,3,elected,رفيق بنعلي,,false,2023,77 ديسمبر 2023,6,تاجروين,قرار الهيئة لمعتمدية تاجروين__65__الكاف.PDF,1hys3FK4psj8O9I1a1aAsA7-wi0a1BhLo
الكاف,تاجروين,جزه يتقدم الها,3536,,,,,30,2,runoff,,,,2023,77 ديسمبر 2023,7,تاجروين,قرار الهيئة لمعتمدية تاجروين__65__الكاف.PDF,1hys3FK4psj8O9I1a1aAsA7-wi0a1BhLo
الكاف,تاجروين,حي بورقيبه,4492,74,546,20,8,546,6,runoff,,false,true,2023,77 ديسمبر 2023,8,تاجروين,قرار الهيئة لمعتمدية تاجروين__65__الكاف.PDF,1hys3FK4psj8O9I1a1aAsA7-wi0a1BhLo
الكاف,تاجروين,سيدي عبد الباسط,1347,,1,18,2,313,4,runoff,,,false,2023,77 ديسمبر 2023,9,تاجروين,قرار الهيئة لمعتمدية تاجروين__65__الكاف.PDF,1hys3FK4psj8O9I1a1aAsA7-wi0a1BhLo
الكاف,تاجروين,سيدي مطير,1657,149,144,,2,144,3,elected,عبدالجليل رابعي,,true,2023,77 ديسمبر 2023,10,تاجروين,قرار الهيئة لمعتمدية تاجروين__65__الكاف.PDF,1hys3FK4psj8O9I1a1aAsA7-wi0a1BhLo
الكاف,تاجروين,"عين الابار, تصرح",3237,613,580,23,10,480,3,elected,مريم بلكيلاني,true,false,2023,77 ديسمبر 2023,11,تاجروين,قرار الهيئة لمعتمدية تاجروين__65__الكاف.PDF,1hys3FK4psj8O9I1a1aAsA7-wi0a1BhLo
الكاف,تاجروين,"قرن حلفايه, تصرح",315,147,1,2,1,64,2,elected,الطاهر شارني,false,false,2023,77 ديسمبر 2023,12,تاجروين,قرار الهيئة لمعتمدية تاجروين__65__الكاف.PDF,1hys3FK4psj8O9I1a1aAsA7-wi0a1BhLo
الكاف,تاجروين,"منزل سالم, تصرح",1443,256,238,13,5,238,2,elected,وليد البوغالمي,true,true,2023,77 ديسمبر 2023,13,تاجروين,قرار الهيئة لمعتمدية تاجروين__65__الكاف.PDF,1hys3FK4psj8O9I1a1aAsA7-wi0a1BhLo
الكاف,ساقيه سيدي يوسف,السفايه,,148,,,,0,0,,,,,2023,77 ديسمبر 2023,1,ساقية سيدي يوسف,ساقية سيدي يوسف.PDF,1typB7ImuS5U6zECHJswgGyUwB8tkdGJ0
الكاف,ساقيه سيدي يوسف,الطابيه,475,,133,5,4,133,2,elected,عبدالحميد بومنيجل,,true,2023,77 ديسمبر 2023,2,ساقية سيدي يوسف,ساقية سيدي يوسف.PDF,1typB7ImuS5U6zECHJswgGyUwB8tkdGJ0
الكاف,ساقيه سيدي يوسف,"الطابيه,",771,141,0,3,2,88,1,elected,محسن الشارني,false,false,2023,77 ديسمبر 2023,3,ساقية سيدي يوسف,ساقية سيدي يوسف.PDF,1typB7ImuS5U6zECHJswgGyUwB8tkdGJ0
الكاف,ساقيه سيدي يوسف,جرادو,1709,367,345,19,,345,3,runoff,,,true,2023,77 ديسمبر 2023,4,ساقية سيدي يوسف,ساقية سيدي يوسف.PDF,1typB7ImuS5U6zECHJswgGyUwB8tkdGJ0
الكاف,ساقيه سيدي يوسف,ساقيه,6545,75,,38,20,769,6,,,,,2023,77 ديسمبر 2023,5,ساقية سيدي يوسف,ساقية سيدي يوسف.PDF,1typB7ImuS5U6zECHJswgGyUwB8tkdGJ0
الكاف,ساقيه سيدي يوسف,سيدي رابح,1564,7,7,23,4,400,4,elected,منير التليلي,false,false,2023,77 ديسمبر 2023,6,ساقية سيدي يوسف,ساقية سيدي يوسف.PDF,1typB7ImuS5U6zECHJswgGyUwB8tkdGJ0
الكاف,ساقيه سيدي يوسف,عين,1520,395,367,21,7,367,3,runoff,,true,true,2023,77 ديسمبر 2023,7,ساقية سيدي يوسف,ساقية سيدي يوسف.PDF,1typB7ImuS5U6zECHJswgGyUwB8tkdGJ0
الكاف,ساقيه سيدي يوسف,عين مازر,,,,,,277,4,runoff,,,,2023,77 ديسمبر 2023,8,ساقية سيدي يوسف,ساقية سيدي يوسف.PDF,1typB7ImuS5U6zECHJswgGyUwB8tkdGJ0
الكاف,ساقيه سيدي يوسف,فرشان,1204,2,244,6,2,89,3,,,false,false,2023,77 ديسمبر 2023,9,ساقية سيدي يوسف,ساقية سيدي يوسف.PDF,1typB7ImuS5U6zECHJswgGyUwB8tkdGJ0
الكاف,قلعه سنان,,,,,,,0,0,,,,,2023,77 ديسمبر 2023,1,قلعة سنان,قرار الهيئة لمعتمدية قلعة سنان__67__الكاف.PDF,11jdS5KgJM0OGWHLeP30Psct0dlGzexnb
الكاف,قلعه سنان,الحميمه - (قلعه,519,,51,6,2,151,2,elected,عبدالقادر عبيدي,,false,2023,77 ديسمبر 2023,2,قلعة سنان,قرار الهيئة لمعتمدية قلعة سنان__67__الكاف.PDF,11jdS5KgJM0OGWHLeP30Psct0dlGzexnb
الكاف,قلعه سنان,الصفصاف,305,89,83,4,2,83,2,elected,محمد الاسود,true,true,2023,77 ديسمبر 2023,3,قلعة سنان,قرار الهيئة لمعتمدية قلعة سنان__67__الكاف.PDF,11jdS5KgJM0OGWHLeP30Psct0dlGzexnb
الكاف,قلعه سنان,"الفالته, تصرح",810,217,4,2,1,139,2,elected,حسونه غرايري,false,false,2023,77 ديسمبر 2023,4,قلعة سنان,قرار الهيئة لمعتمدية قلعة سنان__67__الكاف.PDF,11jdS5KgJM0OGWHLeP30Psct0dlGzexnb
الكاف,قلعه سنان,المحجوبه,951,260,7,6,7,228,2,elected,فاروق صالحي,false,false,2023,77 ديسمبر 2023,5,قلعة سنان,قرار الهيئة لمعتمدية قلعة سنان__67__الكاف.PDF,11jdS5KgJM0OGWHLeP30Psct0dlGzexnb
الكاف,قلعه سنان,بوجابر يتقدم البها,78,177,165,10,2,127,3,,,true,false,2023,77 ديسمبر 2023,6,قلعة سنان,قرار الهيئة لمعتمدية قلعة سنان__67__الكاف.PDF,11jdS5KgJM0OGWHLeP30Psct0dlGzexnb
الكاف,قلعه سنان,سد الخير يتقدم,709,283,273,6,4,5473,4,runoff,,true,false,2023,77 ديسمبر 2023,7,قلعة سنان,قرار الهيئة لمعتمدية قلعة سنان__67__الكاف.PDF,11jdS5KgJM0OGWHLeP30Psct0dlGzexnb
الكاف,قلعه سنان,عين سنان يتقدم,819,1725,,2,0,93,3,runoff,,,,2023,77 ديسمبر 2023,8,قلعة سنان,قرار الهيئة لمعتمدية قلعة سنان__67__الكاف.PDF,11jdS5KgJM0OGWHLeP30Psct0dlGzexnb
الكاف,قلعه سنان,"قلعه سنان, تصرح",7397,44,756,2,6,691,4,elected,يونس عسكري,false,false,2023,77 ديسمبر 2023,9,قلعة سنان,قرار الهيئة لمعتمدية قلعة سنان__67__الكاف.PDF,11jdS5KgJM0OGWHLeP30Psct0dlGzexnb
الكاف,قلعه سنان,مزيته,70,54,5,11,4,0,0,elected,محمد باشر,false,false,2023,77 ديسمبر 2023,10,قلعة سنان,قرار الهيئة لمعتمدية قلعة سنان__67__الكاف.PDF,11jdS5KgJM0OGWHLeP30Psct0dlGzexnb
الكاف,نبر,الشتاتله,,0,,,,0,0,,,,,2023,27 ديسمبر 2023,1,نبر,قرار الهيئة لمعتمدية نبر__68__الكاف.PDF,1ShOEi4Ce965h3FF2O3q8ycpfH5AzPGLN
الكاف,نبر,"الشتاتله, تصرح البييه العليا",797,232,20,12,0,140,1,elected,ماجد العربي,false,false,2023,27 ديسمبر 2023,2,نبر,قرار الهيئة لمعتمدية نبر__68__الكاف.PDF,1ShOEi4Ce965h3FF2O3q8ycpfH5AzPGLN
الكاف,نبر,القصر - (نبر) يتقدم الها,1,0,0,23,15,1369,5,runoff,,false,false,2023,27 ديسمبر 2023,3,نبر,قرار الهيئة لمعتمدية نبر__68__الكاف.PDF,1ShOEi4Ce965h3FF2O3q8ycpfH5AzPGLN
الكاف,نبر,بهره يتقدم الما المترشحان,3176,,,19,14,438,4,runoff,,,,2023,27 ديسمبر 2023,4,نبر,قرار الهيئة لمعتمدية نبر__68__الكاف.PDF,1ShOEi4Ce965h3FF2O3q8ycpfH5AzPGLN
الكاف,نبر,تل الغزلان يتقدم اليها,764,337,59,16,6,315,4,runoff,,false,false,2023,27 ديسمبر 2023,5,نبر,قرار الهيئة لمعتمدية نبر__68__الكاف.PDF,1ShOEi4Ce965h3FF2O3q8ycpfH5AzPGLN
الكاف,نبر,سيدي خيار,,79,3,6,0,73,1,,,false,false,2023,27 ديسمبر 2023,6,نبر,قرار الهيئة لمعتمدية نبر__68__الكاف.PDF,1ShOEi4Ce965h3FF2O3q8ycpfH5AzPGLN
الكاف,نبر,سيدي خيارء تصرح البييه العليا,,,,,,479,3,elected,ريم نصر,,,2023,27 ديسمبر 2023,7,نبر,قرار الهيئة لمعتمدية نبر__68__الكاف.PDF,1ShOEi4Ce965h3FF2O3q8ycpfH5AzPGLN
الكاف,نبر,سيدي مدين - (نبر) تصرح,1068,,,2,12,209,1,elected,ياسين بوقصعه,,,2023,27 ديسمبر 2023,8,نبر,قرار الهيئة لمعتمدية نبر__68__الكاف.PDF,1ShOEi4Ce965h3FF2O3q8ycpfH5AzPGLN
الكاف,نبر,ملاقء تصرح الهييه العليا,,388,767,6,6,376,3,elected,شكري علوي,false,false,2023,27 ديسمبر 2023,9,نبر,قرار الهيئة لمعتمدية نبر__68__الكاف.PDF,1ShOEi4Ce965h3FF2O3q8ycpfH5AzPGLN
