governorate,delegation,constituency,registered,voters,votes_valid,votes_spoilt,votes_blank,candidate_sum,n_candidates,outcome,winner,ballot_identity_ok,candidate_sum_ok,year,decision_date_raw,block_index,delegation_folder,source_file,drive_id
الكاف,الجريصه,,,2,,,,0,0,,,,,2023,77 ديسمبر 2023,1,الجريصة,قرار الهيئة لمعتمدية الجريصة__58__الكاف.PDF,178do27HT8i4YGX1yFzLTbNNQLxQHiUao
الكاف,الجريصه,,2287,,5,9,28,205,1,,,,false,2023,77 ديسمبر 2023,2,الجريصة,قرار الهيئة لمعتمدية الجريصة__58__الكاف.PDF,178do27HT8i4YGX1yFzLTbNNQLxQHiUao
الكاف,الجريصه,"الجريصه الشماليه,",,,,,,215,3,elected,لطفي قرطاس,,,2023,77 ديسمبر 2023,3,الجريصة,قرار الهيئة لمعتمدية الجريصة__58__الكاف.PDF,178do27HT8i4YGX1yFzLTbNNQLxQHiUao
الكاف,الجريصه,"الجريصه المركزيه,",3004,264,471,8,9,247,3,elected,احمد طاهري,false,false,2023,77 ديسمبر 2023,4,الجريصة,قرار الهيئة لمعتمدية الجريصة__58__الكاف.PDF,178do27HT8i4YGX1yFzLTbNNQLxQHiUao
الكاف,الجريصه,"الجريصه المركزيه,",263,8,0,1,0,0,0,,,false,true,2023,77 ديسمبر 2023,5,الجريصة,قرار الهيئة لمعتمدية الجريصة__58__الكاف.PDF,178do27HT8i4YGX1yFzLTbNNQLxQHiUao
الكاف,الجريصه,,679,,15,7,3,0,0,,,,false,2023,77 ديسمبر 2023,6,الجريصة,قرار الهيئة لمعتمدية الجريصة__58__الكاف.PDF,178do27HT8i4YGX1yFzLTbNNQLxQHiUao
الكاف,الجريصه,فج التمرء تصرح البييه,999,6,257,,2,257,2,elected,حاتم علوي,,true,2023,77 ديسمبر 2023,7,الجريصة,قرار الهيئة لمعتمدية الجريصة__58__الكاف.PDF,178do27HT8i4YGX1yFzLTbNNQLxQHiUao
الكاف,الدهماني,ابه,,15,,,,0,0,,,,,2023,20 ديسمبر 2012,1,الدهماني,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,ابه,1179,723,704,4,,304,2,elected,فراس قيزاني,,false,2023,20 ديسمبر 2012,2,الدهماني,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,الدهماني الشماليه,3434,752,693,46,13,693,5,runoff,,true,true,2023,20 ديسمبر 2012,3,الدهماني,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,الدهماني,9062,612,550,38,24,550,2,elected,دلال اللموشثي,true,true,2023,20 ديسمبر 2012,4,الدهماني,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,الزوارين يتقدم الها,3334,743,708,24,1,567,3,runoff,,false,false,2023,20 ديسمبر 2012,5,الدهماني,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,المدينه - (الدهماني),1104,55,0,2,3,50,1,,,false,false,2023,20 ديسمبر 2012,6,الدهماني,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,ثرمده يتقدم الها,1675,255,237,13,5,237,4,runoff,,true,true,2023,20 ديسمبر 2012,7,الدهماني,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,سيدي بركات الشماليه,746,65,20,4,2,120,1,,,false,false,2023,20 ديسمبر 2012,8,الدهماني,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,سيدي بركات,591,306,268,28,10,268,2,elected,زياد الحسناوي,true,true,2023,20 ديسمبر 2012,9,الدهماني,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,"عبيده - (الدهماني),",1455,283,275,2,6,170,2,elected,مختار الزياني,true,false,2023,20 ديسمبر 2012,10,الدهماني,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,السرس,,,,,,,0,0,,,,,2023,20 ديسمبر 2012,1,السرس,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,الابار,1058,157,144,9,4,142,3,elected,سبيل عقبي,true,false,2023,20 ديسمبر 2012,2,السرس,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,"الابار الشرقيه, تصرح",548,243,226,16,1,226,3,elected,هشام العلوي,true,true,2023,20 ديسمبر 2012,3,السرس,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,الارسصء تصرح البييه,1449,300,,13,1,592000264,3,elected,صابرين الخمامي,,,2023,20 ديسمبر 2012,4,السرس,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
الكاف,السرس,اللاس,1420,177,171,,1,171,2,elected,محمدعلي عبدلاوي,,true,2023,20 ديسمبر 2012,5,السرس,قرار الهيئة لمعتمدية السرس__60__الكاف.PDF,1M5fSb2ENuoVi_fBnJwJo1fMfjBtC2o65
