bureau_code,governorate,delegation,polling_centre,a_registered,b_delivered,c_signed,d_damaged,r_remaining,s_extracted,valid,blank,spoilt,w_voted,q_declared,zammel,maghzaoui,saied,candidate_sum,turnout_pct,saied_share_pct,checks_passed,checks_testable,checks_failed,legibility,fields_uncertain
12090210104,القيروان,حاجب العيون,م إبتدائية 2مارس 34 الحاجب - الحاجب المركز,1105,1100,281,0,819,281,271,4,6,281,271,13,6,252,271,25.43,92.99,7,7,,partial,"b_delivered,d_damaged"
13010610202,القصرين,الزهور - القصرين,م إبتدائية عين الخضراء - الزهور الغربي 4,755,700,225,0,475,225,221,3,1,225,221,7,1,213,221,29.8,96.38,7,7,,partial,a_registered
14030810302,سيدي بوزيد,المزونة,م إبتدائية حي النور - المزونة,1031,1000,321,0,679,321,317,1,3,321,317,8,4,305,317,31.13,96.21,7,7,,full,
13120110101,القصرين,فوسانة,م إبتدائية ذراع الجديد - أفران,537,600,165,0,435,165,162,1,2,165,162,3,4,155,162,30.73,95.68,7,7,,full,
14030910301,سيدي بوزيد,المزونة,م إبتدائية هداج 1- بوهدمة,377,400,159,0,241,159,159,0,0,159,159,0,0,159,159,42.18,100.0,7,7,,full,
15051010101,قفصة,المتلوي,م إبتدائية 2مارس 34 - وادي الارطة,901,899,380,0,519,380,369,5,6,380,369,11,10,348,369,42.18,94.31,7,7,,full,
16060610101,توزر,نفطة,م إبتدائية 2مارس 34 نفطة - العيون,1141,1100,414,0,686,414,399,6,9,414,399,21,8,370,399,36.28,92.73,7,7,,full,
17030510102,قبلي,دوز الشمالية,م إبتدائية 2مارس 34 دوز - دوز الشرقية,900,900,226,0,674,226,216,5,5,226,216,17,10,189,216,25.11,87.5,7,7,,full,
17060710101,قبلي,قبلي الجنوبية,م إبتدائية جمنة - جمنة الشمالية,1197,1200,395,0,805,395,376,6,13,395,376,55,15,306,376,33.0,81.38,7,7,,full,
18100510204,سوسة,سوسة جوهرة,م إبتدائية نهج الحكيم قرول سوسة - محمد القروي,1049,999,242,1,756,242,231,4,7,242,231,47,8,176,231,23.07,76.19,7,7,,full,
19070110201,المهدية,بومرداس,م إبتدائية أولاد امحمد - الحوس,988,1008,300,0,708,300,287,7,6,300,287,13,6,268,287,30.36,93.38,7,7,,full,
20080510302,المنستير,جمال,م إبتدائية القصاص جمال - جمال الشرقية,977,900,386,0,514,386,372,1,13,386,372,8,0,364,372,39.51,97.85,7,7,,full,
21050110201,صفاقس,المحرس,م إبتدائية خاوي الغزال - السمارة,1041,1100,351,0,749,351,340,3,8,351,340,25,6,309,340,33.72,90.88,7,7,,full,
22110410201,قابس,مطماطة الجديدة,م إبتدائية حي النور - مطماطة الجديدة,935,899,256,0,643,256,244,2,10,256,244,11,6,227,244,27.38,93.03,7,7,,full,
23030110202,مدنين,جربة أجيم,أجيم,,,73,0,,73,71,2,0,73,71,4,1,66,71,,92.96,5,5,,poor,"a_registered,b_delivered,r_remaining,m_total"
24051410401,تطاوين,تطاوين الشمالية,م إبتدائية وادي الغار تطاوين,914,1000,102,0,898,102,102,0,0,102,102,15,5,82,102,11.16,80.39,7,7,,full,
24040110101,تطاوين,تطاوين الجنوبية,م إبتدائية الدويرات تطاوين,652,700,190,0,510,190,173,3,14,190,173,10,4,159,173,29.14,91.91,7,7,,full,
