bureau_code,governorate,delegation,polling_centre,a_registered,b_delivered,c_signed,d_damaged,r_remaining,s_extracted,valid,blank,spoilt,w_voted,q_declared,zammel,maghzaoui,saied,candidate_sum,turnout_pct,saied_share_pct,checks_passed,checks_testable,checks_failed,legibility,fields_uncertain
01090610101,تونس,المدينة,نادي الثقافة دار الأصرم  تونس المدينة,716,800,147,0,653,147,140,3,4,147,140,7,3,130,140,20.53,92.86,7,7,,full,
01100610203,تونس,المرسى,م.إعدادية الطيب المهيري بالمرسى - المرسى المدينة,1176,1100,349,1,750,349,325,5,19,349,325,67,20,238,325,29.68,73.23,7,7,,full,
02010210103,بن عروس,الزهراء,م إبتدائية ساحة الجمهورية  - الزهراء المدينة,1190,1100,290,2,808,290,275,5,10,290,275,56,8,211,275,24.37,76.73,7,7,,full,
02100410201,بن عروس,فوشانة,م إبتدائية دوار الحوش -دوار الحوش,898,800,415,0,385,415,396,6,13,415,396,8,5,383,396,46.21,96.72,7,7,,full,
03030410101,أريانة,حي التضامن,الصندوق الوطني للتقاعد و الحيطة الاجتماعية بالتضامن,683,700,225,0,475,225,220,1,4,225,220,10,2,208,220,32.94,94.55,7,7,,full,
04010310201,منوبة,البطان,م إبتدائية المهرين البطان,1192,1189,392,0,807,392,369,9,14,392,369,9,1,359,369,32.89,97.29,6,7,match2_b_minus_m,full,
05020810401,جندوبة,بوسالم,م إبتدائية نهج الحبيب ثامر - بوسالم الشمالية,1147,1100,443,0,657,443,426,5,12,443,426,31,5,390,426,38.62,91.55,7,7,,full,
07030410201,سليانة,الكريب,م إبتدائية عقبة السلوقي - برج مسعودي الجنوبية,418,500,92,0,408,92,87,1,4,92,87,2,1,84,87,22.01,96.55,7,7,,full,
08030810501,بنزرت,بنزرت الجنوبية,م.إ  حفر مهر -فرحات حشاد - (بنزرت الجنوبية),548,600,314,0,286,314,275,2,37,314,275,7,4,264,275,57.3,96.0,7,7,,full,
06120710201,الكاف,نبر,م إبتدائية مركز بوزيد - سيدي مدين,427,500,163,0,337,163,149,2,12,163,149,0,2,147,149,38.17,98.66,7,7,,full,
08080510404,بنزرت,رأس الجبل,م إبتدائية نهج 18 جانفي1952 رأس الجبل - رأس الجبل الشمالية,1049,1000,344,1,655,344,334,4,6,344,334,41,8,285,334,32.79,85.33,7,7,,full,
09010810101,باجة,باجة الجنوبية,م إبتدائية سيدي فرج,1032,1000,427,0,573,427,388,11,28,427,388,34,6,348,388,41.38,89.69,7,7,,full,
10090310107,نابل,دار شعبان الفهري,م إبتدائية الهلالية - دار شعبان,1176,1100,251,0,849,251,245,4,2,251,245,16,0,229,245,21.34,93.47,7,7,,full,
