bureau_code,governorate_ar,delegation_ar,sector_ar,polling_centre_ar,governorate_name,delegation_name,imada_name,adm3_pcode,adm4_pcode,reading,rows,n_representatives,rep_saied,rep_zammel,rep_maghzaoui,unattributed,table_source,rotation,registered,voters,valid,turnout_pct,saied_share_pct,winner
01010110201,تونس,التحرير,التحرير الأول,م إبتدائية التحرير 1 - التحرير الأول,Tunis,El Tahrir,Ettahrir (1),TN1157,TN115751,located,,,,,,,red,0,1067,293,276,27.4602,86.2319,saied
01010110202,تونس,التحرير,التحرير الأول,م إبتدائية التحرير 1 - التحرير الأول,Tunis,El Tahrir,Ettahrir (1),TN1157,TN115751,located,,,,,,,red,0,1067,332,325,31.1153,85.5385,saied
01010110203,تونس,التحرير,التحرير الأول,م إبتدائية التحرير 1 - التحرير الأول,Tunis,El Tahrir,Ettahrir (1),TN1157,TN115751,located,,,,,,,red,0,1067,260,251,24.3674,86.4542,saied
01010110204,تونس,التحرير,التحرير الأول,م إبتدائية التحرير 1 - التحرير الأول,Tunis,El Tahrir,Ettahrir (1),TN1157,TN115751,located,,,,,,,red,0,1067,240,231,22.4930,85.2814,saied
01010110205,تونس,التحرير,التحرير الأول,م إبتدائية حي التحرير 2 - التحرير الأول,Tunis,El Tahrir,Ettahrir (1),TN1157,TN115751,located,,,,,,,gray,0,66,227,215,343.9394,86.0465,saied
0101011205,تونس,التحرير,التحرير الأول,م إبتدائية التحرير 1 - التحرير الأول,Tunis,El Tahrir,Ettahrir (1),TN1157,TN115751,read,...,0,0,0,0,0,gray,0,66,227,215,343.9394,86.0465,saied
01010210101,تونس,التحرير,التحرير الثالث,المدرسة الإعدادية نهج ابن حسنية حي التحرير,Tunis,El Tahrir,Ettahrir (3),TN1157,TN115753,located,,,,,,,gray,0,600,283,281,47.1667,88.2562,saied
01010310101,تونس,التحرير,التحرير الثاني,م إبتدائية حي التحرير 3 - التحرير الثالث,Tunis,El Tahrir,Ettahrir (2),TN1157,TN115752,located,,,,,,,red,0,1027,445,419,43.3301,85.4415,saied
01010310102,تونس,التحرير,التحرير الثاني,م إبتدائية حي التحرير 3 - التحرير الثالث,Tunis,El Tahrir,Ettahrir (2),TN1157,TN115752,located,,,,,,,gray,0,1026,392,366,38.2066,84.6995,saied
01010410101,تونس,التحرير,التحرير العلوي,م إبتدائية التحرير العلوي,Tunis,El Tahrir,Ettahrir Superieur,TN1157,TN115754,located,,,,,,,red,0,1024,404,382,39.4531,89.0052,saied
01010410102,تونس,التحرير,التحرير العلوي,م إبتدائية التحرير العلوي,Tunis,El Tahrir,Ettahrir Superieur,TN1157,TN115754,read,...,0,0,0,0,0,red,0,1024,354,340,34.5703,85.5882,saied
01010410103,تونس,التحرير,التحرير العلوي,م إبتدائية التحرير العلوي,Tunis,El Tahrir,Ettahrir Superieur,TN1157,TN115754,located,,,,,,,red,0,1023,296,278,28.9345,86.6906,saied
01010510101,تونس,التحرير,الحديقة,المعهد الثانوي حي الحديقة,Tunis,El Tahrir,El Hadika,TN1157,TN115755,located,,,,,,,gray,0,741,206,197,27.8003,88.8325,saied
01010510102,تونس,التحرير,الحديقة,المعهد الثانوي حي الحديقة,Tunis,El Tahrir,El Hadika,TN1157,TN115755,located,,,,,,,gray,0,740,174,169,23.5135,83.4320,saied
01020110101,تونس,الحرائرية,الحرائرية,م إبتدائية 2مارس 34 الحرايرية 4 - الحرائرية,Tunis,Hrairia,El-Hrairia,TN1163,TN116351,located,,,,,,,red,0,1058,257,247,24.2911,92.3077,saied
