adm3_pcode,id_delegation,delegation_name,delegation_name_ar,governorate_name,governorate_name_ar,region_name,lat,lon,area_sqkm,n_stations,n_certified,registered,voters,valid,blank,spoilt,turnout_stations,turnout_registered,turnout_voters,saied,saied_share_pct,saied_margin_pp,zammel,zammel_share_pct,zammel_margin_pp,maghzaoui,maghzaoui_share_pct,maghzaoui_margin_pp,candidate_sum,winner,runner_up,margin_pp,turnout_pct,turnout_coverage_pct
TN2159,2159,Mejez El Bab,مجاز الباب,Béja,باجة,North West,36.7089281,9.63854093,460.07015205,39,39,34761,11196,10724,144,328,39,34761,11196,10103,94.2093,89.6960,484,4.5132,-89.6960,137,1.2775,-92.9317,10724,saied,zammel,89.6960,32.2085,100.0000
TN2251,2251,Jendouba Sud,جندوبة,Jendouba,جندوبة,North West,36.48449651,8.83024459,254.29033679,65,65,52595,17098,17448,227,571,53,51389,14458,16369,93.8159,89.3398,781,4.4762,-89.3398,298,1.7079,-92.1080,17448,saied,zammel,89.3398,28.1344,81.5385
TN2252,2252,Jendouba Nord,جندوبة الشمالية,Jendouba,جندوبة,North West,36.53415211,8.67366659,289.44910725,39,38,31233,9567,9742,105,335,32,30467,8445,9440,96.9000,94.7855,206,2.1146,-94.7855,96,0.9854,-95.9146,9742,saied,zammel,94.7855,27.7185,82.0513
TN2253,2253,Bousalem,بوسالم,Jendouba,جندوبة,North West,36.55837835,8.9843135,296.5558523,35,35,34911,10372,9881,108,383,34,34911,10171,9391,95.0410,91.1750,382,3.8660,-91.1750,108,1.0930,-93.9480,9881,saied,zammel,91.1750,29.1341,97.1429
TN2254,2254,Tabarka,طبرقة,Jendouba,جندوبة,North West,36.90686981,8.82277942,376.35373628,47,46,35825,12109,11514,144,451,40,35762,10452,11028,95.7791,92.8522,337,2.9269,-92.8522,149,1.2941,-94.4850,11514,saied,zammel,92.8522,29.2266,85.1064
TN2255,2255,Aïn Draham,عين دراهم,Jendouba,جندوبة,North West,36.79361203,8.77474646,489.29784102,41,41,28299,9131,8821,101,434,39,28299,8999,8465,95.9642,93.5268,215,2.4374,-93.5268,141,1.5985,-94.3657,8821,saied,zammel,93.5268,31.7997,95.1220
TN2256,2256,Fernana,فرنانة,Jendouba,جندوبة,North West,36.65266441,8.62153808,397.89110773,49,49,37621,10406,10613,133,703,43,37621,9752,10364,97.6538,96.1933,155,1.4605,-96.1933,94,0.8857,-96.7681,10613,saied,zammel,96.1933,25.9217,87.7551
TN2257,2257,Ghardimaou,غار الدماء,Jendouba,جندوبة,North West,36.48459855,8.33952213,518.53997332,62,62,48356,13440,13114,160,486,54,46939,11935,12639,96.3779,93.6861,353,2.6918,-93.6861,122,0.9303,-95.4476,13114,saied,zammel,93.6861,25.4266,87.0968
TN2258,2258,Oued Mliz,وادي مليز,Jendouba,جندوبة,North West,36.48525515,8.62310544,198.35942495,18,18,14017,4278,4423,55,132,16,13175,3913,4316,97.5808,95.9982,70,1.5826,-95.9982,37,0.8365,-96.7443,4423,saied,zammel,95.9982,29.7002,88.8889
TN2259,2259,Balta Bou Aouane,بلطة بوعوان,Jendouba,جندوبة,North West,36.69214744,8.91535547,289.14350985,33,32,23445,7186,6866,100,310,29,22499,6465,6654,96.9123,95.0918,125,1.8206,-95.0918,87,1.2671,-95.6452,6866,saied,zammel,95.0918,28.7346,87.8788
TN2351,2351,Kef Ouest,الكاف الغربية,Le Kef,الكاف,North West,36.15363991,8.60819629,210.70937888,27,27,22135,8462,8454,83,284,23,22135,7249,8044,95.1502,91.5425,305,3.6078,-91.5425,105,1.2420,-93.9082,8454,saied,zammel,91.5425,32.7490,85.1852
TN2352,2352,Kef Est,الكاف الشرقية,Le Kef,الكاف,North West,36.18385246,8.86582506,395.47236262,39,39,34924,10478,10359,152,360,37,34888,10360,9711,93.7446,88.9951,492,4.7495,-88.9951,156,1.5059,-92.2386,10359,saied,zammel,88.9951,29.6950,94.8718
TN2353,2353,Nebeur,نبر,Le Kef,الكاف,North West,36.3293719,8.7421409,719.41569011,33,33,20231,7216,6764,110,342,32,20231,7145,6589,97.4128,95.6978,116,1.7150,-95.6978,59,0.8723,-96.5405,6764,saied,zammel,95.6978,35.3171,96.9697
TN2354,2354,Sakiet Sidi Youssef,ساقية سيدي يوسف,Le Kef,الكاف,North West,36.1686435,8.42624578,730.72679573,23,23,12915,3875,3665,40,170,23,12915,3875,3525,96.1801,93.4789,99,2.7012,-93.4789,41,1.1187,-95.0614,3665,saied,zammel,93.4789,30.0039,100.0000
TN2355,2355,Tajerouine,تاجروين,Le Kef,الكاف,North West,35.96573229,8.54661801,722.28107243,34,34,21350,7296,6899,82,314,34,21350,7296,6541,94.8108,91.0132,262,3.7977,-91.0132,96,1.3915,-93.4193,6899,saied,zammel,91.0132,34.1733,100.0000
