adm3_pcode,id_delegation,delegation_name,delegation_name_ar,governorate_name,governorate_name_ar,region_name,lat,lon,area_sqkm,n_stations,n_certified,registered,voters,valid,blank,spoilt,turnout_stations,turnout_registered,turnout_voters,saied,saied_share_pct,saied_margin_pp,zammel,zammel_share_pct,zammel_margin_pp,maghzaoui,maghzaoui_share_pct,maghzaoui_margin_pp,candidate_sum,winner,runner_up,margin_pp,turnout_pct,turnout_coverage_pct
TN1360,1360,M'Hamdia,المحمدية,Ben Arous,بن عروس,North East,36.64530811,10.11454557,98.38290589,51,51,46153,14845,15187,174,431,46,44114,14233,14163,93.2574,87.9107,812,5.3467,-87.9107,212,1.3959,-91.8615,15187,saied,zammel,87.9107,32.2641,90.1961
TN1361,1361,Fouchana,فوشانة,Ben Arous,بن عروس,North East,36.69370937,10.17962846,38.80286809,55,55,51280,18393,18557,203,584,49,51280,17109,17316,93.3125,87.7890,1025,5.5235,-87.7890,216,1.1640,-92.1485,18557,saied,zammel,87.7890,33.3639,89.0909
TN1362,1362,Mornag,مرناق,Ben Arous,بن عروس,North East,36.58568423,10.24428338,397.70297537,52,52,45967,16723,16286,210,518,46,45967,14569,15222,93.4668,88.1186,871,5.3482,-88.1186,193,1.1851,-92.2817,16286,saied,zammel,88.1186,31.6945,88.4615
TN1451,1451,Manouba,منوبة,Manubah,منوبة,North East,36.81171581,10.08612267,12.16741506,52,52,51170,15994,16849,269,577,42,46022,14497,14165,84.0703,71.2386,2162,12.8316,-71.2386,522,3.0981,-80.9722,16849,saied,zammel,71.2386,31.5002,80.7692
TN1452,1452,Douar Hicher,دوار هيشر,Manubah,منوبة,North East,36.83626606,10.08003051,9.08885764,51,51,52239,14878,16591,168,732,40,44042,13861,15766,95.0274,90.9590,675,4.0685,-90.9590,150,0.9041,-94.1233,16591,saied,zammel,90.9590,31.4722,78.4314
TN1453,1453,Oued Ellil,وادي الليل,Manubah,منوبة,North East,36.82980222,10.01340073,57.78983676,48,48,49719,16020,16642,205,718,42,45872,15299,15432,92.7292,87.0148,951,5.7145,-87.0148,259,1.5563,-91.1729,16642,saied,zammel,87.0148,33.3515,87.5000
TN1454,1454,Mornaguia,المرناقية,Manubah,منوبة,North East,36.67651945,9.99855715,260.51598117,32,32,31860,9324,10504,166,470,27,27323,9324,9675,92.1078,85.3865,706,6.7212,-85.3865,123,1.1710,-90.9368,10504,saied,zammel,85.3865,34.1251,84.3750
TN1455,1455,Borj El Amri,برج العامري,Manubah,منوبة,North East,36.67676519,9.84484015,175.84816523,18,18,14247,4834,5324,44,271,15,13178,4631,5118,96.1307,93.5011,140,2.6296,-93.5011,66,1.2397,-94.8911,5324,saied,zammel,93.5011,35.1419,83.3333
TN1456,1456,Jedaida,الجديدة,Manubah,منوبة,North East,36.85413432,9.92761596,182.90945316,34,34,34143,10295,10795,118,550,31,30706,10295,10245,94.9050,90.9310,429,3.9741,-90.9310,121,1.1209,-93.7842,10795,saied,zammel,90.9310,33.5276,91.1765
TN1457,1457,Tebourba,طبربة,Manubah,منوبة,North East,36.87532976,9.76209748,287.47007895,34,34,31804,10501,11300,119,477,29,30577,10133,10743,95.0708,91.4159,413,3.6549,-91.4159,144,1.2743,-93.7965,11300,saied,zammel,91.4159,33.1393,85.2941
TN1458,1458,El Battan,البطان,Manubah,منوبة,North East,36.77059057,9.73668832,156.85580468,15,15,15027,4499,5013,52,283,13,12819,4499,4847,96.6886,94.2150,124,2.4736,-94.2150,42,0.8378,-95.8508,5013,saied,zammel,94.2150,35.0963,86.6667
TN1551,1551,Nabeul,نابل,Nabeul,نابل,North East,36.48243457,10.67070376,72.66016171,58,58,58739,20074,20420,291,629,48,56049,17579,18211,89.1822,80.6709,1738,8.5113,-80.6709,471,2.3066,-86.8756,20420,saied,zammel,80.6709,31.3636,82.7586
TN1552,1552,Dar Chaabane El Fehri,دار شعبان الفهري,Nabeul,نابل,North East,36.51808715,10.71547098,69.35076615,43,43,46422,12951,12563,151,325,41,46422,12500,11279,89.7795,81.5092,1039,8.2703,-81.5092,245,1.9502,-87.8293,12563,saied,zammel,81.5092,26.9269,95.3488
TN1553,1553,Beni Khiar,بني خيار,Nabeul,نابل,North East,36.52323326,10.77420178,106.34131733,33,33,30329,12116,12414,162,346,29,29224,11277,11266,90.7524,83.2447,932,7.5077,-83.2447,216,1.7400,-89.0124,12414,saied,zammel,83.2447,38.5881,87.8788
TN1554,1554,Korba,قربة,Nabeul,نابل,North East,36.60597286,10.79840676,205.92117184,55,55,48655,17248,17924,166,525,47,46193,15081,16692,93.1265,87.9491,928,5.1774,-87.9491,304,1.6960,-91.4305,17924,saied,zammel,87.9491,32.6478,85.4545
