date,year,language,slug,title_from_slug,attachments,section,source_url,drive_folder_id
2018-02-27,2018,fr,statistiques-generales-sur-la-periode-des-candidatures,statistiques generales sur la periode des candidatures,0,actualites,https://www.isie.tn/actualites/2018/02/27/statistiques-generales-sur-la-periode-des-candidatures/,1rF56K14ofW0ivM4ce9d8LR2IsEsc0di_
2018-03-06,2018,fr,decision-isie-n10-2018,decision isie n10 2018,0,actualites,https://www.isie.tn/actualites/2018/03/06/decision-isie-n10-2018/,1D4goDLs6zmqZa5_OtqbdJBmGHQECwt70
2018-03-06,2018,fr,decision-isie-n11-2018,decision isie n11 2018,0,actualites,https://www.isie.tn/actualites/2018/03/06/decision-isie-n11-2018/,1LdN2yHM0T3p7AWSdIgM82uq8H9NUc5cC
2018-03-06,2018,fr,decision-isie-n9-2018,decision isie n9 2018,0,actualites,https://www.isie.tn/actualites/2018/03/06/decision-isie-n9-2018/,1wlPXcWjO6DvM7YJAG3xxDrTfOLjPX8o5
2018-03-10,2018,fr,recrutement-controle-de-campagne-electorale,recrutement controle de campagne electorale,0,actualites,https://www.isie.tn/actualites/2018/03/10/recrutement-controle-de-campagne-electorale/,1drArGljNvWt9XV2m1NkKSD7auzzi4LoN
2018-03-17,2018,fr,guide-financement-de-campagne-electorale,guide financement de campagne electorale,0,actualites,https://www.isie.tn/actualites/2018/03/17/guide-financement-de-campagne-electorale/,1DNHSpT9aDu09hpJNbn8ppkGREaclJQII
2018-03-29,2018,fr,avis-dappel-doffre-n02-2018,avis dappel doffre n02 2018,0,actualites,https://www.isie.tn/actualites/2018/03/29/avis-dappel-doffre-n02-2018/,1V8neBKqTvuc6hmpioLknW1eVcsgVwUe8
2018-03-30,2018,fr,avis-de-consultation-n23-2018,avis de consultation n23 2018,0,actualites,https://www.isie.tn/actualites/2018/03/30/avis-de-consultation-n23-2018/,1gRYE_fvF7HLgYkljnQ5DTCCdsTpWq0ui
2018-04-12,2018,fr,appel-doffres-procedures-simplifiees-n4-2018-choix-dun-traiteur-media-center-titre-elections-municipales-2018,appel doffres procedures simplifiees n4 2018 choix dun traiteur media center titre elections municipales 2018,0,actualites,https://www.isie.tn/actualites/2018/04/12/appel-doffres-procedures-simplifiees-n4-2018-choix-dun-traiteur-media-center-titre-elections-municipales-2018/,162aMX-_0rxyUFcAi8PmfzaZX_yY8-DR4
2018-04-12,2018,fr,appel-doffres-procedures-simplifiees-n5-2018-choix-dune-agence-de-securite-media-center-titre-elections-municipales-2018,appel doffres procedures simplifiees n5 2018 choix dune agence de securite media center titre elections municipales 2018,0,actualites,https://www.isie.tn/actualites/2018/04/12/appel-doffres-procedures-simplifiees-n5-2018-choix-dune-agence-de-securite-media-center-titre-elections-municipales-2018/,1sNdz6UmbFsJD744KQ4LF_VGv3ZWSLhZt
