bureau_code,isie_code,governorate_ar,delegation_ar_published,delegation_ar,governorate_name,delegation_name,id_delegation,label_change
01020310601,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020310602,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020310603,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020410101,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020410201,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020410202,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020410203,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020410204,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020410205,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020410206,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020410301,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020410302,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020410303,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020510101,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020510102,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020510103,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020510104,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020610101,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020610102,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020610103,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020710101,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020710102,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020710103,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020810101,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020810102,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020910101,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020910102,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020910103,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01030110101,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030110102,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030110103,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030110104,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030110105,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030110106,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030110107,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030110108,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030110109,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030110110,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030210101,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030210102,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030210103,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030310101,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030310102,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030410101,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030410102,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030410103,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030410104,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030510101,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030510102,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030510103,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030510201,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030610101,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030610102,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030610103,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030610201,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030610202,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01030610301,0103,تونس,الزهور - تونس,الزهور,Tunis,Ezzouhour,1162,disambiguator_trimmed
01040110101,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040110102,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040110103,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040110104,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040110105,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040210101,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040210102,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040210201,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040210202,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040310101,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040410101,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040510101,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040510102,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040510103,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040510104,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040510105,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040610101,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040610102,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040610103,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040610104,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040610105,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01040610106,0104,تونس,السيجومي,السيجومي,Tunis,Sijoumi,1161,
01050110101,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050110102,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050110103,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050110104,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050110105,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050110106,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050210101,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050210102,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050210103,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050210104,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050210201,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050210202,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050210203,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050210204,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050210205,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050210301,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050310101,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050310102,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050310103,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050410101,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050410102,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050410103,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050410201,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050410202,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050410203,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050410301,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050510101,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050510102,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050510201,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050510202,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050510203,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050610101,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050610102,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01050610201,0105,تونس,العمران,العمران,Tunis,El Omrane,1155,
01060110101,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060110102,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060110103,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060210101,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060210102,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060210103,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060210104,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060210105,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060210106,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060210107,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060310101,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060310102,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060410101,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060410102,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060410103,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060410104,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060410201,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060410202,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060410203,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060410204,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060510101,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060510102,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060510103,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060610101,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060610102,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060610201,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060610202,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060610203,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060610204,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060610205,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060610206,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060710101,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060710102,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060710201,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060710202,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060710203,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060810101,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01060910101,0106,تونس,العمران الاعلى,العمران الاعلى,Tunis,El Omrane Supérieur,1156,
01070110101,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070110102,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070110103,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070110104,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070110105,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070110106,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070110201,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070110202,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070110203,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070110204,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070210101,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070210201,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070210202,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070210203,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070210401,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070310101,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070310102,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070310103,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070310104,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070310105,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070310106,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070410101,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070410102,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070410103,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070410104,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070510101,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070510102,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070510201,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070510202,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070510203,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070610101,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070610201,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070610202,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070610203,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070610301,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070710101,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070710102,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070710103,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070710201,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070710202,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070710203,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070710204,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070710205,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070710301,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070710302,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070810101,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070810102,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070810103,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070810104,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01070810105,0107,تونس,الكبارية,الكبارية,Tunis,El Kabaria,1166,
01080110101,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080110102,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080110103,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080210101,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080210102,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080210103,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080210104,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080210105,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080210201,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080210202,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080210203,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080310101,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080310102,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080310103,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080310201,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080310202,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080310203,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080410101,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080410102,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080410201,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080410202,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080410203,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080410204,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080410205,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080410301,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080410302,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080410303,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080410304,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080510101,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080510102,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080510103,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080510104,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080510105,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080510106,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080510107,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080510108,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080610101,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080710101,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080710102,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01080710103,0108,تونس,الكرم,الكرم,Tunis,Le Kram,1170,
01090110101,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090210101,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090210102,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090210103,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090210104,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090310101,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090310102,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090310103,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090310104,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090310105,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090310106,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090410101,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090510101,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090610101,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090710101,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090710102,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090710103,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090710104,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090710105,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090810101,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090810102,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090810103,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090810201,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090910101,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090910102,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090910103,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090910104,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01090910105,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
0109100101,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01091110101,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01091110102,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01091110103,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01091210101,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01091210102,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01091210103,0109,تونس,المدينة,المدينة,Tunis,La Medina,1152,
01100110101,0110,تونس,المرسى,المرسى,Tunis,La Marsa,1171,
01100110102,0110,تونس,المرسى,المرسى,Tunis,La Marsa,1171,
01100110103,0110,تونس,المرسى,المرسى,Tunis,La Marsa,1171,
01100110104,0110,تونس,المرسى,المرسى,Tunis,La Marsa,1171,
01100110105,0110,تونس,المرسى,المرسى,Tunis,La Marsa,1171,
01100110106,0110,تونس,المرسى,المرسى,Tunis,La Marsa,1171,
