bureau_code,isie_code,governorate_ar,delegation_ar_published,delegation_ar,governorate_name,delegation_name,id_delegation,label_change
01010110201,0101,تونس,التحرير,التحرير,Tunis,Ettahrir,1157,
01010110202,0101,تونس,التحرير,التحرير,Tunis,Ettahrir,1157,
01010110203,0101,تونس,التحرير,التحرير,Tunis,Ettahrir,1157,
01010110204,0101,تونس,التحرير,التحرير,Tunis,Ettahrir,1157,
01010110205,0101,تونس,التحرير,التحرير,Tunis,Ettahrir,1157,
0101011205,0101,تونس,التحرير,التحرير,Tunis,Ettahrir,1157,
01010210101,0101,تونس,التحرير,التحرير,Tunis,Ettahrir,1157,
01010310101,0101,تونس,التحرير,التحرير,Tunis,Ettahrir,1157,
01010310102,0101,تونس,التحرير,التحرير,Tunis,Ettahrir,1157,
01010410101,0101,تونس,التحرير,التحرير,Tunis,Ettahrir,1157,
01010410102,0101,تونس,التحرير,التحرير,Tunis,Ettahrir,1157,
01010410103,0101,تونس,التحرير,التحرير,Tunis,Ettahrir,1157,
01010510101,0101,تونس,التحرير,التحرير,Tunis,Ettahrir,1157,
01010510102,0101,تونس,التحرير,التحرير,Tunis,Ettahrir,1157,
01020110101,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020110102,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020110103,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020110104,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020110201,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020110202,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020110203,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020110301,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020110302,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020110303,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020210101,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020210102,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020210103,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020210104,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020210105,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020210106,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020210201,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020210202,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020210203,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020210204,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020210205,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020210206,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020210207,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020210301,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020210302,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020210303,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020210304,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020210305,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020210306,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020210401,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020310101,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020310102,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020310201,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020310301,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020310302,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020310303,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020310401,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020310402,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020310501,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
01020310502,0102,تونس,الحرائرية,الحرائرية,Tunis,El Hrairia,1163,
