round,centre,rank,rank_check,candidate,candidate_full,votes,share_pct,share_check,centre_valid_votes
r1,تونس 1,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,242,0.15,agree,164418
r1,تونس 1,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,119,0.07,agree,164418
r1,تونس 1,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,1004,0.61,agree,164418
r1,تونس 1,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,1125,0.68,agree,164418
r1,تونس 1,5,agree,سالم شائبي,سالم بن عمار الشائبي,250,0.15,agree,164418
r1,تونس 1,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,282,0.17,agree,164418
r1,تونس 1,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,64166,39.03,agree,164418
r1,تونس 1,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,17754,10.8,agree,164418
r1,تونس 1,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,157,0.1,agree,164418
r1,تونس 1,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,227,0.14,agree,164418
r1,تونس 1,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,1012,0.62,agree,164418
r1,تونس 1,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,164,0.1,agree,164418
r1,تونس 1,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,1579,0.96,agree,164418
r1,تونس 1,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,267,0.16,agree,164418
r1,تونس 1,15,agree,علي شورابي,علي المولدي بن محمد شورابي,188,0.11,agree,164418
r1,تونس 1,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,638,0.39,agree,164418
r1,تونس 1,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,188,0.11,agree,164418
r1,تونس 1,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,140,0.09,agree,164418
r1,تونس 1,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,111,0.07,agree,164418
r1,تونس 1,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,293,0.18,agree,164418
r1,تونس 1,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,791,0.48,agree,164418
r1,تونس 1,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,76,0.05,agree,164418
r1,تونس 1,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,1684,1.02,agree,164418
r1,تونس 1,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,54884,33.38,agree,164418
r1,تونس 1,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,290,0.18,agree,164418
r1,تونس 1,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,3682,2.24,agree,164418
r1,تونس 1,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,13105,7.97,agree,164418
r1,تونس 2,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,176,0.09,agree,203999
r1,تونس 2,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,79,0.04,agree,203999
r1,تونس 2,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,1450,0.71,agree,203999
r1,تونس 2,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,2048,1.0,agree,203999
r1,تونس 2,5,agree,سالم شائبي,سالم بن عمار الشائبي,92,0.05,agree,203999
r1,تونس 2,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,304,0.15,agree,203999
r1,تونس 2,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,111044,54.43,agree,203999
r1,تونس 2,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,10456,5.13,agree,203999
r1,تونس 2,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,135,0.07,agree,203999
r1,تونس 2,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,258,0.13,agree,203999
r1,تونس 2,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,1109,0.54,agree,203999
r1,تونس 2,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,107,0.05,agree,203999
r1,تونس 2,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,2372,1.16,agree,203999
r1,تونس 2,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,332,0.16,agree,203999
r1,تونس 2,15,agree,علي شورابي,علي المولدي بن محمد شورابي,116,0.06,agree,203999
