round,centre,rank,rank_check,candidate,candidate_full,votes,share_pct,share_check,centre_valid_votes
r1,تونس 2,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,788,0.39,agree,203999
r1,تونس 2,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,132,0.06,agree,203999
r1,تونس 2,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,113,0.06,agree,203999
r1,تونس 2,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,107,0.05,agree,203999
r1,تونس 2,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,262,0.13,agree,203999
r1,تونس 2,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,1073,0.53,agree,203999
r1,تونس 2,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,57,0.03,agree,203999
r1,تونس 2,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,1852,0.91,agree,203999
r1,تونس 2,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,47362,23.22,agree,203999
r1,تونس 2,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,279,0.14,agree,203999
r1,تونس 2,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,2848,1.4,agree,203999
r1,تونس 2,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,19048,9.34,agree,203999
r1,أريانة,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,243,0.14,agree,171137
r1,أريانة,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,88,0.05,agree,171137
r1,أريانة,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,1114,0.65,agree,171137
r1,أريانة,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,1612,0.94,agree,171137
r1,أريانة,5,agree,سالم شائبي,سالم بن عمار الشائبي,147,0.09,agree,171137
r1,أريانة,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,325,0.19,agree,171137
r1,أريانة,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,81684,47.73,agree,171137
r1,أريانة,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,12873,7.52,agree,171137
r1,أريانة,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,141,0.08,agree,171137
r1,أريانة,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,224,0.13,agree,171137
r1,أريانة,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,994,0.58,agree,171137
r1,أريانة,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,86,0.05,agree,171137
r1,أريانة,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,2457,1.44,agree,171137
r1,أريانة,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,309,0.18,agree,171137
r1,أريانة,15,agree,علي شورابي,علي المولدي بن محمد شورابي,118,0.07,agree,171137
r1,أريانة,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,928,0.54,agree,171137
r1,أريانة,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,142,0.08,agree,171137
r1,أريانة,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,101,0.06,agree,171137
r1,أريانة,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,98,0.06,agree,171137
r1,أريانة,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,185,0.11,agree,171137
r1,أريانة,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,961,0.56,agree,171137
r1,أريانة,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,72,0.04,agree,171137
r1,أريانة,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,1288,0.75,agree,171137
r1,أريانة,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,46502,27.17,agree,171137
r1,أريانة,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,180,0.11,agree,171137
r1,أريانة,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,3691,2.16,agree,171137
r1,أريانة,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,14574,8.52,agree,171137
r1,منوبة,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,232,0.21,agree,109134
r1,منوبة,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,107,0.1,agree,109134
r1,منوبة,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,515,0.47,agree,109134
r1,منوبة,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,871,0.8,agree,109134
r1,منوبة,5,agree,سالم شائبي,سالم بن عمار الشائبي,148,0.14,agree,109134
r1,منوبة,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,281,0.26,agree,109134
r1,منوبة,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,43083,39.48,agree,109134
r1,منوبة,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,12034,11.03,agree,109134
r1,منوبة,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,120,0.11,agree,109134
r1,منوبة,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,243,0.22,agree,109134
r1,منوبة,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,830,0.76,agree,109134
r1,منوبة,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,98,0.09,agree,109134
r1,منوبة,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,1187,1.09,agree,109134
r1,منوبة,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,194,0.18,agree,109134
r1,منوبة,15,agree,علي شورابي,علي المولدي بن محمد شورابي,146,0.13,agree,109134
r1,منوبة,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,500,0.46,agree,109134
r1,منوبة,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,135,0.12,agree,109134
r1,منوبة,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,161,0.15,agree,109134
r1,منوبة,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,101,0.09,agree,109134
r1,منوبة,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,154,0.14,agree,109134
r1,منوبة,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,789,0.72,agree,109134
r1,منوبة,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,79,0.07,agree,109134
r1,منوبة,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,653,0.6,agree,109134
r1,منوبة,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,35121,32.18,agree,109134
r1,منوبة,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,197,0.18,agree,109134
r1,منوبة,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,3097,2.84,agree,109134
r1,منوبة,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,8058,7.38,agree,109134
r1,بن عروس,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,288,0.14,agree,211357
r1,بن عروس,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,146,0.07,agree,211357
r1,بن عروس,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,1404,0.66,agree,211357
r1,بن عروس,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,1979,0.94,agree,211357
r1,بن عروس,5,agree,سالم شائبي,سالم بن عمار الشائبي,205,0.1,agree,211357
r1,بن عروس,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,333,0.16,agree,211357
r1,بن عروس,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,84593,40.02,agree,211357
r1,بن عروس,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,19335,9.15,agree,211357
r1,بن عروس,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,199,0.09,agree,211357
r1,بن عروس,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,336,0.16,agree,211357
r1,بن عروس,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,1449,0.69,agree,211357
r1,بن عروس,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,121,0.06,agree,211357
r1,بن عروس,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,2410,1.14,agree,211357
r1,بن عروس,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,438,0.21,agree,211357
r1,بن عروس,15,agree,علي شورابي,علي المولدي بن محمد شورابي,179,0.08,agree,211357
r1,بن عروس,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,976,0.46,agree,211357
r1,بن عروس,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,181,0.09,agree,211357
r1,بن عروس,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,176,0.08,agree,211357
r1,بن عروس,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,151,0.07,agree,211357
r1,بن عروس,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,261,0.12,agree,211357
r1,بن عروس,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,1085,0.51,agree,211357
r1,بن عروس,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,97,0.05,agree,211357
r1,بن عروس,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,1843,0.87,agree,211357
r1,بن عروس,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,67753,32.06,agree,211357
r1,بن عروس,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,308,0.15,agree,211357
r1,بن عروس,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,5111,2.42,agree,211357
r1,بن عروس,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,20000,9.46,agree,211357
r1,بنزرت,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,487,0.32,agree,150485
r1,بنزرت,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,172,0.11,agree,150485
r1,بنزرت,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,1072,0.71,agree,150485
r1,بنزرت,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,1211,0.8,agree,150485
r1,بنزرت,5,agree,سالم شائبي,سالم بن عمار الشائبي,239,0.16,agree,150485
r1,بنزرت,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,449,0.3,agree,150485
r1,بنزرت,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,63688,42.32,agree,150485
r1,بنزرت,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,11747,7.81,agree,150485
r1,بنزرت,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,353,0.23,agree,150485
r1,بنزرت,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,345,0.23,agree,150485
r1,بنزرت,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,1240,0.82,agree,150485
r1,بنزرت,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,158,0.1,agree,150485
r1,بنزرت,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,1888,1.25,agree,150485
r1,بنزرت,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,280,0.19,agree,150485
r1,بنزرت,15,agree,علي شورابي,علي المولدي بن محمد شورابي,207,0.14,agree,150485
r1,بنزرت,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,654,0.43,agree,150485
r1,بنزرت,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,276,0.18,agree,150485
r1,بنزرت,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,212,0.14,agree,150485
r1,بنزرت,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,190,0.13,agree,150485
r1,بنزرت,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,230,0.15,agree,150485
r1,بنزرت,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,1382,0.92,agree,150485
r1,بنزرت,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,108,0.07,agree,150485
r1,بنزرت,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,548,0.36,agree,150485
r1,بنزرت,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,48357,32.13,agree,150485
r1,بنزرت,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,333,0.22,agree,150485
r1,بنزرت,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,4713,3.13,agree,150485
r1,بنزرت,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,9946,6.61,agree,150485
r1,نابل 1,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,332,0.24,agree,139772
r1,نابل 1,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,115,0.08,agree,139772
r1,نابل 1,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,867,0.62,agree,139772
r1,نابل 1,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,1258,0.9,agree,139772
r1,نابل 1,5,agree,سالم شائبي,سالم بن عمار الشائبي,168,0.12,agree,139772
r1,نابل 1,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,365,0.26,agree,139772
r1,نابل 1,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,71581,51.21,agree,139772
r1,نابل 1,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,11779,8.43,agree,139772
r1,نابل 1,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,179,0.13,agree,139772
r1,نابل 1,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,433,0.31,agree,139772
r1,نابل 1,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,1151,0.82,agree,139772
r1,نابل 1,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,161,0.12,agree,139772
r1,نابل 1,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,1950,1.4,agree,139772
r1,نابل 1,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,351,0.25,agree,139772
r1,نابل 1,15,agree,علي شورابي,علي المولدي بن محمد شورابي,143,0.1,agree,139772
r1,نابل 1,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,702,0.5,agree,139772
r1,نابل 1,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,205,0.15,agree,139772
r1,نابل 1,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,190,0.14,agree,139772
r1,نابل 1,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,133,0.1,agree,139772
r1,نابل 1,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,271,0.19,agree,139772
r1,نابل 1,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,1179,0.84,agree,139772
r1,نابل 1,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,82,0.06,agree,139772
r1,نابل 1,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,540,0.39,agree,139772
r1,نابل 1,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,28394,20.31,agree,139772
r1,نابل 1,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,205,0.15,agree,139772
r1,نابل 1,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,4391,3.14,agree,139772
r1,نابل 1,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,12647,9.05,agree,139772
r1,نابل 2,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,243,0.22,agree,110937
r1,نابل 2,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,97,0.09,agree,110937
r1,نابل 2,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,571,0.51,agree,110937
r1,نابل 2,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,864,0.78,agree,110937
r1,نابل 2,5,agree,سالم شائبي,سالم بن عمار الشائبي,151,0.14,agree,110937
r1,نابل 2,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,230,0.21,agree,110937
r1,نابل 2,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,58368,52.61,agree,110937
r1,نابل 2,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,9190,8.28,agree,110937
r1,نابل 2,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,146,0.13,agree,110937
r1,نابل 2,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,274,0.25,agree,110937
r1,نابل 2,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,768,0.69,agree,110937
r1,نابل 2,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,113,0.1,agree,110937
r1,نابل 2,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,1252,1.13,agree,110937
r1,نابل 2,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,170,0.15,agree,110937
r1,نابل 2,15,agree,علي شورابي,علي المولدي بن محمد شورابي,151,0.14,agree,110937
r1,نابل 2,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,429,0.39,agree,110937
r1,نابل 2,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,125,0.11,agree,110937
r1,نابل 2,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,162,0.15,agree,110937
r1,نابل 2,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,126,0.11,agree,110937
r1,نابل 2,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,226,0.2,agree,110937
r1,نابل 2,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,911,0.82,agree,110937
r1,نابل 2,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,62,0.06,agree,110937
r1,نابل 2,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,491,0.44,agree,110937
r1,نابل 2,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,22842,20.59,agree,110937
r1,نابل 2,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,178,0.16,agree,110937
r1,نابل 2,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,3502,3.16,agree,110937
r1,نابل 2,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,9295,8.38,agree,110937
r1,زغوان,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,205,0.44,agree,47053
r1,زغوان,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,64,0.14,agree,47053
r1,زغوان,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,194,0.41,agree,47053
r1,زغوان,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,547,1.16,agree,47053
r1,زغوان,5,agree,سالم شائبي,سالم بن عمار الشائبي,159,0.34,agree,47053
r1,زغوان,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,178,0.38,agree,47053
r1,زغوان,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,20473,43.51,agree,47053
r1,زغوان,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,3957,8.41,agree,47053
r1,زغوان,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,124,0.26,agree,47053
r1,زغوان,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,130,0.28,agree,47053
r1,زغوان,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,413,0.88,agree,47053
r1,زغوان,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,83,0.18,agree,47053
r1,زغوان,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,488,1.04,agree,47053
r1,زغوان,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,106,0.23,agree,47053
r1,زغوان,15,agree,علي شورابي,علي المولدي بن محمد شورابي,103,0.22,agree,47053
r1,زغوان,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,192,0.41,agree,47053
r1,زغوان,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,114,0.24,agree,47053
r1,زغوان,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,91,0.19,agree,47053
r1,زغوان,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,78,0.17,agree,47053
r1,زغوان,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,92,0.2,agree,47053
r1,زغوان,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,551,1.17,agree,47053
r1,زغوان,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,56,0.12,agree,47053
r1,زغوان,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,198,0.42,agree,47053
r1,زغوان,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,12547,26.67,agree,47053
