adm4_pcode,governorate_name,delegation_name,imada_name,n_stations,n_read,read_pct,stations_with_any,any_pct,any_lo_pct,any_hi_pct,representatives,reps_per_100_stations,reps_saied,reps_zammel,reps_maghzaoui,stations_with_saied,stations_with_zammel,stations_with_maghzaoui,stations_with_saied_pct,stations_with_zammel_pct,stations_with_maghzaoui_pct,unattributed
TN115551,Tunis,Omrane,El Omrane,10,3,30.0,3,100.0,43.8,100.0,5,166.7,4,0,1,3,0,1,100.0,0.0,33.3,0
TN115552,Tunis,Omrane,Djebel El Ahmar,6,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN115553,Tunis,Omrane,Cite Des Oliviers,7,2,28.6,1,50.0,9.5,90.5,1,50.0,1,0,0,1,0,0,50.0,0.0,0.0,0
TN115554,Tunis,Omrane,Ras Tabia,5,1,20.0,1,100.0,20.7,100.0,1,100.0,1,0,0,1,0,0,100.0,0.0,0.0,0
TN115555,Tunis,Omrane,Bir Atig,3,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN115556,Tunis,Omrane,Oued El Sebai,3,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN115651,Tunis,Omrane Supérieur,Cite Ibn Khaldoun I,5,1,20.0,1,100.0,20.7,100.0,1,100.0,1,0,0,1,0,0,100.0,0.0,0.0,0
TN115652,Tunis,Omrane Supérieur,El Romana,7,1,14.3,1,100.0,20.7,100.0,2,200.0,1,0,1,1,0,1,100.0,0.0,100.0,0
TN115653,Tunis,Omrane Supérieur,Cite Ibn Khaldoun II,1,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN115654,Tunis,Omrane Supérieur,Cite Ibn Khaldoun VI,1,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN115655,Tunis,Omrane Supérieur,Cite El Intilaka,8,1,12.5,0,0.0,0.0,79.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,1
TN115656,Tunis,Omrane Supérieur,El Omrane Superieur,8,2,25.0,2,100.0,34.2,100.0,2,100.0,2,0,0,2,0,0,100.0,0.0,0.0,0
TN115657,Tunis,Omrane Supérieur,El Nassim,3,1,33.3,1,100.0,20.7,100.0,1,100.0,1,0,0,1,0,0,100.0,0.0,0.0,0
TN115658,Tunis,Omrane Supérieur,Ahmed Tlili,3,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN115659,Tunis,Omrane Supérieur,Es-Sadique,2,1,50.0,1,100.0,20.7,100.0,1,100.0,1,0,0,1,0,0,100.0,0.0,0.0,0
TN115751,Tunis,El Tahrir,Ettahrir (1),6,1,16.7,0,0.0,0.0,79.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN115752,Tunis,El Tahrir,Ettahrir (2),2,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN115753,Tunis,El Tahrir,Ettahrir (3),1,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN115754,Tunis,El Tahrir,Ettahrir Superieur,3,1,33.3,0,0.0,0.0,79.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN115755,Tunis,El Tahrir,El Hadika,2,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN115852,Tunis,El Menzah,El Menzah,9,1,11.1,0,0.0,0.0,79.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN115853,Tunis,El Menzah,El Fath,1,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN115854,Tunis,El Menzah,El Manar,15,2,13.3,1,50.0,9.5,90.5,1,50.0,0,0,1,0,0,1,0.0,0.0,50.0,0
