constituency,rank,candidate,votes,share_pct,constituency_valid_votes
أريانة,1,منجي الرحوي,1421,0.82,173306
أريانة,2,محمد املحرزي عبو,9395,5.42,173306
أريانة,3,عبير موسي,8192,4.73,173306
أريانة,4,نبيل القروي,20926,12.07,173306
أريانة,5,محمد لطفي مرايحي,11794,6.81,173306
أريانة,6,املهدي جمعه,4119,2.38,173306
أريانة,7,حمادي الجبالي,228,0.13,173306
أريانة,8,حمه الهمامي,884,0.51,173306
أريانة,9,محمد املنصف املرزوقي,2447,1.41,173306
أريانة,10,عبد الكريم زبيدي,27706,15.99,173306
أريانة,11,محسن مرزوق,369,0.21,173306
أريانة,12,محمد الصغير نوري,159,0.09,173306
أريانة,13,محمد الهاشمي حامدي,365,0.21,173306
أريانة,14,عبد الفتاح مورو,21433,12.37,173306
أريانة,15,عمر منصور,1165,0.67,173306
أريانة,16,يوسف الشاهد,19135,11.04,173306
أريانة,17,قيس سعيد,27662,15.96,173306
أريانة,18,الياس الفخفاخ,812,0.47,173306
أريانة,19,سليم الرياحي,167,0.10,173306
أريانة,20,سلمه اللومي,187,0.11,173306
أريانة,21,سعيد علي مروان العايدي,777,0.45,173306
أريانة,22,أحمد الصافي سعيد,7072,4.08,173306
أريانة,23,الناجي جلول,311,0.18,173306
أريانة,24,حاتم بولبيار,140,0.08,173306
أريانة,25,عبيد بريكي,192,0.11,173306
أريانة,26,سيف الدين مخلوف,6248,3.61,173306
أملانيا,1,منجي الرحوي,51,0.92,5545
أملانيا,2,محمد املحرزي عبو,746,13.45,5545
أملانيا,3,عبير موسي,277,5.00,5545
أملانيا,4,نبيل القروي,169,3.05,5545
أملانيا,5,محمد لطفي مرايحي,467,8.42,5545
أملانيا,6,املهدي جمعه,167,3.01,5545
أملانيا,7,حمادي الجبالي,11,0.20,5545
أملانيا,8,حمه الهمامي,37,0.67,5545
أملانيا,9,محمد املنصف املرزوقي,244,4.40,5545
أملانيا,10,عبد الكريم زبيدي,535,9.65,5545
أملانيا,11,محسن مرزوق,12,0.22,5545
أملانيا,12,محمد الصغير نوري,2,0.04,5545
أملانيا,13,محمد الهاشمي حامدي,8,0.14,5545
أملانيا,14,عبد الفتاح مورو,1159,20.90,5545
أملانيا,15,عمر منصور,1,0.02,5545
أملانيا,16,يوسف الشاهد,343,6.19,5545
أملانيا,17,قيس سعيد,338,6.10,5545
أملانيا,18,الياس الفخفاخ,39,0.70,5545
أملانيا,19,سليم الرياحي,5,0.09,5545
أملانيا,20,سلمه اللومي,10,0.18,5545
أملانيا,21,سعيد علي مروان العايدي,35,0.63,5545
أملانيا,22,أحمد الصافي سعيد,349,6.29,5545
أملانيا,23,الناجي جلول,5,0.09,5545
أملانيا,24,حاتم بولبيار,4,0.07,5545
أملانيا,25,عبيد بريكي,5,0.09,5545
أملانيا,26,سيف الدين مخلوف,526,9.49,5545
إيطاليا,1,منجي الرحوي,20,0.38,5258
إيطاليا,2,محمد املحرزي عبو,161,3.06,5258
إيطاليا,3,عبير موسي,238,4.53,5258
إيطاليا,4,نبيل القروي,371,7.06,5258
إيطاليا,5,محمد لطفي مرايحي,252,4.79,5258
إيطاليا,6,املهدي جمعه,103,1.96,5258
إيطاليا,7,حمادي الجبالي,14,0.27,5258
إيطاليا,8,حمه الهمامي,45,0.86,5258
إيطاليا,9,محمد املنصف املرزوقي,357,6.79,5258
إيطاليا,10,عبد الكريم زبيدي,432,8.22,5258
إيطاليا,11,محسن مرزوق,9,0.17,5258
إيطاليا,12,محمد الصغير نوري,3,0.06,5258
إيطاليا,13,محمد الهاشمي حامدي,55,1.05,5258
إيطاليا,14,عبد الفتاح مورو,919,17.48,5258
إيطاليا,15,عمر منصور,8,0.15,5258
إيطاليا,16,يوسف الشاهد,158,3.00,5258
إيطاليا,17,قيس سعيد,858,16.32,5258
إيطاليا,18,الياس الفخفاخ,5,0.10,5258
إيطاليا,19,سليم الرياحي,6,0.11,5258
