bureau_code,reps_rows_filled,rep_row1,rep_row2,rep_row3,row1_score,row2_score,row3_score,register_cc,row_shift
01010110201,1,1,0,0,0.03872,0.00000,0.00000,0.9275,0
01010110202,0,0,0,0,0.00000,0.00240,0.00693,0.9699,-1
01010110203,1,1,0,0,0.14505,0.00000,0.00000,0.9424,2
01010110204,0,0,0,0,0.00000,0.00000,0.00000,0.9206,1
01010110205,1,1,0,0,0.01663,0.00913,0.00238,0.9623,-1
0101011205,1,1,0,0,0.01663,0.00913,0.00238,0.9623,-1
01010210101,1,1,0,0,0.08083,0.00000,0.00000,0.9631,-2
01010310101,1,1,0,0,0.06374,0.00000,0.00000,0.9733,1
01010310102,0,0,0,0,0.00000,0.00000,0.00000,0.9318,-1
01010410101,0,0,0,0,0.00000,0.00000,0.00000,0.9478,0
01010410102,0,0,0,0,0.00000,0.00000,0.00000,0.9161,1
01010410103,1,1,0,0,0.14524,0.00000,0.00000,0.8956,0
01010510101,1,1,0,0,0.10984,0.00000,0.00000,0.7699,6
01010510102,0,0,0,0,0.00000,0.00000,0.00000,0.9546,-1
01020110101,1,1,0,0,0.09567,0.00000,0.00000,0.9901,-1
01020110102,0,0,0,0,0.00000,0.00000,0.00000,0.9837,2
01020110103,1,1,0,0,0.01179,0.00000,0.00000,0.9798,0
01020110104,0,0,0,0,0.00000,0.00000,0.00000,0.9839,-1
01020110201,1,1,0,0,0.10875,0.00000,0.00000,0.9830,1
01020110202,1,1,0,0,0.01839,0.00000,0.00000,0.9637,-4
01020110203,1,1,0,0,0.12057,0.00000,0.00000,0.9748,1
01020110301,1,1,0,0,0.06818,0.00000,0.00000,0.9769,1
01020110302,0,0,0,0,0.00000,0.00000,0.00000,0.9925,-1
01020110303,1,1,0,0,0.09451,0.00000,0.00000,0.9819,0
01020210101,0,0,0,0,0.00000,0.00000,0.00000,0.9731,-2
01020210102,1,1,0,0,0.09112,0.00000,0.00000,0.9876,-1
01020210103,0,0,0,0,0.00000,0.00000,0.00000,0.9828,0
01020210104,0,0,0,0,0.00000,0.00000,0.00000,0.9657,2
01020210105,1,1,0,0,0.05682,0.00219,0.00000,0.9872,0
01020210106,2,1,1,0,0.09451,0.06856,0.00000,0.9921,-1
01020210201,1,1,0,0,0.07517,0.00000,0.00000,0.9892,-1
01020210202,1,1,0,0,0.11644,0.00000,0.00000,0.9881,0
01020210203,0,0,0,0,0.00000,0.00000,0.00000,0.9733,2
01020210204,1,1,0,0,0.09670,0.00000,0.00000,0.9759,0
01020210205,0,0,0,0,0.00000,0.00000,0.00000,0.9692,2
01020210206,0,0,0,0,0.00000,0.00000,0.00000,0.9846,-2
01020210207,0,0,0,0,0.00000,0.00000,0.00000,0.9811,1
01020210301,1,1,0,0,0.09318,0.00000,0.00000,0.9734,2
01020210302,1,1,0,0,0.10165,0.00000,0.00000,0.9545,1
01020210303,0,0,0,0,0.00000,0.00000,0.00000,0.9743,1
01020210304,2,1,1,0,0.10251,0.11390,0.00000,0.9822,-1
01020210305,0,0,0,0,0.00000,0.00000,0.00000,0.9870,-1
01020210306,0,0,0,0,0.00440,0.00000,0.00000,0.9712,0
01020210401,1,1,0,0,0.06388,0.00000,0.00000,0.9857,1
01020310101,1,1,0,0,0.09567,0.00000,0.00000,0.9882,-2
01020310102,1,1,0,0,0.12939,0.00000,0.00219,0.9715,-1
01020310201,1,1,0,0,0.13501,0.00000,0.00000,0.9928,1
01020310301,1,1,0,0,0.08656,0.00000,0.00000,0.9917,-1
01020310302,1,1,0,0,0.11429,0.00000,0.00000,0.9826,1
01020310303,1,1,0,0,0.10377,0.00000,0.00000,0.9741,2
01020310401,1,1,0,0,0.10330,0.00000,0.00000,0.9876,-1
