sponsorship_number,name_overlay,name_from_filename,script,pages,source_file,drive_id,source_url
039,كريم بن محمد الغربي,كريم بن محمد الغربي,arabic,1,كريم-بن-محمد-الغربي.pdf,1-dj3M4DsP0Tf33jXSSMv5tYwwytLAhBP,https://drive.google.com/uc?export=download&id=1-dj3M4DsP0Tf33jXSSMv5tYwwytLAhBP
052,مراد بن مصطفى بن غربية,مراد بن مصطفى بن غربية,arabic,1,مراد-بن-مصطفى-بن-غربية.pdf,15GB7aYmkSFVKhtWCJmue2ltXjiwT8b3y,https://drive.google.com/uc?export=download&id=15GB7aYmkSFVKhtWCJmue2ltXjiwT8b3y
095,بشر بن عبدالحكيم الصكلي,بشر بن عبد الحكيم الصكلي,arabic,1,بشر-بن-عبد-الحكيم-الصكلي.pdf,17NAAXhjyEX_rhJWFu6NXYySzWOlBvOp_,https://drive.google.com/uc?export=download&id=17NAAXhjyEX_rhJWFu6NXYySzWOlBvOp_
116,شرف الدين بن محمدالصالح خميري,شرف الدين بن محمد الصالح خميري,arabic,1,شرف-الدين-بن-محمد-الصالح-خميري.pdf,12g0GoEIp1UACPzhxtANqcmtrqaGqVENV,https://drive.google.com/uc?export=download&id=12g0GoEIp1UACPzhxtANqcmtrqaGqVENV
137,جمال بن ظاهر بنشامخ,جمال بن ظاهر بنشامخ,arabic,1,جمال-بن-ظاهر-بنشامخ.pdf,1363jBlCfipXHw7wXtwnd9gMA9zSRsy5g,https://drive.google.com/uc?export=download&id=1363jBlCfipXHw7wXtwnd9gMA9zSRsy5g
153,نشئت بن حموده عزوز,نشئت بن حموده عزوز,arabic,1,نشئت-بن-حموده-عزوز.pdf,1d18O4KqAxb6kiZ9ugDkfiiJvI6ceFeUP,https://drive.google.com/uc?export=download&id=1d18O4KqAxb6kiZ9ugDkfiiJvI6ceFeUP
194,هشام بن جميل قيدارة,هشام بن جميل قيدارة,arabic,1,هشام-بن-جميل-قيدارة.pdf,1pildDmaj2w-74eVlSvCudLoqWOdbd61s,https://drive.google.com/uc?export=download&id=1pildDmaj2w-74eVlSvCudLoqWOdbd61s
235,الامجد بن صالح عمري,الامجد بن صالح عمري,arabic,1,الامجد-بن-صالح-عمري.pdf,1XljV9J7ALf5lCRLXsZl8xk0Z281TRUHU,https://drive.google.com/uc?export=download&id=1XljV9J7ALf5lCRLXsZl8xk0Z281TRUHU
287,محمد المنذر بن عبدالعزيز الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,arabic,1,محمد-المنذر-بن-عبد-العزيز-الزنايدي.pdf,103yYn3GxCpqK9cD0cqsct-3hHtrtVXiP,https://drive.google.com/uc?export=download&id=103yYn3GxCpqK9cD0cqsct-3hHtrtVXiP
324,محمدرياض بن رضا المحجوب,محمد رياض بن رضا المحجوب,arabic,1,محمد-رياض-بن-رضا-المحجوب.pdf,1Bu1OqdpbCaXaP7Mi9_jajwpMhuHF9-w8,https://drive.google.com/uc?export=download&id=1Bu1OqdpbCaXaP7Mi9_jajwpMhuHF9-w8
328,روضة بن بلقاسم الرزقي,روضة بن بلقاسم الرزقي,arabic,1,روضة-بن-بلقاسم-الرزقي.pdf,1RabxQP8AE2Nmonq__uxGIyftOGYZsm3L,https://drive.google.com/uc?export=download&id=1RabxQP8AE2Nmonq__uxGIyftOGYZsm3L
334,محمدالقادري بن سعيد مصابحي,محمد القادري بن سعيد مصابحي,arabic,1,محمد-القادري-بن-سعيد-مصابحي.pdf,1illOSX3JzHC3XaYq2kkw9i8PTlqsNdFR,https://drive.google.com/uc?export=download&id=1illOSX3JzHC3XaYq2kkw9i8PTlqsNdFR
336,نضال بن الحبيب كريم,نضال بن الحبيب كريم,arabic,1,نضال-بن-الحبيب-كريم.pdf,1VuQIkwJDw4MUZkzm6t8p3Ispl4T7e8ff,https://drive.google.com/uc?export=download&id=1VuQIkwJDw4MUZkzm6t8p3Ispl4T7e8ff
361,عماد بن المختار بوكر,عماد بن المختار بوكر,arabic,1,عماد-بن-المختار-بوكر.pdf,1oqzFK1rOuo4usbOVARHaXGCMprxSXNPT,https://drive.google.com/uc?export=download&id=1oqzFK1rOuo4usbOVARHaXGCMprxSXNPT
364,عبدالحميد بن سالم عمار,عبد الحميد بن سالم عمار,arabic,1,عبد-الحميد-بن-سالم-عمار.pdf,1x7EdXENGSoi_OVwMoAm8Fjf8ft3FAhY1,https://drive.google.com/uc?export=download&id=1x7EdXENGSoi_OVwMoAm8Fjf8ft3FAhY1
399,مالك بن الحسين سائحي,مالك بن الحسين سائحي,arabic,1,مالك-بن-الحسين-سائحي.pdf,1wgPniO3v6LUXAnaTjVZ7k77Xw6TTUcmo,https://drive.google.com/uc?export=download&id=1wgPniO3v6LUXAnaTjVZ7k77Xw6TTUcmo
450,سيف الدين بن الحبيب القردلي,سيف الدين بن الحبيب القردلي,arabic,1,سيف-الدين-بن-الحبيب-القردلي.pdf,1SEakZ_7WhXrp0FjT436qMr4k6Ia-PCkr,https://drive.google.com/uc?export=download&id=1SEakZ_7WhXrp0FjT436qMr4k6Ia-PCkr
457,العفيف بن يوسف البوني,العفيف بن يوسف البوني,arabic,1,العفيف-بن-يوسف-البوني.pdf,1T95RaJdl5MIZPs4QKqQvfuwUZQYobUlj,https://drive.google.com/uc?export=download&id=1T95RaJdl5MIZPs4QKqQvfuwUZQYobUlj
488,الشاذلي بن محمد أولاد بالليل,الشاذلي بن محمد أولاد بالليل,arabic,1,الشاذلي-بن-محمد-أولاد-بالليل.pdf,1pJ8My67W00foyfKGlU0g67TUQWAPfZEk,https://drive.google.com/uc?export=download&id=1pJ8My67W00foyfKGlU0g67TUQWAPfZEk
489,صابر بن احمدالصويعي بن عمار,صابر بن احمد الصويعي بن عمار,arabic,1,صابر-بن-احمد-الصويعي-بن-عمار.pdf,1HvsRZ7SOkdHCoGaU3t7aaC-G6OQtYpqx,https://drive.google.com/uc?export=download&id=1HvsRZ7SOkdHCoGaU3t7aaC-G6OQtYpqx
494,مكرم بن عمر الخمار العويني,مكرم بن عمر الخمار العويني,arabic,1,مكرم-بن-عمر-الخمار-العويني.pdf,1zwadpGfsGhE0n7Skd7yodK0NPLUBkiA0,https://drive.google.com/uc?export=download&id=1zwadpGfsGhE0n7Skd7yodK0NPLUBkiA0
503,نورالدين بن منصور العيادي,نور الدين بن منصور العيادي,arabic,1,نور-الدين-بن-منصور-العيادي.pdf,1sg611NS8IikmmMZgP30dhcjMo8NPPnck,https://drive.google.com/uc?export=download&id=1sg611NS8IikmmMZgP30dhcjMo8NPPnck
514,سعيد بن الهادي بوعجله,سعيد بن الهادي بوعجله,arabic,1,سعيد-بن-الهادي-بوعجله.pdf,1gjJQpJQLSy3h2xesvnFquiGAFdDfu8ON,https://drive.google.com/uc?export=download&id=1gjJQpJQLSy3h2xesvnFquiGAFdDfu8ON
583,AMMAR BEN ALI FETAITI,AMMAR BEN ALI FETAITI,latin,1,AMMAR-BEN-ALI-FETAITI.pdf,11A7_lxYqm4KXlHLaN_NenbJePW8ln9lO,https://drive.google.com/uc?export=download&id=11A7_lxYqm4KXlHLaN_NenbJePW8ln9lO
584,راضية بن محسن السدرات,راضية بن محسن السدرات,arabic,1,راضية-بن-محسن-السدرات.pdf,17ehcSuFjv_0upt_mU_1pWAYml1HPVboN,https://drive.google.com/uc?export=download&id=17ehcSuFjv_0upt_mU_1pWAYml1HPVboN
623,خليفة بن محمود شعبوني,خليفة بن محمود شعبوني,arabic,1,خليفة-بن-محمود-شعبوني.pdf,1bEWz1fQsZjojxjjhVPgSdwVGUQqa8OGR,https://drive.google.com/uc?export=download&id=1bEWz1fQsZjojxjjhVPgSdwVGUQqa8OGR
636,الاسعد بن الصادق عبيد,الاسعد بن الصادق عبيد,arabic,1,الاسعد-بن-الصادق-عبيد.pdf,1Iu4IrUhOdcf1JdbrIaK4jw-1mm-fcUh9,https://drive.google.com/uc?export=download&id=1Iu4IrUhOdcf1JdbrIaK4jw-1mm-fcUh9
639,منصور بن حسين النفزي,منصور بن حسين النفزي,arabic,1,منصور-بن-حسين-النفزي.pdf,1i0sZjGBg3BwatUjAICerkdpmv7mKiyOY,https://drive.google.com/uc?export=download&id=1i0sZjGBg3BwatUjAICerkdpmv7mKiyOY
644,محمدهشام بن البشير المؤدب,محمد هشام بن البشير المؤدب,arabic,1,محمد-هشام-بن-البشير-المؤدب.pdf,1y8MorMzPYoA8y1HzOAz3Gq3aIusQAZhg,https://drive.google.com/uc?export=download&id=1y8MorMzPYoA8y1HzOAz3Gq3aIusQAZhg
672,البشير بن ابراهيم عبيد,البشير بن ابراهيم عبيد,arabic,1,البشير-بن-ابراهيم-عبيد.pdf,1RQgeLsiFb7sZ2SZaIXILtwxHVrSO3BzI,https://drive.google.com/uc?export=download&id=1RQgeLsiFb7sZ2SZaIXILtwxHVrSO3BzI
707,محمد علي بن عثمان ونيفي,محمد علي بن عثمان ونيفي,arabic,1,محمد-علي-بن-عثمان-ونيفي.pdf,1wGw6cJl3aFjl4vAlQ90ryMfdXfQbbOho,https://drive.google.com/uc?export=download&id=1wGw6cJl3aFjl4vAlQ90ryMfdXfQbbOho
729,نجوى بن فرج ميلاد,نجوى بن فرج ميلاد,arabic,1,نجوى-بن-فرج-ميلاد.pdf,1i2nAyimfJLWEkr2i0W2aY2IEpUYyy8Hz,https://drive.google.com/uc?export=download&id=1i2nAyimfJLWEkr2i0W2aY2IEpUYyy8Hz
744,مصطفى بن علي البرناط,مصطفى بن علي البرناط,arabic,1,مصطفى-بن-علي-البرناط.pdf,1JrRzIEAIX1JZM8ZpG8RHg_xKmH_pG0J9,https://drive.google.com/uc?export=download&id=1JrRzIEAIX1JZM8ZpG8RHg_xKmH_pG0J9
748,لطفي بن عثمان عاشوري,لطفي بن عثمان عاشوري,arabic,1,لطفي-بن-عثمان-عاشوري.pdf,1Y6au13Hwp8Yy2FVauayffo_V4vcotW22,https://drive.google.com/uc?export=download&id=1Y6au13Hwp8Yy2FVauayffo_V4vcotW22
772,حسام بن محمد بونني,حسام بن محمد بونني,arabic,1,حسام-بن-محمد-بونني.pdf,1kSKMARpydzVYxG2SOiDqE3ctF4AsZSOn,https://drive.google.com/uc?export=download&id=1kSKMARpydzVYxG2SOiDqE3ctF4AsZSOn
784,حسني بن عبدالسلام بوخروف,حسني بن عبد السلام بوخروف,arabic,1,حسني-بن-عبد-السلام-بوخروف.pdf,1aJovfuo9SwbGkzzD3q7CYSxLvqfZWSGw,https://drive.google.com/uc?export=download&id=1aJovfuo9SwbGkzzD3q7CYSxLvqfZWSGw
876,أحمد بن فرج بن عبدالجليل,أحمد بن فرج بن عبد الجليل,arabic,1,أحمد-بن-فرج-بن-عبد-الجليل.pdf,10QsF7gOuhREqRAbrolncOQ420DDL9FGl,https://drive.google.com/uc?export=download&id=10QsF7gOuhREqRAbrolncOQ420DDL9FGl
878,علي بن صالح شحاتة,علي بن صالح شحاتة,arabic,1,علي-بن-صالح-شحاتة.pdf,1MpEKFwwpODrg_b64Uy6YSoalCndfNVXm,https://drive.google.com/uc?export=download&id=1MpEKFwwpODrg_b64Uy6YSoalCndfNVXm
880,الطيب بن احمد السماتي,الطيب بن احمد السماتي,arabic,1,الطيب-بن-احمد-السماتي.pdf,1hdF4YAVtdjsSQlkUsBL5EhJAy5G9-YIM,https://drive.google.com/uc?export=download&id=1hdF4YAVtdjsSQlkUsBL5EhJAy5G9-YIM
881,عبدالحميد بن علي الزيدي,عبد الحميد بن علي الزيدي,arabic,1,عبد-الحميد-بن-علي-الزيدي.pdf,1jgjIExZq86b64og3pxysTP4_9mIf-FMS,https://drive.google.com/uc?export=download&id=1jgjIExZq86b64og3pxysTP4_9mIf-FMS
892,وجدي بن توفيق العياري,وجدي بن توفيق العياري,arabic,1,وجدي-بن-توفيق-العياري.pdf,1MVPWifdfZHQgVVW0zlpxkAybpit3SnC_,https://drive.google.com/uc?export=download&id=1MVPWifdfZHQgVVW0zlpxkAybpit3SnC_
936,المنذر بن عزالدين بوهدي,المنذر بن عز الدين بوهدي,arabic,1,المنذر-بن-عز-الدين-بوهدي.pdf,1ccfh5zcQ0j7MR6qE_MMQVb3zjXy3VhEb,https://drive.google.com/uc?export=download&id=1ccfh5zcQ0j7MR6qE_MMQVb3zjXy3VhEb
938,محمدالهادي بن محمد منصوري,محمد الهادي بن محمد منصوري,arabic,1,محمد-الهادي-بن-محمد-منصوري.pdf,1JcoG7TGRX7oY81fwUqHN2R4PmhAIWHCj,https://drive.google.com/uc?export=download&id=1JcoG7TGRX7oY81fwUqHN2R4PmhAIWHCj
959,محمدالشاذلي بن الطيب الفقيه أحمد,محمد الشاذلي بن الطيب الفقيه أحمد,arabic,1,محمد-الشاذلي-بن-الطيب-الفقيه-أحمد.pdf,1Pvp6BpGGFgQ2A4GSsdIXN5svnlZw6CLi,https://drive.google.com/uc?export=download&id=1Pvp6BpGGFgQ2A4GSsdIXN5svnlZw6CLi
