round,centre,voters,valid_votes,spoilt_ballots,blank_ballots,ballots_accounted,ballot_identity_gap
r1,تونس 1,168188,164418,2450,1320,168188,0
r1,تونس 2,206887,203999,1954,934,206887,0
r1,أريانة,173876,171137,1758,981,173876,0
r1,منوبة,112262,109134,2282,846,112262,0
r1,بن عروس,214549,211357,2021,1171,214549,0
r1,بنزرت,154851,150485,3116,1250,154851,0
r1,نابل 1,142678,139772,1907,999,142678,0
r1,نابل 2,113520,110937,1775,808,113520,0
r1,زغوان,48556,47053,1010,493,48556,0
r1,باجة,80173,76293,2771,1109,80173,0
r1,الكاف,71819,68615,2233,971,71819,0
r1,سليانة,55531,53497,1474,560,55531,0
r1,جندوبة,94814,90594,3339,881,94814,0
r1,القيروان,119509,115614,2888,1007,119509,0
r1,سوسة,199985,196562,2328,1095,199985,0
r1,المنستير,173004,170621,1610,773,173004,0
r1,المهدية,101278,98797,1665,816,101278,0
r1,القصرين,101587,98008,2798,781,101587,0
r1,سيدي بوزيد,109454,107057,1707,690,109454,0
r1,قفصة,96952,95291,1102,559,96952,0
r1,توزر,36563,35760,504,299,36563,0
r1,صفاقس 1,130899,129021,1330,548,130899,0
r1,صفاقس 2,179976,177744,1546,686,179976,0
r1,قابس,120580,118182,1618,780,120580,0
r1,مدنين,124220,122342,1365,513,124220,0
r1,تطاوين,34909,34201,453,255,34909,0
r1,قبلي,59260,58001,728,531,59260,0
r1,فرنسا 1,39727,39495,95,137,39727,0
r1,فرنسا 2,31878,31592,148,138,31878,0
r1,إيطاليا,6848,6797,33,18,6848,0
r1,ألمانيا,7040,7018,15,7,7040,0
r1,القارة الأمريكية وبقية الدول الأوروبية,15694,15632,37,25,15694,0
r1,الدول العربية وباقي دول العالم,12599,12543,28,28,12599,0
r2,تونس 1,159589,155122,2768,1699,159589,0
r2,تونس 2,198464,193723,3008,1733,198464,0
r2,أريانة,165957,161967,2395,1595,165957,0
r2,منوبة,105710,102670,2076,964,105710,0
r2,بن عروس,201905,196976,2889,2040,201905,0
r2,بنزرت,146899,142592,2731,1576,146899,0
r2,نابل 1,136492,132662,2300,1530,136492,0
r2,نابل 2,107700,104833,1853,1014,107700,0
r2,زغوان,46801,45559,777,465,46801,0
r2,باجة,75926,73121,1971,834,75926,0
r2,الكاف,70144,67804,1547,793,70144,0
r2,سليانة,50564,48874,1123,567,50564,0
r2,جندوبة,90389,87274,2171,944,90389,0
r2,القيروان,113464,110353,2074,1037,113464,0
r2,سوسة,192738,187809,3036,1893,192738,0
r2,المنستير,170789,166781,2547,1461,170789,0
r2,المهدية,98164,95609,1483,1072,98164,0
r2,القصرين,95982,93353,1978,651,95982,0
r2,سيدي بوزيد,86167,83794,1659,714,86167,0
r2,قفصة,96416,94300,1331,785,96416,0
r2,توزر,36258,35511,502,245,36258,0
r2,صفاقس 1,123341,120689,1714,938,123341,0
r2,صفاقس 2,170178,166548,2275,1355,170178,0
r2,قابس,121095,118954,1412,729,121095,0
r2,مدنين,127153,125099,1298,756,127153,0
r2,تطاوين,36586,36046,317,223,36586,0
r2,قبلي,60304,59382,585,337,60304,0
r2,فرنسا 1,36856,36252,258,346,36856,0
r2,فرنسا 2,29322,28848,261,213,29322,0
r2,إيطاليا,5984,5929,39,16,5984,0
r2,ألمانيا,6222,6149,32,41,6222,0
r2,القارة الأمريكية وبقية الدول الأوروبية,14129,13910,94,125,14129,0
r2,الدول العربية وباقي دول العالم,11694,11549,81,64,11694,0
