pdf_path,filename,governorate,constituency,imada,pages,official_count,extracted_count,completeness_pct,is_diaspora
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/أريانة/0401_أريانة المدينة/أريانة الجديدة.pdf,أريانة الجديدة.pdf,أريانة,أريانة المدينة,أريانة الجديدة,120,5209,5209,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/أريانة/0401_أريانة المدينة/أريانة العليا.pdf,أريانة العليا.pdf,أريانة,أريانة المدينة,أريانة العليا,375,16430,16430,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/أريانة/0401_أريانة المدينة/أريانة المدينة.pdf,أريانة المدينة.pdf,أريانة,أريانة المدينة,أريانة المدينة,242,10593,10593,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/أريانة/0401_أريانة المدينة/التعمير.pdf,التعمير.pdf,أريانة,أريانة المدينة,التعمير,179,7805,7805,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/أريانة/0401_أريانة المدينة/المنزه الخامس.pdf,المنزه الخامس.pdf,أريانة,أريانة المدينة,المنزه الخامس,191,8318,8318,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/أريانة/0401_أريانة المدينة/المنزه السادس.pdf,المنزه السادس.pdf,أريانة,أريانة المدينة,المنزه السادس,241,10524,10524,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/أريانة/0401_أريانة المدينة/النصر 1.pdf,النصر 1.pdf,أريانة,أريانة المدينة,النصر 1,226,9874,9874,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/أريانة/0401_أريانة المدينة/النصر 2.pdf,النصر 2.pdf,أريانة,أريانة المدينة,النصر 2,492,21598,21598,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/أريانة/0401_أريانة المدينة/الياسمينة.pdf,الياسمينة.pdf,أريانة,أريانة المدينة,الياسمينة,420,18421,18421,100.0,0
/Users/mohameddhiahammami/iCloud Drive (Archive)/www.isie.tn/wp-content/uploads/2024/ListesElecteurs06Juillet2024/الداخل/أريانة/0402_المنيهلة/15 أكتوبر.pdf,15 أكتوبر.pdf,أريانة,المنيهلة,15 أكتوبر,105,4567,4567,100.0,0
