# Which archived page the representatives table was actually read from, for the
# bureaux whose orient-stage page pick was wrong. The archive holds several images
# for about a fifth of the corpus and only one is the counting record; these are the
# 126 where the first version of the picker chose one of the others. Ground truth for
# tools/test_pv_pagepick.py, and provenance for the readings themselves.
# One row was corrected after the fact: 08040810301 was recorded as page 0, where
# the locator fired on the correction form's own table (3 column rules) and the
# blank crop was read as 'no representative'. Page 1 is the counting record --
# registration 0.96 against 0.13 -- and its table reads la yujad, the same value.
bureau_code,source,page,rotation,col_rules,row_rules
02080110104,02080110104__02080110104.pdf,4,270,4,6
02080120103,02080120103__02080120103.pdf,4,270,4,6
02100710107,02100710107__02100710107.jpg,0,0,4,0
02120610105,02120610105__02120610105.jpg,0,90,3,0
03010210302,03010210302__03010210302.pdf,0,0,4,5
03010310208,03010310208__03010310208.pdf,0,0,4,6
03010310209,03010310209__03010310209.pdf,0,0,3,4
03010810305,03010810305__03010810305.pdf,0,0,4,6
03010810401,03010810401__03010810401.pdf,0,0,4,6
03010910205,03010910205__03010910205.pdf,0,0,4,6
03020210203,03020210203__03020210203.pdf,0,0,4,6
03020510303,03020510303__03020510303.pdf,0,0,4,6
03040310105,03040310105__03040310105.pdf,0,0,4,6
03040310204,03040310204__03040310204.pdf,0,0,4,5
03040410101,03040410101__03040410101.pdf,0,0,4,6
03040410102,03040410102__03040410102.pdf,0,0,4,6
03040610304,03040610304__03040610304.pdf,0,0,4,4
03050210104,03050210104__03050210104.pdf,0,0,3,6
03050210301,03050210301__03050210301.pdf,0,0,4,3
03050210304,03050210304__03050210304.pdf,0,0,4,5
03050310304,03050310304__03050310304.pdf,0,0,4,3
03050610102,03050610102__03050610102.pdf,0,0,4,5
04010110201,04010110201__04010110201.pdf,0,0,4,5
04020210104,04020210104__04020210104.pdf,0,0,4,5
04020510201,04020510201__04020510201.pdf,0,0,4,6
04030110103,04030110103__04030110103.pdf,0,0,4,6
04030410204,04030410204__04030410204.pdf,0,0,4,6
04030710101,04030710101__04030710101.pdf,0,0,4,6
04050210206,04050210206__04050210206.pdf,0,0,4,6
04050310102,04050310102__04050310102.pdf,0,0,4,6
04050510102,04050510102__04050510102.pdf,0,0,4,6
04050510104,04050510104__04050510104.pdf,0,0,4,6
04060110102,04060110102__04060110102.pdf,0,0,4,6
04060110202,04060110202__04060110202.pdf,0,0,4,6
04060710104,04060710104__04060710104.pdf,0,0,4,6
04070610101,04070610101__04070610101.jpg,0,180,3,0
04070610103,04070610103__04070610103.pdf,0,0,4,6
04080310105,04080310105__04080310105.pdf,0,0,4,6
06020210301,06020210301__06020210301-1.jpg,0,0,4,6
06070410203,06070410203__06070410203.jpg,0,270,4,6
06070510202,06070510202__06070510202-1.jpg,0,270,4,6
06080120202,06080120202__06080120202.jpg,0,0,4,6
06080210301,06080210301__06080210301.jpg,0,0,4,6
07050510101,07050510101__07050510101.jpg,0,0,2,0
08010210202,08010210202__08010210202.jpg,0,270,3,0
08020210102,08020210102__08020210102.pdf,0,270,3,0
08040210401,08040210401__08040210401.pdf,0,0,4,5
08040610203,08040610203__08040610203.pdf,0,0,4,6
08040710203,08040710203__08040710203.pdf,0,0,4,6
08040810301,08040810301__08040810301.pdf,1,270,2,6
08040910203,08040910203__08040910203.pdf,0,0,4,6
08041110102,08041110102__08041110102.pdf,0,0,4,6
08070710101,08070710101__08070710101.pdf,0,90,4,6
08080210301,08080210301__08080210301.jpg,0,0,3,0
09010110101,09010110101__09010110101.pdf,0,0,4,6
09010610202,09010610202__09010610202.pdf,0,0,4,6
09020410101,09020410101__09020410101.pdf,0,0,4,6
09021310101,09021310101__09021310101.pdf,0,0,4,6
09030810201,09030810201__09030810201.pdf,0,0,4,6
09040510101,09040510101__09040510101.pdf,0,0,4,6
10060410201,10060410201__10060410201.pdf,0,180,4,0
10140510303,10140510303__10140510303.pdf,0,0,4,5
10140510304,10140510304__10140510304.pdf,0,0,4,6
13010510303,13010510303__13010510303.jpg,0,90,4,5
13090510301,13090510301__13090510301.PDF,0,90,4,5
13101010301,13101010301__13101010301_07102024204449.jpg,0,270,3,0
13121210101,13121210101__13121210101.jpg,0,270,4,0
13130610101,13130610101__13130610101.PDF,0,90,4,3
15050110201,15050110201__15050110201.pdf,0,0,4,0
15121210105,15121210105__15121210105.pdf,2,0,3,3
16060310101,16060310101__16060310101.pdf,0,0,4,3
18010110202,18010110202__18010110202.pdf,0,0,4,6
18010210102,18010210102__18010210102.pdf,0,0,4,6
18120610201,18120610201__18120610201.pdf,0,0,4,6
19020610201,19020610201__19020610201.PDF,0,0,4,5
19060810101,19060810101__19060810101.PDF,0,0,4,3
19070310102,19070310102__19070310102.pdf,3,0,4,6
