bureau_code,a_registered,b_delivered,c_signed,d_damaged,r_remaining,s_extracted,valid,blank,spoilt,match1,w_voted,m_total,match2,n_total,match3,slot1,slot2,slot3,slot4,slot5,slot6,slot7,slot8,slot9,q_declared,match4,n_candidates
08060510201,1125,1200,270,2,928,270,256,6,8,0,270,1200,0,270,0,35,19,39,51,91,21,,,,256,0,6
15030610101,1566,1499,177,0,1322,177,170,7,0,0,177,1499,0,177,0,170,,,,,,,,,170,0,1
08090710101,404,500,130,0,370,130,126,2,2,0,130,500,0,130,0,11,5,85,25,,,,,,126,0,4
07100210101,305,400,89,0,311,89,83,2,4,0,89,400,0,89,0,46,37,,,,,,,,83,0,2
09020210304,1397,1400,115,0,1285,115,111,2,2,0,115,1400,0,115,0,84,10,12,5,,,,,,111,0,4
14080810303,1587,1600,53,0,1547,53,51,0,2,0,53,1600,0,53,0,15,13,13,10,,,,,,51,0,4
03020110104,1459,1500,37,0,1463,37,35,2,0,0,37,1500,0,37,0,17,18,,,,,,,,35,0,2
02050410101,2422,2500,94,0,2406,94,83,3,8,0,94,2500,0,94,0,34,20,29,,,,,,,83,0,3
02090410302,1597,1600,53,0,1547,53,50,0,3,0,53,1600,0,53,0,13,16,21,,,,,,,50,0,3
09010710302,1028,1100,132,0,968,132,128,0,4,0,132,1100,0,132,0,31,56,0,18,1,2,20,,,128,0,7
17090110202,1264,1300,112,1,1186,112,108,3,1,0,112,1299,1,112,0,,,,,,,,,,108,0,
14010710301,1180,1200,279,0,921,279,270,1,8,0,279,1200,0,279,0,6,5,259,,,,,,,270,0,3
11070310104,1290,1400,95,0,1305,95,93,1,1,0,95,1400,0,95,0,16,21,18,38,,,,,,93,0,4
04030810101,986,1000,110,0,890,110,99,8,3,0,110,1000,0,110,0,99,,,,,,,,,99,0,1
02021110107,1405,1500,40,0,1460,40,35,4,1,0,40,1500,0,40,0,15,20,,,,,,,,35,0,2
02090610203,1312,1400,36,0,1364,36,33,1,2,0,36,1400,0,36,0,19,1,6,7,,,,,,33,0,4
13020210201,833,900,273,0,627,273,264,4,5,0,273,900,0,273,0,39,100,125,,,,,,,264,0,3
14011310102,,1200,227,0,973,227,217,4,6,0,227,1200,0,227,0,109,38,37,16,17,,,,,217,0,5
