# Bureaux whose RESULTS were read off a page that is not the counting record.
#
# The orient stage kept one image per bureau and chose it by masthead OCR score;
# where the archive holds several pages that rule could keep the wrong document.
# Each row here is a bureau where the kept page fails to register against the
# reference layout (cached_fit, measured at every rotation so a sideways record
# is not miscounted) while another archived page fits it (better_page_fit).
#
# This says the page was wrong. It does NOT say the published numbers are wrong:
# re-reading needs the Batch API or the offline digit model, neither available
# where this was produced. Read it as a list to re-read, not as a correction.
#
# The picker was fixed in tools/extract_pvs.py; tools/test_pv_pagepick.py pins it.
bureau_code,governorate,cached_fit,better_page_fit,better_source,better_page,found_by,status,votes_certified,identities_ok,cells_corrected
02080110104,بن عروس,0.1821,0.9508,02080110104__02080110104.pdf,4,representatives,read,1,5,1
02080120103,بن عروس,0.1576,0.9365,02080120103__02080120103.pdf,4,representatives,read,1,7,3
03010210302,أريانة,0.1543,0.9087,03010210302__03010210302.pdf,0,representatives,read,1,4,5
03010310208,أريانة,0.1848,0.9172,03010310208__03010310208.pdf,0,representatives,read,1,5,6
03010310209,أريانة,0.1969,0.8984,03010310209__03010310209.pdf,0,representatives,read_by_eye,1,1,9
03010810305,أريانة,0.2046,0.9374,03010810305__03010810305.pdf,0,representatives,read_by_eye,1,1,21
03010810401,أريانة,0.1558,0.9275,03010810401__03010810401.pdf,0,representatives,read_by_eye,1,2,4
03010910205,أريانة,0.3777,0.9414,03010910205__03010910205.pdf,0,representatives,read_by_eye,1,1,13
03020210203,أريانة,0.1306,0.9512,03020210203__03020210203.pdf,0,representatives,read,1,7,3
03020510303,أريانة,0.1397,0.9285,03020510303__03020510303.pdf,0,representatives,read,1,8,0
03040310105,أريانة,0.1595,0.938,03040310105__03040310105.pdf,0,representatives,read_by_eye,1,1,10
03040310204,أريانة,0.1673,0.9389,03040310204__03040310204.pdf,0,representatives,read,1,5,5
03040410101,أريانة,0.2046,0.9465,03040410101__03040410101.pdf,0,representatives,read_by_eye,1,3,8
03040410102,أريانة,0.1715,0.9465,03040410102__03040410102.pdf,0,representatives,read_by_eye,1,0,10
03040610304,أريانة,0.1679,0.9302,03040610304__03040610304.pdf,0,representatives,read_by_eye,1,1,9
03050210104,أريانة,0.1205,0.9304,03050210104__03050210104.pdf,0,representatives,read,1,3,10
03050210301,أريانة,0.1827,0.8733,03050210301__03050210301.pdf,0,representatives,read_by_eye,1,3,9
03050210304,أريانة,0.2075,0.8835,03050210304__03050210304.pdf,0,representatives,read,1,7,3
03050310304,أريانة,0.2553,0.9481,03050310304__03050310304.pdf,0,representatives,read_by_eye,1,6,5
03050610102,أريانة,0.1753,0.9362,03050610102__03050610102.pdf,0,representatives,read_by_eye,1,5,8
04010110201,منوبة,0.1465,0.9366,04010110201__04010110201.pdf,0,representatives,read_by_eye,1,0,16
04020210104,منوبة,0.1772,0.9469,04020210104__04020210104.pdf,0,representatives,read_by_eye,1,2,30
04020510201,منوبة,0.236,0.9309,04020510201__04020510201.pdf,0,representatives,read_by_eye,1,0,3
04030110103,منوبة,0.1426,0.9505,04030110103__04030110103.pdf,0,representatives,read_by_eye,1,1,13
04030410204,منوبة,0.1486,0.9626,04030410204__04030410204.pdf,0,representatives,read_by_eye,1,0,11
04030710101,منوبة,0.2589,0.9293,04030710101__04030710101.pdf,0,representatives,read,1,7,3
04050210206,منوبة,0.1119,0.9629,04050210206__04050210206.pdf,0,representatives,read,1,6,1
04050310102,منوبة,0.1238,0.961,04050310102__04050310102.pdf,0,representatives,read_by_eye,1,0,15
04050510102,منوبة,0.2079,0.9606,04050510102__04050510102.pdf,0,representatives,read_by_eye,1,0,16
04050510104,منوبة,0.1309,0.942,04050510104__04050510104.pdf,0,representatives,read_by_eye,1,0,
04060110102,منوبة,0.1427,0.9527,04060110102__04060110102.pdf,0,representatives,read_by_eye,1,1,14
04060110202,منوبة,0.1693,0.9342,04060110202__04060110202.pdf,0,representatives,read,1,7,3
04060710104,منوبة,0.1491,0.9622,04060710104__04060710104.pdf,0,representatives,read_by_eye,1,0,15
04070610103,منوبة,0.2208,0.9576,04070610103__04070610103.pdf,0,representatives,read_by_eye,1,0,11
04080310105,منوبة,0.1001,0.9589,04080310105__04080310105.pdf,0,representatives,read_by_eye,1,0,18
06020210301,الكاف,0.1507,0.914,06020210301__06020210301-1.jpg,0,representatives,read,1,7,5
06070410203,الكاف,0.19,0.9457,06070410203__06070410203.jpg,0,representatives,read,1,7,0
06070510202,الكاف,0.2143,0.9471,06070510202__06070510202-1.jpg,0,representatives,read,1,8,0
06080120202,الكاف,0.1319,0.9226,06080120202__06080120202.jpg,0,representatives,read,1,2,4
06080210301,الكاف,0.0713,0.9592,06080210301__06080210301.jpg,0,representatives,read,1,7,1
08040210401,بنزرت,0.1832,0.9642,08040210401__08040210401.pdf,0,representatives,read,1,5,2
08040610203,بنزرت,0.1039,0.935,08040610203__08040610203.pdf,0,representatives,read_by_eye,1,1,0
08040710203,بنزرت,0.1481,0.9455,08040710203__08040710203.pdf,0,representatives,read_by_eye,1,0,2
08040810301,بنزرت,0.1833,0.9615,08040810301__08040810301.pdf,1,representatives,read,1,7,1
08040910203,بنزرت,0.1403,0.9137,08040910203__08040910203.pdf,0,representatives,read,1,8,0
08041110102,بنزرت,0.1484,0.9424,08041110102__08041110102.pdf,0,representatives,read_by_eye,1,0,15
08070710101,بنزرت,0.1847,0.9129,08070710101__08070710101.pdf,0,representatives,read,1,7,2
09010110101,باجة,0.2376,0.9382,09010110101__09010110101.pdf,0,representatives,read,1,8,0
09010610202,باجة,0.108,0.9614,09010610202__09010610202.pdf,0,representatives,read,1,6,5
09020410101,باجة,0.2119,0.9615,09020410101__09020410101.pdf,0,representatives,read,1,4,7
09021310101,باجة,0.1698,0.9204,09021310101__09021310101.pdf,0,representatives,read,1,6,3
09030810201,باجة,0.2017,0.9262,09030810201__09030810201.pdf,0,representatives,read,1,8,0
09040510101,باجة,0.17,0.9585,09040510101__09040510101.pdf,0,representatives,read,1,5,2
10060410201,نابل,0.2928,0.9547,10060410201__10060410201.pdf,0,representatives,read_by_eye,1,4,7
10140510303,نابل,0.343,0.928,10140510303__10140510303.pdf,0,representatives,read_by_eye,1,0,6
10140510304,نابل,0.3461,0.9338,10140510304__10140510304.pdf,0,representatives,read_by_eye,1,0,7
11020110401,زغوان,0.2248,0.9498,11020110401__11020110401.pdf,1,orient audit,read,1,3,7
11030310101,زغوان,0.2167,0.9455,11030310101__11030310101.pdf,3,orient audit,read,1,8,0
11060410101,زغوان,0.1919,0.9301,11060410101__11060410101.pdf,3,orient audit,read,1,7,1
11060410301,زغوان,0.2573,0.9445,11060410301__11060410301.pdf,4,orient audit,read,1,7,0
13090510301,القصرين,0.1216,0.9218,13090510301__13090510301.PDF,0,representatives,read,1,8,0
13100610401,القصرين,0.4094,0.8696,13100610401__13100610401_07102024204259.jpg,0,orient audit,read,1,3,9
13100610801,القصرين,0.3901,0.9709,13100610801__13100610801_07102024190144.jpg,0,orient audit,read,1,8,0
13130610101,القصرين,0.2387,0.8963,13130610101__13130610101.PDF,0,representatives,read,1,6,3
15050110201,قفصة,0.0,0.9573,15050110201__15050110201.pdf,0,representatives,read_by_eye,1,2,11
15121210105,قفصة,0.1328,0.9514,15121210105__15121210105.pdf,2,representatives,read,1,5,5
16060310101,توزر,0.19,0.8607,16060310101__16060310101.pdf,0,representatives,read_by_eye,1,0,1
18010110202,سوسة,0.2258,0.8647,18010110202__18010110202.pdf,0,representatives,read_by_eye,1,1,12
18010210102,سوسة,0.1239,0.8765,18010210102__18010210102.pdf,0,representatives,read,1,2,5
18120610201,سوسة,0.1169,0.9081,18120610201__18120610201.pdf,0,representatives,read,1,5,3
19020610201,المهدية,0.2415,0.9259,19020610201__19020610201.PDF,0,representatives,read,1,7,2
19060810101,المهدية,0.1723,0.8932,19060810101__19060810101.PDF,0,representatives,read,1,6,4
19070310102,المهدية,0.4914,0.9598,19070310102__19070310102.pdf,3,representatives,read_by_eye,1,0,8
19130510201,المهدية,0.3115,0.9347,19130510201__19130510201.pdf,0,representatives,read,1,1,6
21020610101,صفاقس,0.3299,0.9469,21020610101__21020610101.pdf,0,representatives,read,1,7,5
21080410402,صفاقس,0.3776,0.9642,21080410402__21080410402.pdf,0,representatives,read,1,7,3
